"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Crash","Paul Haggis","Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, Brendan Fraser, Terrence Howard, Chris ""Ludacris"" Bridges, Thandie Newton, Ryan Phillippe","Crime drama","won Academy Award for Best Picture"
"Criminal","Gregory Jacobs","John C. Reilly, Diego Luna, Maggie Gyllenhaal","Comedy","Based on Nine Queens"
"D.E.B.S.","Angela Robinson","Sara Foster, Jordana Brewster, Meagan Good, Devon Aoki","Comedy","Based on D.E.B.S."
"Dawn of the Dead","Zack Snyder","Sarah Polley, Ving Rhames, Jake Weber, Michael Kelly","Horror","Based on Dawn of the Dead"
"The Day After Tomorrow","Roland Emmerich","Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Ian Holm, Sela Ward","Disaster, sci-fi",""
"A Day Without a Mexican","Sergio Arau","Yareli Arizmendi, John Getz, Maureen Flannigan","Comedy",""
"De-Lovely","Irwin Winkler","Kevin Kline, Ashley Judd","Biography","Story of Cole Porter"
"Dead & Breakfast","Matthew Leutwyler","Ever Carradine, Brent David Fraser, Portia de Rossi","Comedy",""
"Dead Birds","Alex Turner","Henry Thomas, Nicki Aycox, Isaiah Washington","Horror",""
"Dig!","Ondi Timoner","The bands The Dandy Warhols and The Brian Jonestown Massacre.","Documentary","winner of Grand Jury Prize: Documentary"
"Dirty Dancing: Havana Nights","Guy Ferland","Diego Luna, Romola Garai, Sela Ward","Romance","Preceded by Dirty Dancing"
"A Dirty Shame","John Waters","Tracey Ullman, Johnny Knoxville, Selma Blair, Chris Isaak","Comedy",""
"DodgeBall: A True Underdog Story","Rawson Marshall Thurber","Vince Vaughn, Ben Stiller, Christine Taylor, Rip Torn","Comedy","20th Century Fox"
"The Door in the Floor","Tod Williams","Jeff Bridges, Kim Basinger, Jon Foster","Drama","from A Widow for One Year by John Irving"
"Drum","Zola Maseko","Taye Diggs, Gabriel Mann, Jason Flemyng","Thriller",""
"Ella Enchanted","Tommy O'Haver","Anne Hathaway","fantasy","Based on story by Gail Carson Levine"
"Envy","Barry Levinson","Ben Stiller, Jack Black, Rachel Weisz, Amy Poehler, Christopher Walken","Comedy",""
"Eternal Sunshine of the Spotless Mind","Michel Gondry","Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood, Tom Wilkinson","Drama, Science fiction","Focus Features"
"Exorcist: The Beginning","Renny Harlin","Stellan Skarsgård, Izabella Scorupco, James D'Arcy, Ralph Brown","Horror","Preceded by The Exorcist III"
"EuroTrip","Jeff Schaffer","Scott Mechlowicz, Jacob Pitts, Matt Damon, Michelle Trachtenberg","Comedy",""
"Fade to Black","Pat Paulson, Michael John Warren","The career of Jay-Z","Documentary",""
"Fahrenheit 9/11","Michael Moore","On George W. Bush, War on Terrorism, American media","Documentary","winner of the Palme d'Or"
"Fat Albert","Joel Zwick","Kenan Thompson, Kyla Pratt","Family","Based on Fat Albert and the Cosby Kids"
"Finding Neverland","Marc Forster","Johnny Depp, Kate Winslet, Julie Christie, Dustin Hoffman","Drama, Family","Based on The Man Who Was Peter Pan by Allan Knee"
"The Final Cut","Omar Naim","Robin Williams, Mira Sorvino, Jim Caviezel","Science fiction",""
"First Daughter","Forest Whitaker","Katie Holmes","Comedy","Regency Enterprises"
"Flight of the Phoenix","John Moore","Dennis Quaid, Giovanni Ribisi, Tyrese Gibson, Hugh Laurie, Miranda Otto","Adventure","Based on The Flight of the Phoenix by Elleston Trevor"
"The Forgotten","Joseph Ruben","Julianne Moore, Dominic West, Anthony Edwards, Lee Tergesen, Alfre Woodard, Gary Sinise","Thriller",""
"Forty Shades of Blue","Ira Sachs","Rip Torn, Dina Korzun","Drama","Based on Charulata"
"Friday Night Lights","Peter Berg","Billy Bob Thornton","Drama, Sports","Based on Friday Night Lights: A Town, a Team, and a Dream by H. G. Bissinger"
"Gamebox 1.0","David Hillenbrand, Scott Hillenbrand","Nate Richert, Danielle Fishel","Science fiction",""
"Garden State","Zach Braff","Zach Braff, Natalie Portman, Peter Sarsgaard, Ian Holm, Method Man","Dramedy",""
"Garfield: The Movie","Peter Hewitt","Bill Murray, Breckin Meyer, Jennifer Love Hewitt","Comedy","Based on Garfield by Jim Davis"
"The Girl Next Door","Luke Greenfield","Elisha Cuthbert, Emile Hirsch, Timothy Olyphant","Romance",""
"Godsend","Nick Hamm","Greg Kinnear, Rebecca Romijn, Robert De Niro, Cameron Bright","Horror",""
"Godzilla: Final Wars","Ryuhei Kitamura","Tsutomu Kitagawa, Masahiro Matsuoka, Rei Kikukawa","Science fiction","preceded by Godzilla: Tokyo S.O.S."
"The Grudge","Takashi Shimizu","Sarah Michelle Gellar","Horror","Based on Ju-on: The Grudge"
"Hair Show","Leslie Small","Kellita Smith, Mo'Nique, David Ramsey, Gina Torres","Comedy",""
"Harold & Kumar Go to White Castle","Danny Leiner","John Cho, Kal Penn, Neil Patrick Harris","Comedy","New Line Cinema"
"Harry Potter and the Prisoner of Azkaban","Alfonso Cuarón","Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon, Richard Griffiths, Gary Oldman, Alan Rickman, Fiona Shaw, Maggie Smith, Timothy Spall, David Thewlis, Maggie Smith, Julie Walters, Dawn French","Family, Fantasy","Based on Harry Potter and the Prisoner of Azkaban by J. K. Rowling Preceded by Harry Potter and the Chamber of Secrets"
"Heights","Chris Terrio","Glenn Close, Elizabeth Banks, James Marsden, Jesse Bradford","Drama",""
"Hellboy","Guillermo del Toro","Ron Perlman, Doug Jones, Selma Blair, John Hurt, Rupert Evans","Superhero","Based on Hellboy: Seed of Destruction"
"Her Summer","Bryan Woods","Justin Marxen","Drama",""
"Hidalgo","Joe Johnston","Viggo Mortensen, Zuleikha Robinson, Omar Sharif","Drama",""
"Highwaymen","Robert Harmon","Jim Caviezel, Rhona Mitra, Colm Feore","Action",""
"A Home at the End of the World","Michael Mayer","Colin Farrell, Robin Wright Penn, Dallas Roberts, Sissy Spacek","Drama","based on A Home at the End of the World by Michael Cunningham"
"Home on the Range","Will Finn, John Sanford","Roseanne Barr, Judi Dench, Jennifer Tilly, Cuba Gooding, Jr., Randy Quaid","Animation",""
"Hotel Rwanda","Terry George","Don Cheadle, Sophie Okonedo, Nick Nolte, Joaquin Phoenix","Drama, War","winner of the Satellite Award for Best Film – Drama"
"The Hunting of the President","Nickolas Perry, Harry Thomason","The presidency of Bill Clinton","Documentary","Based on The Hunting of the President by Joe Conason and Gene Lyons"
"I Heart Huckabees","David O. Russell","Mark Wahlberg, Dustin Hoffman, Isabelle Huppert, Jude Law, Jason Schwartzman, Lily Tomlin","Black comedy","Fox Searchlight Pictures"
"I, Robot","Alex Proyas","Will Smith, Bridget Moynahan, Bruce Greenwood, James Cromwell, Chi McBride, Alan Tudyk, Shia LaBeouf","Sci-fi","Based on I, Robot by Isaac Asimov"
"Imaginary Heroes","Dan Harris","Sigourney Weaver, Emile Hirsch, Jeff Daniels","Drama",""
"The Incredibles","Brad Bird","voices of Craig T. Nelson, Holly Hunter, Jason Lee, Samuel L. Jackson, Sarah Vowell","Animation, Family","Academy Award for Best Animated Feature"
"In Good Company","Paul Weitz","Dennis Quaid, Scarlett Johansson, Topher Grace","Drama","Universal Pictures"
"Jailbait","Brett C. Leonard","Michael Pitt, Stephen Adly Guirgis","Drama",""
"Jandek on Corwood","Chad Freidrichs","The music and career of Jandek","Documentary",""
"Jersey Girl","Kevin Smith","Ben Affleck, Liv Tyler, George Carlin, Stephen Root, Mike Starr, Raquel Castro, Jason Biggs, Jennifer Lopez","Comedy-drama","Miramax Films"
"Johnson Family Vacation","Christopher Erskin","Cedric the Entertainer, Vanessa L. Williams, Bow Wow, Solange Knowles, Shannon Elizabeth, Steve Harvey","Comedy","Fox Searchlight Pictures"
"Keane","Lodge Kerrigan","Damian Lewis, Abigail Breslin, Amy Ryan","Thriller",""
"Kill Bill Volume 2","Quentin Tarantino","Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Michael Parks","Action Thriller","preceded by Kill Bill Volume 1"
"King Arthur","Antoine Fuqua","Clive Owen, Keira Knightley, Stellan Skarsgård, Stephen Dillane, Ray Winstone, Hugh Dancy, Til Schweiger, Ioan Gruffudd","Adventure","Touchstone Pictures"
"Kinsey","Bill Condon","Liam Neeson, Laura Linney, Peter Sarsgaard, Timothy Hutton, Chris O'Donnell, Oliver Platt","Biography, drama","Story of Alfred Kinsey"
"Knots","Greg Lombardo","Scott Cohen, Annabeth Gish, Paulina Porizkova","Comedy",""
"Ladder 49","Jay Russell","Joaquin Phoenix, John Travolta, Jay Hernandez, Morris Chestnut, Robert Patrick","Drama","Touchstone Pictures"
"The Ladykillers","Ethan Coen, Joel Coen","Tom Hanks","Comedy","Based on film The Ladykillers"
"The Land Has Eyes","Vilsoni Hereniko","Sapeta Taito, Rena Owen","Drama",""
"The Last Shot","Jeff Nathanson","Matthew Broderick, Alec Baldwin, Toni Collette, Calista Flockhart","Comedy",""
"Lemony Snicket's A Series of Unfortunate Events","Brad Silberling","Jim Carrey, Jude Law, Liam Aiken, Emily Browning, Meryl Streep","Comedy, family","based on 3 stories by Lemony Snicket"
"The Life and Death of Peter Sellers","Stephen Hopkins","Geoffrey Rush, Charlize Theron, Emily Watson","Biography, drama","based on The Life and Death of Peter Sellers by Roger Lewis"
"The Life Aquatic with Steve Zissou","Wes Anderson","Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston, Jeff Goldblum, Willem Dafoe, Michael Gambon, Bud Cort","Comedy",""
"Little Black Book","Nick Hurran","Brittany Murphy, Holly Hunter, Kathy Bates, Ron Livingston","Romantic comedy",""
"A Love Song for Bobby Long","Shainee Gabel","John Travolta, Scarlett Johansson","Drama","Based on Off Magazine Street by Ronald Everett Capps"
"Man on Fire","Tony Scott","Denzel Washington, Dakota Fanning, Christopher Walken, Giancarlo Giannini, Radha Mitchell, Marc Anthony, Rachel Ticotin, Mickey Rourke","Crime drama","Based on the 1987 film of the same name and novel by A. J. Quinnell"
"The Manchurian Candidate","Jonathan Demme","Denzel Washington, Meryl Streep, Liev Schreiber, Jon Voight, Kimberly Elise, Vera Farmiga, Jeffrey Wright","Drama, Thriller","Based on the 1962 film of the same name and novel by Richard Condon"
"Maria Full of Grace","Joshua Marston","Catalina Sandino Moreno","Drama",""
"Mean Creek","Jacob Aaron Estes","Rory Culkin, Trevor Morgan, Scott Mechlowicz, Carly Schroeder, Josh Peck","Drama",""
"Mean Girls","Mark Waters","Lindsay Lohan, Rachel McAdams, Lacey Chabert, Amanda Seyfried, Tina Fey","Comedy","Based on Queen Bees and Wannabees by Rosalind Wiseman"
"Meet the Fockers","Jay Roach","Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner, Dustin Hoffman, Barbra Streisand","Comedy","Universal Pictures, DreamWorks Pictures Preceded by Meet the Parents"
"The Merchant of Venice","Michael Radford","Al Pacino, Jeremy Irons, Joseph Fiennes, Lynn Collins","Drama","based on The Merchant of Venice by William Shakespeare"
"Melinda and Melinda","Woody Allen","Chiwetel Ejiofor, Will Ferrell, Jonny Lee Miller, Radha Mitchell, Amanda Peet, Chloë Sevigny, Wallace Shawn","Comedy-drama","Fox Searchlight Pictures"
"Million Dollar Baby","Clint Eastwood","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Anthony Mackie","Drama","Winner of Academy Award for Best Picture"
"Mindbenders","Anthony Wayne Pettus","Tomiko Martinez, Jennifer Goodrich, Nicole Turner","Science fiction",""
"Mindhunters","Renny Harlin","LL Cool J, Jonny Lee Miller, Kathryn Morris, Patricia Velasquez, Clifton Collins, Jr., Eion Bailey, Will Kemp, Val Kilmer, Christian Slater","Thriller",""
"Miracle","Gavin O'Connor","Kurt Russell","Drama, Family","Walt Disney Pictures"
"The Misbehavers","Bryan Young, Elias Pate","the meeting of guerrilla warfare filmmakers","Documentary",""
"Modigliani","Mick Davis","Andy García","Biography",""
"Mojados: Through the Night","Tommy Davis","Illegal immigration to the United States","Documentary",""
"Mondovino","Jonathan Nossiter","the impact of the globalization of wine","Documentary",""
"The Motorcycle Diaries","Walter Salles","Gael García Bernal, Rodrigo de la Serna","Biography",""
"Mr. 3000","Charles Stone III","Bernie Mac, Angela Bassett, Paul Sorvino, Chris Noth","Comedy",""
"My Baby's Daddy","Cheryl Dunye","Eddie Griffin, Anthony Anderson, Michael Imperioli, Method Man","Comedy",""
"Mysterious Skin","Gregg Araki","Joseph Gordon-Levitt, Brady Corbet, Michelle Trachtenberg","Drama",""
"Napoleon Dynamite","Jared Hess","Jon Heder","Comedy",""
"National Treasure","Jon Turteltaub","Nicolas Cage, Diane Kruger, Justin Bartha, Jon Voight, Harvey Keitel, Sean Bean, Christopher Plummer","Adventure","Walt Disney Pictures"
"Never Die Alone","Ernest R. Dickerson","DMX, David Arquette","Crime drama","Fox Searchlight Pictures Based on story by Donald Goines"
"New York Minute","Dennie Gordon","Mary-Kate and Ashley Olsen, Eugene Levy","Comedy",""
"Noel","Chazz Palminteri","Susan Sarandon, Alan Arkin, Penélope Cruz","Drama",""
"The Notebook","Nick Cassavetes","Ryan Gosling, Rachel McAdams, James Marsden, James Garner, Gena Rowlands","Romance","Based on novel by Nicholas Sparks"
"November","Greg Harrison","Courteney Cox","Thriller",""
"Ocean's Twelve","Steven Soderbergh","George Clooney, Brad Pitt, Matt Damon, Catherine Zeta-Jones, Andy García, Don Cheadle, Bernie Mac, Julia Roberts","Comedy, Crime","Warner Bros. Pictures Preceded by Ocean's Eleven"
"Otaku Unite!","Eric Bresler","","Documentary",""
"P.S.","Dylan Kidd","Laura Linney, Topher Grace, Gabriel Byrne","Romance",""
"Palindromes","Todd Solondz","Ellen Barkin, Matthew Faber, Rachel Corr","Drama",""
"Paparazzi","Paul Abascal","Cole Hauser, Robin Tunney, Tom Sizemore, Daniel Baldwin","Action",""
"The Passion of the Christ","Mel Gibson","Jim Caviezel, Monica Bellucci","Drama",""
"The Perfect Score","Brian Robbins","Scarlett Johansson, Erika Christensen, Chris Evans, Darius Miles","Crime","Paramount Pictures"
"The Phantom of the Opera","Joel Schumacher","Gerard Butler, Emmy Rossum, Patrick Wilson","Musical","based on The Phantom of the Opera by Andrew Lloyd Webber"
"The Polar Express","Robert Zemeckis","Tom Hanks, Daryl Sabara","Animation, Family","Based on story by Chris Van Allsburg"
"Primer","Shane Carruth","Shane Carruth, David Sullivan","Science fiction","winner of the Grand Jury Prize: Drama"
"The Prince and Me","Martha Coolidge","Julia Stiles, Luke Mably, Ben Miller","Comedy","Paramount Pictures, Lionsgate"
"The Princess Diaries 2: Royal Engagement","Garry Marshall","Anne Hathaway, Julie Andrews, Héctor Elizondo, Raven-Symoné, Chris Pine, Heather Matarazzo","Comedy","Preceded by The Princess Diaries"
"Proud","Mary Pat Kelly","Reggie Austin","Drama",""
"The Punisher","Jonathan Hensleigh","Thomas Jane, John Travolta, Rebecca Romijn","Superhero",""
"Raise Your Voice","Sean McNamara","Hilary Duff","Musical",""
"Raising Helen","Garry Marshall","Kate Hudson, John Corbett, Joan Cusack, Hayden Panettiere, Spencer Breslin, Helen Mirren, Abigail Breslin","Comedy","Touchstone Pictures"
"Ray","Taylor Hackford","Jamie Foxx","Biography","Academy Award for Foxx"
"Riding Giants","Stacy Peralta","The art of big wave surfing","Documentary",""
"Riding the Bullet","Mick Garris","Jonathan Jackson, David Arquette, Cliff Robertson","Horror","Based on ""Riding the Bullet"" by Stephen King"
"Ripley's Game","Liliana Cavani","John Malkovich, Dougray Scott, Ray Winstone, Chiara Caselli, Lena Headey","Thriller","Based on Ripley's Game by Patricia Highsmith"
"Saved!","Brian Dannelly","Jena Malone, Mandy Moore, Macaulay Culkin, Patrick Fugit, Heather Matarazzo, Eva Amurri, Martin Donovan, Mary-Louise Parker","Comedy, Teen","United Artists"
"Saw","James Wan","Cary Elwes, Leigh Whannell, Danny Glover, Monica Potter","Psychological Horror","Lionsgate"
"Scooby-Doo 2: Monsters Unleashed","Raja Gosnell","Freddie Prinze, Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini","Comedy, Family","Preceded by Scooby-Doo"
"Secret Window","David Koepp","Johnny Depp, John Turturro, Timothy Hutton","Thriller","Columbia Pictures"
"Seed of Chucky","Don Mancini","Jennifer Tilly, Redman, Hannah Spearritt, John Waters","Horror","Preceded by Bride of Chucky"
"Shall We Dance?","Peter Chelsom","Richard Gere, Jennifer Lopez, Susan Sarandon","Romance","Based on Shall We Dance?"
"Shark Tale","Bibo Bergeron, Vicky Jenson, Rob Letterman","Will Smith, Jack Black, Renée Zellweger, Angelina Jolie, Robert De Niro, Martin Scorsese","Animation, family","DreamWorks Pictures, DreamWorks Animation"
"She Hate Me","Spike Lee","Anthony Mackie, Kerry Washington, Ellen Barkin, Monica Bellucci, Jim Brown, Brian Dennehy, Woody Harrelson, Bai Ling, Q-Tip, Dania Ramirez, John Turturro","Comedy-drama","Sony Pictures Classics"
"Shrek 2","Andrew Adamson, Kelly Asbury, Conrad Vernon","Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas","Animation, family","DreamWorks Pictures Preceded by Shrek"
"Sideways","Alexander Payne","Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh","Comedy","Based on Sideways by Rex Pickett winner of Golden Globe and Satellite Award for Best Musical or Comedy"
"Six: The Mark Unleashed","Kevin Downes","Stephen Baldwin, Eric Roberts, Kevin Downes","Action",""
"Silver City","John Sayles","Danny Huston, Chris Cooper, Richard Dreyfuss, Maria Bello","Comedy",""
"Sky Captain and the World of Tomorrow","Kerry Conran","Jude Law, Gwyneth Paltrow, Angelina Jolie","Science fiction","Paramount Pictures"
"Sleepover","Joe Nussbaum","Alexa Vega, Sara Paxton, Mika Boorem, Sam Huntington","Comedy",""
"Some Kind of Monster","Joe Berlinger, Bruce Sinofsky","the band Metallica","Documentary",""
"Soul Plane","Jessy Terrero","Snoop Dogg, Tom Arnold, Kevin Hart","Comedy",""
"Spanglish","James L. Brooks","Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman","Comedy-drama",""
"Spartan","David Mamet","Val Kilmer, Derek Luke, William H. Macy","Crime drama","Warner Bros. Pictures"
"Speak","Jessica Sharzer","Kristen Stewart, Steve Zahn","Drama","based on Speak by Laurie Halse Anderson"
"Spider-Man 2","Sam Raimi","Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris","Superhero","Preceded by Spider-Man"
"The SpongeBob SquarePants Movie","Stephen Hillenburg","Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke","Animation","Based on SpongeBob SquarePants"
"Stage Beauty","Richard Eyre","Billy Crudup, Claire Danes, Rupert Everett","Drama","based on Compleat Female Stage Beauty by Jeffrey Hatcher"
"Starsky & Hutch","Todd Phillips","Ben Stiller, Owen Wilson, Vince Vaughn, Snoop Dogg, Juliette Lewis, Amy Smart, Carmen Electra","Crime, Comedy","Based on Starsky and Hutch"
"Stateside","Reverge Anselmo","Rachael Leigh Cook, Jonathan Tucker, Agnes Bruckner","Drama",""
"The Stepford Wives","Frank Oz","Nicole Kidman, Matthew Broderick, Glenn Close, Bette Midler, Christopher Walken, Faith Hill","Comedy, Science fiction","based on The Stepford Wives and on The Stepford Wives by Ira Levin"
"Straight-Jacket","Richard Day","Matt Letscher, Carrie Preston","Comedy",""
"Super Size Me","Morgan Spurlock","30-day period of eating food only from McDonald's","Documentary","winner of the Satellite Award for Best Documentary Film"
"SuperBabies: Baby Geniuses 2","Bob Clark","Jon Voight, Scott Baio, Vanessa Angel","Comedy","preceded by Baby Geniuses; 4 Razzie nominations"
"Surviving Christmas","Mike Mitchell","Ben Affleck, James Gandolfini, Christina Applegate, Catherine O'Hara","Comedy","3 Razzie nominations"
"Suspect Zero","E. Elias Merhige","Aaron Eckhart, Ben Kingsley, Carrie-Anne Moss","Thriller",""
"Taking Lives","D. J. Caruso","Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Olivier Martinez, Gena Rowlands","Horror","based on Taking Lives by Michael Pye"
"Taxi","Tim Story","Queen Latifah, Jimmy Fallon","Comedy","Based on Taxi"
"Teacher's Pet","Timothy Björklund","Nathan Lane, Kelsey Grammer, Shaun Fleming","Animation","based on Teacher's Pet"
"Team America: World Police","Trey Parker","Trey Parker, Matt Stone, Kristen Miller","Animation",""
"The Terminal","Steven Spielberg","Tom Hanks, Catherine Zeta-Jones","Comedy",""
"Torque","Joseph Kahn","Martin Henderson, Ice Cube, Monet Mazur, Jay Hernandez, Jaime Pressly","Action",""
"Troy","Wolfgang Petersen","Brad Pitt, Eric Bana, Orlando Bloom, Brian Cox, Brendan Gleeson, Peter O'Toole, Diane Kruger, Rose Byrne, Saffron Burrows, Julie Christie","Adventure","based on Iliad by Homer"
"Twisted","Philip Kaufman","Ashley Judd, Samuel L. Jackson, Andy García","Thriller",""
