"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"13 Going on 30","Gary Winick","Jennifer Garner, Mark Ruffalo","Comedy","Columbia Pictures, Revolution Studios"
"50 First Dates","Peter Segal","Adam Sandler, Drew Barrymore","Comedy","Columbia Pictures"
"After the Sunset","Brett Ratner","Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle","Crime","New Line Cinema"
"Against the Ropes","Charles S. Dutton","Meg Ryan, Omar Epps","Drama, Sports","Paramount Pictures"
"Agent Cody Banks 2: Destination London","Kevin Allen","Frankie Muniz, Anthony Anderson","Family","MGM Pictures. Preceded by Agent Cody Banks"
"The Alamo","John Lee Hancock","Dennis Quaid, Billy Bob Thornton, Jason Patric, Patrick Wilson","Western","Touchstone Pictures, Imagine Entertainment"
"Alexander","Oliver Stone","Colin Farrell, Angelina Jolie, Val Kilmer, Rosario Dawson, Jared Leto, Raz Degan, Christopher Plummer, Anthony Hopkins","Action, history","Based on Alexander the Great by Robin Lane Fox; 6 Razzie nominations"
"Alfie","Charles Shyer","Jude Law, Susan Sarandon, Marisa Tomei, Nia Long, Sienna Miller, Jane Krakowski, Omar Epps","Comedy","Based on Alfie by Bill Naughton"
"Alien vs. Predator","Paul W. S. Anderson","Sanaa Lathan, Lance Henriksen, Raoul Bova, Ewen Bremner","Horror, sci-fi","Preceded by Alien Resurrection and Predator 2"
"Along Came Polly","John Hamburg","Ben Stiller, Jennifer Aniston, Debra Messing, Philip Seymour Hoffman, Alec Baldwin","Comedy",""
"America's Heart and Soul","Louis Schwartzberg","George Woodard","Documentary",""
"Anacondas: The Hunt for the Blood Orchid","Dwight H. Little","Johnny Messner, Matthew Marsden, Morris Chestnut, Salli Richardson","Horror","Preceded by Anaconda"
"Anchorman: The Legend of Ron Burgundy","Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell","Comedy",""
"Around the Bend","Jordan Roberts","Christopher Walken, Josh Lucas, Michael Caine","Drama",""
"Around the World in 80 Days","Frank Coraci","Jackie Chan, Steve Coogan, Cécile de France","Adventure","Based on Around the World in Eighty Days by Jules Verne"
"The Assassination of Richard Nixon","Niels Mueller","Sean Penn","Biography, crime",""
"The Aviator","Martin Scorsese","Leonardo DiCaprio, Cate Blanchett, Alec Baldwin, John C. Reilly, Alan Alda, Jude Law, Kate Beckinsale, Danny Huston, Ian Holm","Biography, drama","winner of the BAFTA Award for Best Film and the Golden Globe Award for Best Motion Picture – Drama"
"Barbershop 2: Back in Business","Kevin Rodney Sullivan","Ice Cube, Cedric the Entertainer, Queen Latifah","Comedy","Preceded by Barbershop"
"Before Sunset","Richard Linklater","Ethan Hawke, Julie Delpy","Drama","preceded by Before Sunrise"
"Being Julia","István Szabó","Annette Bening, Jeremy Irons","Drama","Based on Theatre by W. Somerset Maugham"
"Benji: Off the Leash!","Joe Camp","Nick Whitaker","Family",""
"The Best Thief in the World","Jacob Kornbluth","Mary-Louise Parker","Comedy-drama",""
"Beyond the Sea","Kevin Spacey","Kevin Spacey, Kate Bosworth, Bob Hoskins, John Goodman","Biography","Story of singer Bobby Darin"
"The Big Bounce","George Armitage","Owen Wilson, Morgan Freeman, Gary Sinise, Sara Foster, Bebe Neuwirth, Charlie Sheen","Comedy, crime","Based on The Big Bounce by Elmore Leonard"
"Birth","Jonathan Glazer","Nicole Kidman, Cameron Bright, Danny Huston, Lauren Bacall","Drama",""
"Blade: Trinity","David S. Goyer","Wesley Snipes, Jessica Biel, Ryan Reynolds, Kris Kristofferson, Dominic Purcell, Parker Posey, Triple H","Horror","Preceded by Blade II"
"Black Cloud","Rick Schroder","Rick Schroder, Eddie Spears, Russell Means, Julia Jones, Tim McGraw","Drama",""
"The Blue Butterfly","Léa Pool","William Hurt, Pascale Bussières, Marc Donato","Adventure",""
"Bobby Jones: Stroke of Genius","Rowdy Herrington","James Caviezel, Claire Forlani, Jeremy Northam","Biography, sports",""
"Book of Love","Alan Brown","Frances O'Connor, Simon Baker, Gregory Smith","Comedy",""
"Born into Brothels","Zana Briski, Ross Kauffman","the children of prostitutes in India","Documentary","winner of the Academy Award for Best Documentary"
"The Bourne Supremacy","Paul Greengrass","Matt Damon, Joan Allen, Brian Cox, Julia Stiles","Action","based on The Bourne Supremacy by Robert Ludlum"
"Breakin' All the Rules","Daniel Taplitz","Jamie Foxx, Morris Chestnut, Gabrielle Union","Comedy",""
"Bridget Jones: The Edge of Reason","Beeban Kidron","Renée Zellweger, Colin Firth, Hugh Grant","Romantic comedy","preceded by Bridget Jones's Diary"
"Brother to Brother","Rodney Evans","Anthony Mackie, Roger Robinson","Drama",""
"The Butterfly Effect","Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, Elden Henson, William Lee Scott, Melora Walters, Eric Stoltz, Ethan Suplee, Logan Lerman","Science fiction, thriller",""
"Catch That Kid","Bart Freundlich","Kristen Stewart, Corbin Bleu, Max Thieriot","Crime, family","based on Klatretøsen"
"Catwoman","Pitof","Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson, Frances Conroy, Alex Borstein","Superhero","winner of 4 Razzie Awards including Worst Picture"
"Cellular","David R. Ellis","Kim Basinger, Chris Evans, Jason Statham, William H. Macy","Crime, thriller",""
"Celsius 41.11","Kevin Knoblock","Rebuttal of Fahrenheit 9/11","Documentary",""
"Chasing Liberty","Andy Cadiff","Mandy Moore, Matthew Goode, Mark Harmon","Comedy",""
"Christmas with the Kranks","Joe Roth","Tim Allen, Jamie Lee Curtis","Comedy","based on Skipping Christmas by John Grisham"
"The Chronicles of Riddick","David N. Twohy","Vin Diesel, Karl Urban, Thandie Newton, Colm Feore, Judi Dench","Science fiction","preceded by Pitch Black"
"A Cinderella Story","Mark Rosman","Hilary Duff, Chad Michael Murray, Jennifer Coolidge","Comedy","based on Cinderella"
"The Clearing","Pieter Jan Brugge","Robert Redford, Helen Mirren, Willem Dafoe","Crime drama",""
"Clifford's Really Big Movie","Robert Ramirez","John Ritter","Animation","based on Clifford the Big Red Dog by Norman Bridwell"
"Closer","Mike Nichols","Julia Roberts, Jude Law, Natalie Portman, Clive Owen","Drama","Based on Closer by Patrick Marber"
"Cloud Cuckoo Land","Matt Dickinson","Derek Jacobi","Drama",""
"Club Dread","Jay Chandrasekhar","Bill Paxton, Kevin Heffernan, Brittany Daniel, Steve Lemme","Comedy",""
"Collateral","Michael Mann","Tom Cruise, Jamie Foxx, Jada Pinkett Smith","Crime drama",""
"Communication Breakdown","Richard O'Sullivan","Dan Lashley, William V. Repoley","Comedy",""
"Confessions of a Teenage Drama Queen","Sara Sugarman","Lindsay Lohan","Comedy",""
"Connie and Carla","Michael Lembeck","Nia Vardalos, Toni Collette","Comedy",""
"Control Room","Jehane Noujaim","Al Jazeera and its relations with the United States Central Command","Documentary",""
"The Cookout","Lance Rivera","Tim Meadows, Ja Rule, Eve","Comedy",""
