"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The Hunger Games: Mockingjay – Part 1","Francis Lawrence","Josh Hutcherson Jennifer Lawrence Liam Hemsworth Donald Sutherland","Adventure","Lions Gate Entertainment Based on the novel Mockingjay by Suzanne Collins Sequel to The Hunger Games: Catching Fire (2013)"
"Horrible Bosses 2","Sean Anders","Jason Bateman Charlie Day Jennifer Aniston Jason Sudeikis Jamie Foxx","Comedy","Warner Bros. Sequel to Horrible Bosses (2011)"
"Penguins of Madagascar","Eric Darnell","Tom McGrath John DiMaggio Christopher Knights","Animated","20th Century Fox Spin-off of Madagascar"
"Comet","Sam Esmail","Emmy Rossum Justin Long Eric Winter Kayla Servi","Comedy-drama","IFC Films"
"Wild","Jean-Marc Vallée","Reese Witherspoon Laura Dern Thomas Sadoski Michiel Huisman","Biography","20th Century Fox Based on the novel Wild: From Lost to Found on the Pacific Crest Trail by Cheryl Strayed"
"Exodus: Gods and Kings","Ridley Scott","Christian Bale Joel Edgerton Aaron Paul John Turturro","Drama","20th Century Fox"
"Inherent Vice","Paul Thomas Anderson","Joaquin Phoenix Owen Wilson Reese Witherspoon Benicio del Toro","Comedy drama","Warner Bros. Based on the novel of the same name by Thomas Pynchon"
"The Color of Time","Various","James Franco Henry Hopper Mila Kunis Zach Braff","Drama","Starz Digital"
"Top Five","Chris Rock","Chris Rock Rosario Dawson Kevin Hart Gabrielle Union","Comedy","Paramount Pictures"
"Goodbye To All That","Angus MacLachlan","Paul Schneider Melanie Lynskey Anna Camp","Comedy","IFC Films"
"Annie","Will Gluck","Jamie Foxx Quvenzhané Wallis Rose Byrne Bobby Cannavale","Comedy-drama","Columbia Pictures Remake of the musical of the same name"
"Night at the Museum: Secret of the Tomb","Shawn Levy","Ben Stiller Robin Williams Owen Wilson Ben Kingsley","Comedy","20th Century Fox Sequel to Night at the Museum: Battle of the Smithsonian (2009)"
"Big Eyes","Tim Burton","Amy Adams Christoph Waltz Danny Huston Terence Stamp","Drama","The Weinstein Company"
"The Interview","Evan Goldberg","James Franco Seth Rogen Lizzy Caplan Randall Park","Action comedy","Columbia Pictures"
"Into the Woods","Rob Marshall","Meryl Streep Emily Blunt James Corden Anna Kendrick","Fantasy","Walt Disney Pictures Based on the musical of the same name by James Lapine"
"Unbroken","Angelina Jolie","Miyavi Garrett Hedlund Jai Courtney Luke Treadaway","Drama","Universal Pictures Based on the novel of the same name by Laura Hillenbrand"
