"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The Single Moms Club","Tyler Perry","Nia Long Amy Smart Cocoa Brown Wendi McLendon-Covey","Drama","Lions Gate Entertainment"
"Veronica Mars","Rob Thomas","Kristen Bell Jason Dohring Krysten Ritter Ryan Hansen","Comedy drama","Warner Bros. Based on the television series of the same name"
"Cheap Thrills (film)","E. L. Katz","Pat Healy Ethan Embry David Koechner Sara Paxton","Comedy","Drafthouse Films"
"Divergent","Neil Burger","Shailene Woodley Theo James Ashley Judd Jai Courtney Zoë Kravitz","Science fiction","Lions Gate Entertainment Based on the novel of the same name by Veronica Roth"
"God's Not Dead","Harold Cronk","Kevin Sorbo Shane Harper David A. R. White Dean Cain","Christian","Pure Flix Entertainment Based on the novel God's Not Dead: Evidence For God In An Age Of Uncertainty by Rice Broocks"
"Muppets Most Wanted","James Bobin","Ricky Gervais Ty Burrell Steve Whitmire Tina Fey","Comedy","Walt Disney Pictures Sequel to The Muppets (2011)"
"50 to 1","Jim Wilson","Christian Kane William Devane Skeet Ulrich","Drama","Ten Furlongs"
"Noah","Darren Aronofsky","Russell Crowe Emma Watson Logan Lerman Anthony Hopkins","Biblical","Paramount Pictures Based on the story of the same name"
"Sabotage","David Ayer","Arnold Schwarzenegger Terrence Howard Sam Worthington Olivia Williams","Action","Open Road Films"
"The Ladies of the House","John Stuart Wildman","Michelle Sinclair Melodie Sisk Samrat Chakrabarti","Horror","Gravitas Ventures"
"Alien Abduction","Matty Beckerman","Katherine Sigismund Corey Eid Riley Polanski Jeff Bowser","Horror","IFC Midnight"
"Captain America: The Winter Soldier","Russo Brothers","Chris Evans Scarlett Johansson Sebastian Stan Anthony Mackie","Superhero","Walt Disney Sequel to Captain America: The First Avenger (2013)"
"In the Blood","John Stockwell","Gina Carano Cam Gigandet Danny Trejo","Action","Anchor Bay Films"
"Jinn","Ajmal Zaheer Ahmad","Dominic Rains Serinda Swan Ray Park William Atherton","Thriller","Freestyle Releasing"
"Draft Day","Ivan Reitman","Kevin Costner Jennifer Garner Denis Leary Frank Langella","Drama","Summit Entertainment"
"Oculus","Mike Flanagan","Karen Gillan Brenton Thwaites Rory Cochrane","Horror","Relativity Media Based on the short film Oculus: Chapter 3 - The Man with the Plan"
"Rio 2","Carlos Saldanha","Jesse Eisenberg Anne Hathaway Jamie Foxx Leslie Mann","Animated","20th Century Fox Sequel to Rio (2011)"
"Asian School Girls","Lawrence Silverstein","Sam Aotaki Catherine Hyein Kim Minnie Scarlet Belle Hengsathorn","Action","The Asylum"
"Heaven Is for Real","Randall Wallace","Connor Corum Greg Kinnear Kelly Reilly Lance Styles","Christian","TriStar Pictures Based on the novel of the same name by Todd Burpo"
"Authors Anonymous","Ellie Kanner","Kaley Cuoco Chris Klein Jonathan Banks Tricia Helfer","Comedy","Screen Media Films"
"A Haunted House 2","Michael Tiddes","Marlon Wayans Jaime Pressly Essence Atkins","Black comedy","Open Road Films Sequel to A Haunted House (2013)"
"Kid Cannabis","John Stockwell","Jonathan Daniel Brown Kenny Wormald Amanda Tapping Aaron Yoo","Comedy-drama","Well Go USA Entertainment"
"Transcendence","Wally Pfister","Johnny Depp Morgan Freeman Rebecca Hall","Science fiction","Warner Bros."
"13 Sins","Daniel Stamm","Devon Graye Mark Webber Ron Perlman","Horror","Dimension Films Remake of 13 Beloved (2006)"
"Brick Mansions","Camille Delamarre","Paul Walker David Belle RZA Catalina Denis","Action","Relativity Media Remake of the French film District 13 (2004)"
"The Other Woman","Nick Cassavetes","Cameron Diaz Leslie Mann Kate Upton Nicki Minaj","Romantic comedy","20th Century Fox"
"Walking with the Enemy","Mark Schmidt","Jonas Armstrong Ben Kingsley Hannah Tointon Simon Kunz","Drama","Liberty Studios"
"The Amazing Spider-Man 2","Marc Webb","Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan","Action","Columbia Pictures Sequel to The Amazing Spider-Man (2012)"
"Bad Johnson","Huck Botko","Cam Gigandet Nick Thune Jamie Chung Katherine Cunningham","Comedy","Gravitas Ventures"
"Decoding Annie Parker","Steven Bernstein","Samantha Morton Helen Hunt Aaron Paul","Drama","Entertainment One Films"
"Walk of Shame","Steven Brill","Elizabeth Banks James Marsden Gillian Jacobs Oliver Hudson","Comedy","Focus Features"
"Devil's Knot","Atom Egoyan","Colin Firth Reese Witherspoon Kevin Durand Dane DeHaan","Thriller","Image Entertainment Based on the novel of the same name by Mara Leveritt"
"God's Pocket","John Slattery","Philip Seymour Hoffman Richard Jenkins Christina Hendricks Caleb Landry Jones","Drama","IFC Films Based on the novel of the same name by Pete Dexter"
"'Moms' Night Out","Andrew Erwin","Sarah Drew Sean Astin Patricia Heaton","Comedy","TriStar Pictures"
"Neighbors","Nicholas Stoller","Seth Rogen Zac Efron Rose Byrne Dave Franco","Comedy","Universal Pictures"
"Stage Fright","Jerome Sable","Allie MacDonald Minnie Driver Meat Loaf Brandon Uranowitz","Horror","Magnolia Pictures"
"Godzilla","Gareth Edwards","Aaron Taylor-Johnson Ken Watanabe Elizabeth Olsen Sally Hawkins","Science fiction","Warner Bros. Reboot of the original film"
"Million Dollar Arm","Craig Gillespie","Jon Hamm Aasif Mandvi Madhur Mittal Lake Bell","Drama","Walt Disney Pictures"
"The Angriest Man in Brooklyn","Phil Alden Robinson","Peter Dinklage Robin Williams Mila Kunis James Earl Jones","Comedy-drama","Lions Gate Entertainment Remake of the 1997 film The 92 Minutes of Mr. Baum"
"Blended","Frank Coraci","Adam Sandler Drew Barrymore Bella Thorne Emma Fuhrmann","Romantic comedy","Warner Bros."
"Cold in July","Jim Mickle","Michael C. Hall Sam Shepard Don Johnson Vinessa Shaw","Crime drama","IFC Films Based on the novel of the same name by Joe R. Lansdale"
"X-Men: Days of Future Past","Bryan Singer","Hugh Jackman James McAvoy Michael Fassbender Halle Berry","Superhero","20th Century Fox Based on the comic of the same name Sequel to X-Men: First Class (2011)"
"Maleficent","Robert Stromberg","Angelina Jolie Elle Fanning Sharlto Copley Sam Riley","Fantasy","Walt Disney Pictures"
"A Million Ways to Die in the West","Seth MacFarlane","Seth MacFarlane Charlize Theron Amanda Seyfried Neil Patrick Harris","Comedy","Universal Pictures"
"Edge of Tomorrow","Doug Liman","Tom Cruise Emily Blunt Bill Paxton","Action","Warner Bros. Based on the novel All You Need Is Kill by Hiroshi Sakurazaka"
"The Fault in Our Stars","Josh Boone","Shailene Woodley Ansel Elgort Nat Wolff Laura Dern","Drama","20th Century Fox Based on the novel The Fault in Our Stars by John Green"
"Ping Pong Summer","Michael Tully","Susan Sarandon John Hannah Lea Thompson Amy Sedaris","Comedy","Millennium Entertainment"
"22 Jump Street","Phil Lord and Christopher Miller","Channing Tatum Jonah Hill Ice Cube Peter Stormare Dave Franco","Action Comedy","Columbia Pictures Sequel to 21 Jump Street (2012) Based on the television series of the same"
"Hellion","Kat Candler","Aaron Paul Juliette Lewis Josh Wiggins Deke Garner","Drama","IFC Films"
"How to Train Your Dragon 2","Dean DeBlois","Jay Baruchel Cate Blanchett Gerard Butler Jonah Hill","Fantasy","20th Century Fox Based on the book series of the same name Sequel to How to Train Your Dragon (2010)"
"Lullaby","Andrew Levitas","Amy Adams Garrett Hedlund Terrence Howard","Drama","ARC Entertainment"
"Murder 101","Michael Phillip Edwards","Tom Sizemore Paige LaPierre Randy Irwin Jamison Haase","Horror","Upper Laventille Productions"
"Obvious Child","Gillian Robespierre","Jenny Slate Jake Lacy Gaby Hoffmann David Cross","Romantic comedy","A24 Films Based on the short film of the same name (2009)"
"The Signal","William Eubank","Brenton Thwaites Laurence Fishburne Olivia Cooke Beau Knapp","Thriller","Focus Features"
"Jersey Boys","Clint Eastwood","John Lloyd Young Erich Bergen Vincent Piazza Christopher Walken","Musical","Warner Bros. Based on the musical group The Four Seasons"
