"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Freddy's Dead: The Final Nightmare","Rachel Talalay","Robert Englund, Lisa Zane","Horror","preceded by A Nightmare on Elm Street 5: The Dream Child"
"Fried Green Tomatoes","Jon Avnet","Kathy Bates, Mary Stuart Masterson, Mary-Louise Parker, Jessica Tandy","Comedy","from Fannie Flagg novel"
"Grand Canyon","Lawrence Kasdan","Kevin Kline, Danny Glover, Alfre Woodard, Steve Martin, Mary-Louise Parker, Mary McDonnell","Drama","Fox"
"Guilty by Suspicion","Irwin Winkler","Robert De Niro, Annette Bening, Patricia Wettig, Sam Wanamaker, George Wendt","Drama","Warner Bros."
"Hangin' with the Homeboys","Joseph Vasquez","John Leguizamo, Mario Joyner, Doug E. Doug","Comedy",""
"Hard Promises","Martin Davidson","Sissy Spacek, William Petersen","Drama","Columbia"
"The Hard Way","John Badham","Michael J. Fox, James Woods, Stephen Lang, Annabella Sciorra, Delroy Lindo, Luis Guzman, Penny Marshall","Comedy","Universal"
"Harley Davidson and the Marlboro Man","Simon Wincer","Mickey Rourke, Don Johnson, Tom Sizemore, Daniel Baldwin, Chelsea Field, Vanessa L. Williams, Giancarlo Esposito, Tia Carrere","Action","MGM"
"He Said, She Said","Ken Kwapis","Kevin Bacon, Elizabeth Perkins, Nathan Lane, Sharon Stone","Comedy","Paramount"
"Hear My Song","Peter Chelsom","Adrian Dunbar, David McCallum, Ned Beatty","Comedy",""
"Hearts of Darkness: A Filmmaker's Apocalypse","George Hickenlooper, Eleanor Coppola","Eleanor Coppola (narrator)","Documentary","on filming of Francis Coppola's Apocalypse Now"
"The Heroes of Desert Storm","","","",""
"Highlander II: The Quickening","Russell Mulcahy","Christopher Lambert, Virginia Madsen, Sean Connery, Michael Ironside","Science fiction","sequel to Highlander"
"Highway 61","Bruce McDonald","Valerie Buhagiar","Drama",""
"The Hitman","Aaron Norris","Chuck Norris, Michael Parks","Action","Cannon"
"Homicide","David Mamet","Joe Mantegna, William H. Macy, Ving Rhames","Drama",""
"Hook","Steven Spielberg","Robin Williams, Dustin Hoffman, Julia Roberts, Bob Hoskins, Charlie Korsmo, Maggie Smith, Amber Scott, Caroline Goodall, Dante Basco","Adventure","based on Peter Pan"
"Hot Shots!","Jim Abrahams","Charlie Sheen, Cary Elwes, Valeria Golino, Jon Cryer, Lloyd Bridges","Comedy",""
"The Hours and Times","Christopher Münch","David Angus, Ian Hart","Drama",""
"House Party 2","","","Comedy","sequel"
"Hudson Hawk","Michael Lehmann","Bruce Willis, Danny Aiello, Andie MacDowell, James Coburn, Sandra Bernhard, Richard E. Grant, David Caruso","Comedy","won 3 Razzie awards"
"If Looks Could Kill","William Dear","Richard Grieco, Linda Hunt, Roger Rees, Gabrielle Anwar, Roger Daltrey","Comedy","Warner Bros."
"The Indian Runner","Sean Penn","Viggo Mortensen, David Morse, Valeria Golino, Patricia Arquette, Charles Bronson","Drama","MGM"
"The Inner Circle","Andrei Konchalovsky","Tom Hulce, Lolita Davidovich, Bob Hoskins","Drama","Columbia"
"JFK","Oliver Stone","Kevin Costner, Tommy Lee Jones, Gary Oldman, Joe Pesci, Kevin Bacon, Sissy Spacek, Donald Sutherland, Laurie Metcalf, John Candy, Ed Asner, Michael Rooker, Jack Lemmon, Walter Matthau","Drama, Biography","on Kennedy assassination; 8 Oscar nominations"
"Johnny Suede","Tom DiCillo","Brad Pitt, Catherine Keener","Comedy",""
"Jungle Fever","Spike Lee","Wesley Snipes, Annabella Sciorra, Spike Lee, Anthony Quinn, John Turturro, Samuel L. Jackson, Ossie Davis, Ruby Dee, Halle Berry","Drama","Universal"
"Kafka","Steven Soderbergh","Jeremy Irons, Alec Guinness, Theresa Russell, Ian Holm","Mystery",""
"King Ralph","David S. Ward","John Goodman, Peter O'Toole, John Hurt","Comedy","Universal"
"A Kiss Before Dying","James Dearden","Matt Dillon, Sean Young, Max von Sydow, Diane Ladd, James Russo","Thriller","remake of 1956 film"
"L.A. Story","Mick Jackson","Steve Martin, Victoria Tennant, Marilu Henner, Richard E. Grant, Sarah Jessica Parker","Comedy","TriStar"
"The Last Boy Scout","Tony Scott","Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry","Action","Warner Bros."
"Liebestraum","Mike Figgis","Bill Pullman, Kevin Anderson, Kim Novak","Drama","Novak's final film"
"Life Stinks","Mel Brooks","Mel Brooks, Lesley Ann Warren, Howard Morris, Jeffrey Tambor","Comedy","MGM"
"The Linguini Incident","Richard Shepard","David Bowie, Rosanna Arquette","",""
"Little Man Tate","Jodie Foster","Jodie Foster, Dianne Wiest, Harry Connick, Jr., Adam Hann-Byrd","Drama","Orion"
"Love Hurts","Bud Yorkin","Jeff Daniels, Judith Ivey, Cloris Leachman","Drama","Vestron"
"Madonna: Truth or Dare","Alek Keshishian","Madonna","Documentary",""
"The Man in the Moon","Robert Mulligan","Reese Witherspoon, Jason London, Sam Waterston, Tess Harper","Drama","Witherspoon film debut"
"The Marrying Man","Jerry Rees","Alec Baldwin, Kim Basinger, Elisabeth Shue, Paul Reiser, Fisher Stevens, Robert Loggia","Comedy","written by Neil Simon"
"McBain","James Glickenhaus","Christopher Walken, María Conchita Alonso, Michael Ironside","Drama",""
"Meet the Applegates","Michael Lehmann","Ed Begley, Jr., Stockard Channing, Dabney Coleman","Comedy","New World"
"Men of Respect","William C. Reilly","John Turturro, Rod Steiger, Dennis Farina, Stanley Tucci, Peter Boyle","Crime drama","based on Macbeth"
"Mississippi Masala","Mira Nair","Denzel Washington","Drama",""
"Mobsters","Michael Karbelnikoff","Christian Slater, Patrick Dempsey, Richard Grieco, Costas Mandylor, Michael Gambon, Lara Flynn Boyle, Chris Penn, F. Murray Abraham, Anthony Quinn","Crime drama","Universal"
"Mortal Thoughts","Alan Rudolph","Demi Moore, Glenne Headly, Harvey Keitel, Bruce Willis","Suspense","Columbia"
"My Girl","Howard Zieff","Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky","Comedy, Drama","Columbia"
"My Own Private Idaho","Gus Van Sant","Keanu Reeves, River Phoenix","Avant-garde",""
"Mystery Date","Jonathan Wacks","Ethan Hawke, Teri Polo","Comedy",""
"The Naked Gun 2½: The Smell of Fear","David Zucker","Leslie Nielsen, Priscilla Presley, George Kennedy, O. J. Simpson, Robert Goulet","Comedy","sequel"
"Naked Lunch","David Cronenberg","Peter Weller, Judy Davis, Roy Scheider","Drama","book by William Burroughs"
"Necessary Roughness","Stan Dragoti","Scott Bakula, Héctor Elizondo, Sinbad, Kathy Ireland, Harley Jane Kozak","Comedy",""
"New Jack City","Mario Van Peebles","Wesley Snipes, Ice-T, Mario Van Peebles, Chris Rock, Judd Nelson","Crime drama","Warner Bros."
"Night on Earth","Jim Jarmusch","Winona Ryder, Gena Rowlands, Roberto Benigni","Comedy",""
"Not Without My Daughter","Brian Gilbert","Sally Field, Alfred Molina","Drama","story of Betty Mahmoody"
"Nothing but Trouble","Dan Aykroyd","Chevy Chase, Demi Moore, John Candy, Dan Aykroyd","Comedy","6 Razzie nominations"
"The Object of Beauty","Michael Lindsay-Hogg","John Malkovich, Andie MacDowell, Lolita Davidovich","Crime comedy",""
"Once Around","Lasse Hallström","Richard Dreyfuss, Holly Hunter, Danny Aiello, Gena Rowlands, Laura San Giacomo","Rom Com","Universal"
"One Good Cop","Heywood Gould","Michael Keaton, Rene Russo, Anthony LaPaglia, Benjamin Bratt","Crime",""
"Only the Lonely","Chris Columbus","John Candy, Maureen O'Hara, Ally Sheedy, Anthony Quinn, James Belushi","Comedy","Fox"
"Oscar","John Landis","Sylvester Stallone, Ornella Muti, Peter Riegert, Vincent Spano, Marisa Tomei, Tim Curry","Comedy","Buena Vista"
"Other People's Money","Norman Jewison","Danny DeVito, Gregory Peck, Penelope Ann Miller, Piper Laurie, Dean Jones","Drama, Comedy","based on a play by Jerry Sterner"
"Out for Justice","John Flynn","Steven Seagal, William Forsythe, Jerry Orbach","Action",""
"Paradise","MaryAgnes Donoghue","Melanie Griffith, Don Johnson, Elijah Wood, Thora Birch","Drama",""
"Paris Trout","Stephen Gyllenhaal","Dennis Hopper, Barbara Hershey, Ed Harris","Drama","from Pete Dexter book"
"Pastime","Robin B. Armstrong","William Russ, Glenn Plummer, Jeffrey Tambor","Sports drama",""
"The People Under the Stairs","Wes Craven","Everett McGill, Ving Rhames, Brandon Adams","Horror",""
"Perfect Harmony","Will Mackenzie","","",""
"The Perfect Weapon","","Jeff Speakman, Mako, Mariska Hargitay","Action",""
"Point Break","Kathryn Bigelow","Patrick Swayze, Keanu Reeves, Lori Petty, Gary Busey","Action",""
"Poison","Todd Haynes","","Drama",""
"The Prince of Tides","Barbra Streisand","Nick Nolte, Barbra Streisand, Blythe Danner, Melinda Dillon, Kate Nelligan, George Carlin","Drama","based on a novel by Pat Conroy"
"Problem Child 2","Brian Levant","John Ritter, Michael Oliver, Amy Yasbeck, Jack Warden, Laraine Newman, Ivyann Schwan, Gilbert Gottfried","Comedy","preceded by Problem Child"
"Puppet Master II","David W. Allen","Elizabeth Maclellan, Collin Bernsen","Horror",""
"Puppet Master III: Toulon's Revenge","David DeCoteau","Guy Rolfe, Sarah Douglas, Walter Gotell","Horror",""
"Pure Luck","Nadia Tass","Martin Short, Danny Glover, Sheila Kelly","Comedy",""
"A Rage in Harlem","Bill Duke","Forest Whitaker, Gregory Hines, Robin Givens","Drama",""
"Rambling Rose","Martha Coolidge","Laura Dern, Diane Ladd, Robert Duvall, Lukas Haas","Drama",""
"The Rapture","Michael Tolkin","Mimi Rogers, David Duchovny, Will Patton","Drama",""
"Regarding Henry","Mike Nichols","Harrison Ford, Annette Bening, Donald Moffat, Bill Nunn","Drama","written by J. J. Abrams"
"Return to the Blue Lagoon","William A. Graham","Milla Jovovich, Brian Krause","Adventure","sequel to The Blue Lagoon; 5 Razzie nominations"
"Ricochet","Russell Mulcahy","Denzel Washington, John Lithgow, Lindsay Wagner","Thriller",""
"Road to Ruin","Charlotte Brandon","Peter Weller, Carey Lowell","Comedy",""
"Robin Hood: Prince of Thieves","Kevin Reynolds","Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Alan Rickman, Christian Slater","Adventure","remake of The Adventures of Robin Hood"
"The Rocketeer","Joe Johnston","Billy Campbell, Jennifer Connelly, Timothy Dalton, Alan Arkin, Paul Sorvino","Action",""
"Rover Dangerfield","James L. George","Rodney Dangerfield, Ronnie Schell","Animated",""
"Run","Geoff Burrowes","Patrick Dempsey, Kelly Preston","Action",""
"Rush","Lili Fini Zanuck","Jason Patric, Jennifer Jason Leigh, Sam Elliott","Drama",""
"Scenes from a Mall","Paul Mazursky","Woody Allen, Bette Midler","Comedy",""
"Scissors","Frank de Felitta","Sharon Stone, Ronny Cox, Steve Railsback","Thriller",""
"Scorchers","David Beaird","Faye Dunaway, James Earl Jones, Emily Lloyd, Jennifer Tilly","Drama",""
"The Search for Signs of Intelligent Life in the Universe","John Bailey","Lily Tomlin","Comedy","Performance"
"Sgt. Kabukiman N.Y.P.D.","","","",""
"Shadows and Fog","Woody Allen","Woody Allen, John Cusack, Mia Farrow, Jodie Foster, Kathy Bates, John Malkovich, Madonna, Lily Tomlin","Comedy",""
"Shattered","Wolfgang Petersen","Tom Berenger, Greta Scacchi, Bob Hoskins, Joanne Whalley, Corbin Bernsen","Suspense",""
"Shout","","Jamie Walters, Heather Graham, Linda Fiorentino, John Travolta","Drama",""
"Showdown in Little Tokyo","Mark L. Lester","Dolph Lundgren, Brandon Lee","Action",""
"The Silence of the Lambs","Jonathan Demme","Anthony Hopkins, Jodie Foster, Scott Glenn, Ted Levine, Frankie Faison, Anthony Heald, Kasi Lemmons, Diane Baker, Brooke Smith","Thriller","5 Academy Awards; based on a novel by Thomas Harris"
"Slacker","Richard Linklater","","Experimental",""
"Sleeping with the Enemy","Joseph Ruben","Julia Roberts, Patrick Bergin, Kevin Anderson","Thriller",""
"Soapdish","Michael Hoffman","Sally Field, Kevin Kline, Robert Downey, Jr., Elisabeth Shue, Cathy Moriarty, Whoopi Goldberg, Kathy Najimy, Carrie Fisher, Teri Hatcher","Comedy",""
"Sometimes They Come Back","Tom McLoughlin","Tim Matheson, Brooke Adams","Science fiction","based on a story by Stephen King"
"Star Trek VI: The Undiscovered Country","Nicholas Meyer","William Shatner, Leonard Nimoy, Christopher Plummer, Kim Cattrall, David Warner, Iman, Brock Peters, DeForest Kelley, Nichelle Nichols","Sci-fi","preceded by Star Trek V: The Final Frontier"
"Stepping Out","","Liza Minnelli, Julie Walters, Jane Krakowski, Bill Irwin, Ellen Greene, Shelley Winters, Sheila McCarthy, Andrea Martin, Carol Woods","Drama, Musical","based on a play by Richard Harris"
"Stone Cold","Craig Baxley","Brian Bosworth, William Forsythe","Action",""
"Straight Out of Brooklyn","Matty Rich","Larry Gilliard, Jr., Matty Rich","Drama",""
"Strictly Business","Kevin Hooks","Tommy Davidson, Joseph C. Phillips, Halle Berry, Anne-Marie Johnson","Comedy",""
"Suburban Commando","Burt Kennedy","Hulk Hogan, Christopher Lloyd, Shelley Duvall","Science fiction comedy",""
"The Super","Rod Daniel","Joe Pesci, Vincent Gardenia, Rubén Blades","Comedy",""
"Switch","Blake Edwards","Ellen Barkin, Bruce Payne, Jimmy Smits, JoBeth Williams","Comedy",""
"The Taking of Beverly Hills","Sidney J. Furie","Ken Wahl, Harley Jane Kozak","Action",""
"Talent for the Game","Robert M. Young","Edward James Olmos, Lorraine Bracco","Sports"
"Talkin' Dirty After Dark","Topper Carew","Martin Lawrence, Mark Curry","Comedy",""
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Michael Pressman","Paige Turco, David Warner, Ernie Reyes, Jr.","Action comedy, Family","preceded by Teenage Mutant Ninja Turtles"
"Terminator 2: Judgment Day","James Cameron","Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, Edward Furlong","Science fiction","preceded by The Terminator"
"Thelma & Louise","Ridley Scott","Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen, Brad Pitt, Christopher McDonald, Stephen Tobolowsky","Drama","6 Oscar nominations"
"Together Alone","P.J. Castellaneta","Terry Curry, Todd Stites","Drama",""
"Toy Soldiers","Daniel Petrie, Jr.","Sean Astin, Wil Wheaton, Louis Gossett, Jr., Denholm Elliott","Thriller",""
"Triple Bogey on a Par Five Hole","Amos Poe","Eric Mitchell and Daisy Hall","Crime comedy",""
"True Colors","Herbert Ross","John Cusack, James Spader, Richard Widmark","Drama","Widmark's final film"
"True Identity","Charles Lane","Frank Langella, Lenny Henry","",""
"Two Evil Eyes","Dario Argento, George A. Romero","Harvey Keitel, E. G. Marshall, Martin Balsam, Adrienne Barbeau","Horror",""
"Victim of Love","Jerry London","Pierce Brosnan, JoBeth Williams, Virginia Madsen","Thriller",""
"What About Bob?","Frank Oz","Bill Murray, Richard Dreyfuss, Julie Hagerty, Charlie Korsmo, Kathryn Erbe","Comedy",""
"White Fang","Randal Kleiser","Ethan Hawke, Klaus Maria Brandauer","Drama",""
"Whore","Ken Russell","Theresa Russell","Drama",""
"Wild Hearts Can't Be Broken","Steve Miner","Gabrielle Anwar, Michael Schoeffling, Cliff Robertson","Drama",""
"Year of the Gun","John Frankenheimer","Andrew McCarthy, Sharon Stone, Valeria Golino","Thriller",""
