"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"29th Street","George Gallo","Danny Aiello, Anthony LaPaglia","Drama","Fox"
"Across the Tracks","Sandy Tung","Rick Schroder, Brad Pitt, Carrie Snodgress","Drama",""
"The Addams Family","Barry Sonnenfeld","Anjelica Huston, Raúl Juliá, Christopher Lloyd, Christina Ricci, Dan Hedaya","Comedy","Charles Addams characters"
"All I Want for Christmas","Robert Lieberman","Harley Jane Kozak, Thora Birch, Ethan Embry, Jamey Sheridan, Leslie Nielsen","Comedy","Paramount"
"An American Tail: Fievel Goes West","","James Stewart, John Cleese, Amy Irving (voices)","Animated","sequel to An American Tail"
"And the Sea Will Tell","","Rachel Ward, James Brolin, Richard Crenna, Deidre Hall","Drama","made for TV"
"Another You","Maurice Phillips","Richard Pryor, Gene Wilder, Mercedes Ruehl, Vanessa L. Williams","Comedy","Pryor-Wilder final pairing"
"At Play in the Fields of the Lord","Héctor Babenco","Tom Berenger, Aidan Quinn, Daryl Hannah, John Lithgow, Kathy Bates, Tom Waits","Drama","from Peter Matthiessen novel"
"Backdraft","Ron Howard","Kurt Russell, William Baldwin, Robert De Niro, Scott Glenn, Donald Sutherland, Jennifer Jason Leigh, Rebecca De Mornay","Drama","3 Oscar nominations"
"Barton Fink","Coen brothers","John Turturro, John Goodman, John Mahoney, Judy Davis, Michael Lerner, Steve Buscemi","Drama","Palme d'Or winner"
"Beauty and the Beast","Gary Trousdale, Kirk Wise","Robby Benson, Paige O'Hara, Jerry Orbach, Angela Lansbury (voices)","Animated","6 Oscar nominations"
"Bill & Ted's Bogus Journey","Peter Hewitt","Keanu Reeves, Alex Winter, Joss Ackland, Pam Grier, George Carlin","Comedy","sequel to Bill & Ted's Excellent Adventure"
"Billy Bathgate","Robert Benton","Dustin Hoffman, Bruce Willis, Nicole Kidman, Steven Hill, Loren Dean","Drama","novel by E. L. Doctorow"
"Bingo","Matthew Robbins","Cindy Williams, David Rasche","Family","TriStar"
"Blue Desert","Bradley Battersby","Courteney Cox, D. B. Sweeney","Thriller",""
"Body Parts","Eric Red","Jeff Fahey, Kim Delaney","Horror","from Boileau-Narcejac story"
"The Boneyard","James Cummins","Ed Nelson, Norman Fell","Horror","direct to video"
"The Borrower","John McNaughton","Rae Dawn Chong","Horror","Cannon"
"Boyz n the Hood","John Singleton","Ice Cube, Cuba Gooding, Jr., Morris Chestnut, Laurence Fishburne, Angela Bassett, Nia Long","Drama","2 Oscar nominations"
"Breathing Fire","Lou Kennedy","Jonathan Quan","Martial arts",""
"Bride of Re-Animator","Brian Yuzna","Bruce Abbott","Horror","sequel to Re-Animator"
"A Brief History of Time","Errol Morris","","Documentary",""
"Brother Future","Ray Capanella II","Phill Lewis, Moses Gunn","Sci-fi",""
"Bugsy","Barry Levinson","Warren Beatty, Annette Bening, Ben Kingsley, Harvey Keitel, Joe Mantegna, Elliott Gould, Wendy Phillips, Bebe Neuwirth, Bill Graham","Drama, Biography","11 Oscar nominations; story of Bugsy Siegel"
"The Butcher's Wife","Terry Hughes","Demi Moore, Jeff Daniels","Comedy","Paramount"
"By the Sword","Jeremy Paul Kagan","F. Murray Abraham, Eric Roberts, Mia Sara","Action",""
"Cape Fear","Martin Scorsese","Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Robert Mitchum, Gregory Peck, Joe Don Baker, Fred Dalton Thompson, Illeana Douglas","Thriller","remake of 1962 film; nominated for 2 Oscars"
"Captain America","Albert Pyun","Matt Salinger, Ronny Cox, Ned Beatty","Action","from Marvel comic"
"Career Opportunities","Bryan Gordon","Jennifer Connelly, Frank Whaley","Comedy","John Hughes script"
"Children of the Night","Tony Randel","Ami Dolenz, Karen Black","Horror",""
"Child's Play 3","Jack Bender","Brad Dourif, Justin Whalin, Perrey Reeves","Horror","sequel"
"Chopper Chicks in Zombietown","Dan Hoskins","Vicki Frederick, Billy Bob Thornton","Comedy, Horror",""
"Chuck Amuck: The Movie","","Chuck Jones","Documentary",""
"City of Hope","John Sayles","Vincent Spano, Chris Cooper, Joe Morton, Angela Bassett","Drama",""
"City Slickers","Ron Underwood","Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig, Helen Slater, Jack Palance","Comedy","Oscar for Palance"
"Class Action","Michael Apted","Gene Hackman, Mary Elizabeth Mastrantonio","Drama","Fox"
"Class of Nuke 'Em High II: Subhumanoid Meltdown","Eric Louzil, Donald Jackson","Lisa Gaye","Horror","sequel to Class of Nuke 'Em High"
"Closet Land","Radha Bharadwaj","Madeleine Stowe, Alan Rickman","Drama","Universal"
"Cold Heaven","Nicolas Roeg","Theresa Russell, Mark Harmon, James Russo","Drama",""
"The Commitments","Alan Parker","Colm Meaney, Robert Arkins","Musical","from Roddy Doyle book"
"Company Business","Nicholas Meyer","Gene Hackman, Mikhail Baryshnikov","Spy","MGM"
"Cool as Ice","David Kellogg","Vanilla Ice, Kristin Minter, Michael Gross, Candy Clark, John Haymes Newton, Naomi Campbell","Drama","7 Razzie nominations"
"Curly Sue","John Hughes","Alisan Porter, James Belushi, Kelly Lynch, John Getz, Fred Dalton Thompson","Comedy","Hughes's final film"
"The Dark Backward","Adam Rifkin","Judd Nelson, Bill Paxton, Wayne Newton, Lara Flynn Boyle","Comedy",""
"The Dark Wind","Errol Morris","Lou Diamond Phillips, Fred Ward","Crime",""
"Daughters of the Dust","Julie Dash","","Drama",""
"Dead Again","Kenneth Branagh","Kenneth Branagh, Andy García, Emma Thompson, Robin Williams","Thriller","Paramount"
"Deceived","Damian Harris","Goldie Hawn, John Heard","Thriller","Buena Vista"
"Defending Your Life","Albert Brooks","Albert Brooks, Meryl Streep, Rip Torn, Lee Grant","Comedy","Warner Bros."
"Defenseless","Martin Campbell","Barbara Hershey, Sam Shepard, J.T. Walsh","Crime",""
"Delirious","Tom Mankiewicz","John Candy, Mariel Hemingway, Emma Samms","Comedy","last Raymond Burr film"
"Do or Die","Andy Sidaris","Pat Morita, Erik Estrada","Action","preceded by Guns"
"Doc Hollywood","Michael Caton-Jones","Michael J. Fox, Julie Warner, Woody Harrelson, Bridget Fonda","Comedy","Warner Bros."
"The Doctor","Randa Haines","William Hurt, Christine Lahti, Mandy Patinkin, Elizabeth Perkins, Adam Arkin","Drama","Touchstone"
"Dogfight","Nancy Savoca","River Phoenix, Lili Taylor","Drama, War",""
"Don't Tell Mom the Babysitter's Dead","Stephen Herek","Christina Applegate, Joanna Cassidy, Keith Coogan, Josh Charles","Comedy",""
"The Doors","Oliver Stone","Val Kilmer, Meg Ryan, Kyle MacLachlan, Kathleen Quinlan, Frank Whaley, Kevin Dillon, Josh Evans, Billy Idol","Drama, Biography","story of Jim Morrison and The Doors"
"Double Impact","Sheldon Lettich","Jean-Claude Van Damme","Action",""
"Drop Dead Fred","Ate de Jong","Phoebe Cates, Rik Mayall","Comedy","New Line"
"Dutch","Peter Faiman","Ed O'Neill, Ethan Embry, JoBeth Williams, Christopher McDonald","Comedy","Fox"
"Dying Young","Joel Schumacher","Julia Roberts, Campbell Scott, Vincent D'Onofrio, Colleen Dewhurst, David Selby","Drama","Fox"
"Edge of Honor","Michael Spence","Corey Feldman, Meredith Salenger","Thriller",""
"Ernest Scared Stupid","John R. Cherry III","Jim Varney","Comedy","preceded by Ernest Goes to Jail"
"Eve of Destruction","Duncan Gibbins","Gregory Hines, Renee Soutendijk","Action","MGM"
"Eyes of an Angel","Robert Harmon","John Travolta, Ellie Raab, Tito Larriva","Drama",""
"F/X2","Richard Franklin","Bryan Brown, Brian Dennehy, Rachel Ticotin, Joanna Gleason","Suspense","sequel to F/X"
"Father of the Bride","Charles Shyer","Steve Martin, Diane Keaton, Kimberly Williams, Martin Short, George Newbern","Comedy","remake of 1950 film"
"Final Approach","Eric Steven Stahl","James Sikking, Héctor Elizondo","Action",""
"The Fisher King","Terry Gilliam","Robin Williams, Jeff Bridges, Mercedes Ruehl, Amanda Plummer","Drama, Comedy","Oscar for Ruehl"
"The Five Heartbeats","Robert Townsend","Robert Townsend, Michael Wright, Leon Robinson","Musical",""
"Flight of the Intruder","John Milius","Danny Glover, Willem Dafoe, Brad Johnson, Rosanna Arquette, Tom Sizemore","Action","Paramount"
"For the Boys","Mark Rydell","Bette Midler, James Caan, George Segal, Arye Gross","Drama, Musical","Golden Globe for Midler"
"Frankie and Johnny","Garry Marshall","Al Pacino, Michelle Pfeiffer, Héctor Elizondo, Kate Nelligan","Romance","based on Terrence McNally play"
