"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Are We Done Yet?","Steve Carr","Ice Cube, Nia Long, John C. McGinley, Aleisha Allen","Comedy","Based on Mr. Blandings Builds His Dream House Preceded by Are We There Yet?"
"The Assassination of Jesse James by the Coward Robert Ford","Andrew Dominik","Brad Pitt, Casey Affleck, Sam Rockwell, Sam Shepard, Mary-Louise Parker, Zooey Deschanel, Paul Schneider, Jeremy Renner","Biography, Western",""
"August Rush","Kirsten Sheridan","Freddie Highmore, Jonathan Rhys Meyers, Keri Russell, Terrence Howard, Robin Williams","Family, Musical","Warner Bros. Pictures"
"Autism: The Musical","Tricia Regan","Six months in the lives of five children with autism in Los Angeles","Documentary",""
"Awake","Joby Harold","Hayden Christensen, Jessica Alba, Lena Olin, Arliss Howard, Terrence Howard","Thriller","The Weinstein Company"
"Balls of Fury","Robert Ben Garant","Dan Fogler, Christopher Walken, George Lopez, Maggie Q, Thomas Lennon, Robert Patrick, Terry Crews","Comedy, Sports","Rogue Pictures"
"Because I Said So","Michael Lehmann","Diane Keaton, Mandy Moore, Lauren Graham, Piper Perabo","Romantic comedy","Universal Pictures"
"Bee Movie","Simon J. Smith, Steve Hickner","Jerry Seinfeld, Renée Zellweger, Matthew Broderick","Animation","DreamWorks Animation"
"Before the Devil Knows You're Dead","Sidney Lumet","Philip Seymour Hoffman, Ethan Hawke, Albert Finney, Marisa Tomei","Crime drama",""
"Believe","Loki Mulholland","Larry Bagby","Mockumentary",""
"Beowulf","Robert Zemeckis","Ray Winstone, Anthony Hopkins, John Malkovich, Robin Wright Penn, Angelina Jolie","Fantasy","Based on Beowulf"
"Beyond Belief","Beth Murphy","the humanitarian programs begun by Susan Retik and Patti Quigley","Documentary",""
"Blades of Glory","Will Speck, Josh Gordon","Will Ferrell, Jon Heder","Comedy, Sports","DreamWorks Pictures"
"Blonde Ambition","Scott Marshall","Jessica Simpson, Luke Wilson","Romantic comedy",""
"The Blue Hour","Eric Nazarian","Alyssa Milano","Drama",""
"Blue State","Marshall Lewy","Anna Paquin, Breckin Meyer","Romantic comedy",""
"The Bourne Ultimatum","Paul Greengrass","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Joan Allen","Action","Based on The Bourne Ultimatum Preceded by The Bourne Supremacy"
"Bratz: The Movie","Sean McNamara","Nathalia Ramos, Skyler Shaye, Logan Browning, Janel Parrish, Chelsea Staub, Lainie Kazan, Jon Voight","Comedy, Family","Lionsgate. Based on the Bratz franchise"
"The Brave One","Neil Jordan","Jodie Foster, Naveen Andrews, Terrence Howard, Mary Steenburgen","Crime drama","Warner Bros., Village Roadshow Pictures"
"Breach","Billy Ray","Chris Cooper, Ryan Phillippe, Laura Linney","Political thriller","Universal Pictures"
"Bridge to Terabithia","Gábor Csupó","Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick","Family, Fantasy","Based on Bridge to Terabithia by Katherine Paterson"
"Broken English","Zoe Cassavetes","Parker Posey, Melvil Poupaud, Drea de Matteo","Romantic comedy",""
"Brooklyn Rules","Michael Corrente","Alec Baldwin, Scott Caan, Freddie Prinze, Jr.","Crime drama",""
"Brotherhood of Blood","Michael Roesch, Peter Scheerer","Victoria Pratt","Horror",""
"The Brothers Solomon","Bob Odenkirk","Will Arnett, Will Forte, Chi McBride, Kristen Wiig, Malin Akerman","Comedy","Revolution Studios"
"The Bucket List","Rob Reiner","Jack Nicholson, Morgan Freeman","Dramedy","Warner Bros. Pictures"
"Cake: A Wedding Story","Will Wallace","G. W. Bailey","Comedy",""
"Captivity","Roland Joffé","Elisha Cuthbert, Daniel Gillies","Thriller","Lionsgate"
"Care Bears: Oopsy Does It!","Davis Doi","Scott McNeil, Ashleigh Ball, Tabitha St. Germain","Animation","based on the Care Bears franchise"
"Cassandra's Dream","Woody Allen","Hayley Atwell, Colin Farrell, Sally Hawkins, Ewan McGregor, Tom Wilkinson","Drama","The Weinstein Company"
"Catacombs","Tomm Coker","Shannyn Sossamon, Pink","Horror","Lions Gate Entertainment"
"Chapter 27","Jarrett Schaefer","Jared Leto","Docudrama","Peace Arch Entertainment"
"Charlie Wilson's War","Mike Nichols","Tom Hanks, Julia Roberts, Philip Seymour Hoffman","Biography, Drama","Based on a book by George Crile III"
"Chicago 10","Brett Morgan","the Chicago Seven","Animation",""
"Code Name: The Cleaner","Les Mayfield","Cedric the Entertainer, Lucy Liu, Nicollette Sheridan","Action comedy","New Line Cinema"
"The Comebacks","Tom Brady","David Koechner","Parody, Sports","Fox Atomic"
"The Condemned","Scott Wiper","Stone Cold Steve Austin, Vinnie Jones","Crime","Lionsgate, WWE Films"
"Control","Anton Corbijn","Sam Riley, Samantha Morton, Alexandra Maria Lara","Biography, drama","Based on Touching from a Distance by Deborah Curtis"
"Crazy Love","Dan Klores, Fisher Stevens","Burt Pugach, Linda Riss","Documentary",""
"Cthulhu","Daniel Gildark","Tori Spelling, Cara Buono","Horror","Based on ""The Shadow Over Innsmouth"" by H. P. Lovecraft"
"Daddy Day Camp","Fred Savage","Cuba Gooding, Jr.","Comedy, Family","Preceded by Daddy Day Care"
"Daddy's Little Girls","Tyler Perry","Gabrielle Union, Idris Elba","Drama, Romance","Lionsgate"
"Dalai Lama Renaissance","Khashyar Darvich","the 14th Dalai Lama's meeting with the ""Synthesis"" group","Documentary",""
"Dan in Real Life","Peter Hedges","Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Dianne Wiest","Comedy-drama","Touchstone Pictures, Focus Features"
"Darfur Now","Ted Braun","The War in Darfur","Documentary",""
"Dark Matter","Chen Shi-Zheng","Liu Ye, Aidan Quinn, Meryl Streep","Drama",""
"Day Zero","Bryan Gunnar Cole","Elijah Wood","Drama",""
"Dead Silence","James Wan","Ryan Kwanten, Donnie Wahlberg, Judith Roberts","Horror","Lionsgate"
"Death Sentence","James Wan","Kevin Bacon, Garrett Hedlund, Kelly Preston, John Goodman","Action, crime","Based on Death Sentence by Brian Garfield"
"Delta Farce","C. B. Harding","Bill Engvall, Larry the Cable Guy","Action comedy",""
"Dirty Country","Joe Pickett, Nick Prueher","Life of Larry Pierce","Documentary",""
"Disturbia","D. J. Caruso","Shia LaBeouf, Sarah Roemer, David Morse, Carrie-Anne Moss","Crime thriller","DreamWorks Pictures. Based on Rear Window"
"The Diving Bell and the Butterfly","Julian Schnabel","Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Max von Sydow","Drama","Based on The Diving Bell and the Butterfly by Jean-Dominique Bauby"
"Eastern Promises","David Cronenberg","Viggo Mortensen, Naomi Watts, Vincent Cassel","Crime drama",""
"Ed Gein: The Butcher of Plainfield","Michael Feifer","Adrienne Frantz, Kane Hodder","Horror",""
"Elvis and Anabelle","Will Geiger","Max Minghella, Blake Lively","Drama",""
"Enchanted","Kevin Lima","Amy Adams, Patrick Dempsey, James Marsden, Susan Sarandon","Fantasy","Walt Disney Pictures"
"Epic Movie","Jason Friedberg and Aaron Seltzer","Kal Penn, Adam Campbell, Jennifer Coolidge, Fred Willard","Parody","Regency Enterprises"
"Evan Almighty","Tom Shadyac","Steve Carell, Morgan Freeman, Lauren Graham, John Goodman, Wanda Sykes","Comedy","Preceded by Bruce Almighty"
"Evening","Lajos Koltai","Claire Danes, Toni Collette, Vanessa Redgrave, Patrick Wilson, Hugh Dancy, Natasha Richardson, Mamie Gummer, Eileen Atkins, Meryl Streep, Glenn Close","Drama","Focus Features. Based on Evening by Susan Minot"
"The Ex","Jesse Peretz","Zach Braff, Amanda Peet, Jason Bateman, Charles Grodin, Mia Farrow, Donal Logue, Amy Poehler, Amy Adams, Fred Armisen","Romantic comedy","The Weinstein Company"
"Extreme Movie","Adam Jay Epstein, Andrew Jacobson","Ryan Pinkston","Comedy",""
"Fantastic Four: Rise of the Silver Surfer","Tim Story","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis","Superhero","Preceded by Fantastic Four"
"Feel the Noise","Alejandro Chomski","Omarion Grandberry, Giancarlo Esposito, Victor Rasuk, Melonie Diaz","Dance, Drama",""
"Finishing the Game","Justin Lin","James Franco, Roger Fan, Sung Kang","Mockumentary",""
"Firehouse Dog","Todd Holland","Josh Hutcherson, Bruce Greenwood, Dash Mihok","Family","20th Century Fox, Regency Enterprises"
"The Flock","Andrew Lau","Richard Gere, Claire Danes","Crime drama",""
"For the Bible Tells Me So","Daniel G. Karslake","perceived conflict between religion and homosexuality","Documentary",""
"Fracture","Gregory Hoblit","Anthony Hopkins, Ryan Gosling","Crime drama","New Line Cinema"
"Freakshow","Drew Bell","Rebekah Kochan","Horror",""
"Fred Claus","David Dobkin","Vince Vaughn, Paul Giamatti","Comedy",""
"Freedom Writers","Richard LaGravenese","Hilary Swank, Scott Glenn, Imelda Staunton, Patrick Dempsey, Mario","Drama","Based on a book by The Freedom Writers and Erin Gruwell"
"Full of It","Christian Charles","Ryan Pinkston, Teri Polo, Kate Mara","Comedy",""
"The Game Plan","Andy Fickman","Dwayne Johnson, Madison Pettis, Kyra Sedgwick, Morris Chestnut","Family, Sports",""
"The Gene Generation","Pearry Reginald Teo","Bai Ling, Parry Shen, Alec Newman, Robert David Hall","Science fiction","Lionsgate"
"Georgia Rule","Garry Marshall","Lindsay Lohan, Jane Fonda, Felicity Huffman, Dermot Mulroney, Garrett Hedlund","Comedy-drama","Universal Pictures"
"Ghost Rider","Mark Steven Johnson","Nicolas Cage, Eva Mendes, Wes Bentley, Sam Elliott, Peter Fonda","Superhero","Columbia Pictures"
"Ghosts of Abu Ghraib","Rory Kennedy","The 2004 Abu Ghraib torture and prisoner abuse scandal","Documentary",""
"The Girl in the Park","David Auburn","Sigourney Weaver, Kate Bosworth, Kurt Russell, Kerri Russell, Spencer Grammer, Elisabeth Waterson, Kristen Ruhlin, David Rasche","Drama",""
"Glass Lips","Lech Majewski","Patryk Czajka, Joanna Litwin, Grzegorz Przybyl","Drama",""
"The Go-Getter","Martin Hynes","Lou Taylor Pucci, Zooey Deschanel, Jena Malone","Comedy-drama",""
"God's Ears","Michael Worth","Michael Worth","Drama",""
"The Golden Compass","Chris Weitz","Dakota Blue Richards, Nicole Kidman, Daniel Craig, Eva Green, Ian McKellen","Family, Fantasy","New Line Cinema. Based on The Golden Compass by Philip Pullman"
"Gone Baby Gone","Ben Affleck","Casey Affleck, Michelle Monaghan, Morgan Freeman, Ed Harris, Amy Ryan, John Ashton, Amy Madigan","Crime drama","Miramax Films. Based on Gone, Baby, Gone by Dennis Lehane"
"Good Luck Chuck","Mark Helfrich","Dane Cook, Jessica Alba","Romantic comedy","Lionsgate"
"The Good Night","Jake Paltrow","Penélope Cruz, Gwyneth Paltrow, Danny DeVito","Romantic comedy",""
"Grace Is Gone","James C. Strouse","John Cusack","Drama","The Weinstein Company"
"Gracie","Davis Guggenheim","Elisabeth Shue, Carly Schroeder, Dermot Mulroney","Drama",""
"The Great Debaters","Denzel Washington","Denzel Washington, Forest Whitaker, Nate Parker, Jurnee Smollet, Denzel Whitaker, John Heard, Kimberly Elise","Bio-pic, Drama","The Weinstein Company"
"Grindhouse","Quentin Tarantino, Robert Rodriguez","Freddy Rodríguez, Kurt Russell, Rose McGowan, Rosario Dawson, Tracie Thoms, Zoë Bell, Josh Brolin, Bruce Willis","Action",""
"Hairspray","Adam Shankman","John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Allison Janney, Nikki Blonsky","Musical","New Line Cinema. Based on Hairspray and Hairspray"
"Halloween","Rob Zombie","Malcolm McDowell, Tyler Mane, Sheri Moon Zombie, Scout Taylor-Compton, Brad Dourif, Danielle Harris, William Forsythe, Danny Trejo","Horror","Dimension Films Based on Halloween Preceded by Halloween: Resurrection"
"The Hammer","Charles Herman-Wurmfeld","Adam Carolla, Heather Juergensen","Comedy",""
"Happily N'Ever After","Paul J. Bolger","Sarah Michelle Gellar, Freddie Prinze, Jr., Andy Dick, Wallace Shawn","Animation",""
"Harry Potter and the Order of the Phoenix","David Yates","Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Imelda Staunton, Helena Bonham Carter, Gary Oldman, Ralph Fiennes","Family, Fantasy","Based on a novel by J. K. Rowling Preceded by Harry Potter and the Goblet of Fire"
"Hear and Now","Irene Taylor Brodsky","On cochlear implant surgery","Documentary",""
"The Heartbreak Kid","Bobby and Peter Farrelly","Ben Stiller, Michelle Monaghan, Jerry Stiller, Malin Åkerman","Romantic comedy","Based on The Heartbreak Kid"
"Highlander: The Source","Brett Leonard","Adrian Paul","Science fiction","Preceded by Highlander: Endgame"
"The Hills Have Eyes 2","Martin Weisz","Michael McMillian, Jessica Stroup, Daniella Alonso, Jacob Vargas","Horror","Fox Atomic. Preceded by The Hills Have Eyes"
"The Hitcher","Dave Meyers","Sophia Bush, Sean Bean, Zachary Knighton, Neal McDonough","Horror","Rogue Pictures. Based on The Hitcher"
"Hitman","Xavier Gens","Timothy Olyphant, Dougray Scott, Olga Kurylenko, Robert Knepper","Action","Based on the Hitman series"
"The Hoax","Lasse Hallström","Richard Gere, Alfred Molina, Marcia Gay Harden, Stanley Tucci, Hope Davis","Biography","Based on The Hoax by Clifford Irving"
"Honeydripper","John Sayles","Danny Glover, Charles S. Dutton, Lisa Gay Hamilton","Drama, Musical",""
"Hostel: Part II","Eli Roth","Lauren German, Roger Bart, Bijou Phillips, Heather Matarazzo, Richard Burgi, Jay Hernandez","Horror","Lionsgate, Screen Gems. Preceded by Hostel"
"Hot Rod","Akiva Schaffer","Andy Samberg, Isla Fisher, Jorma Taccone, Bill Hader, Danny McBride, Sissy Spacek, Ian McShane","Comedy","Paramount Pictures"
"The Hunting Party","Richard Shepard","Terrence Howard, Richard Gere","Adventure",""
"I Am an American Soldier","John Laurence","The Iraq War","Documentary",""
"I Am Legend","Francis Lawrence","Will Smith","Science fiction","Based on a novel by Richard Matheson"
"I Could Never Be Your Woman","Amy Heckerling","Michelle Pfeiffer, Paul Rudd","Romantic comedy",""
"I Know Who Killed Me","Chris Sivertson","Lindsay Lohan, Julia Ormond, Neal McDonough","Thriller","winner of Golden Raspberry Award for Worst Picture"
"I Now Pronounce You Chuck and Larry","Dennis Dugan","Adam Sandler, Kevin James, Jessica Biel","Comedy","Universal Pictures, Relativity Media"
"I Think I Love My Wife","Chris Rock","Chris Rock, Kerry Washington, Gina Torres","Romantic comedy","Based on Love in the Afternoon"
"I'm Not There","Todd Haynes","Christian Bale, Cate Blanchett, Marcus Carl Franklin, Richard Gere, Heath Ledger, Ben Whishaw","Bio-pic, Musical","The Weinstein Company"
"In the Land of Women","Jon Kasdan","Adam Brody, Kristen Stewart, Meg Ryan, Olympia Dukakis, Makenzie Vega","Comedy-drama",""
"In the Valley of Elah","Paul Haggis","Tommy Lee Jones, Charlize Theron, Susan Sarandon","Drama",""
"Interview","Steve Buscemi","Steve Buscemi, Sienna Miller","Drama","Based on Interview"
"Into the Wild","Sean Penn","Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dieker, Vince Vaughn, Zach Galifianakis, Kristen Stewart, Hal Holbrook","Adventure, Drama","Paramount Vantage. Based on Into the Wild by Jon Krakauer"
"The Invasion","Oliver Hirschbiegel","Nicole Kidman, Daniel Craig","Science fiction","Based on The Body Snatchers by Jack Finney"
"The Invisible","David S. Goyer","Justin Chatwin, Margarita Levieva, Chris Marquette, Marcia Gay Harden","Thriller","Hollywood Pictures. Based on Den Osynlige"
"Itty Bitty Titty Committee","Jamie Babbit","Melonie Diaz","Comedy",""
"Joshua","George Ratliff","Sam Rockwell, Vera Farmiga","Thriller",""
"Juno","Jason Reitman","Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman, Allison Janney, J. K. Simmons, Olivia Thirlby","Comedy-drama","Winner of Satellite Award for Best Film – Musical or Comedy"
"Kickin' It Old Skool","Harvey Glazer","Jamie Kennedy, Miguel A. Núñez, Jr., Maria Menounos","Comedy","Yari Film Group"
"Killing Zelda Sparks","Jeff Glickman","Colm Feore","Drama",""
"The King of Kong: A Fistful of Quarters","Seth Gordon","Steve Wiebe's attempts to break the world high score for Donkey Kong","Documentary","Picturehouse"
"King of Punk","Kenneth Van Schooten","The punk subculture between 1976 and 1982","Documentary",""
"The Kingdom","Peter Berg","Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Jeremy Piven, Danny Huston, Richard Jenkins","Action","Universal Pictures"
"The Kite Runner","Marc Forster","Khalid Abdalla, Homayoun Ershadi, Shaun Toub","Drama","DreamWorks Pictures. Based on The Kite Runner by Khaled Hosseini"
"Knock Knock","Joseph Ariola","Nicole Abisinio","Horror",""
"Knocked Up","Judd Apatow","Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann","Comedy",""
"Lady Magdalene's","J. Neil Schulman","Nichelle Nichols, Susan Smythe","Action",""
"Lake of Fire","Tony Kaye","abortion in the United States","Documentary",""
"Lars and the Real Girl","Craig Gillespie","Ryan Gosling, Emily Mortimer, Paul Schneider","Comedy-drama",""
"The Last Mimzy","Bob Shaye","Rhiannon Leigh Wryn, Chris O'Neil, Rainn Wilson, Joely Richardson","Family, Sci-fi","New Line Cinema. Based on Mimsy Were the Borogoves by Lewis Padgett"
"The Last Sin Eater","Michael Landon, Jr.","Liana Liberato, Louise Fletcher, Henry Thomas","Drama",""
"License to Wed","Ken Kwapis","Robin Williams, Mandy Moore, John Krasinski","Romantic comedy","Warner Bros. Pictures"
"The Life Before Her Eyes","Vadim Perelman","Uma Thurman, Evan Rachel Wood","Drama","based on The Life Before Her Eyes by Laura Kasischke"
"Lions for Lambs","Robert Redford","Robert Redford, Meryl Streep, Tom Cruise","Drama","MGM Pictures, United Artists"
"Live Free or Die Hard","Len Wiseman","Bruce Willis, Justin Long","Action","Preceded by Die Hard with a Vengeance"
"The Lookout","Scott Frank","Joseph Gordon-Levitt, Jeff Daniels, Matthew Goode, Isla Fisher","Crime","Miramax Films, Spyglass Entertainment"
"Love in the Time of Cholera","Mike Newell","Giovanna Mezzogiorno, John Leguizamo","Drama","based on Love in the Time of Cholera by Gabriel García Márquez"
"Lucky You","Curtis Hanson","Eric Bana, Drew Barrymore, Robert Duvall","Drama","Warner Bros. Pictures"
"Lust, Caution","Ang Lee","Tony Leung Chiu-Wai, Tang Wei, Joan Chen, Leehom Wang","Thriller","based on ""Lust, Caution"" by Eileen Chang winner of the Golden Lion"
"Manda Bala (Send a Bullet)","Jason Kohn, Joey Frank","political corruption and kidnapping in Brazil","Documentary","winner of the Grand Jury Prize: Documentary"
"Margot at the Wedding","Noah Baumbach","Nicole Kidman, Jennifer Jason Leigh, Jack Black, John Turturro","Comedy-drama",""
"Marigold","Willard Carroll","Salman Khan, Ali Larter","Romantic comedy",""
"Married Life","Ira Sachs","Chris Cooper, Patricia Clarkson, Pierce Brosnan, Rachel McAdams","Crime drama","Based on Five Roundabouts to Heaven by John Bingham"
"Martian Child","Menno Meyjes","John Cusack, Bobby Coleman, Amanda Peet, Joan Cusack","Comedy-drama, Family","Based on ""The Martian Child"" by David Gerrold"
"Meet the Robinsons","Stephen J. Anderson","Jordan Fry, Harland Williams, Tom Kenny","Animation","based on A Day with Wilbur Robinson by William Joyce"
"The Messengers","Oxide Pang, Danny Pang","Kristen Stewart, Dylan McDermott, Penelope Ann Miller","Horror",""
"Michael Clayton","Tony Gilroy","George Clooney, Tom Wilkinson, Tilda Swinton, Sydney Pollack, Michael O'Keefe, Merritt Weaver, Ken Howard","Thriller","Warner Bros."
"A Mighty Heart","Michael Winterbottom","Angelina Jolie","Drama","Based on A Mighty Heart by Mariane Pearl"
"The Mist","Frank Darabont","Thomas Jane, Marcia Gay Harden, Andre Braugher, Toby Jones","Horror","Based on ""The Mist"" by Stephen King"
"Mister Lonely","Harmony Korine","Diego Luna, Samantha Morton","Comedy-drama",""
"A Modern Twain Story: The Prince and the Pauper","James Quattrochi","Dylan and Cole Sprouse, Kay Panabaker","","based on The Prince and the Pauper by Mark Twain"
"Monster Camp","Cullen Hoback","live action role-playing game","Documentary",""
"The Mother of Tears","Dario Argento","Asia Argento, Daria Nicolodi, Moran Atias","Comedy-drama","Preceded by Inferno"
"Moving McAllister","Andrew Black","Ben Gourley, Mila Kunis, Jon Heder, Rutger Hauer","Comedy",""
"Mr. Brooks","Bruce A. Evans","Kevin Costner, Demi Moore, Dane Cook, William Hurt","Thriller",""
"Mr. Magorium's Wonder Emporium","Zach Helm","Dustin Hoffman, Natalie Portman, Jason Bateman, Zach Mills","Fantasy",""
"Mr. Woodcock","Craig Gillespie","Billy Bob Thornton, Seann William Scott, Susan Sarandon","Comedy",""
"Mr. Untouchable","Marc Levin","the rise and fall of Leroy Barnes","Documentary",""
"Music and Lyrics","Marc Lawrence","Hugh Grant, Drew Barrymore","Romantic comedy",""
"My Bollywood Bride","Rajeev Virani","Jason Lewis, Kashmira Shah","Romantic comedy",""
"My Sexiest Year","Howard Himelstein","Frankie Muniz, Harvey Keitel, Haylie Duff","Comedy",""
"Nancy Drew","Andrew Fleming","Emma Roberts","Crime, Family","Warner Bros. Pictures. Based on the Nancy Drew franchise"
"Nanking","Bill Guttentag, Dan Sturman","the 1937 Nanking Massacre","Documentary",""
"The Nanny Diaries","Shari Springer Berman, Robert Pulcini","Scarlett Johansson, Chris Evans","Comedy-drama","Based on The Nanny Diaries by Emma McLaughlin and Nicola Kraus"
"National Treasure: Book of Secrets","Jon Turteltaub","Nicolas Cage, Diane Kruger, Jon Voight, Justin Bartha, Helen Mirren","Adventure","Preceded by National Treasure"
"Netherbeast Incorporated","Dean Ronalds","Darrell Hammond, Judd Nelson","Horror",""
"Next","Lee Tamahori","Nicolas Cage, Julianne Moore, Jessica Biel","Science fiction","Based on The Golden Man by Philip K. Dick"
"No Country for Old Men","Joel and Ethan Coen","Josh Brolin, Tommy Lee Jones, Javier Bardem, Woody Harrelson, Kelly Macdonald, Tess Harper, Barry Corbin","Crime drama","Based on novel by Cormac McCarthy winner of Academy Award for Best Picture and Satellite Award for Best Film – Drama"
"No End in Sight","Charles H. Ferguson","the American occupation of Iraq","Documentary",""
"No Reservations","Scott Hicks","Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin","Romantic comedy","Based on Mostly Martha"
"Nobel Son","Randall Miller","Alan Rickman, Bryan Greenberg, Eliza Dushku, Danny DeVito","Drama",""
"Norbit","Brian Robbins","Eddie Murphy, Thandie Newton, Cuba Gooding, Jr.","Comedy","DreamWorks Pictures"
"Normal Adolescent Behavior","Beth Schacter","Amber Tamblyn, Ashton Holmes","Drama",""
"Numb","Harris Goldberg","Matthew Perry","Comedy-drama",""
"The Number 23","Joel Schumacher","Jim Carrey, Virginia Madsen","Thriller",""
"Ocean's Thirteen","Steven Soderbergh","George Clooney, Brad Pitt, Matt Damon, Andy García, Don Cheadle, Bernie Mac, Ellen Barkin, Al Pacino, Blake Lively","Comedy, Crime","Preceded by Ocean's Twelve"
"Oh, Saigon","Doan Hoang","The Fall of Saigon","Documentary",""
"Only for You","Donna Persico","Shea Curry","Romance",""
"Operation Homecoming: Writing the Wartime Experience","Richard E. Robbins","The lives and experiences of American combat soldiers in the Iraq War and War in Afghanistan","Documentary",""
"P.S. I Love You","Richard LaGravenese","Hilary Swank, Gerard Butler","Romance","Based on PS, I Love You by Cecelia Ahern"
"P2","Franck Khalfoun","Rachek Nichols, Wes Bentley","Horror",""
"Padre Nuestro","Christopher Zalla","Jesús Ochoa","Drama","winner of the Grand Jury Prize: Drama"
"Paranoid Park","Gus Van Sant","Gabe Nevins, Jake Miller, Taylor Momsen","Drama","based on Paranoid Park by Blake Nelson"
"Passage to Zarahemla","Chris Heimerdinger","Summer Naomi Smart","Adventure",""
"Pathfinder","Marcus Nispel","Karl Urban, Moon Bloodgood, Russell Means","Action","Based on Pathfinder"
"The Perfect Holiday","Lance Rivera","Morris Chestnut, Gabrielle Union, Charlie Murphy, Katt Williams, Faizon Love, Terrence Howard, Queen Latifah","Family","Yari Film Group"
"Perfect Stranger","James Foley","Halle Berry, Bruce Willis, Giovanni Ribisi","Crime drama",""
"Persepolis","Marjane Satrapi, Vincent Paronnaud","Chiara Mastroianni, Catherine Deneuve, Danielle Darrieux","Animation","based on Persepolis by Marjane Satrapi"
"Pirates of the Caribbean: At World's End","Gore Verbinski","Johnny Depp, Orlando Bloom, Keira Knightley, Bill Nighy, Geoffrey Rush, Chow Yun-fat","Adventure, swashbuckler","preceded by Pirates of the Caribbean: Dead Man's Chest"
"The Poughkeepsie Tapes","John Erick Dowdle","Samantha Robson, Ivar Brogger","Crime drama",""
"Premonition","Mennan Yapo","Sandra Bullock, Julian McMahon, Nia Long","Thriller",""
