"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"10 MPH","Hunter Weeks","Josh Caldwell's trip across the United States on his Segway HT","Documentary",""
"The 11th Hour","Nadia Conners, Leila Conners Petersen","The state of the natural environment. Narrated by Leonardo DiCaprio.","Documentary","Warner Independent Pictures"
"1408","Mikael Håfström","John Cusack, Samuel L. Jackson","Horror","Dimension Films. Based on the short story by Stephen King"
"3:10 to Yuma","James Mangold","Russell Crowe, Christian Bale","Western","Based on 1957 film and story by Elmore Leonard"
"30 Days of Night","David Slade","Josh Hartnett, Ben Foster, Melissa George","Horror","Based on graphic novel by Steve Niles"
"300","Zack Snyder","Gerard Butler, Lena Headey, David Wenham","Action","based on 300 by Frank Miller"
"Across the Universe","Julie Taymor","Jim Sturgess, Evan Rachel Wood, Joe Anderson","Musical","Columbia Pictures"
"Adrift in Manhattan","Alfredo De Villa","Heather Graham, Victor Rasuk, Dominic Chianese, William Baldwin","Drama",""
"Adventures of Johnny Tao","Kenn Scott","Matthew Twining, Chris Yen, Matt Mullins, Kelly Perine, James Hong, Jason London","Martial arts/Horror/Comedy",""
"Afghan Knights","Allan Harmon","Steve Bacic, Michael Madsen, Colin Lawrence, Steven Cree Molison, Chris Kramer Pete Antico","War/Horror",""
"After Sex","Eric Amadio","Jane Seymour, Natalie Marston, Zoe Saldana, Mila Kunis, John Witherspoon","Comedy/Drama",""
"Alibi","James Chean","Lisa Crosato, Marie Zielcke, Joe Estevez, Tim Colceri, Peter Franzén, Gem Silver","Crime/Drama/Mystery/Romance/Thriller",""
"Alice Upside Down","Sandy Tung","Alyson Stoner, Lucas Grabeel, Luke Perry, Penny Marshall, Ashley Drane, Parker McKenna Posey","Adventure/Comedy/Drama/Family",""
"Aliens vs. Predator: Requiem","Brothers Strause","Steven Pasquale, Reiko Aylesworth, John Ortiz, Johnny Lewis, Ariel Gade","Action, Horror","Preceded by Alien vs. Predator"
"All the Days Before Tomorrow","François Dompierre","Joey Kern, Alexandra Holden, Richard Roundtree, Yutaka Takeuchi, Luis Chávez","Comedy/Drama/Romance",""
"Alvin and the Chipmunks","Tim Hill","Jason Lee, Ross Bagdasarian, Jr., Janice Karman, David Cross, Justin Long, Matthew Gray Gubler, Jesse McCartney","Family, Musical","Based on TV series of the same name"
"An American Crime","Tommy O'Haver","Ellen Page, Catherine Keener","Crime drama",""
"American Gangster","Ridley Scott","Denzel Washington, Russell Crowe","Crime","Universal Pictures"
"American Pastime","Desmond Nakano","Gary Cole, Aaron Yoo","Drama",""
"Americanizing Shelley","Lorraine Senna","Beau Bridges, Namrata Singh Gujral","Romantic comedy",""
"Anamorph","Henry S. Miller","Willem Dafoe, Scott Speedman","Thriller",""
"Aqua Teen Hunger Force Colon Movie Film for Theaters","Matt Maiellaro, Dave Willis","Dana Snyder, Carey Means","Animation","Based on Aqua Teen Hunger Force"
"Arctic Tale","Adam Ravetch, Sarah Robertson","The life cycle of a walrus and a polar bear. Narrated by Queen Latifah.","Documentary","Paramount Classics"
