"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"…First Do No Harm","Jim Abrahams","Meryl Streep, Fred Ward","Drama","Made for TV"
"12 Angry Men","William Friedkin","Jack Lemmon, George C. Scott, James Gandolfini, Ossie Davis, William Petersen, Hume Cronyn, Edward James Olmos, Courtney B. Vance, Mykelti Williamson, Dorian Harewood, Armin Mueller-Stahl, Tony Danza","Drama","Made for TV"
"20,000 Leagues Under the Sea","Michael Anderson","Ben Cross, Richard Crenna","Adventure","Made for TV"
"20,000 Leagues Under the Sea","Rod Hardy","Michael Caine, Patrick Dempsey","Adventure","Made for TV"
"4 Little Girls","Spike Lee","","Documentary","Oscar-nominated"
"8 Heads in a Duffel Bag","Tom Schulman","Joe Pesci, Andy Comeau, Kristy Swanson, David Spade, Dyan Cannon, George Hamilton","Black comedy",""
"Aberration","Tim Boxell","Pamela Gidley","Horror",""
"Absolute Power","Clint Eastwood","Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney, Judy Davis, Scott Glenn, E. G. Marshall, Dennis Haysbert, Melora Hardin, Richard Jenkins","Crime drama","Based on novel by David Baldacci"
"Addicted to Love","Griffin Dunne","Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo","Comedy",""
"Afterglow","Alan Rudolph","Nick Nolte, Julie Christie, Lara Flynn Boyle, Jonny Lee Miller","Drama",""
"Against the Law","Jim Wynorski","Nancy Allen, Nick Mancuso","Action",""
"Air Force One","Wolfgang Petersen","Harrison Ford, Glenn Close, Gary Oldman","Thriller","2 Oscar nominations"
"The Alarmist","Evan Dunsky","David Arquette, Kate Capshaw, Stanley Tucci","Comedy",""
"Alaska: Spirit of the Wild","George Casey","Alaska","Documentary",""
"Albino Alligator","Kevin Spacey","Matt Dillon, Faye Dunaway, Gary Sinise, Joe Mantegna","Suspense",""
"Alien: Resurrection","Jean-Pierre Jeunet","Sigourney Weaver, Winona Ryder, Ron Perlman, Dan Hedaya","Science fiction","preceded by Alien 3"
"Alien Nation: The Udara Legacy","Kenneth Johnson","Gary Graham","Science fiction","Made for TV"
"All Over Me","Alex Sichel","Alison Folland, Tara Subkoff","",""
"American Perfekt","Paul Chart","Fairuza Balk, Robert Forster, Amanda Plummer","Drama",""
"An Alan Smithee Film: Burn Hollywood Burn","Arthur Hiller","Ryan O'Neal, Eric Idle, Coolio","Comedy","won 5 Razzies"
"An American Werewolf in Paris","Anthony Waller","Tom Everett Scott, Julie Delpy, Vince Vieluf, Julie Bowen","Horror","sequel to American Werewolf in London"
"Amistad","Steven Spielberg","Morgan Freeman, Anthony Hopkins, Djimon Hounsou, Matthew McConaughey, Stellan Skarsgård, Anna Paquin","Drama","4 Oscar nominations"
"Anaconda","Luis Llosa","Jennifer Lopez, Jon Voight, Ice Cube, Eric Stoltz, Owen Wilson, Jonathan Hyde, Kari Wührer","Horror","6 Razzie nominations"
"Anastasia","Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Hank Azaria, Christopher Lloyd, Angela Lansbury (voices)","Animated film","20th Century Fox"
"Angels in the Endzone","Gary Nadeau","Christopher Lloyd, Paul Dooley","Fantasy, Sports",""
"Anna Karenina","Bernard Rose","Sophie Marceau, Sean Bean","Drama","from Leo Tolstoy novel"
"Anthem to Beauty","Jeremy Marre","Grateful Dead","Documentary",""
"The Apostle","Robert Duvall","Robert Duvall, Miranda Richardson, Farrah Fawcett","Drama","also written by Duvall"
"As Good as It Gets","James L. Brooks","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding, Jr., Shirley Knight","Romantic comedy","Oscars for Hunt, Nicholson"
"The Assignment","Christian Duguay","Aidan Quinn, Ben Kingsley","Drama",""
"Asteroid","Bradford May","Michael Biehn, Annabella Sciorra, Zachary Charles, Don Franklin, Carlos Gómez, Michael Weatherly, Anne-Marie Johnson","Science fiction","Made for TV; Emmy Award for visual effects"
"Austin Powers: International Man of Mystery","Jay Roach","Mike Myers, Elizabeth Hurley, Michael York, Robert Wagner, Seth Green, Mindy Sterling, Mimi Rogers","Spy comedy","First of trilogy"
"B*A*P*S","Robert Townsend","Halle Berry, Martin Landau","Comedy","New Line Cinema"
"Back in Business","Philippe Mora","Brian Bosworth, Joe Torry","Action","Direct-to-video"
"Bang","Ash","Darling Narita, Peter Greene","Drama",""
"Batman and Robin","Joel Schumacher","Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman, Alicia Silverstone, John Glover, Elle Macpherson","Action, Superhero","Sequel; nominated for 11 Razzie awards"
"Bean","Mel Smith","Rowan Atkinson","Comedy","based on Mr. Bean"
"The Beautician and the Beast","Ken Kwapis","Fran Drescher, Timothy Dalton","Comedy","Paramount"
"Beauty and the Beast: The Enchanted Christmas","","","Animated film",""
"Below Utopia","Kurt Voss","Alyssa Milano, Ice-T","Thriller","aka Body Count"
"The Best Bad Thing","Peter Rowe","Lana McKissick, Robert Ito","Drama",""
"Best Men","Tamra Davis","Fred Ward, Drew Barrymore","Comedy","Orion"
"A Better Place","","Elon Bailey","Drama",""
"Beverly Hills Ninja","Dennis Dugan","Chris Farley, Nicollette Sheridan, Robin Shou","Comedy","TriStar"
"The Big One","Michael Moore","Michael Moore","Documentary",""
"Black Scorpion II: Aftershock","Jonathan Winfrey","Joan Severance, Whip Hubley","Superhero","Sequel"
"The Blood Oranges","Philip Haas","Sheryl Lee","",""
"Bloodsport III","Alan Mehrez","Daniel Bernhardt, John Rhys-Davies","Action","Direct-to-video"
"Bongwater","Richard Sears","Luke Wilson, Jack Black, Alicia Witt","Comedy",""
"Boogie Boy","Craig Hamann","Traci Lords, Frederic Forrest, Joan Jett","Drama",""
"Boogie Nights","Paul Thomas Anderson","Mark Wahlberg, Burt Reynolds, Julianne Moore, John C. Reilly, Don Cheadle, Philip Seymour Hoffman, Heather Graham, Thomas Jane, William H. Macy","Drama","3 Oscar nominations; Golden Globe for Reynolds"
"Booty Call","Jeff Pollack","Jamie Foxx, Tommy Davidson, Vivica A. Fox, Tamala Jones","Comedy","Columbia"
