"Title","Director","Cast(Subject of documentary)","Genre","Notes"
"15 Minutes","John Herzfeld","Robert De Niro, Edward Burns, Kelsey Grammer","Action, Crime",""
"3 A.M.","Lee Davis","Danny Glover, Pam Grier, Sarita Choudhury","Crime drama",""
"3000 Miles to Graceland","Demian Lichtenstein","Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater, David Arquette, Kevin Pollak, Howie Long, Ice-T","Action, Crime","5 Razzie nominations"
"A.I. Artificial Intelligence","Steven Spielberg","Jude Law, Haley Joel Osment, William Hurt, Frances O'Connor, Sam Robards","Science fiction","based on Super-Toys Last All Summer Long by Brian Aldiss"
"The Affair of the Necklace","Charles Shyer","Hilary Swank, Jonathan Pryce, Adrien Brody","Drama",""
"Ali","Michael Mann","Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles, Jeffrey Wright, Ron Silver","Drama, Biography","bio of Muhammad Ali"
"All Over the Guy","Julie Davis","Sasha Alexander, Dan Bucatinsky, Adam Goldberg","Comedy",""
"Along Came a Spider","Lee Tamahori","Morgan Freeman, Monica Potter, Dylan Baker","Crime, thriller","based on Along Came a Spider by James Patterson"
"The Amati Girls","Anne De Salvo","Cloris Leachman, Mercedes Ruehl, Sean Young","Drama",""
"America's Sweethearts","Joe Roth","Julia Roberts, Catherine Zeta-Jones, John Cusack, Billy Crystal","Comedy",""
"The American Astronaut","Cory McAbee","Cory McAbee, Rocco Sisto","Musical",""
"American Outlaws","Les Mayfield","Colin Farrell, Scott Caan, Ali Larter","Western",""
"American Pie 2","James Rogers","Jason Biggs, Shannon Elizabeth, Chris Klein, Alyson Hannigan, Seann William Scott, Tara Reid, Eugene Levy","Comedy","preceded by American Pie"
"An American Rhapsody","Éva Gárdos","Scarlett Johansson, Nastassja Kinski, Tony Goldwyn","Drama",""
"Amy's Orgasm","Julie Davis","Julie Davis, Nick Chinlund, Jeff Cesario","Comedy",""
"Angel Eyes","Luis Mandoki","Jennifer Lopez, James Caviezel, Jeremy Sisto","Romance",""
"Bridget Jones's Diary", , , , 
"The Animal","Luke Greenfield","Rob Schneider, Colleen Haskell, John C. McGinley, Edward Asner","Comedy",""
"The Anniversary Party","Alan Cumming, Jennifer Jason Leigh","Alan Cumming, Jennifer Jason Leigh, Kevin Kline","Comedy, Drama",""
"Antitrust","Peter Howitt","Ryan Phillippe, Rachael Leigh Cook, Claire Forlani, Tim Robbins","Crime drama",""
"Atlantis: The Lost Empire","Gary Trousdale, Kirk Wise","Michael J. Fox, Cree Summer, James Garner","Animation",""
"Baby Boy","John Singleton","Tyrese Gibson, Snoop Dogg, Ving Rhames","Crime drama",""
"Bandits","Barry Levinson","Bruce Willis, Cate Blanchett, Billy Bob Thornton","Crime, Comedy",""
"Bartleby","Jonathan Parker","David Paymer, Crispin Glover, Glenne Headly","Comedy, Drama","based on Bartleby, the Scrivener by Herman Melville"
"A Beautiful Mind","Ron Howard","Russell Crowe, Jennifer Connelly, Ed Harris","Biography, Drama","bio of John Forbes Nash, Jr. winner of Academy Award, Golden Globe"
"Behind Enemy Lines","John Moore","Gene Hackman, Owen Wilson, David Keith","War",""
"The Believer","Henry Bean","Ryan Gosling, Billy Zane, Theresa Russell","Drama","winner of the Grand Jury Prize: Dramatic"
"Big Bad Love","Arliss Howard","Arliss Howard, Debra Winger, Paul Le Mat","Drama",""
"Black Hawk Down","Ridley Scott","Josh Hartnett, Ewan McGregor, Tom Hardy","War","based on Black Hawk Down by Mark Bowden"
"Black Knight","Gil Junger","Martin Lawrence","Comedy",""
"Blow","Ted Demme","Johnny Depp, Penélope Cruz","Biography, Drama","based on Blow by Bruce Porter"
"Bones","Ernest R. Dickerson","Snoop Dogg, Pam Grier, Michael T. Weiss","Horror",""
"Boom: The Sound of Eviction","Francine Cavanaugh","Willie Brown","Documentary",""
"A Boy Named Sue","Julie Wyman","","Documentary",""
"The Brothers","Gary Hardwick","Morris Chestnut, D. L. Hughley, Bill Bellamy, Shemar Moore","Comedy",""
"Bubble Boy","Blair Hayes","Jake Gyllenhaal","Comedy",""
"Buffalo Soldiers","Gregor Jordan","Joaquin Phoenix, Ed Harris, Anna Paquin","War, Comedy","based on Buffalo Soldiers by Robert O'Connor"
"Bully","Larry Clark","Brad Renfro, Rachel Miner, Bijou Phillips","Crime drama","based on Bully: A True Story of High School Revenge by Jim Schutze"
"The Business of Strangers","Patrick Stettner","Julia Stiles, Stockard Channing, Marcus Giamatti","Thriller",""
"Captain Corelli's Mandolin","John Madden","Nicolas Cage, Penélope Cruz","Romance","based on Captain Corelli's Mandolin by Louis de Bernières"
"The Cat's Meow","Peter Bogdanovich","Kirsten Dunst, Edward Herrmann, Eddie Izzard, Cary Elwes, Joanna Lumley, Jennifer Tilly","Drama","based on The Cat's Meow by Steven Peros"
"Cats & Dogs","Lawrence Guterman","Jeff Goldblum, Elizabeth Perkins, Tobey Maguire, Sean Hayes, Alec Baldwin, Alexander Pollock","Comedy",""
"The Caveman's Valentine","Kasi Lemmons","Samuel L. Jackson, Colm Feore, Ann Magnuson","Crime drama","based on The Caveman's Valentine by George Dawes Green"
"The Center of the World","Wayne Wang","Peter Sarsgaard, Molly Parker","Drama",""
"Corky Romano","Rob Pritts","Chris Kattan, Peter Falk, Fred Ward","Comedy",""
"CQ","Roman Coppola","Jeremy Davies, Angela Lindvall","Science fiction",""
"Crazy/Beautiful","John Stockwell","Kirsten Dunst, Jay Hernandez, Bruce Davison","Romance",""
"Crocodile Dundee in Los Angeles","Simon Wincer","Paul Hogan, Linda Kozlowski, Jere Burns, Paul Rodriguez","Adventure","preceded by ""Crocodile"" Dundee II"
"The Curse of the Jade Scorpion","Woody Allen","Woody Allen, Elizabeth Berkley, Helen Hunt, Dan Aykroyd","Comedy",""
"The Deep End","Scott McGehee, David Siegel","Tilda Swinton, Goran Višnjić, Jonathan Tucker","Drama","based on The Blank Wall by Elisabeth Sanxay Holding"
"Delivering Milo","Nick Castle","Anton Yelchin, Albert Finney, Bridget Fonda","Comedy",""
"Den","Greg Arce","Greg Arce, Stephanie Rettig, Lee Schall, Dana J. Ryan","Thriller","IMDb"
"Dogtown and Z-Boys","Stacy Peralta","the history of skateboarding","Documentary",""
"Domestic Disturbance","Harold Becker","John Travolta, Vince Vaughn, Teri Polo","Thriller",""
"Don't Say a Word","Gary Fleder","Michael Douglas, Sean Bean, Brittany Murphy","Thriller","based on Don't Say a Word by Andrew Klavan"
"Donnie Darko","Richard Kelly","Jake Gyllenhaal, Jena Malone, Drew Barrymore, Mary McDonnell, Katharine Ross, Patrick Swayze, Noah Wyle","Science fiction",""
"Double Take","George Gallo","Eddie Griffin, Orlando Jones","Comedy",""
"Down to Earth","Chris Weitz, Paul Weitz","Chris Rock","Comedy","based on Heaven Can Wait"
"Dr. Dolittle 2","Steve Carr","Eddie Murphy, Raven-Symoné, Kevin Pollak","Comedy","preceded by Dr. Dolittle"
"Driven","Renny Harlin","Sylvester Stallone, Burt Reynolds, Kip Pardue, Til Schweiger, Gina Gershon, Estella Warren","Action","7 Razzie nominations"
"Dumb Luck","Craig Clyde","Scott Baio, Tracy Nelson, Hal Linden","Comedy",""
"Earth vs. the Spider","Scott Ziehl","Dan Aykroyd, Devon Gummersall, Amelia Heinle","Horror","TV film"
"Elvira's Haunted Hills","Sam Irvin","Cassandra Peterson, Richard O'Brien, Mary Scheer","Horror","preceded by Elvira, Mistress of the Dark"
"Enemy at the Gates","Jean-Jacques Annaud","Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes, Bob Hoskins","War","based on Enemy at the Gates: The Battle for Stalingrad by William Craig"
"Escape from Hell","Danny Carrales","Daniel Kruse, Emilie Jo Tisdale, Terry Jernigan","Horror",""
"Evolution","Ivan Reitman","David Duchovny, Orlando Jones, Seann William Scott, Julianne Moore","Science fiction",""
"Exit Wounds","Andrzej Bartkowiak","Steven Seagal, DMX, Anthony Anderson","Action","based on Exit Wounds by John Westermann"
"The Fast and the Furious","Rob Cohen","Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster","Action",""
"Festival in Cannes","Henry Jaglom","Anouk Aimée, Greta Scacchi, Maximilian Schell, Ron Silver","Comedy",""
"Final Fantasy: The Spirits Within","Hironobu Sakaguchi","Ming-Na, Alec Baldwin, James Woods, Donald Sutherland, Ving Rhames, Steve Buscemi, Peri Gilpin","Fantasy",""
"Finder's Fee","Jeff Probst","Erik Palladino, James Earl Jones, Ryan Reynolds, Dash Mihok","Thriller",""
"The Fluffer","Wash West, Richard Glatzer","Scott Gurney, Taylor Negron, Roxanne Day","Comedy",""
"The Forsaken","J. S. Cardone","Kerr Smith, Brendan Fehr, Izabella Miko","Horror",""
"Frailty","Bill Paxton","Bill Paxton, Powers Boothe, Matthew McConaughey","Horror",""
"Freddy Got Fingered","Tom Green","Tom Green, Rip Torn, Harland Williams, Marisa Coughlan, Eddie Kaye Thomas, Julie Hagerty","Comedy","Winner of 5 Razzie awards including Worst Picture"
"From Hell","Albert and Allen Hughes","Johnny Depp, Heather Graham, Ian Holm","Crime drama","based on From Hell by Alan Moore"
"Full Frontal","Kyle Schickner","Kyle Schickner, Christopher May, Chi Chi LaRue","Comedy",""
"Get Over It","Tommy O'Haver","Kirsten Dunst, Ben Foster, Sisqó, Shane West, Colin Hanks, Martin Short, Carmen Electra","Musical","based on A Midsummer Night's Dream by William Shakespeare"
"Ghost World","Terry Zwigoff","Thora Birch, Scarlett Johansson, Brad Renfro, Illeana Douglas, Steve Buscemi","Drama","based on Ghost World by Daniel Clowes"
"Ghosts of Mars","John Carpenter","Ice Cube, Natasha Henstridge, Joanna Cassidy","Science fiction",""
"The Glass House","Daniel Sackheim","Leelee Sobieski, Diane Lane, Stellan Skarsgård","Thriller",""
"Glitter","Vondie Curtis-Hall","Mariah Carey, Max Beesley, Terrence Howard, Ann Magnuson","Musical","6 Razzie nominations"
"God Didn't Give Me a Week's Notice","Richard Daily","Margaret Holloway","Documentary",""
"Good Neighbor","Todd Turner","Billy Dee Williams, Danica McKellar, Tobin Bell","Thriller",""
"Gosford Park","Robert Altman","Michael Gambon, Kristin Scott Thomas, Maggie Smith, Helen Mirren, Alan Bates, Bob Balaban, Clive Owen","Mystery, Comedy",""
"The Grey Zone","Tim Blake Nelson","Harvey Keitel, Natasha Lyonne, David Arquette","Drama","based on Auschwitz: A Doctor's Eyewitness Account by Miklós Nyiszli"
"Hannibal","Ridley Scott","Anthony Hopkins, Julianne Moore, Gary Oldman, Giancarlo Giannini, Ray Liotta","Thriller","based on Hannibal by Thomas Harris preceded by The Silence of the Lambs"
"Hardball","Brian Robbins","Keanu Reeves, Diane Lane, John Hawkes","Drama","based on Hardball: A Season in the Projects by Daniel Coyle"
"Harry Potter and the Sorcerer's Stone","Chris Columbus","Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Maggie Smith, Robbie Coltrane","Fantasy","based on Harry Potter and the Sorcerer's Stone by J. K. Rowling"
"Harvard Man","James Toback","Adrien Grenier, Sarah Michelle Gellar, Joey Lauren Adams","Drama",""
"Head Over Heels","Mark Waters","Monica Potter, Freddie Prinze, Jr.","Romantic comedy",""
"Heartbreakers","David Mirkin","Sigourney Weaver, Jennifer Love Hewitt, Gene Hackman, Ray Liotta","Comedy",""
"Hearts in Atlantis","Scott Hicks","Anthony Hopkins, Anton Yelchin, Hope Davis, David Morse","Drama","based on Hearts in Atlantis by Stephen King"
"Hedwig and the Angry Inch","John Cameron Mitchell","John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski, Rob Campbell","Musical comedy","based on Hedwig and the Angry Inch"
"Heist","David Mamet","Gene Hackman, Danny DeVito, Delroy Lindo, Sam Rockwell, Rebecca Pidgeon, Ricky Jay","Crime drama",""
"Herman U.S.A.","Bill Semans","Michael O'Keefe, Kevin Chamberlin","Rom com",""
"How High","Jesse Dylan","Method Man, Redman","Comedy",""
"How to Make a Monster","George Huang","Clea DuVall, Steven Culp","Science fiction",""
"Human Nature","Michel Gondry","Patricia Arquette, Rhys Ifans, Tim Robbins, Miranda Otto","Comedy",""
"I Am Sam","Jessie Nelson","Sean Penn, Michelle Pfeiffer, Dakota Fanning","Drama",""
"In the Bedroom","Todd Field","Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei","Crime drama","based on Killings by Andre Dubus Satellite Award for Best Film – Drama"
"Jay and Silent Bob Strike Back","Kevin Smith","Jason Mewes, Kevin Smith","Comedy","preceded by Clerks"
"Jeepers Creepers","Victor Salva","Gina Philips, Justin Long, Jonathan Breck","Horror",""
"Jimmy Neutron: Boy Genius","John A. Davis","Megan Cavanagh, Mark DeCarlo, Debi Derryberry","Animation",""
"The Jimmy Show","Frank Whaley","Frank Whaley, Carla Gugino, Ethan Hawke","Comedy","based on Veins and Thumbtacks by Jonathan Marc Sherman"
"Joe Dirt","Dennie Gordon","David Spade, Brittany Daniel, Adam Beach","Comedy",""
"Joe Somebody","John Pasquin","Tim Allen, James Belushi, Julie Bowen","Comedy",""
"Josie and the Pussycats","Harry Elfont, Deborah Kaplan","Rachael Leigh Cook, Tara Reid, Rosario Dawson","Musical comedy","based on Josie and the Pussycats by Dan DeCarlo"
"Joy Ride","John Dahl","Paul Walker, Steve Zahn, Leelee Sobieski","Horror",""
"Jurassic Park III","Joe Johnston","Sam Neill, William H. Macy, Téa Leoni, Michael Jeter, Alessandro Nivola, Trevor Morgan","Science fiction","preceded by The Lost World: Jurassic Park"
"Just Visiting","Jean-Marie Poiré","Jean Reno, Christina Applegate, Christian Clavier","Fantasy","based on Les Visiteurs"
"K-PAX","Iain Softley","Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard","Drama","based on K-PAX by Gene Brewer"
"Kate & Leopold","James Mangold","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer","Comedy",""
"Kill Me Later","Dana Lustig","Selma Blair, Max Beesley, Brendan Fehr","Thriller",""
"Kingdom Come","Doug McHenry","LL Cool J, Jada Pinkett Smith, Vivica A. Fox Toni Braxton","Comedy",""
"Kiss of the Dragon","Chris Nahon","Jet Li, Bridget Fonda, Tchéky Karyo","Action",""
"Kissing Jessica Stein","Charles Herman-Wurmfeld","Jennifer Westfeldt, Heather Juergensen, Scott Cohen, Jackie Hoffman","Romantic comedy","based on Lipschtick by Heather Juergensen and Jennifer Westfeldt"
"A Knight's Tale","Brian Helgeland","Heath Ledger, Rufus Sewell, Paul Bettany, Shannyn Sossamon, Mark Addy","Comedy",""
"Knockaround Guys","Brian Koppelman, David Levien","Barry Pepper, Seth Green, Vin Diesel, John Malkovich, Dennis Hopper","Comedy",""
"L.I.E.","Michael Cuesta","Brian Cox, Paul Dano, Billy Kay","Drama",""
"Lara Croft: Tomb Raider","Simon West","Angelina Jolie, Jon Voight, Iain Glen","Action","based on the Tomb Raider series"
"The Last Castle","Rod Lurie","Robert Redford, James Gandolfini, Mark Ruffalo","Drama",""
"Laughter on the 23rd Floor","Richard Benjamin","Nathan Lane, Victor Garber, Peri Gilpin","Comedy","Based on play by Neil Simon"
"Legally Blonde","Robert Luketic","Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis","Comedy","based on Legally Blonde by Amanda Brown"
"Life as a House","Irwin Winkler","Kevin Kline, Kristin Scott Thomas, Hayden Christensen, Jena Malone, Mary Steenburgen","Drama",""
"Lloyd","Hector Baron","Todd Bosley, Brendon Ryan Barret, Mary Mara","Comedy",""
"The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Elijah Wood, Ian McKellen, Liv Tyler, Sean Astin, Viggo Mortensen, Orlando Bloom, Sean Bean, Hugo Weaving, Ian Holm","Fantasy","based on The Fellowship of the Ring by J. R. R. Tolkien winner of the BAFTA Award for Best Film"
"The Lost Skeleton of Cadavra","Larry Blamire","Fay Masterson, Andrew Parks, Susan McConnell","Science fiction",""
"Lovely & Amazing","Nicole Holofcener","Brenda Blethyn, Catherine Keener, Emily Mortimer","Comedy",""
"The Majestic","Frank Darabont","Jim Carrey, Martin Landau, James Whitmore","Drama",""
"The Man Who Wasn't There","Joel Coen","Billy Bob Thornton, Frances McDormand, James Gandolfini","Crime drama",""
"Max Keeble's Big Move","Tim Hill","Alex D. Linz, Josh Peck, Zena Grey","Comedy",""
"Megiddo: The Omega Code 2","Brian Trenchard-Smith","Michael York, Michael Biehn, Diane Venora","Fantasy",""
"The Mexican","Gore Verbinski","Brad Pitt, Julia Roberts, James Gandolfini","Comedy",""
"Mockingbird Don't Sing","Harry Bromley Davenport","Tarra Steele, Melissa Errico, Sean Young, Kim Darby","Drama",""
"Monkeybone","Henry Selick","Brendan Fraser, Bridget Fonda, Chris Kattan","Fantasy","based on Dark Town by Kaja Blackley"
"Monsoon Wedding","Mira Nair","Naseeruddin Shah, Lillete Dubey, Shefali Shah","Comedy",""
"Monster's Ball","Marc Forster","Billy Bob Thornton, Halle Berry, Heath Ledger, Peter Boyle","Drama","Academy Award for Berry"
"Monsters, Inc.","Peter Docter","John Goodman, Billy Crystal, Steve Buscemi, James Coburn","Animation",""
"A Month of Sundays","Stewart Raffill","Corina Marie, Rod Steiger, Michael Paré","Drama",""
"Moulin Rouge!","Baz Luhrmann","Nicole Kidman, Ewan McGregor","Musical","based on La traviata by Giuseppe Verdi winner of Golden Globe, Satellite Award"
"Mulholland Drive","David Lynch","Naomi Watts, Laura Elena Harring, Justin Theroux","Crime drama",""
"The Mummy Returns","Stephen Sommers","Brendan Fraser, Rachel Weisz, John Hannah, Oded Fehr, Dwayne Johnson","Adventure","preceded by The Mummy"
"Murder on a Sunday Morning","Jean-Xavier de Lestrade","the Brenton Butler case","Documentary","winner of the Academy Award for Best Documentary (Feature)"
"The Musketeer","Peter Hyams","Tim Roth, Catherine Deneuve, Mena Suvari, Stephen Rea, Justin Chambers","Adventure","based on The Three Musketeers by Alexandre Dumas, père"
"My Big Break","Tony Zierra","careers of Wes Bentley, Tony Zierra, Brad Rowe, Chad Lindberg, Greg Fawcett","Documentary",""
"My Big Fat Greek Wedding","Joel Zwick","Nia Vardalos, John Corbett, Michael Constantine","Comedy"
"My First Mister","Christine Lahti","Albert Brooks, Leelee Sobieski, John Goodman","Drama",""
"Not Another Teen Movie","Joel Gallen","Chris Evans, Jaime Pressly, Chyler Leigh","parody",""
"Novocaine","David Atkins","Steve Martin, Helena Bonham Carter, Laura Dern","Comedy",""
"O","Tim Blake Nelson","Mekhi Phifer, Josh Hartnett, Julia Stiles","Drama","based on Othello by William Shakespeare"
"Ocean's Eleven","Steven Soderbergh","George Clooney, Matt Damon, Brad Pitt, Andy García, Julia Roberts, Don Cheadle, Casey Affleck, Elliott Gould, Bernie Mac, Carl Reiner, Casey Affleck, Scott Caan","Crime","based on 1960 film Ocean's Eleven"
"On the Line","Eric Bross","Lance Bass, Joey Fatone","Comedy",""
"The One","James Wong","Jet Li, Delroy Lindo, Carla Gugino","Action",""
"One Night at McCool's","Harald Zwart","Liv Tyler, Matt Dillon, Michael Douglas, Paul Reiser","Comedy",""
"Original Sin","Michael Cristofer","Antonio Banderas, Angelina Jolie, Thomas Jane","Thriller","based on Waltz into Darkness by Cornell Woolrich"
"Osmosis Jones","Bobby Farrelly, Peter Farrelly, Tom Sito, Piet Kroon","Bill Murray, Chris Rock, Laurence Fishburne","Fantasy",""
"The Others","Alejandro Amenábar","Nicole Kidman, Alakina Mann, Christopher Eccleston","Science fiction","based on The Turn of the Screw by Henry James"
"Out Cold","Brendan and Emmett Malloy","Jason London, Lee Majors, Zach Galifianakis","Comedy",""
"Out of the Black","Karl Kozak","Tyler Christopher, Sally Kirkland, Jason Widener","Drama",""
"The Pact","Rodney Gibbons","Rider Strong, Adam Frost, Lisa Zane, John Heard","Thriller",""
"Pearl Harbor","Michael Bay","Ben Affleck, Josh Hartnett, Kate Beckinsale, Tom Sizemore, Cuba Gooding, Jr., Alec Baldwin, Jon Voight","War","6 Razzie nominations"
"Perfume","Michael Rymer","Estella Warren, Jeff Goldblum, Mariel Hemingway","Drama",""
"Piñero","Leon Ichaso","Benjamin Bratt, Talisa Soto, Giancarlo Esposito","Biography",""
"Planet of the Apes","Tim Burton","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Estella Warren, Kris Kristofferson","Science fiction","based on Planet of the Apes"
"The Pledge","Sean Penn","Jack Nicholson, Patricia Clarkson, Benicio del Toro","Crime drama","based on The Pledge: Requiem for the Detective Novel by Friedrich Dürrenmatt"
"Pootie Tang","Louis C.K.","Lance Crouther, Wanda Sykes, Chris Rock","Comedy",""
"The Princess Diaries","Garry Marshall","Julie Andrews, Anne Hathaway, Heather Matarazzo, Héctor Elizondo, Caroline Goodall, Mandy Moore, Erik Von Detten","Comedy","based on The Princess Diaries by Meg Cabot"
