"Title","Director","Cast(Subject of documentary)","Genre","Notes"
"Rat Race","Jerry Zucker","John Cleese, Rowan Atkinson, Cuba Gooding, Jr., Seth Green, Breckin Meyer, Whoopi Goldberg, Amy Smart","Comedy","based on It's a Mad, Mad, Mad, Mad World"
"Recess: School's Out","Chuck Sheetz","Rickey D'Shon Collins, Jason Davis, Paul Willson","Animation","based on Recess"
"Revolution OS","J. T. S. Moore","history of GNU, Linux, open source, free software movement","Documentary",""
"Riding in Cars with Boys","Penny Marshall","Drew Barrymore, Steve Zahn, Brittany Murphy, James Woods","Comedy","based on Riding in Cars with Boys by Beverly Donofrio"
"Rock Star","Stephen Herek","Mark Wahlberg, Jennifer Aniston","Drama",""
"The Royal Tenenbaums","Wes Anderson","Gene Hackman, Anjelica Huston, Gwyneth Paltrow, Ben Stiller, Luke Wilson, Owen Wilson, Danny Glover, Bill Murray","Comedy",""
"Rush Hour 2","Brett Ratner","Jackie Chan, Chris Tucker","Comedy","preceded by Rush Hour"
"The Safety of Objects","Rose Troche","Glenn Close, Dermot Mulroney, Patricia Clarkson","Drama",""
"Save the Last Dance","Thomas Carter","Julia Stiles, Sean Patrick Thomas, Kerry Washington","Romance",""
"Saving Silverman","Dennis Dugan","Jason Biggs, Steve Zahn, Jack Black, Amanda Peet","Comedy",""
"Say It Isn't So","James B. Rogers","Chris Klein, Heather Graham, Orlando Jones","Comedy",""
"Scary Movie 2","Keenen Ivory Wayans","Anna Faris, Christopher Masterson, Regina Hall, Marlon Wayans, Shawn Wayans, Tori Spelling","Parody","preceded by Scary Movie"
"The Score","Frank Oz","Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett","Crime drama","Brando's final film"
"Scotland, Pennsylvania","Billy Morrissette","Maura Tierney, James LeGros, Christopher Walken","Comedy","based on Macbeth by William Shakespeare"
"Scratch","Doug Pray","Hip hop music and disc jockeys","Documentary",""
"See Spot Run","John Whitesell","David Arquette, Michael Clarke Duncan, Leslie Bibb","Comedy",""
"Serendipity","Peter Chelsom","John Cusack, Kate Beckinsale","Romance",""
"Session 9","Brad Anderson","David Caruso, Peter Mullan, Brendan Sexton III, Stephen Gevedon, Josh Lucas","Thriller",""
"Shallow Hal","Peter and Bobby Farrelly","Jack Black, Gwyneth Paltrow, Jason Alexander, Joe Viterelli","Comedy",""
"She Creature","Sebastian Gutierrez","Rufus Sewell, Carla Gugino, Rya Kihlstedt","Fantasy",""
"The Shipping News","Lasse Hallström","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett","Drama","based on The Shipping News by E. Annie Proulx"
"Shrek","Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow","Animation","based on Shrek! by William Steig winner of the Academy Award for Best Animated Feature"
"The Shrink Is In","Richard Benjamin","Courteney Cox, David Arquette","Comedy",""
"Sidewalks of New York","Edward Burns","Edward Burns, Rosario Dawson, Dennis Farina, Heather Graham, David Krumholtz, Brittany Murphy, Stanley Tucci","Comedy",""
"Someone Like You","Tony Goldwyn","Ashley Judd, Greg Kinnear, Hugh Jackman, Marisa Tomei","Comedy","based on Animal Husbandry by Laura Zigman"
"Soul Survivors","Stephen Carpenter","Melissa Sagemiller, Casey Affleck, Eliza Dushku","Thriller",""
"Southern Comfort","Kate Davis","Robert Eads","Documentary","winner of the Grand Jury Prize: Documentary"
"Southlander","Steven Hanft, Ross Harris","Rory Cochrane, Beck, Beth Orton","Drama",""
"Spy Game","Tony Scott","Robert Redford, Brad Pitt","Drama",""
"Spy Kids","Robert Rodriguez","Alexa Vega, Daryl Sabara, Antonio Banderas, Carla Gugino, Alan Cumming, Danny Trejo, Cheech Marin","Family",""
"Storytelling","Todd Solondz","Paul Giamatti, Selma Blair, John Goodman","Drama",""
"Sugar & Spice","Francine McDougall","Marla Sokoloff, Marley Shelton, Mena Suvari","Comedy",""
"Summer Catch","Michael Tollin","Freddie Prinze, Jr., Jessica Biel, Matthew Lillard","Comedy",""
"Super Troopers","Jay Chandrasekhar","Brian Cox, Marisa Coughlan, Daniel Von Bargen","Comedy",""
"Sweet November","Pat O'Connor","Keanu Reeves, Charlize Theron","Romance","based on Sweet November"
"Swordfish","Dominic Sena","Hugh Jackman, John Travolta, Halle Berry, Don Cheadle","Crime drama",""
"The Tailor of Panama","John Boorman","Pierce Brosnan, Geoffrey Rush, Jamie Lee Curtis, Brendan Gleeson, Catherine McCormack, Daniel Radcliffe","Drama","based on The Tailor of Panama by John le Carré"
"Tape","Richard Linklater","Ethan Hawke, Robert Sean Leonard, Uma Thurman","Drama",""
"Thirteen Conversations About One Thing","Jill Sprecher","Matthew McConaughey, Alan Arkin, Clea DuVall","Drama",""
"Thirteen Ghosts","Steve Beck","Tony Shalhoub, Embeth Davidtz, F. Murray Abraham, Shannon Elizabeth, Matthew Lillard","Horror","based on 13 Ghosts"
"To End All Wars","David L. Cunningham","Robert Carlyle, Kiefer Sutherland, Ciarán McMenamin","War",""
"Tomcats","Gregory Poirier","Jerry O'Connell, Shannon Elizabeth, Jake Busey","Comedy",""
"Tortilla Soup","Maria Ripoll","Jacqueline Obrados, Tamara Mello, Héctor Elizondo","Comedy","based on Eat Drink Man Woman"
"Town & Country","Peter Chelsom","Warren Beatty, Diane Keaton, Goldie Hawn, Andie MacDowell, Nastassja Kinski, Charlton Heston","Comedy",""
"Training Day","Antoine Fuqua","Denzel Washington, Ethan Hawke","Crime drama",""
"Two Can Play That Game","Mark Brown","Vivica A. Fox, Morris Chestnut","Comedy",""
"Uprising","Jon Avnet","Leelee Sobieski, Hank Azaria, David Schwimmer, Jon Voight","War drama",""
"Valentine","Jamie Blanks","Denise Richards, David Boreanaz, Marley Shelton, Katherine Heigl","Horror","based on Valentine by Tom Savage"
"Vanilla Sky","Cameron Crowe","Tom Cruise, Penélope Cruz, Cameron Diaz, Jason Lee, Kurt Russell, Noah Taylor","Thriller","based on Open Your Eyes"
"Waking Life","Richard Linklater","Ethan Hawke, Julie Delpy, Wiley Wiggins","Animation",""
"The Wash","DJ Pooh","Dr. Dre, Snoop Dogg","Comedy",""
"The Wedding Planner","Adam Shankman","Jennifer Lopez, Matthew McConaughey, Bridgette Wilson","Comedy",""
"West 47th Street","Bill Lichtenstein, June Peoples","living with a mental disorder","Documentary",""
"Wet Hot American Summer","David Wain","Janeane Garofalo, Paul Rudd, Molly Shannon","Comedy",""
"What's the Worst That Could Happen?","Sam Weisman","Martin Lawrence, Danny DeVito, Bernie Mac","Comedy","based on What's the Worst That Could Happen? by Donald E. Westlake"
"When Strangers Appear","Scott Reynolds","Radha Mitchell, Barry Watson, Josh Lucas","Drama",""
"The Zeros","John Ryman","Rachel Wilson, Jennifer Morrison, Kyle Gass","Science fiction",""
"Zoolander","Ben Stiller","Ben Stiller, Owen Wilson, Christine Taylor","Comedy",""
