"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"13 Moons","Alexandre Rockwell","Jennifer Beals, Elizabeth Bracco, Steve Buscemi","Comedy, Drama",""
"25th Hour","Spike Lee","Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson, Anna Paquin, Brian Cox","Drama","Based on a novel by David Benioff"
"40 Days and 40 Nights","Michael Lehmann","Josh Hartnett, Shannyn Sossamon, Paulo Costanzo","Comedy",""
"8 Mile","Curtis Hanson","Eminem, Kim Basinger, Brittany Murphy, Mekhi Phifer, Eugene Byrd, Omar Benson Miller","Drama, Musical","Universal Pictures"
"Abandon","Stephen Gaghan","Katie Holmes, Benjamin Bratt, Zooey Deschanel","Drama, thriller","Based on Adams Fall by Sean Desmond"
"About a Boy","Chris Weitz, Paul Weitz","Hugh Grant, Nicholas Hoult, Toni Collette","Comedy, Drama","Based on a novel by Nick Hornby"
"About Schmidt","Alexander Payne","Jack Nicholson, Kathy Bates, Hope Davis, Len Cariou, Dermot Mulroney, June Squibb","Comedy, Drama","Based on a novel by Louis Begley"
"Adaptation","Spike Jonze","Nicolas Cage, Meryl Streep, Chris Cooper","Comedy, Drama","based on The Orchid Thief by Susan Orlean; Oscar for Cooper"
"The Adventures of Pluto Nash","Ron Underwood","Eddie Murphy, Randy Quaid, Rosario Dawson, Joe Pantoliano, Peter Boyle, Pam Grier, James Rebhorn, Jay Mohr, Burt Young, John Cleese","Comedy, Science fiction","Warner Bros. Pictures, Village Roadshow Pictures; 5 Razzie nominations"
"All About the Benjamins","Kevin Bray","Ice Cube, Mike Epps, Eva Mendes","Action, Comedy",""
"Analyze That","Harold Ramis","Robert De Niro, Billy Crystal, Lisa Kudrow","Comedy","Preceded by Analyze This"
"Antwone Fisher","Denzel Washington","Derek Luke, Joy Bryant, Denzel Washington, Malcolm David Kelley","Biography, Drama","Fox Searchlight Pictures. Based on Finding Fish by Antwone Fisher"
