"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The 40-Year-Old Virgin","Judd Apatow","Steve Carell, Catherine Keener, Paul Rudd","Comedy",""
"51 Birch Street","Doug Block","love, marriage, fidelity and a suburban family","Documentary",""
"The Adventures of Sharkboy and Lavagirl in 3-D","Robert Rodriguez","Taylor Lautner, Taylor Dooley, Cayden Boyd, George Lopez","Family, superhero",""
"Æon Flux","Karyn Kusama","Charlize Theron","Science fiction","based on Æon Flux"
"Aliens of the Deep","James Cameron, Steve Quale","the Mid-Ocean Ridge","Documentary",""
"Alone in the Dark","Uwe Boll","Christian Slater, Tara Reid, Stephen Dorff","Comedy","based on Alone in the Dark"
"The Amityville Horror","Andrew Douglas","Ryan Reynolds, Melissa George, Jesse James, Jimmy Bennett","Horror","based on The Amityville Horror by Jay Anson"
"Are We There Yet?","Brian Levant","Ice Cube","Comedy",""
"The Aristocrats","Paul Provenza","the obscure dirty joke ""The Aristocrats""","Documentary",""
"Assault on Precinct 13","Jean-François Richet","Ethan Hawke, Laurence Fishburne, Gabriel Byrne","Action","based on Assault on Precinct 13"
"Bad News Bears","Richard Linklater","Billy Bob Thornton, Greg Kinnear","Comedy","based on The Bad News Bears"
"The Ballad of Jack and Rose","Rebecca Miller","Daniel Day-Lewis, Camilla Belle","Drama",""
"Batman Begins","Christopher Nolan","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Morgan Freeman","Superhero","Based on the DC Comics character"
"The Baxter","Michael Showalter","Michael Showalter, Elizabeth Banks, Michelle Williams","Comedy",""
"Be Cool","F. Gary Gray","John Travolta, Uma Thurman, Cedric the Entertainer, André Benjamin, Steven Tyler, Vince Vaughn","Crime comedy","preceded by Get Shorty"
"Beauty Shop","Bille Woodruff","Queen Latifah","Comedy","preceded by Barbershop 2: Back in Business"
"Because of Winn-Dixie","Wayne Wang","AnnaSophia Robb, Jeff Daniels, Cicely Tyson","Family","based on Because of Winn-Dixie by Kate DiCamillo"
"Bee Season","David Siegel, Scott McGehee","Richard Gere, Juliette Binoche, Flora Cross, Max Minghella","Drama","based on Bee Season by Myla Goldberg"
"Bewitched","Nora Ephron","Nicole Kidman, Will Ferrell, Michael Caine, Jason Schwartzman, Shirley MacLaine","Comedy","based on Bewitched"
"Bigger Than the Sky","Al Corley","Marcus Thomas, John Corbett, Amy Smart","Comedy",""
"Boogeyman","Stephen Kay","Barry Watson, Emily Deschanel, Lucy Lawless","Horror",""
"Brick","Rian Johnson","Joseph Gordon-Levitt, Emilie de Ravin, Nora Zehetner","Neo-noir",""
"Brokeback Mountain","Ang Lee","Heath Ledger, Jake Gyllenhaal, Anne Hathaway, Michelle Williams, Randy Quaid","Western, Romantic Drama","winner of the BAFTA Award for Best Film, the Golden Globe Award for Best Motion Picture – Drama, the Satellite Award for Best Film – Drama and Golden Lion"
"Broken Flowers","Jim Jarmusch","Bill Murray, Jeffrey Wright, Sharon Stone, Frances Conroy, Jessica Lange, Tilda Swinton","Comedy-drama",""
"The Brothers Grimm","Terry Gilliam","Matt Damon, Heath Ledger, Jonathan Pryce","Adventure, Fantasy",""
"Capote","Bennett Miller","Philip Seymour Hoffman, Catherine Keener, Clifton Collins, Jr., Chris Cooper, Amy Ryan","Biography, Crime","based on Capote by Gerald Clarke; Academy Award for Hoffman"
"Casanova","Lasse Hallström","Heath Ledger, Jeremy Irons, Sienna Miller","Comedy",""
"The Cave","Bruce Hunt","Cole Hauser, Eddie Cibrian, Morris Chestnut, Lena Headey","Horror",""
