"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Charlie and the Chocolate Factory","Tim Burton","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Christopher Lee, Missi Pyle, James Fox","Fantasy","based on Charlie and the Chocolate Factory by Roald Dahl"
"Cheaper by the Dozen 2","Adam Shankman","Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling, Piper Perabo, Eugene Levy, Carmen Electra","Comedy","preceded by Cheaper by the Dozen"
"Chicken Little","Mark Dindal","Zach Braff, Joan Cusack, Steve Zahn","Animation",""
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Andrew Adamson","William Mosely, Anna Popplewell, Skandar Keynes, Georgie Henley","Adventure, Epic Fantasy,","based on The Lion, the Witch and the Wardrobe by C. S. Lewis winner of the Satellite Award for Best Animated or Mixed Media Feature"
"The Chumscrubber","Arie Posin","Glenn Close, Ralph Fiennes, Caroline Goodall","Comedy",""
"Cinderella Man","Ron Howard","Russell Crowe, Renée Zellweger, Paul Giamatti, Bruce McGill, Craig Bierko","Biography, Drama","story of James J. Braddock"
"Coach Carter","Thomas Carter","Samuel L. Jackson, Rob Brown, Ashanti, Channing Tatum","Drama",""
"Constantine","Francis Lawrence","Keanu Reeves, Rachel Weisz, Shia LaBeouf","Horror","based on Hellblazer"
"Corpse Bride","Tim Burton","Johnny Depp, Helena Bonham Carter","Animation",""
"The Crow: Wicked Prayer","Lance Mungia","Edward Furlong, David Boreanaz, Tara Reid, Emmanuelle Chriqui","Action","preceded by The Crow: Salvation"
"Cruel World","Kelsey T. Howard","Edward Furlong, Susan Ward, Daniel Franzese, Andrew Keegan","Horror",""
"Cry_Wolf","Jeff Wadlow","Julian Morris, Lindy Booth, Jon Bon Jovi, Kristy Wu","Drama",""
"Cursed","Wes Craven","Christina Ricci, Jesse Eisenberg, Joshua Jackson, Judy Greer","Horror",""
"Daltry Calhoun","Katrina Holden Bronson","Johnny Knoxville","Comedy",""
"Dark Water","Walter Salles","Jennifer Connelly","Horror","based on ""Floating Water"" from Dark Water by Koji Suzuki"
"Deuce Bigalow: European Gigolo","Mike Bigelow","Rob Schneider, Eddie Griffin","Comedy","preceded by Deuce Bigalow: Male Gigolo; 5 Razzie nominations"
"Derailed","Mikael Håfström","Clive Owen, Jennifer Aniston, Vincent Cassel","Thriller","based on Derailed by James Siegel"
"The Derby Stallion","Craig Clyde","Zac Efron, Bill Cobbs, Crystal Hunt, Rob Pinkston","Drama",""
"The Devil's Rejects","Rob Zombie","Sid Haig, Bill Moseley, Sherri Moon, William Forsythe","Horror","preceded by House of 1000 Corpses"
"Diary of a Mad Black Woman","Darren Grant","Kimberly Elise, Steve Harris, Shemar Moore, Cicely Tyson, Tyler Perry","Comedy-drama","Based on Diary of a Mad Black Woman by Tyler Perry"
"Dirty Love","John Mallory Asher","Jenny McCarthy, Eddie Kaye Thomas, Carmen Electra, Victor Webster, Kam Heskin, Kathy Griffin","Comedy","Winner of 4 Razzie Awards including Worst Picture"
"Dominion: Prequel to the Exorcist","Paul Schrader","Stellan Skarsgård, Gabriel Mann, Billy Crawford, Ralph Brown","Horror","preceded by Exorcist: The Beginning"
"Domino","Tony Scott","Keira Knightley, Mickey Rourke, Edgar Ramirez, Lucy Liu, Jacqueline Bisset, Delroy Lindo","Crime drama",""
"Don't Come Knocking","Wim Wenders","Sam Shepard, Jessica Lange, Tim Roth","Drama",""
"Doom","Andrzej Bartkowiak","Karl Urban, Dwayne Johnson, Ben Daniels","Horror","based on Doom"
"Dreamer","John Gatins","Dakota Fanning, Kurt Russell","Drama",""
"The Dukes of Hazzard","Jay Chandrasekhar","Johnny Knoxville, Seann William Scott, Jessica Simpson, Burt Reynolds, Willie Nelson","Comedy","based on The Dukes of Hazzard; 7 Razzie nominations"
"Duma","Carroll Ballard","Alexander Michaletos, Eamonn Walker, Campbell Scott, Hope Davis","Adventure","based on How It Was with Dooms by Xan Hopcraft"
"The Dying Gaul","Craig Lucas","Patricia Clarkson, Peter Sarsgaard","Drama",""
"Elektra","Rob Bowman","Jennifer Garner, Terence Stamp, Kirsten Prout","Action","preceded by Daredevil"
"Elizabethtown","Cameron Crowe","Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin, Jessica Biel","Comedy",""
"Enron: The Smartest Guys in the Room","Alex Gibney","the Enron scandal","Documentary","based on book by Bethany McLean and Peter Elkind"
"Everything Is Illuminated","Liev Schreiber","Elijah Wood","Drama","based on novel by Jonathan Safran Foer"
"The Exorcism of Emily Rose","Scott Derrickson","Laura Linney, Tom Wilkinson, Jennifer Carpenter, Campbell Scott","Horror",""
"The Family Stone","Thomas Bezucha","Claire Danes, Diane Keaton, Rachel McAdams, Craig T. Nelson, Sarah Jessica Parker","Comedy-drama",""
"Fantastic Four","Tim Story","Ioan Gruffudd, Jessica Alba, Michael Chiklis, Chris Evans, Julian McMahon, Kerry Washington","Superhero","based on Fantastic Four"
"Favela Rising","Matt Mochary, Jeff Zimbalist","the life in a favela","Documentary",""
"Fever Pitch","Peter and Bobby Farrelly","Drew Barrymore, Jimmy Fallon","Comedy","based on Fever Pitch"
"First Descent","Kemp Curly, Kevin Harrison","snowboarding in the 1980s","Documentary",""
"Flightplan","Robert Schwentke","Jodie Foster, Peter Sarsgaard, Sean Bean","Thriller",""
"The Fog","Rupert Wainwright","Tom Welling, Maggie Grace, Selma Blair","Horror","based on The Fog"
"Forty Shades of Blue","Ira Sachs","Rip Torn, Dina Korzun, Darren E. Burrows","Drama","winner of Grand Jury Prize: Drama"
"Four Brothers","John Singleton","Mark Wahlberg, Tyrese Gibson, Andre Benjamin, Garrett Hedlund, Terrence Howard","Crime drama","based on The Sons of Katie Elder"
"Frankenstein vs. the Creature from Blood Cove","William Winckler","G. Larry Butler, William Winckler, Dezzirae Ascalon","Horror",""
"Fun with Dick and Jane","Dean Parisot","Jim Carrey, Téa Leoni, Alec Baldwin","Comedy","based on Fun with Dick and Jane"
"The Game of Their Lives","David Anspaugh","Gerard Butler, Wes Bentley, Zachery Ty Bryan","Drama","based on The Game of Their Lives by Geoffrey Douglas"
"Get Rich or Die Tryin'","Jim Sheridan","50 Cent, Terrence Howard","Biography",""
"Getting Played","David Silberg","Vivica A. Fox, Bill Bellamy, Carmen Electra, Stacey Dash","Comedy",""
"Goal!","Danny Cannon","Kuno Becker, Alessandro Nivola, Marcel Iures, Stephen Dillane","Drama, Sports",""
"The Gospel","Rob Hardy","Boris Kodjoe, Idris Elba, Clifton Powell","Musical","based on the parable of the Prodigal Son"
"Good Night, and Good Luck","George Clooney","David Strathairn, Patricia Clarkson, George Clooney, Jeff Daniels, Robert Downey, Jr.","Biography","Story of Edward R. Murrow"
"The Great Raid","John Dahl","Benjamin Bratt, Joseph Fiennes, James Franco","War",""
"The Greatest Game Ever Played","Bill Paxton","Shia LaBeouf","Drama","based on book by Mark Frost"
"Green Street","Lexi Alexander","Elijah Wood, Charlie Hunnam, Claire Forlani","Crime drama",""
"Grizzly Man","Werner Herzog","the life and death of Timothy Treadwell","Documentary",""
"Guess Who","Kevin Rodney Sullivan","Bernie Mac, Ashton Kutcher, Zoe Saldana, Hal Williams","Comedy","based on Guess Who's Coming to Dinner"
"Happy Endings","Don Roos","Lisa Kudrow, Tom Arnold, Steve Coogan, Maggie Gyllenhaal","Comedy",""
"Harry Potter and the Goblet of Fire","Mike Newell","Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Maggie Smith, Alan Rickman, Gary Oldman, Robbie Coltrane, Robert Pattinson, Ralph Fiennes","Fantasy","preceded by Harry Potter and the Prisoner of Azkaban"
"Her Minor Thing","Charlie Matthau","Estella Warren, Christian Kane, Michael Weatherly","Comedy",""
"Herbie: Fully Loaded","Angela Robinson","Lindsay Lohan, Michael Keaton, Matt Dillon, Cheryl Hines","Comedy","preceded by The Love Bug"
"Hide and Seek","John Polson","Robert De Niro, Dakota Fanning","Horror",""
"A History of Violence","David Cronenberg","Viggo Mortensen, Maria Bello, Ed Harris","Crime drama","based on A History of Violence by John Wagner"
"Hitch","Andy Tennant","Will Smith, Kevin James, Eva Mendes","Comedy",""
"The Hitchhiker's Guide to the Galaxy","Garth Jennings","Martin Freeman, Mos Def, Zooey Deschanel, Sam Rockwell, Bill Nighy, Anna Chancellor, John Malkovich, Warwick Davis","Science fiction","based on The Hitchhiker's Guide to the Galaxy by Douglas Adams"
"The Honeymooners","John Schultz","Cedric the Entertainer, Mike Epps, Gabrielle Union, Regina Hall","Comedy","based on The Honeymooners"
"Hoodwinked!","Cory Edwards, Todd Edwards, Tony Leech","Anne Hathaway, Glenn Close, James Belushi","Animation, Comedy","based on ""Little Red Riding Hood"""
"Hostage","Florent Emilio Siri","Bruce Willis, Kevin Pollak","Crime drama","based on Hostage by Robert Crais"
"Hostel","Eli Roth","Jay Hernandez, Derek Richardson, Eythor Gudjonsson","Horror",""
"House of D","David Duchovny","David Duchovny, Anton Yelchin, Robin Williams","Comedy",""
"House of Wax","Jaume Collet-Serra","Elisha Cuthbert, Chad Michael Murray, Paris Hilton, Brian Van Holt, Jared Padalecki, Jon Abrahams, Robert Ri'chard","Horror","based on House of Wax; 3 Razzie nominations"
"Hustle & Flow","Craig Brewer","Terrence Howard, Anthony Anderson, Taryn Manning","Crime drama",""
"The Ice Harvest","Harold Ramis","John Cusack, Billy Bob Thornton, Connie Nielsen, Randy Quaid","Drama","based on The Ice Harvest by Scott Phillips"
"Ice Princess","Tim Fywell","Michelle Trachtenberg, Hayden Panettiere, Kim Cattrall, Joan Cusack","Comedy",""
"In Her Shoes","Curtis Hanson","Cameron Diaz, Toni Collette, Shirley MacLaine","Comedy","based on In Her Shoes by Jennifer Weiner"
"In the Mix","Ron Underwood","Usher, Emmanuelle Chriqui, Chazz Palminteri","Comedy",""
"Inside Deep Throat","Fenton Bailey, Randy Barbato","Deep Throat and its impact","Documentary",""
"Intermedio","Andrew Lauer","Edward Furlong, Cerina Vincent, Amber Benson","Horror",""
"The Interpreter","Sydney Pollack","Nicole Kidman, Sean Penn","Crime drama",""
"Into the Blue","John Stockwell","Jessica Alba, Paul Walker","Thriller","based on The Deep"
"The Island","Michael Bay","Ewan McGregor, Scarlett Johansson","Science fiction","Ripped off from Parts: The Clonus Horror"
"The Jacket","John Maybury","Adrien Brody, Keira Knightley","Thriller","based on The Star Rover by Jack London"
"Jarhead","Sam Mendes","Jake Gyllenhaal, Jamie Foxx, Peter Sarsgaard, Lucas Black","war","based on Jarhead by Anthony Swofford"
"Junebug","Phil Morrison","Embeth Davidtz, Alessandro Nivola, Scott Wilson, Celia Weston, Amy Adams","Drama",""
"Just Friends","Roger Kumble","Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein","Romance",""
"Just Like Heaven","Mark Waters","Reese Witherspoon, Mark Ruffalo, Donal Logue","Comedy","based on If Only It Were True by Marc Levy"
"Kicking & Screaming","Jesse Dylan","Will Ferrell, Robert Duvall","Comedy",""
"Kids in America","Josh Stolberg","Gregory Smith, Chris Morris","Comedy",""
"King Kong","Peter Jackson","Naomi Watts, Jack Black, Adrien Brody, Kyle Chandler, Thomas Kretschmann","Adventure","based on King Kong"
"King's Ransom","Jeffrey W. Byrd","Anthony Anderson","Crime comedy",""
"Kingdom of Heaven","Ridley Scott","Orlando Bloom, Eva Green, Jeremy Irons","Action",""
"Kiss Kiss Bang Bang","Shane Black","Robert Downey, Jr., Val Kilmer","Crime comedy","based on Bodies Are Where You Find Them by Brett Halliday"
"The L.A. Riot Spectacular","Marc Klasfeld","Snoop Dogg, Emilio Estevez, T. K. Carter","Comedy",""
"Land of the Dead","George A. Romero","Simon Baker, John Leguizamo, Dennis Hopper, Asia Argento","Horror","preceded by Day of the Dead (1985), followed by Diary of the Dead (2007)"
"Lassie","Charles Sturridge","Jonathan Mason, Peter O'Toole, Samantha Morton","Drama, family","based on Lassie Come Home and on Lassie Come-Home by Eric Knight"
"Last Days","Gus Van Sant","Michael Pitt, Lukas Haas, Asia Argento, Scott Patrick Green","Drama",""
"The League of Gentlemen's Apocalypse","Steve Bendelack","Jeremy Dyson, Mark Gatiss, Steve Pemberton, Reece Shearsmith","Comedy","based on The League of Gentlemen"
"The Legend of Zorro","Martin Campbell","Antonio Banderas, Catherine Zeta-Jones","Adventure","preceded by The Mask of Zorro"
"Long Distance","Marcus Stern","Monica Keena","Thriller",""
"The Longest Yard","Peter Segal","Adam Sandler, Burt Reynolds, Chris Rock","Comedy","based on The Longest Yard"
"Lord of War","Andrew Niccol","Nicolas Cage, Bridget Moynahan, Ethan Hawke","Crime drama",""
"Lords of Dogtown","Catherine Hardwicke","Heath Ledger, Emile Hirsch, John Robinson","Drama",""
"The Lost City","Andy García","Andy García, Dustin Hoffman, Bill Murray","Drama",""
"A Lot Like Love","Nigel Cole","Amanda Peet, Ashton Kutcher","Comedy",""
"Mad Hot Ballroom","Marilyn Agrelo","ballroom dance in New York school system","Documentary","winner of the Satellite Award for Best Documentary Film"
"Madagascar","Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith","Animation, Comedy",""
"The Man","Les Mayfield","Samuel L. Jackson, Eugene Levy","Comedy",""
"Man of the House","Stephen Herek","Tommy Lee Jones","Comedy",""
"Marilyn Hotchkiss' Ballroom Dancing and Charm School","Randall Miller","Robert Carlyle, John Goodman, Sean Astin, Mary Steenburgen","Romance","based on Marilyn Hotchkiss' Ballroom Dancing and Charm School"
"The Matador","Richard Shepard","Pierce Brosnan, Greg Kinnear, Hope Davis, Philip Baker Hall","Comedy",""
"Match Point","Woody Allen","Jonathan Rhys Meyers, Scarlett Johansson, Emily Mortimer","Crime drama",""
"Me and You and Everyone We Know","Miranda July","Miranda July, John Hawkes, Miles Thompson","Drama",""
"Memoirs of a Geisha","Rob Marshall","Zhang Ziyi, Ken Watanabe, Gong Li, Michelle Yeoh","Drama","based on Memoirs of a Geisha by Arthur Golden"
"MirrorMask","Dave McKean","Stephanie Leonidas, Jason Barry, Rob Brydon","Family",""
"Miss Congeniality 2: Armed and Fabulous","John Pasquin","Sandra Bullock, Regina King","Comedy, crime","preceded by Miss Congeniality"
"Monster-in-Law","Robert Luketic","Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes","Comedy",""
"The Mostly Unfabulous Social Life of Ethan Green","George Bamber","Daniel Letterle, Meredith Baxter, David Monahan","Comedy","based on The Mostly Unfabulous Social Life of Ethan Green by Eric Orner"
"Mr. & Mrs. Smith","Doug Liman","Brad Pitt, Angelina Jolie","Action",""
"Mrs. Palfrey at the Claremont","Dan Ireland","Joan Plowright, Rupert Friend, Anna Massey","Comedy-drama","based on Mrs. Palfrey at the Claremont by Elizabeth Taylor"
"Munich","Steven Spielberg","Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz","Drama",""
"Murderball","Henry Alex Rubin","wheelchair rugby","Documentary",""
"Must Love Dogs","Gary David Goldberg","Diane Lane, John Cusack","Comedy","based on Must Love Dogs by Claire Cook"
"Nanny McPhee","Kirk Jones","Emma Thompson, Colin Firth","Fantasy","based on Nurse Matilda by Christianna Brand"
"Never Been Thawed","Sean Anders","Sean Anders, Allen Zwolle, Shelly Frasier","Comedy",""
"The New World","Terrence Malick","Colin Farrell, Q'Orianka Kilcher, Christopher Plummer, Christian Bale","Drama",""
"Neverwas","Joshua Michael Stern","Aaron Eckhart, Brittany Murphy, Ian McKellen","Drama",""
"New York Doll","Greg Whiteley","the life of Arthur Kane","Documentary",""
"Nine Lives","Rodrigo García","Holly Hunter, Glenn Close, Sissy Spacek","Drama",""
"No Direction Home","Martin Scorsese","the life of Bob Dylan","Documentary",""
"North Country","Niki Caro","Charlize Theron, Frances McDormand, Sissy Spacek, Sean Bean","Drama","based on book by Clara Bingham and Laura Leedy Gansler"
"Our Very Own","Cameron Watson","Allison Janney, Cheryl Hines, Jason Ritter, Hilarie Burton, Keith Carradine","Drama",""
"The Pacifier","Adam Shankman","Vin Diesel, Lauren Graham, Faith Ford","Comedy",""
"The Perfect Man","Mark Rosman","Hilary Duff, Heather Locklear, Chris Noth","Comedy",""
"Pooh's Heffalump Movie","Frank Nissen","Jim Cummings, John Fiedler, Kath Soucie","Animation","preceded by Winnie the Pooh: Springtime with Roo"
"Popstar","Richard Gabai","Aaron Carter","Comedy",""
"Pretty Persuasion","Marcos Siega","Evan Rachel Wood, James Woods, Ron Livingston, Jane Krakowski","Comedy-drama",""
"Prime","Ben Younger","Uma Thurman, Meryl Streep, Bryan Greenberg","Comedy",""
"The Prize Winner of Defiance, Ohio","Jane Anderson","Julianne Moore, Woody Harrelson, Laura Dern","Biography","based on book by Terry Ryan"
"The Producers","Susan Stroman","Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell","Musical comedy","based on The Producers and The Producers"
"Proof","John Madden","Gwyneth Paltrow, Anthony Hopkins, Jake Gyllenhaal, Hope Davis","Drama","based on Proof by David Auburn"
"Racing Stripes","Frederick Du Chau","Frankie Muniz, Hayden Panettiere","Comedy",""
"Rebound","Steve Carr","Martin Lawrence","Comedy",""
"Red Eye","Wes Craven","Rachel McAdams, Cillian Murphy","Thriller",""
"Rent","Chris Columbus","Anthony Rapp, Adam Pascal, Rosario Dawson","Musical","based on Rent"
"The Ring Two","Hideo Nakata","Naomi Watts, David Dorfman, Simon Baker","Horror","preceded by The Ring"
"The Ringer","Barry W. Blaustein","Johnny Knoxville","Comedy",""
"Rize","David LaChapelle","clowning and krumping","Documentary",""
"Robots","Chris Wedge, Carlos Saldanha","Ewan McGregor, Robin Williams, Greg Kinnear, Halle Berry, Amanda Bynes, Mel Brooks","Animation",""
"Roll Bounce","Malcolm D. Lee","Bow Wow, Meagan Good, Wesley Jonathan","Comedy",""
"Rumor Has It...","Rob Reiner","Jennifer Aniston, Kevin Costner, Shirley MacLaine, Mark Ruffalo","Comedy",""
"Sahara","Breck Eisner","Matthew McConaughey, Steve Zahn, Penélope Cruz","Action","based on Sahara by Clive Cussler"
"Sarah Silverman: Jesus Is Magic","Liam Lynch","Sarah Silverman","Comedy",""
"Saw II","Darren Lynn Bousman","Tobin Bell, Donnie Wahlberg, Erik Knudsen, Shawnee Smith","Psychological Horror","preceded by Saw"
"Serenity","Joss Whedon","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin","Science fiction","preceded by Firefly"
"Shadowboxer","Lee Daniels","Helen Mirren, Cuba Gooding, Jr., Mo'Nique","Thriller",""
"Shopgirl","Anand Tucker","Steve Martin, Claire Danes, Jason Schwartzman","Drama","based on Shopgirl by Steve Martin"
"Sin City","Robert Rodriguez","Jessica Alba, Bruce Willis, Benicio del Toro, Brittany Murphy, Clive Owen, Mickey Rourke, Rosario Dawson, Josh Hartnett, Carla Gugino, Elijah Wood, Nick Stahl","Action, Science fiction","based on Sin City by Frank Miller"
"The Sisterhood of the Traveling Pants","Ken Kwapis","Amber Tamblyn, America Ferrera, Blake Lively, Alexis Bledel","Comedy-drama","based on The Sisterhood of the Traveling Pants by Ann Brashares"
"The Sisters","Arthur Allan Seidelman","Maria Bello, Mary Stuart Masterson, Erika Christensen","Drama","based on Three Sisters by Anton Chekhov"
"The Skeleton Key","Iain Softley","Kate Hudson","Horror",""
"Sky High","Mike Mitchell","Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker, Mary Elizabeth Winstead","Fantasy",""
"Smile","Jeffrey Kramer","Sean Astin, Mika Boorem, Yi Ding, Beau Bridges","Adventure",""
"Son of the Mask","Lawrence Guterman","Jamie Kennedy, Alan Cumming, Traylor Howard, Bob Hoskins","Comedy","preceded by The Mask; 8 Razzie nominations"
"A Sound of Thunder","Peter Hyams","Edward Burns, Ben Kingsley, Catherine McCormack","Science fiction","based on story by Ray Bradbury"
"The Squid and the Whale","Noah Baumbach","Laura Linney, Jeff Daniels, Jesse Eisenberg, Owen Kline","Drama",""
"Star Wars: Episode III – Revenge of the Sith","George Lucas","Ewan McGregor, Hayden Christensen, Natalie Portman, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits","Science fiction, Action","preceded by Star Wars: Episode II – Attack of the Clones"
"Stay","Marc Forster","Ewan McGregor, Naomi Watts, Ryan Gosling, Bob Hoskins","Drama",""
"Stealth","Rob Cohen","Josh Lucas, Jessica Biel, Jamie Foxx","Science fiction",""
"Street Fight","Marshall Curry","the 2002 Cory Booker campaign against Sharpe James for mayor of Newark, New Jersey","Documentary",""
"Supercross","Steve Boyum","Steve Howey, Mike Vogel, Cameron Richardson, Sophia Bush","Drama, sports",""
"Syriana","Stephen Gaghan","George Clooney, Matt Damon, Jeffrey Wright","Political Thriller","Academy Award for Clooney"
"The Thing About My Folks","Raymond de Felitta","Peter Falk, Paul Reiser, Olympia Dukakis","Comedy",""
"The Three Burials of Melquiades Estrada","Tommy Lee Jones","Tommy Lee Jones, Barry Pepper, Julio Cedillo, January Jones, Melissa Leo","Drama",""
"Thru the Moebius Strip","Glenn Chaika, Kelvin Lee","Andrea Miller, Michelle Ruff, Mark Hamill","Animation",""
"Thumbsucker","Mike Mills","Lou Taylor Pucci, Keanu Reeves, Tilda Swinton, Vincent D'Onofrio","Comedy","based on Thumbsucker by Walter Kirn"
"Traci Townsend","Craig Ross, Jr.","Jazsmin Lewis, Mari Morrow","Comedy",""
"Transamerica","Duncan Tucker","Felicity Huffman","Drama",""
"Transporter 2","Louis Leterrier","Jason Statham","Action","preceded by The Transporter"
"Two for the Money","D. J. Caruso","Al Pacino, Matthew McConaughey, Rene Russo","Drama",""
"Underclassman","Marcos Siega","Nick Cannon","Comedy",""
"Undiscovered","Meiert Avis","Pell James, Steven Strait, Ashlee Simpson, Kip Pardue","Musical",""
"An Unfinished Life","Lasse Hallström","Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas","Drama","based on An Unfinished Life by Mark Spragg"
"The Upside of Anger","Mike Binder","Joan Allen, Kevin Costner, Erika Christensen, Evan Rachel Wood, Keri Russell, Alicia Witt","Drama",""
"Venom","Jim Gillespie","Agnes Bruckner, Jonathan Jackson, Laura Ramsey, D.J. Cotrona","Horror",""
"Waiting...","Rob McKittrick","Ryan Reynolds, Anna Faris, Justin Long","Comedy",""
"Walk the Line","James Mangold","Joaquin Phoenix, Reese Witherspoon","Biography","winner of Golden Globe and Satellite Award for Best Musical or Comedy"
"War of the Worlds","Steven Spielberg","Tom Cruise, Dakota Fanning, Justin Chatwin","Science fiction","based on The War of the Worlds by H. G. Wells"
"The War Within","Joseph Castelo","Ayad Aktar, Firdous Bamji, Nandana Sen","Drama",""
"The Weather Man","Gore Verbinski","Nicolas Cage, Michael Caine","Comedy-drama",""
"Wedding Crashers","David Dobkin","Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams, Jane Seymour, Bradley Cooper","Comedy",""
"The Wedding Date","Clare Kilner","Debra Messing, Dermot Mulroney","Comedy",""
"Where the Truth Lies","Atom Egoyan","Colin Firth, Kevin Bacon, Alison Lohman","Drama",""
"White Noise","Geoffrey Sax","Michael Keaton, Deborah Kara Unger, Chandra West","Drama",""
"Why We Fight","Eugene Jarecki","the military-industrial complex","Documentary","winner of Sundance Grand Jury Prize"
"The World's Fastest Indian","Roger Donaldson","Anthony Hopkins, Diane Ladd, Jessica Cauffiel","Biography",""
"xXx: State of the Union","Lee Tamahori","Ice Cube","Action","preceded by xXx"
"Yours, Mine and Ours","Raja Gosnell","Dennis Quaid, Rene Russo","Comedy","based on Yours, Mine and Ours"
"Zathura","Jon Favreau","Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart, Tim Robbins","Fantasy",""
