"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"1492: Conquest of Paradise","Ridley Scott","Gérard Depardieu, Armand Assante, Sigourney Weaver","Drama, Biography","on Christopher Columbus"
"1991: The Year Punk Broke","Dave Markey","","Documentary",""
"3 Ninjas","Jon Turteltaub","Max Elliott Slade","Comedy",""
"Aladdin","Ron Clements","voices of Robin Williams, Gilbert Gottfried","Animated, Comedy","Disney; 5 Oscar nominations"
"Alien 3","David Fincher","Sigourney Weaver, Charles S. Dutton, Charles Dance","Sci-fi","2nd sequel"
"American Me","Edward James Olmos","Edward James Olmos, William Forsythe","Crime drama","Universal"
"Article 99","Howard Deutch","Ray Liotta, Kiefer Sutherland, Forest Whitaker","Drama","Orion"
"The Babe","Arthur Hiller","John Goodman, Kelly McGillis, Trini Alvarado","Biography","story of Babe Ruth"
"Bad Lieutenant","Abel Ferrara","Harvey Keitel, Victor Argo","Crime drama","sequel in 2009"
"Basic Instinct","Paul Verhoeven","Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn","Erotic Thriller","sequel in 2006"
"Batman Returns","Tim Burton","Michael Keaton, Danny DeVito, Michelle Pfeiffer","Superhero","sequel to 1989 film"
"Beauty and the Beast","2 directors","","Animated","Japan"
"Bébé's Kids","Bruce Smith","Faizon Love, Vanessa Bell Calloway","",""
"Beethoven","Brian Levant","Charles Grodin, Bonnie Hunt","Family","5 sequels"
"Blame It on the Bellboy","Mark Herman","Dudley Moore, Bryan Brown, Patsy Kensit","Comedy","filmed in Venice"
"Blown Away","Brenton Spencer","Corey Haim, Nicole Eggert, Corey Feldman","Drama",""
"Bob Roberts","Tim Robbins","Tim Robbins, Giancarlo Esposito, Fred Ward","Comedy","script by Robbins"
"The Bodyguard","Mick Jackson","Kevin Costner, Whitney Houston","Crime, Romance","7 Razzie nominations"
"Boomerang","Reginald Hudlin","Eddie Murphy, Robin Givens, Halle Berry","Comedy","4 MTV Award nominations"
"Brain Donors","Dennis Dugan","John Turturro, Mel Smith, Nancy Marchand","Comedy","Marx Brothers parody"
"Bram Stoker's Dracula","Francis Ford Coppola","Gary Oldman, Winona Ryder, Keanu Reeves, Anthony Hopkins","Horror","won 3 Oscars"
"Buffy the Vampire Slayer","Fran Rubel Kuzui","Kristy Swanson, Donald Sutherland, Luke Perry, Rutger Hauer, Paul Reubens","Comedy","became TV series"
"Candyman","Bernard Rose","Virginia Madsen, Tony Todd","Slasher","TriStar"
"Captain Ron","Thom Eberhardt","Kurt Russell, Martin Short, Mary Kay Place","Comedy","Touchstone"
"Chain of Desire","Temístocles López","Malcolm McDowell, Linda Fiorentino, Elias Koteas","Romance",""
"Chaplin","Richard Attenborough","Robert Downey, Jr., Dan Aykroyd, Kevin Kline, Anthony Hopkins","Biography","Charlie Chaplin bio; BAFTA for Downey"
"Child of Rage","","Mel Harris, Mariette Hartley","Drama","TV"
"Children of the Corn II: The Final Sacrifice","David F. Price","Terence Knox","Horror","sequel"
