"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"102 Dalmatians","Kevin Lima","Glenn Close, Gérard Depardieu, Alice Evans","Comedy, family","Walt Disney; preceded by 101 Dalmatians"
"28 Days","Betty Thomas","Sandra Bullock, Viggo Mortensen","Drama","Columbia Pictures"
"3 Strikes","DJ Pooh","Brian Hooks, N'Bushe Wright","Comedy","Metro-Goldwyn-Mayer"
"The 6th Day","Roger Spottiswoode","Arnold Schwarzenegger, Robert Duvall","Science fiction","Columbia Pictures"
"Across the Line","Martin Spottl","Brad Johnson, Adrienne Barbeau, Brian Bloom","Thriller","Lionsgate"
"Adventures in Wild California","Greg MacGillivray","Jimmy Smits (Narrator)","Documentary",""
"The Adventures of Rocky and Bullwinkle","Des McAnuff","Rene Russo, Jason Alexander, Robert De Niro, Piper Perabo, June Foray, Keith Scott","Comedy","Universal Studios; based on The Rocky and Bullwinkle Show"
"All the Pretty Horses","Billy Bob Thornton","Matt Damon, Penélope Cruz, Henry Thomas, Lucas Black, Rubén Blades, Míriam Colón, Bruce Dern","Western","Columbia Pictures; based on Cormac McCarthy novel"
"Almost Famous","Cameron Crowe","Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Anna Paquin, Fairuza Balk","Comedy, Drama","DreamWorks; Winner of Golden Globe Award for Best Motion Picture – Musical or Comedy"
"American Psycho","Mary Harron","Christian Bale, Chloë Sevigny, Willem Dafoe","Comedy, Thriller","Lionsgate; based on novel by Bret Easton Ellis"
"Animal Factory","Steve Buscemi","Willem Dafoe, Edward Furlong, Mickey Rourke","Crime drama","Franchise Pictures"
"The Art of War","Christian Duguay","Wesley Snipes, Donald Sutherland","Action","Warner Bros. Pictures"
"Autumn in New York","Joan Chen","Richard Gere, Winona Ryder","Romance","Metro-Goldwyn-Mayer"
"Bait","Antoine Fuqua","Jamie Foxx, David Morse, Kimberly Elise","Action","Warner Bros."
"The Ballad of Ramblin' Jack","Aiyana Elliott","Ramblin' Jack Elliott","Documentary",""
"Bamboozled","Spike Lee","Damon Wayans, Jada Pinkett Smith, Savion Glover, Michael Rapaport, Tommy Davidson","Satire","New Line Cinema"
"Battlefield Earth","Roger Christian","John Travolta, Forest Whitaker, Barry Pepper","Science fiction","Warner Bros., based on L. Ron Hubbard novel; 7 Razzie awards including Worst Picture"
"The Beach","Danny Boyle","Leonardo DiCaprio, Virginie Ledoyen, Tilda Swinton","Adventure","20th Century Fox; based on novel by Alex Garland"
"Beat","Gary Walkow","Courtney Love, Kiefer Sutherland","Drama",""
"Sunshine", , , , 
"Chicken Run", , , , 
"Beautiful","Sally Field","Minnie Driver, Hallie Kate Eisenberg, Kathleen Turner","Comedy","Destination Films"
"Beautiful Joe","Stephen Metcalfe","Sharon Stone, Billy Connolly","Comedy, Drama",""
"Bedazzled","Harold Ramis","Brendan Fraser, Elizabeth Hurley","Comedy","20th Century Fox; based on Bedazzled"
"Before Night Falls","Julian Schnabel","Javier Bardem, Johnny Depp","Biography",""
"Best in Show","Christopher Guest","Parker Posey, Michael McKean, Catherine O'Hara, Eugene Levy, Michael Hitchcock, Jennifer Coolidge","Mockumentary","Warner Bros."
"Big Momma's House","Raja Gosnell","Martin Lawrence, Paul Giamatti","Comedy","20th Century Fox"
"The Big Tease","Kevin Allen","Craig Ferguson, Frances Fisher, Mary McCormack","Comedy","Warner Bros."
"Bless the Child","Chuck Russell","Kim Basinger, Jimmy Smits, Christina Ricci","Thriller","Paramount Pictures; based on book by Cathy Cash Spellman"
"Boiler Room","Ben Younger","Giovanni Ribisi, Nia Long, Vin Diesel, Ben Affleck","Drama","New Line Cinema"
"Book of Shadows: Blair Witch 2","Joe Berlinger","Kim Director, Jeffrey Donovan, Erica Leerhsen","Horror","Artisan Entertainment; preceded by The Blair Witch Project (1999)"
"Bounce","Don Roos","Ben Affleck, Gwyneth Paltrow","Drama","Miramax Films"
"A Boy Named Sue","Julie Wyman","sex reassignment surgery","Documentary",""
"Boys and Girls","Robert Iscove","Claire Forlani, Freddie Prinze, Jr., Jason Biggs","Comedy","Dimension Films"
"Bring It On","Peyton Reed","Kirsten Dunst, Eliza Dushku, Gabrielle Union, Jesse Bradford","Comedy","Universal Studios"
"The Broken Hearts Club: A Romantic Comedy","Greg Berlanti","Ben Weber, Timothy Olyphant, Zach Braff","Comedy",""
"Brother","Takeshi Kitano","Takeshi Kitano, Omar Epps","Crime drama","Shochiku Co., Ltd."
"Cast Away","Robert Zemeckis","Tom Hanks, Helen Hunt","Adventure","20th Century Fox"
"Cecil B. Demented","John Waters","Melanie Griffith, Stephen Dorff, Alicia Witt, Adrian Grenier, Maggie Gyllenhaal","Comedy","Artisan Entertainment"
"The Cell","Tarsem Singh","Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio","Science fiction","New Line Cinema"
"Center Stage","Nicholas Hytner","Amanda Schull, Peter Gallagher, Ethan Stiefel","Musical","Columbia Pictures"
"Charlie's Angels","McG","Drew Barrymore, Cameron Diaz, Lucy Liu, Bill Murray, Sam Rockwell, Tim Curry, Crispin Glover","Action","Based on TV series of same name"
"Cherry Falls","Geoffrey Wright","Brittany Murphy, Michael Biehn, Jesse Bradford","Thriller",""
"Chinese Coffee","Al Pacino","Al Pacino, Jerry Orbach","Drama","Chal Productions; based on story by Ira Lewis"
"Chocolat","Lasse Hallström","Juliette Binoche, Judi Dench, Alfred Molina, Lena Olin, Johnny Depp","Romance","Miramax Films"
"Chuck & Buck","Miguel Arteta","Chris Weitz, Mike White, Maya Rudolph","Comedy","Artisan Entertainment"
"The Contender","Rod Lurie","Joan Allen, Jeff Bridges, Gary Oldman, Christian Slater, Sam Elliott, Kathryn Morris, Mike Binder","Drama","DreamWorks"
"Coyote Ugly","David McNally","Piper Perabo, Adam Garcia, Tyra Banks, John Goodman","Comedy","Touchstone Pictures"
"The Crew","Michael Dinner","Richard Dreyfuss, Burt Reynolds, Dan Hedaya","Comedy","Touchstone Pictures"
"The Crossing","Robert Harmon","Jeff Daniels, Roger Rees, Sebastian Roché, Steven McCarthy","Historical Drama","A & E"
"Cruel Intentions 2","Roger Kumble","Robin Dunne, Sarah Thompson, Keri Lynn Pratt","Comedy, drama",""
"Digimon: The Movie","Mamoru Hosoda, Minoru Hosoda","Lara Jill Miller, Joshua Seth, Bob Glouberman","Animation, Adventure","20th Century Fox, Saban Entertainment, Toei Animation; based on Digimon Adventure"
"Dinosaur","Eric Leighton, Ralph Zondag","D. B. Sweeney, Alfre Woodard, Ossie Davis","Animation","Walt Disney Pictures"
"Down to You","Kris Isacsson","Freddie Prinze, Jr., Julia Stiles","Comedy","Miramax Films"
"Dr. T & the Women","Robert Altman","Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson","Romantic comedy","Artisan Entertainment"
"Dracula 2000","Patrick Lussier","Gerard Butler, Christopher Plummer, Jonny Lee Miller","Horror","Dimension Films"
"Drowning Mona","Nick Gomez","Bette Midler, Jamie Lee Curtis, Danny DeVito, Neve Campbell","Comedy","Destination Films"
"Dude, Where's My Car?","Danny Leiner","Ashton Kutcher, Seann William Scott","Comedy","Miramax Films"
"Duets","Bruce Paltrow","Maria Bello, Andre Braugher, Paul Giamatti, Huey Lewis, Gwyneth Paltrow, Angie Dickinson","Drama, Musical","Hollywood Pictures"
"Dungeons & Dragons","Courtney Solomon","Jeremy Irons, Thora Birch, Tom Baker, Marlon Wayans","fantasy","New Line Cinema; based on Dungeons & Dragons"
"The Emperor's New Groove","Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton","Animation","Walt Disney Pictures"
"Erin Brockovich","Steven Soderbergh","Julia Roberts, Albert Finney, Aaron Eckhart","Biography","Academy Award for Roberts"
"An Everlasting Piece","Barry Levinson","Barry McEvoy, Brían F. O'Byrne, Anna Friel, Billy Connolly","Comedy",""
"The Eyes of Tammy Faye","Fenton Bailey, Randy Barbato","Tammy Faye Bakker, RuPaul","Documentary",""
