"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The Family Man","Brett Ratner","Nicolas Cage, Téa Leoni, Don Cheadle","Drama","Universal Pictures"
"Fantasia 2000","see Credits","James Levine, Chicago Symphony Orchestra","Animation","Walt Disney Pictures; preceded by Fantasia (1940)"
"Final Destination","James Wong","Devon Sawa, Ali Larter, Kerr Smith, Seann William Scott","Horror","New Line Cinema"
"Finding Forrester","Gus Van Sant","Sean Connery, Rob Brown, Anna Paquin","Drama","Columbia Pictures"
"The Flintstones in Viva Rock Vegas","Brian Levant","Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Alan Cumming, Joan Collins, Harvey Korman","Comedy","Universal Studios; preceded by The Flintstones (1994)"
"For Love or Country: The Arturo Sandoval Story","Joseph Sargent","Andy García, Mía Maestro, Gloria Estefan","Biography",""
"Frequency","Gregory Hoblit","Dennis Quaid, James Caviezel","Science fiction","New Line Cinema"
"Get Carter","Stephen T. Kay","Sylvester Stallone, Rhona Mitra, Michael Caine, Rachael Leigh Cook, Miranda Richardson, Mickey Rourke","Action","Warner Bros.; based on Get Carter (1971)"
"The Gift","Sam Raimi","Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank","Thriller","Paramount Classics"
"The Girl","Sande Zeig","Claire Keim, Agathe De La Boulaye","Romance","Artistic License; based on The Girl by Monique Wittig"
"Girlfight","Karyn Kusama","Michelle Rodriguez, Paul Calderón","Drama","Winner of Grand Jury Prize: Dramatic"
"Gladiator","Ridley Scott","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Richard Harris, Djimon Hounsou, Oliver Reed","Action, Drama, Epic,","Winner of Academy Award, BAFTA Award, Golden Globe for Best Picture; Oscar for Crowe"
"The Golden Bowl","James Ivory","Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte","Drama",""
"Gone in 60 Seconds","Dominic Sena","Nicolas Cage, Giovanni Ribisi, Angelina Jolie, Robert Duvall","Action","Touchstone Pictures; based on Gone in 60 Seconds"
"Gossip","Davis Guggenheim","James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Marisa Coughlan, Joshua Jackson","Drama","Warner Bros."
"Gun Shy","Eric Blakeney","Liam Neeson, Oliver Platt, Andrew Lauer","Action",""
"Hamlet","Michael Almereyda","Ethan Hawke, Diane Venora, Julia Stiles","Drama","Based on Hamlet by William Shakespeare"
"Hanging Up","Diane Keaton","Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau","Comedy","Columbia Pictures"
"Held Up","Steve Rash","Jamie Foxx, Nia Long","Comedy",""
"Here on Earth","Mark Piznarski","Chris Klein, Leelee Sobieski, Josh Hartnett","Drama",""
"High Fidelity","Stephen Frears","John Cusack, Jack Black, Lisa Bonet, Joan Cusack, Iben Hjejle, Lili Taylor","Comedy","based on novel by Nick Hornby"
"Highlander: Endgame","Douglas Aarniokoski","Adrian Paul, Christopher Lambert","Science fiction","preceded by Highlander III: The Sorcerer"
"Hollow Man","Paul Verhoeven","Elisabeth Shue, Kevin Bacon, Josh Brolin","Science fiction, Horror","based on The Invisible Man by H. G. Wells"
"The House of Mirth","Terence Davies","Gillian Anderson, Laura Linney, Dan Aykroyd","Drama",""
"How the Grinch Stole Christmas","Ron Howard","Jim Carrey, Christine Baranski, Jeffrey Tambor, Molly Shannon, Taylor Momsen","Family, Fantasy","based on How the Grinch Stole Christmas! by Dr. Seuss; highest-grossing film of 2000 (U.S.)"
"How to Kill Your Neighbor's Dog","Michael Kalesniko","Kenneth Branagh, Robin Wright Penn","Comedy",""
"I Dreamed of Africa","Hugh Hudson","Kim Basinger, Eva Marie Saint","Drama","based on I Dreamed of Africa by Kuki Gallmann"
"The In Crowd","Mary Lambert","Susan Ward, Lori Heuring, Matthew Settle","Thriller",""
"Into the Arms of Strangers: Stories of the Kindertransport","Mark Jonathan Harris","the kindertransport","Documentary","winner Academy Award for Best Documentary"
"Isn't She Great","Andrew Bergman","Bette Midler, Nathan Lane, John Cleese, Stockard Channing, David Hyde Pierce, Amanda Peet","Biography, Comedy","Story of Jacqueline Susann"
"Ivans Xtc","Bernard Rose","Danny Huston, Peter Weller","Drama",""
"Joe Gould's Secret","Stanley Tucci","Ian Holm, Stanley Tucci, Hope Davis","Drama","based on story by Joseph Mitchell"
"Just One Night","Alan Jacobs","Timothy Hutton, Maria Grazia Cucinotta","Comedy",""
"Keeping the Faith","Edward Norton","Ben Stiller, Jenna Elfman, Edward Norton","Comedy",""
"The Kid","Jon Turteltaub","Bruce Willis, Lily Tomlin, Jean Smart, Spencer Breslin","Family",""
"The Ladies Man","Reginald Hudlin","Tim Meadows, Billy Dee Williams, Will Ferrell","Comedy","based on Saturday Night Live character"
"The Last Producer","Burt Reynolds","Burt Reynolds, Rod Steiger, Benjamin Bratt","Drama",""
"Legacy","Tod Lending","life in Chicago ghettos","Documentary",""
"The Legend of Bagger Vance","Robert Redford","Matt Damon, Will Smith, Charlize Theron, Jack Lemmon","Drama","based on novel by Steven Pressfield"
"Little Nicky","Steven Brill","Adam Sandler, Patricia Arquette, Harvey Keitel","Comedy",""
"The Little Vampire","Uli Edel","Jonathan Lipnicki, Richard E. Grant, Rollo Weeks","Comedy","based on novel by Angela Sommer-Bodenburg"
"Long Night's Journey into Day","Deborah Hoffmann, Frances Reid","the Truth and Reconciliation Commission in post-Apartheid South Africa","Documentary","winner of Grand Jury Prize: Documentary"
"Loser","Amy Heckerling","Jason Biggs, Mena Suvari, Greg Kinnear","Comedy",""
"Lost Souls","Janusz Kamiński","Winona Ryder, Ben Chaplin","Horror",""
"Love & Basketball","Gina Prince-Bythewood","Omar Epps, Sanaa Lathan, Dennis Haysbert","Drama",""
"Lucky Numbers","Nora Ephron","John Travolta, Lisa Kudrow, Tim Roth, Michael Moore","Crime",""
"Maryam","Ramin Serry","Mariam Parris, Shaun Toub, Shohreh Aghdashloo","Drama",""
"Maze","Rob Morrow","Rob Morrow, Laura Linney, Craig Sheffer","Drama",""
"Me, Myself & Irene","Peter and Bobby Farrelly","Jim Carrey, Renée Zellweger, Robert Forster, Chris Cooper","Comedy",""
"Meet the Parents","Jay Roach","Ben Stiller, Robert De Niro, Blythe Danner, Teri Polo, Owen Wilson","Comedy",""
"Memento","Christopher Nolan","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano","Thriller","based on Memento Mori by Jonathan Nolan"
"Men of Honor","George Tillman, Jr.","Robert De Niro, Cuba Gooding, Jr., Charlize Theron","Biography",""
"Mercy Streets","John Gunn","Eric Roberts, Cynthia Watros, Stacy Keach","Action",""
"The Million Dollar Hotel","Wim Wenders","Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits","Drama",""
"Miss Congeniality","Donald Petrie","Sandra Bullock, Benjamin Bratt, Michael Caine, William Shatner, Candice Bergen","Comedy",""
"Mission to Mars","Brian De Palma","Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen, Jerry O'Connell, Kim Delaney","Science fiction","based on Mission to Mars"
"Mission: Impossible II","John Woo","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, Brendan Gleeson","Action","preceded by Mission: Impossible highest-worldwide-grossing film of 2000"
"My Dog Skip","Jay Russell","Frankie Muniz, Diane Lane, Luke Wilson, Kevin Bacon","Family","based on My Dog Skip by Willie Morris"
"My 5 Wives","Sidney J. Furie","Rodney Dangerfield, Jerry Stiller, Molly Shannon","Comedy",""
"The Next Best Thing","John Schlesinger","Rupert Everett, Madonna, Benjamin Bratt","Comedy",""
"Next Friday","Steve Carr","Ice Cube, Mike Epps, Don Curry","Comedy","preceded by Friday"
"Nothin' 2 Lose","Barry Bowles","Brian Hooks","Comedy",""
"Nutty Professor II: The Klumps","Peter Segal","Eddie Murphy, Janet Jackson, Larry Miller, Wanda Sykes","Comedy","preceded by The Nutty Professor"
"Nurse Betty","Neil LaBute","Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear","Comedy","Satellite Award for Best Film – Musical or Comedy"
"O Brother Where Art Thou?","Joel and Ethan Coen","George Clooney, Tim Blake Nelson, John Turturro, Holly Hunter, John Goodman, Charles Durning","Comedy","based on Odyssey by Homer"
"The Opportunists","Myles Connell","Christopher Walken, Vera Farmiga, Cyndi Lauper","Crime drama",""
"The Original Kings of Comedy","Spike Lee","stand-up comedy of Steve Harvey, D. L. Hughley, Cedric the Entertainer, Bernie Mac","Documentary",""
"Our Song","Jim McKay","Kerry Washington, Melissa Martinez","Drama",""
"Panic","Henry Bromell","William H. Macy, Neve Campbell, Donald Sutherland","Crime drama",""
"Passion of Mind","Alain Berliner","Demi Moore, Stellan Skarsgård","Drama",""
"The Patriot","Roland Emmerich","Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tom Wilkinson","War","3 Oscar nominations"
"Pay It Forward","Mimi Leder","Haley Joel Osment, Helen Hunt, Kevin Spacey, James Caviezel, Angie Dickinson, Jon Bon Jovi","Drama","based on novel by Catherine Ryan Hyde"
"The Perfect Storm","Wolfgang Petersen","George Clooney, Mark Wahlberg, Diane Lane, Mary Elizabeth Mastrantonio, John C. Reilly, Karen Allen","Adventure","based on book by Sebastian Junger"
"Picking Up the Pieces","Alfonso Aráu","Woody Allen, Sharon Stone, David Schwimmer","Comedy",""
"Pitch Black","David Twohy","Vin Diesel, Keith David, Cole Hauser","Science fiction",""
"Pollock","Ed Harris","Ed Harris, Marcia Gay Harden, Jennifer Connelly","Biography","Story of Jackson Pollock; Oscar for Harden"
"Poor White Trash","Michael Addis","Sean Young, William Devane","Comedy",""
"Price of Glory","Carlos Ávila","Jimmy Smits","Drama",""
"Prince of Central Park","John Leekley","Kathleen Turner, Danny Aiello, Harvey Keitel","Family",""
"Proof of Life","Taylor Hackford","Russell Crowe, Meg Ryan, David Morse","Drama",""
"Psycho Beach Party","Robert Lee King","Thomas Gibson, Lauren Ambrose, Charles Busch","Comedy","based on Psycho Beach Party by Charles Busch"
"Quills","Philip Kaufman","Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine","Drama, Biography","based on Quills by Doug Wright"
"Ready to Rumble","Brian Robbins","David Arquette, Oliver Platt, Scott Caan","Comedy",""
"Reckless Indifference","William Gazecki","underage murder","Documentary","Satellite Award for Best Documentary Film"
"Red Planet","Antony Hoffman","Val Kilmer, Carrie-Anne Moss, Tom Sizemore","Science fiction",""
"Reindeer Games","John Frankenheimer","Ben Affleck, Gary Sinise, Charlize Theron","Crime drama",""
"Remember the Titans","Boaz Yakin","Denzel Washington, Will Patton","Drama",""
"The Replacements","Howard Deutch","Keanu Reeves, Gene Hackman, Brooke Langton","Comedy",""
"Requiem for a Dream","Darren Aronofsky","Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans","Drama","based on Requiem for a Dream by Hubert Selby, Jr."
"Return to Me","Bonnie Hunt","Minnie Driver, David Duchovny, Carroll O'Connor","Romance",""
"The Road to El Dorado","Bibo Bergeron, Will Finn","Kevin Kline, Kenneth Branagh, Rosie Perez","Animation",""
"Road Trip","Todd Phillips","Breckin Meyer, Seann William Scott, Tom Green, DJ Qualls, Amy Smart","Comedy",""
"Romeo Must Die","Andrzej Bartkowiak","Jet Li, Aaliyah, Delroy Lindo","Action","based on play by William Shakespeare"
"Rugrats in Paris: The Movie","Stig Berggvist, Paul Demeyer","Elizabeth Daily, Tara Strong, Cheryl Chase","Animation","preceded by The Rugrats Movie"
"Rules of Engagement","William Friedkin","Tommy Lee Jones, Samuel L. Jackson, Guy Pearce","War",""
"The Scarecrow","Richard Rich","Shawn Hoffman, Belinda Montgomery, Ray Porter, Corey Feldman","Animation, Fantasy","Warner Bros. Family Entertainment"
"Scary Movie","Keenen Ivory Wayans","Marlon Wayans, Anna Faris, Carmen Electra","Comedy",""
"Scottsboro: An American Tragedy","Daniel Anker, Barak Goodman","the Scottsboro Boys case","Documentary",""
"Scream 3","Wes Craven","David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Emily Mortimer","Horror","preceded by Scream 2"
"Screwed","Scott Alexander and Larry Karaszewski","Norm Macdonald, Dave Chappelle, Danny DeVito","Comedy",""
"Seventeen Again","Jeffrey W. Byrd","Tamera Mowry, Tia Mowry, Maia Campbell","Comedy",""
"Sexy Beast","Jonathan Glazer","Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman, James Fox","Crime drama",""
"Shadow of the Vampire","E. Elias Merhige","John Malkovich, Willem Dafoe","Drama",""
"Shaft","John Singleton","Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Richard Roundtree, Christian Bale","Action","preceded by Shaft"
"Shanghai Noon","Tom Dey","Jackie Chan, Owen Wilson, Lucy Liu","Comedy",""
"Shriek If You Know What I Did Last Friday the Thirteenth","John Blanchard","Tiffani-Amber Thiessen, Tom Arnold, Majandra Delfino","Comedy",""
"The Skulls","Rob Cohen","Joshua Jackson, Paul Walker","Thriller",""
"Small Time Crooks","Woody Allen","Woody Allen, Hugh Grant, Tracey Ullman","Comedy",""
"The Smokers","Kat Slater","Dominique Swain, Busy Philipps, Keri Lynn Pratt, Nicholas M. Loeb, Oliver Hudson","Drama",""
"Snatch","Guy Ritchie","Benicio del Toro, Jason Statham, Brad Pitt, Stephen Graham, Dennis Farina","Crime",""
"Snow Day","Chris Koch","Chevy Chase, Chris Elliott, Mark Webber","Comedy",""
"Songcatcher","Maggie Greenwald","Janet McTeer, Aidan Quinn","Drama",""
"Sound and Fury","Josh Aronson","conflict between cochlear implants, deaf identity","Documentary",""
"Space Cowboys","Clint Eastwood","Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, Marcia Gay Harden, James Cromwell, Loren Dean, Courtney B. Vance, William Devane","Drama",""
"The Specials","Craig Mazin","Thomas Haden Church, Rob Lowe, Jamie Kennedy","Comedy",""
"Steal This Movie!","Robert Greenwald","Vincent D'Onofrio, Janeane Garofalo","Biography","based on To America with Love by Anita & Abbie Hoffman and on Abbie Hoffman: American Rebel"
"Supernova","Walter Hill","James Spader, Angela Bassett","Science fiction",""
"The Tao of Steve","Jenniphr Goodman","Donal Logue","Comedy",""
"Terror Tract","Lance W. Dreesen","John Ritter, David DeLuise, Allison Smith","Comedy, horror",""
"Things You Can Tell Just by Looking at Her","Rodrigo García","Glenn Close, Cameron Diaz, Calista Flockhart, Kathy Baker, Amy Brenneman","Romance",""
"Thirteen Days","Roger Donaldson","Kevin Costner, Bruce Greenwood, Dylan Baker, Steven Culp, Len Cariou, Kevin Conway","Drama","based on The Kennedy Tapes: Inside the White House During the Cuban Missile Crisis by Ernest May and Philip Zelikow"
"Thomas & the Magic Railroad","Britt Allcroft","Alec Baldwin, Peter Fonda, Mara Wilson","Family",""
"Tigerland","Joel Schumacher","Colin Farrell, Matthew Davis, Clifton Collins, Jr.","War",""
"The Tigger Movie","Jun Falkenstein","Jim Cummings, Nikita Hopkins, John Fiedler","Animation",""
"Timecode","Mike Figgis","Salma Hayek, Stellan Skarsgård, Holly Hunter","Drama",""
"Titan A.E.","Don Bluth, Gary Goldman","Matt Damon, Nathan Lane","Animation",""
"Traffic","Steven Soderbergh","Michael Douglas, Don Cheadle, Benicio del Toro, Dennis Quaid, Catherine Zeta-Jones","Crime drama","based on Traffik; winner of Satellite Award for Best Film – Drama; Oscar for del Toro"
"Tripfall","Serge Rodnunsky","Eric Roberts, John Ritter, Rachel Hunter","Thriller",""
"Turn It Up","Robert Adetuyi","Pras, Ja Rule","Musical",""
"U-571","Jonathan Mostow","Matthew McConaughey, Harvey Keitel, Jon Bon Jovi","Action",""
"Unbreakable","M. Night Shyamalan","Bruce Willis, Samuel L. Jackson, Robin Wright Penn","Thriller",""
"Under Suspicion","Stephen Hopkins","Gene Hackman, Morgan Freeman, Monica Bellucci","Crime drama","based on Garde à vue and Brainwashed"
"Up at the Villa","Philip Haas","Kristin Scott Thomas, Sean Penn","Drama","based on Up at the Villa by W. Somerset Maugham"
"Urban Legends: Final Cut","John Ottman","Jennifer Morrison, Matthew Davis, Hart Bochner,","Horror","preceded by Urban Legend"
"Vertical Limit","Martin Campbell","Chris O'Donnell, Bill Paxton, Robin Tunney","Thriller",""
"The Visit","Jordan Walker-Pearlman","Hill Harper, Billy Dee Williams, Rae Dawn Chong","Drama",""
"Waking the Dead","Keith Gordon","Jennifer Connelly, Billy Crudup","Drama","based on Waking the Dead by Scott Spencer"
"The Watcher","Joe Charbanic","James Spader, Keanu Reeves, Marisa Tomei","Thriller",""
"The Way of the Gun","Christopher McQuarrie","Benicio del Toro, Ryan Phillippe","Crime drama",""
"What Lies Beneath","Robert Zemeckis","Harrison Ford, Michelle Pfeiffer, Joe Morton","Thriller",""
"What Planet Are You From?","Mike Nichols","Garry Shandling, Annette Bening, John Goodman, Greg Kinnear, Linda Fiorentino","Comedy, sci-fi",""
"What Women Want","Nancy Meyers","Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda","Comedy",""
"Whatever It Takes","David Raynr","Shane West, Marla Sokoloff, Jodi Lyn O'Keefe, James Franco","Comedy","based on Cyrano de Bergerac by Edmond Rostand"
"Where the Heart Is","Matt Williams","Natalie Portman, Ashley Judd, Stockard Channing, Joan Cusack, Keith David, Sally Field","Comedy, drama","based on novel by Billie Letts"
"Where the Money Is","Marek Kanievska","Paul Newman, Linda Fiorentino, Dermot Mulroney, Susan Barnes","Comedy, crime",""
"Whipped","Peter Cohen","Amanda Peet, Callie Thorne, Brian Van Holt","Comedy",""
"The Whole Nine Yards","Jonathan Lynn","Bruce Willis, Matthew Perry, Rosanna Arquette, Natasha Henstridge, Michael Clarke Duncan, Amanda Peet, Kevin Pollak","Comedy, crime",""
"Woman on Top","Fina Torres","Penélope Cruz","Comedy",""
"Wonder Boys","Curtis Hanson","Michael Douglas, Tobey Maguire, Frances McDormand, Katie Holmes, Robert Downey, Jr.","Comedy, drama","based on novel by Michael Chabon; Academy Award for Best Song to Bob Dylan"
"X-Men","Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen","Action, sci-fi","based on the X-Men"
"The Yards","James Gray","Mark Wahlberg, Charlize Theron, Joaquin Phoenix, James Caan, Ellen Burstyn, Faye Dunaway","Crime drama",""
"You Can Count on Me","Kenneth Lonergan","Laura Linney, Mark Ruffalo, Matthew Broderick","Drama","won Grand Jury Prize: Dramatic"
