"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"11:14","Greg Marcks","Henry Thomas, Blake Heron, Barbara Hershey, Clark Gregg","Crime drama",""
"101 Dalmatians II: Patch's London Adventure","Jim Kammerud","Barry Bostwick, Jason Alexander, Martin Short","Animated","Direct to DVD"
"2 Fast 2 Furious","John Singleton","Paul Walker, Tyrese Gibson, Eva Mendes, Ludacris, Cole Hauser, James Remar, Devon Aoki","Action, crime","Paramount Pictures Preceded by The Fast and the Furious"
"21 Grams","Alejandro González Iñárritu","Sean Penn, Naomi Watts, Benicio del Toro","Crime drama",""
"44 Minutes: The North Hollywood Shoot-Out","Yves Simoneau","Michael Madsen, Ron Livingston","Action",""
"Abby Singer","Ryan Williams","Clint J. Palmer, Ryan Williams, Wendy Buss","Comedy, drama",""
"Afro-Punk","James Spooner","race identity within punk subculture","Documentary",""
"Bend It Like Beckham", , , , 
"Agent Cody Banks","Harald Zwart","Frankie Muniz, Hilary Duff","Action, family","MGM Pictures"
"Aileen: Life and Death of a Serial Killer","Nick Broomfield, Joan Churchill","the life of Aileen Wuornos","Documentary","preceded by Aileen Wuornos: The Selling of a Serial Killer"
"Alex & Emma","Rob Reiner","Kate Hudson, Luke Wilson, Sophie Marceau","Romantic comedy",""
"Alien Hunter","Ron Krauss","James Spader","Action, sci-fi",""
"All the Real Girls","David Gordon Green","Paul Schneider, Zooey Deschanel, Shea Whigham","Drama, romance",""
"Amandla!: A Revolution in Four-Part Harmony","Lee Hirsch","the use of music against South Africa under apartheid","Documentary","winner of the Satellite Award for Best Documentary Film"
"American Splendor","Robert Pulcini, Shari Springer Berman","Paul Giamatti, Hope Davis","Comedy-drama","Based on American Splendor by Harvey Pekar winner of the Grand Jury Prize: Dramatic"
"American Wedding","Jesse Dylan","Jason Biggs, Seann William Scott, Alyson Hannigan, Eugene Levy, Fred Willard, January Jones","Comedy","Preceded by American Pie 2"
"Anger Management","Peter Segal","Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Woody Harrelson, John Turturro","Comedy","Columbia Pictures, Revolution Studios"
"Anne B. Real","Lisa France","David Zayas, Carlos Leon","Drama",""
"Anything Else","Woody Allen","Jason Biggs, Christina Ricci, Stockard Channing, Danny DeVito, Jimmy Fallon, Woody Allen","Romantic comedy","DreamWorks Pictures"
"BAADASSSSS!","Mario Van Peebles","Mario Van Peebles, Adam West","Biography, drama",""
"Bad Boys II","Michael Bay","Martin Lawrence, Will Smith","Action comedy","Columbia Pictures. Preceded by Bad Boys"
"Bad Santa","Terry Zwigoff","Billy Bob Thornton, Bernie Mac, Lauren Graham","Comedy, Crime","Dimension Films"
"Basic","John McTiernan","John Travolta, Connie Nielsen, Samuel L. Jackson","Thriller","Columbia Pictures, Intermedia Films"
"The Battle of Shaker Heights","Efram Potelle, Kyle Rankin","Shia La Beouf, Elden Henson, Amy Smart","Comedy-drama","Project Greenlight winner"
"Bells of Innocence","Alin Bijan","Mike Norris, Marshall R. Teague, Chuck Norris","Horror",""
"The Best Two Years","Scott S. Anderson","K.C. Clyde, Kirby Heyborne, David Nibley","Comedy-drama","based on The Best Two Years of My Life by Scott S. Anderson"
"Beyond Borders","Martin Campbell","Angelina Jolie, Clive Owen","Romance, War",""
"Big Fish","Tim Burton","Ewan McGregor, Albert Finney, Billy Crudup, Danny DeVito, Alison Lohman, Jessica Lange","Comedy-drama, fantasy","Based on Big Fish: A Novel of Mythic Proportions by Daniel Wallace"
"Biker Boyz","Reggie Rock Bythewood","Laurence Fishburne, Djimon Hounsou, Derek Luke","Action",""
"Black Cadillac","John Murlowski","Randy Quaid, Shane Johnson, Josh Hammond","Horror",""
"Blind Horizon","Michael Haussman","Val Kilmer, Neve Campbell, Sam Shepard","Drama",""
"Blizzard","LeVar Burton","Brenda Blethyn, Christopher Plummer, Kevin Pollak","Family",""
