"Title","Director","Cast (Subject of documentary)","Genre","Notes"
“500 Days of Summer","Marc Webb","Joseph Gordon-Levitt, Zooey Deschanel","Romantic comedy","Fox Searchlight Pictures"
"12 Rounds","Renny Harlin","John Cena, Ashley Scott, Steve Harris, Aidan Gillen, Brian J. White, Taylor Cole","Action","Fox Atomic, WWE Studios"
"17 Again","Burr Steers","Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry, Melora Hardin, Michelle Trachtenberg, Sterling Knight","Comedy, Teen","New Line Cinema"
"2012","Roland Emmerich","John Cusack, Amanda Peet, Danny Glover, Thandie Newton, Oliver Platt, Chiwetel Ejiofor, Woody Harrelson","Disaster","Columbia Pictures"
"9","Shane Acker","Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau","Animated film","Focus Features"
"Adam","Max Mayer","Hugh Dancy, Rose Byrne, Peter Gallagher, Amy Irving, Frankie Faison, Mark Linn-Baker, Karina Arroyave","Comedy-drama","Fox Searchlight Pictures"
"Adventureland","Greg Mottola","Jesse Eisenberg, Kristen Stewart, Martin Starr, Bill Hader, Kristen Wiig, Margarita Levieva, Ryan Reynolds","Comedy","Based on Adventureland; Miramax Films"
"After.Life","Agnieszka Wojtowicz-Vosloo","Christina Ricci, Liam Neeson, Justin Long, Celia Weston","Horror","Anchor Bay Entertainment"
"Alien Trespass","R. W. Goodwin","Eric McCormack, Jenni Baird, Dan Lauria, Robert Patrick","Comedy, Science fiction","Rangeland Productions"
"Aliens in the Attic","John Schultz","Robert Hoffman, Ashley Tisdale, Carter Jenkins, Austin Butler, Kevin Nealon, Doris Roberts","Science fiction","20th Century Fox, Regency Enterprises"
"All About Steve","Phil Traill","Sandra Bullock, Bradley Cooper, Thomas Haden Church","Comedy","20th Century Fox, Radar Pictures"
"Alvin and the Chipmunks: The Squeakquel","Betty Thomas","Jason Lee, David Cross, Zachary Levi, Justin Long, Matthew Gray Gubler, Jesse McCartney, Anna Faris, Christina Applegate, Amy Poehler","Family, Musical","20th Century Fox Preceded by Alvin and the Chipmunks"
"Amelia","Mira Nair","Hilary Swank, Richard Gere, Ewan McGregor","Biography, Drama","Fox Searchlight Pictures"
"American Violet","Tim Disney","Nicole Beharie, Tim Blake Nelson, Will Patton, Michael O'Keefe, Xzibit, Charles S. Dutton, Alfre Woodard","Drama","Samuel Goldwyn Films"
"Angels & Demons","Ron Howard","Tom Hanks, Ayelet Zurer, Ewan McGregor, Stellan Skarsgård, Armin Mueller-Stahl, Pierfrancesco Favino, Nikolaj Lie Kaas","Adventure, Mystery","Columbia Pictures. Based on the novel by Dan Brown"
"The Answer Man","John Hindman","Jeff Daniels, Lauren Graham, Lou Taylor Pucci, Kat Dennings, Olivia Thirlby","Romantic comedy","Magnolia Pictures"
"Arcadia Lost","Phedon Papamichael, Jr.","Nick Nolte, Haley Bennett, Carter Jenkins, Dato Bakhtadze, Lachlan Buchanan, James Ivory","Drama","Merchant Films"
"Armored","Nimród Antal","Matt Dillon, Jean Reno, Laurence Fishburne, Milo Ventimiglia, Skeet Ulrich, Columbus Short, Amaury Nolasco, Fred Ward","Action, Crime drama","Screen Gems"
"Assassination of a High School President","Brett Simon","Bruce Willis, Reece Thompson, Mischa Barton","Comedy","Yari Film Group"
"Astro Boy","David Bowers","Freddie Highmore, Nicolas Cage, Donald Sutherland, Nathan Lane, Bill Nighy, Eugene Levy, Kristen Bell","Animated film","Summit Entertainment, Imagi Animation Studios Based on Astro Boy by Osamu Tezuka"
"Avatar","James Cameron","Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez, Stephen Lang, Laz Alonso, Giovanni Ribisi, Joel Moore, Wes Studi","Epic, Science fiction","Noted as a breakthrough in 3D viewing and stereoscopic filmmaking[1] 20th Century Fox"
"Away We Go","Sam Mendes","John Krasinski, Maya Rudolph, Jeff Daniels, Maggie Gyllenhaal, Allison Janney, Chris Messina, Catherine O'Hara, Paul Schneider, Jim Gaffigan, Melanie Lynskey, Josh Hamilton","Comedy-drama","Focus Features"
"The Bad Lieutenant: Port of Call New Orleans","Werner Herzog","Nicolas Cage, Eva Mendes, Val Kilmer, Xzibit","Crime drama","Millennium Films"
"Bandslam","Todd Graff","Aly Michalka, Vanessa Hudgens, Gaelan Connell, Scott Porter, Lisa Kudrow","Musical","Summit Entertainment, Walden Media"
"Battle for Terra","Aristomenis Tsirbas","Evan Rachel Wood, Brian Cox, James Garner, Chris Evans, Danny Glover, Amanda Peet, David Cross, Justin Long, Dennis Quaid, Luke Wilson","Science fiction, Animated","Lionsgate"
"Beyond a Reasonable Doubt","Peter Hyams","Michael Douglas, Jesse Metcalfe, Amber Tamblyn, Orlando Jones","Drama","RKO Pictures; based on Fritz Lang's '1956 film"
"Big Fan","Robert D. Siegel","Patton Oswalt, Kevin Corrigan, Michael Rapaport, Marcia Jean Kurtz","Drama","First Independent Pictures"
"The Blind Side","John Lee Hancock","Sandra Bullock, Kathy Bates, Tim McGraw, Ray McKinnon, Quinton Aaron","Drama","Warner Bros. Pictures, Alcon Entertainment Based on The Blind Side: Evolution of a Game by Michael Lewis; Oscar for Bullock"
"Boogie Town","Chris Stokes","Marques Houston, Brenda Song","Dance","Awaiting release"
"The Boondock Saints II: All Saints Day","Troy Duffy","Sean Patrick Flanery, Norman Reedus, Clifton Collins, Jr., Julie Benz, Judd Nelson, Bob Marley, Brian Mahoney, David Ferry, David Della Rocco, Peter Fonda, Billy Connolly","Action","Apparition; preceded by The Boondock Saints (1999)"
"The Box","Richard Kelly","Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne, Gillian Jacobs","Science fiction","Warner Bros. Pictures Based on ""Button, Button"" by Richard Matheson"
"Bride Wars","Gary Winick","Kate Hudson, Anne Hathaway, Candice Bergen","Comedy","20th Century Fox, Regency Enterprises"
"Brothers","Jim Sheridan","Tobey Maguire, Jake Gyllenhaal, Natalie Portman, Sam Shepard","War","Lionsgate Based on Brothers (2004)"
"The Brothers Bloom","Rian Johnson","Adrien Brody, Mark Ruffalo, Rachel Weisz, Rinko Kikuchi, Robbie Coltrane, Maximilian Schell","Comedy, Crime","Summit Entertainment"
"Brothers at War","Jake Rademacher","Soldiers in the Iraq War","Documentary","Samuel Goldwyn Films"
"Brüno","Larry Charles","Sacha Baron Cohen","Mockumentary","Universal Pictures"
"C Me Dance","Greg Robbins","Greg Robbins, Christina DeMarco, Laura Romeo, Peter Kent","Thriller","Freestyle Releasing"
"Capitalism: A Love Story","Michael Moore","The financial crisis of 2007–2010","Documentary","Overture Films"
"Carriers","Alex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni","Horror","Paramount Vantage"
"The Chaos Experiment","Philippe Martinez","Val Kilmer, Armand Assante, Eric Roberts","Drama",""
"A Christmas Carol","Robert Zemeckis","Jim Carrey, Gary Oldman, Cary Elwes, Colin Firth","Animation","Based on A Christmas Carol by Charles Dickens"
"Cirque du Freak: The Vampire's Assistant","Paul Weitz","John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Michael Cerveris, Ray Stevenson, Patrick Fugit, Willem Dafoe, Salma Hayek","Fantasy","Universal Pictures Based on The Saga of Darren Shan by Darren Shan"
"Cloudy with a Chance of Meatballs","Phil Lord, Chris Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker, Lauren Graham, Will Forte","Animated","Columbia Pictures, Sony Pictures Animation Based on Cloudy with a Chance of Meatballs by Judi Barrett and Ron Barrett"
"Cold Souls","Sophie Barthes","Paul Giamatti, Emily Watson, David Strathairn, Dina Korzun","Comedy","Samuel Goldwyn Films"
"The Collector","Marcus Dunstan","Josh Stewart, Michael Reilly Burke, Andrea Roth, Juan Fernández","Horror","Freestyle Releasing"
"Confessions of a Shopaholic","P. J. Hogan","Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas, Leslie Bibb","Romantic comedy","Touchstone Pictures. Based on the Shopaholic series by Sophie Kinsella"
