"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Coraline","Henry Selick","Dakota Fanning, Teri Hatcher, Ian McShane, Jennifer Saunders, Dawn French","Animated","Focus Features; based on Coraline by Neil Gaiman"
"Couples Retreat","Peter Billingsley","Vince Vaughn, Jon Favreau, Jason Bateman, Faizon Love, Kristin Davis, Malin Åkerman, Kristen Bell, Kali Hawk, Jean Reno","Comedy","Universal Pictures"
"The Cove","Louie Psihoyos","The annual killing of dolphins at Taiji, Wakayama","Documentary","Lionsgate"
"Crank: High Voltage","Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Clifton Collins, Jr., Efren Ramirez, Dwight Yoakam, Reno Wilson, Bai Ling, David Carradine","Action","Lionsgate, Lakeshore Entertainment; preceded by Crank (2006)"
"Crazy Heart","Scott Cooper","Jeff Bridges, Maggie Gyllenhaal, Robert Duvall, Colin Farrell","Drama, Musical","Fox Searchlight Pictures; Oscar for Bridges"
"The Cross","Matthew Crouch","Arthur Blessitt","Documentary","Gener8Xion Entertainment"
"Crossing Over","Wayne Kramer","Harrison Ford, Sean Penn, Jim Sturgess, Ashley Judd, Alice Eve, Alice Braga, Cliff Curtis, Summer Bishil, Ray Liotta","Drama","The Weinstein Company"
"Dance Flick","Damien Dante Wayans","Shoshana Bush, Damon Wayans, Jr.","Dance, Parody","Paramount Pictures, MTV Films"
"Did You Hear About the Morgans?","Marc Lawrence","Hugh Grant, Sarah Jessica Parker, Sam Elliott, Mary Steenburgen, Elisabeth Moss, Wilford Brimley, Michael Kelly","Comedy","Columbia Pictures"
"District 9","Neill Blomkamp","Sharlto Copley, Jason Cope, David James","Science fiction","TriStar Pictures"
"Drag Me to Hell","Sam Raimi","Alison Lohman, Justin Long, Lorna Raver, Dileep Rao, David Paymer, Adriana Barraza","Horror","Universal Pictures"
"Dragonball Evolution","James Wong","Justin Chatwin, Emmy Rossum, Joon Park, Chow Yun-fat, James Marsters, Eriko Tamura, Jamie Chung, Randall Duk Kim","Action, Fantasy","20th Century Fox Based on the Dragon Ball franchise from Akira Toriyama"
"Duplicity","Tony Gilroy","Julia Roberts, Clive Owen, Tom Wilkinson, Paul Giamatti","Crime","Universal Pictures"
"Echelon Conspiracy","Greg Marcks","Shane West, Edward Burns, Ving Rhames, Jonathan Pryce, Tamara Feldman","Action","After Dark Films"
"Every Little Step","James D. Stern, Adam Del Deo","The casting of the 2006 Broadway revival of A Chorus Line","Documentary","Sony Picture Classics"
"Everybody's Fine","Nick Jones","Robert De Niro, Drew Barrymore, Kate Beckinsale, Sam Rockwell","Drama","Miramax Films Based on Everybody's Fine"
"Extract","Mike Judge","Jason Bateman, Mila Kunis, Kristen Wiig, J. K. Simmons, Ben Affleck","Comedy","Miramax Films"
"Fame","Kevin Tancharoen","Debbie Allen, Charles S. Dutton, Kelsey Grammer, Megan Mullally, Bebe Neuwirth, Asher Book, Kristy Flores, Paul Iacono, Paul McGill, Naturi Naughton, Kay Panabaker, Kherington Payne, Collins Pennie, Walter Perez, Anna Maria Perez de Taglé","Drama, Musical","MGM; based on Fame"
"Fantastic Mr. Fox","Wes Anderson","George Clooney, Meryl Streep, Cate Blanchett, Anjelica Huston","Animated film","20th Century Fox; based on Fantastic Mr. Fox by Roald Dahl"
"Fast & Furious","Justin Lin","Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","Action","Universal Pictures; preceded by The Fast and the Furious: Tokyo Drift (2006)"
"Fighting","Dito Montiel","Channing Tatum, Terrence Howard","Action","Rogue Pictures"
"The Final Destination","David R. Ellis","Bobby Campo, Shantel VanSanten, Haley Webb, Nick Zano, Mykelti Williamson","Horror","New Line Cinema Preceded by Final Destination 3 (2006)"
"Fired Up!","Will Gluck","Nick D'Agosto, Eric Christian Olsen, Sarah Roemer, AnnaLynne McCord, Molly Sims, John Michael Higgins","Comedy, Teen","Screen Gems"
"Food, Inc.","Robert Kenner","Agricultural food production in United States","Documentary","Magnolia Pictures, Participant Media, River Road Entertainment"
"Fragments","Rowan Woods","Kate Beckinsale, Dakota Fanning, Guy Pearce, Josh Hutcherson, Forest Whitaker, Jennifer Hudson, Jackie Earle Haley, Jeanne Tripplehorn, Embeth Davidtz","Drama","Based on Winged Creatures by Roy Freirich; titled Winged Creatures internationally. Direct-to-DVD"
"Friday the 13th","Marcus Nispel","Jared Padalecki, Danielle Panabaker, Aaron Yoo, Amanda Righetti","Horror","New Line Cinema, Paramount Pictures; preceded by Freddy vs. Jason (2003)"
"Funny People","Judd Apatow","Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana, Jonah Hill, RZA, Jason Schwartzman","Comedy drama","Universal Pictures, Columbia Pictures"
"G-Force","Hoyt Yeatman","Bill Nighy, Will Arnett, Zach Galifianakis, Nicolas Cage, Sam Rockwell, Jon Favreau, Penélope Cruz, Steve Buscemi, Tracy Morgan","Family, Live-action/animated film","Walt Disney Pictures"
"G.I. Joe: The Rise of Cobra","Stephen Sommers","Dennis Quaid, Channing Tatum, Marlon Wayans, Saïd Taghmaoui, Jonathan Pryce, Rachel Nichols, Sienna Miller, Lee Byung-hun, Joseph Gordon-Levitt, Christopher Eccleston, Adewale Akinnuoye-Agbaje","Action, Adventure","Paramount Pictures, Spyglass Entertainment. Based on the G.I. Joe: A Real American Hero franchise"
"Gallowwalker","Andrew Goth","Wesley Snipes, Riley Smith, Patrick Bergin","Horror, Western","Awaiting release"
"Gamer","Mark Neveldine, Brian Taylor","Gerard Butler, Michael C. Hall, Chris ""Ludacris"" Bridges, Kyra Sedgwick, Amber Valletta, Logan Lerman, Terry Crews","Action, Science fiction","Lionsgate, Lakeshore Entertainment"
"Gentlemen Broncos","Jared Hess","Michael Angarano, Jemaine Clement, Sam Rockwell, Jennifer Coolidge","Comedy","Fox Searchlight Pictures"
"Ghosts of Girlfriends Past","Mark Waters","Matthew McConaughey, Jennifer Garner, Michael Douglas, Breckin Meyer, Lacey Chabert, Emma Stone, Anne Archer, Robert Forster, Amanda Walsh, Noureen DeWulf","Fantasy, Romantic comedy","New Line Cinema. Based on A Christmas Carol by Charles Dickens"
"Gigantic","Matt Aselton","Paul Dano, Zooey Deschanel, Ed Asner, Jane Alexander, John Goodman","Comedy","First Independent Pictures"
"The Girlfriend Experience","Steven Soderbergh","Sasha Grey","Drama","Magnolia Pictures"
"The Goods: Live Hard, Sell Hard","Neal Brennan","Jeremy Piven, Ving Rhames, James Brolin, David Koechner, Kathryn Hahn, Ed Helms, Jordana Spiro, Craig Robinson, Ken Jeong, Rob Riggle, Noureen DeWulf, Tony Hale, Joey Kern, Alan Thicke, Will Ferrell","Comedy","Paramount Vantage"
"The Great Buck Howard","Sean McGinly","John Malkovich, Colin Hanks, Emily Blunt, Steve Zahn, Tom Hanks","Comedy-drama","Magnolia Pictures"
"The Grudge 3","Toby Wilkins","Johanna Braddy, Gil McKinney, Shawnee Smith, Emi Ikehata, Jadie Hobson, Beau Mirchoff, Marina Sirtis, Matthew Knight","Horror–Thriller","Stage 6 Films, Sony(USA), Columbia Pictures"
"Halloween II","Rob Zombie","Malcolm McDowell, Sheri Moon Zombie, Scout Taylor-Compton, Tyler Mane, Brad Dourif, Danielle Harris","Horror","Dimension Films Preceded by Halloween (2007)"
"The Hangover","Todd Phillips","Bradley Cooper, Ed Helms, Zach Galifianakis, Heather Graham, Justin Bartha","Comedy","Warner Bros., Legendary Pictures"
"Hannah Montana: The Movie","Peter Chelsom","Miley Cyrus, Emily Osment, Jason Earles, Mitchel Musso, Moisés Arias, Melora Hardin, Vanessa Williams, Billy Ray Cyrus, Lucas Till","Family, Musical","Walt Disney Pictures. Based on Hannah Montana"
"Harry Potter and the Half-Blood Prince","David Yates","Daniel Radcliffe, Rupert Grint, Emma Watson, Jim Broadbent, Helena Bonham Carter, Robbie Coltrane, Warwick Davis, Michael Gambon, Alan Rickman, Maggie Smith, Timothy Spall, David Thewlis, Julie Walters","Family, Fantasy","Warner Bros. Pictures. Based on the novel of the same name by J. K. Rowling Preceded by Harry Potter and the Order of the Phoenix (2007)"
"The Haunting in Connecticut","Peter Cornwell","Virginia Madsen, Kyle Gallner, Martin Donovan, Elias Koteas, Amanda Crew","Horror","Lionsgate, Gold Circle Films"
"He's Just Not That Into You","Ken Kwapis","Ben Affleck, Jennifer Aniston, Drew Barrymore, Jennifer Connelly, Kevin Connelly, Bradley Cooper, Ginnifer Goodwin, Scarlett Johansson, Justin Long","Romantic comedy","New Line Cinema. Based on the self-help book by Greg Behrendt and Liz Tuccillo"
"The Hole","Joe Dante","Teri Polo, Chris Massoglia, Haley Bennett","Fantasy, Thriller","Bold Films"
"Homecoming","Morgan J. Freeman","Mischa Barton, Matt Long, Jessica Stroup","Horror","Animus Films"
"Horrorween","Joe Estevez","Chuck Lamb, Ed Meyer, Tila Tequila","Comedy horror",""
"Horsemen","Jonas Åkerlund","Dennis Quaid, Zhang Ziyi, Clifton Collins, Jr., Patrick Fugit, Peter Stormare","Crime drama","Lionsgate, Mandate Pictures"
"Hotel for Dogs","Thor Freudenthal","Emma Roberts, Jake T. Austin, Kyla Pratt, Don Cheadle, Lisa Kudrow, Kevin Dillon","Comedy, Family","DreamWorks Pictures, Nickelodeon Movies. Based on Hotel for Dogs by Lois Duncan"
"Humpday","Lynn Shelton","Mark Duplass, Joshua Leonard, Alycia Delmore","Comedy","Magnolia Pictures"
"I Can Do Bad All By Myself","Tyler Perry","Tyler Perry, Taraji P. Henson, Mary J. Blige, Adam Rodríguez, Brian White, Gladys Knight, Pastor Marvin Winans","Comedy, Drama","Lionsgate Preceded by Madea Goes to Jail"
"I Hate Valentine's Day","Nia Vardalos","Nia Vardalos, John Corbett","Romantic comedy","Blue Star Entertainment"
"I Hope They Serve Beer in Hell","Bob Gosse","Matt Czuchry, Jesse Bradford, Geoff Stults","Comedy","Based on I Hope They Serve Beer in Hell by Tucker Max"
"I Love You, Beth Cooper","Chris Columbus","Hayden Panettiere, Paul Rust, Jack Carpenter, Lauren London, Lauren Storm, Alan Ruck, Cynthia Stevenson","Comedy, Teen","20th Century Fox. Based on I Love You, Beth Cooper by Larry Doyle"
"I Love You, Man","John Hamburg","Paul Rudd, Jason Segel","Comedy","Paramount Pictures"
"Ice Age: Dawn of the Dinosaurs","Carlos Saldanha, Mike Thurmeier","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Josh Peck, Simon Pegg","Family","Animated film. 20th Century Fox. Preceded by Ice Age: The Meltdown (2006)"
"Imagine That","Karey Kirkpatrick","Eddie Murphy","Comedy","Paramount Pictures, Nickelodeon Movies"
"The Imaginarium of Doctor Parnassus","Terry Gilliam","Heath Ledger, Christopher Plummer, Lily Cole, Verne Troyer, Andrew Garfield, Tom Waits, Johnny Depp, Jude Law, Colin Farrell","Adventure, Comedy","Sony Pictures Classics"
"The Informant!","Steven Soderbergh","Matt Damon, Scott Bakula, Joel McHale, Melanie Lynskey","Black comedy, Biography","Warner Bros. Pictures Based on The Informant by Kurt Eichenwald"
"The Informers","Gregor Jordan","Billy Bob Thornton, Kim Basinger, Winona Ryder, Mickey Rourke, Jon Foster, Amber Heard, Rhys Ifans, Chris Isaak, Austin Nichols, Lou Taylor Pucci, Mel Raido, Brad Renfro","Drama","Based on The Informers by Bret Easton Ellis"
"Inglourious Basterds","Quentin Tarantino","Brad Pitt, Mélanie Laurent, Christoph Waltz, Daniel Brühl, Diane Kruger, Michael Fassbender, Eli Roth, Til Schweiger","War, Science fiction","Universal Pictures, The Weinstein Company"
"The International","Tom Tykwer","Clive Owen, Naomi Watts","Action, Thriller","Columbia Pictures"
"Invictus","Clint Eastwood","Morgan Freeman, Matt Damon","Biography, Drama","Warner Bros. Pictures Based on Playing the Enemy: Nelson Mandela and the Game That Changed a Nation by John Carlin"
"An Invisible Sign","Marilyn Agrelo","Jessica Alba, J. K. Simmons, Chris Messina","Drama","Awaiting release"
"The Invention of Lying","Ricky Gervais, Matthew Robinson","Ricky Gervais, Jennifer Garner, Jonah Hill, Louis C.K., Rob Lowe, Tina Fey, Christopher Guest","Comedy, Science fiction","Warner Bros. Pictures"
"It Might Get Loud","Davis Guggenheim","The careers and styles of Jimmy Page, The Edge, and Jack White","Documentary","Sony Pictures Classics"
"It’s Complicated","Nancy Meyers","Robert Adamson, Blanchard Ryan, Meryl Streep, Steve Martin, Alec Baldwin","Romantic comedy","Universal Pictures"
"Janky Promoters","Marcus Raboy","Ice Cube, Mike Epps, Young Jeezy","Comedy","Third Rail Releasing"
"Jennifer's Body","Karyn Kusama","Megan Fox, Amanda Seyfried, Johnny Simmons, J. K. Simmons, Amy Sedaris, Adam Brody","Comedy horror, Teen","20th Century Fox, Fox Atomic"
"Jonas Brothers: The 3D Concert Experience","Bruce Hendricks","Jonas Brothers, Demi Lovato, Taylor Swift, Christa B. Allen","Concert","Walt Disney Pictures"
"Julie & Julia","Nora Ephron","Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina, Linda Emond","Biography, Romantic comedy","Columbia Pictures. Based on My Life in France by Alex Prud'homme and Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen by Julie Powell"
"Knowing","Alex Proyas","Nicolas Cage","Science fiction","Summit Entertainment"
"Labor Pains","Lara Shapiro","Lindsay Lohan, Luke Kirby, Cheryl Hines, Chris Parnell, Bridgit Mendler, Kevin Covais","Romantic comedy, Romantic","First Look Studios"
"Laid to Rest","Robert Green Hall","Bobbi Sue Luther, Kevin Gage, Sean Whalen, Johnathon Schaech, Thomas Dekker, Nick Principe, Richard Lynch, Lena Headey","Horror","Direct-to-DVD, Dry County Films, Anchor Bay Entertainment"
"Land of the Lost","Brad Silberling","Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone","Adventure","Universal Pictures, Relativity Media; based on the TV series of the same name"
"The Last House on the Left","Dennis Iliadis","Garret Dillahunt, Rhys Coiro, Martha MacIsaac, Riki Lindhome, Tony Goldwyn, Monica Potter, Spencer Treat Clark, Sara Paxton","Horror","Rogue Pictures; based on The Last House on the Left"
"Law Abiding Citizen","F. Gary Gray","Gerard Butler, Jamie Foxx, Colm Meaney, Bruce McGill, Regina Hall, Viola Davis","Thriller","Overture Films"
"Life During Wartime","Todd Solondz","Ally Sheedy, Gaby Hoffmann","Comedy-drama","Preceded by Happiness"
"The Limits of Control","Jim Jarmusch","Isaach de Bankolé, Bill Murray, Tilda Swinton, Gael García Bernal","Crime drama","Focus Features"
"Love Happens","Brandon Camp","Aaron Eckhart, Jennifer Aniston","Romance","Universal Pictures"
"Love N' Dancing","Robert Iscove","Amy Smart, Tom Malloy, Billy Zane","Dance, Romance","Screen Media Films"
"The Lovely Bones","Peter Jackson","Saoirse Ronan, Rachel Weisz, Mark Wahlberg, Stanley Tucci","Drama","DreamWorks Pictures Based on The Lovely Bones by Alice Sebold"
"Lymelife","Derick Martini","Alec Baldwin, Emma Roberts, Rory Culkin, Kieran Culkin, Jill Hennessy, Timothy Hutton, Cynthia Nixon","Drama","Screen Media Films"
"Madea Goes to Jail","Tyler Perry","Tyler Perry, Sofía Vergara, Vanessa Ferlito, Derek Luke, Keshia Knight Pulliam, David Mann, Ion Overman, RonReaco Lee, Viola Davis","Comedy, Drama","Lionsgate; based on Madea Goes to Jail"
"The Maiden Heist","Peter Hewitt","Christopher Walken, Morgan Freeman, William H. Macy","Comedy, Crime","Yari Film Group"
"Management","Stephen Belber","Steve Zahn, Jennifer Aniston, Woody Harrelson, Fred Ward","Comedy","Samuel Goldwyn Films"
"Me and Orson Welles","Richard Linklater","Ben Chaplin, Claire Danes, Zac Efron, Zoe Kazan, Eddie Marsan, Christian McKay, Kelly Reilly, James Tupper","Biography, Drama","Warner Bros."
"The Men Who Stare at Goats","Grant Heslov","Ewan McGregor, George Clooney, Kevin Spacey, Jeff Bridges","Comedy","Overture Films; based on The Men Who Stare at Goats by Jon Ronson"
"The Merry Gentleman","Michael Keaton","Michael Keaton, Kelly Macdonald","Dramedy",""
"The Messenger","Oren Moverman","Ben Foster, Woody Harrelson, Samantha Morton, Jena Malone, Steve Buscemi","Drama","Oscilloscope Pictures"
"Michael Jackson's This Is It","Kenny Ortega","Michael Jackson's final concert, canceled after his death","Documentary","Columbia Pictures"
"Miss March","Zach Cregger, Trevor Moore","Zach Cregger, Trevor Moore, Raquel Alessi, Molly Stanton, Craig Robinson","Comedy","Fox Searchlight Pictures"
"Monsters vs. Aliens","Rob Letterman, Conrad Vernon","Reese Witherspoon, Seth Rogen, Hugh Laurie, Rainn Wilson, Kiefer Sutherland, Will Arnett, Stephen Colbert, Paul Rudd","Animated film","DreamWorks Animation"
"Motherhood","Katherine Dieckmann","Uma Thurman, Minnie Driver, Anthony Edwards","Comedy",""
"My Bloody Valentine 3D","Patrick Lussier","Jensen Ackles, Jaime King, Kerr Smith","Horror","Lionsgate; based on My Bloody Valentine"
"My Life in Ruins","Donald Petrie","Nia Vardalos, Richard Dreyfuss","Romantic comedy","Fox Searchlight Pictures"
"My Sister's Keeper","Nick Cassavetes","Cameron Diaz, Alec Baldwin, Abigail Breslin, Sofia Vassilieva, Joan Cusack, Thomas Dekker, Jason Patric","Drama","New Line Cinema; based on My Sister's Keeper by Jodi Picoult"
"My One and Only","Richard Loncraine","Renée Zellweger, Chris Noth, Kevin Bacon","Comedy",""
"New in Town","Jonas Elmer","Renée Zellweger, Harry Connick, Jr.","Romantic comedy","Lionsgate, Gold Circle Films"
"New Moon","Chris Weitz","Kristen Stewart, Robert Pattinson, Taylor Lautner","Fantasy, Romance","Based on New Moon by Stephenie Meyer Preceded by Twilight (2008)"
"New York, I Love You","10 directors","Bradley Cooper, Chris Cooper, Shia LaBeouf, Orlando Bloom, Andy García, Natalie Portman, Rachel Bilson, Julie Christie, James Caan","Anthology, Romance","Vivendi Entertainment"
"Next Day Air","Benny Boom","Donald Faison, Mike Epps, Wood Harris, Omari Hardwick, Darius McCrary, Yasmin Deliz, Mos Def","Comedy, Crime","Summit Entertainment"
"Night at the Museum: Battle of the Smithsonian","Shawn Levy","Ben Stiller, Dick Van Dyke, Robin Williams, Amy Adams, Hank Azaria, Owen Wilson, Steve Coogan, Jonah Hill, Ricky Gervais","Adventure, Family","20th Century Fox; preceded by Night at the Museum"
"Nine","Rob Marshall","Daniel Day-Lewis, Marion Cotillard, Nicole Kidman, Penélope Cruz, Kate Hudson, Judi Dench, Fergie, Sophia Loren","Musical","The Weinstein Company"
"Ninja Assassin","James McTeigue","Rain, Naomie Harris, Rick Yune, Ben Miles, Sho Kosugi, Sung Kang","Action, Martial arts","Warner Bros., Legendary Pictures, Dark Castle Entertainment"
"Not Easily Broken","Bill Duke","Morris Chestnut, Taraji P. Henson, Kevin Hart, Eddie Cibrian, Jenifer Lewis","Drama","Screen Gems; based on Not Easily Broken by T. D. Jakes"
"Not Forgotten","Dror Soref","Simon Baker, Paz Vega","Thriller",""
"Notorious","George Tillman, Jr.","Jamal Woolard, Derek Luke, Angela Bassett, Anthony Mackie, Naturi Naughton","Bio-pic, Drama","Fox Searchlight Pictures"
"Observe and Report","Jody Hill","Seth Rogen, Anna Faris, Michael Peña, Ray Liotta","Black comedy","Warner Bros. Pictures, Legendary Pictures"
"Obsessed","Steve Shill","Idris Elba, Beyoncé Knowles, Ali Larter","Thriller","Screen Gems"
"Old Dogs","Walt Becker","John Travolta, Robin Williams, Kelly Preston, Seth Green, Ella Bleu Travolta, Conner Rayburn, Matt Dillon, Rita Wilson, Dax Shepard, Bernie Mac, Luis Guzmán, Justin Long","Comedy, Family","Walt Disney Pictures"
