"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"20 Dates","Myles Berkowitz","Myles Berkowitz, Elisabeth Wagner, Tia Carrere","Mockumentary",""
"54","Mark Christopher","Ryan Phillippe, Salma Hayek, Mike Myers, Neve Campbell","Drama","Miramax Films"
"Addams Family Reunion","Dave Payne","Tim Curry, Daryl Hannah","Comedy","The Addams Family sequel"
"The Adventures of Sebastian Cole","Tod Williams","Adrian Grenier, Margaret Colin, Clark Gregg, John Shea","Comedy","Paramount Classics"
"Almost Heroes","Christopher Guest","Chris Farley, Matthew Perry, Bokeem Woodbine, Eugene Levy","Comedy","Farley's final film"
"American History X","Tony Kaye","Edward Norton, Edward Furlong, Beverly D'Angelo, Elliott Gould, Stacy Keach, Fairuza Balk, Jennifer Lien, Avery Brooks","Drama","Oscar nomination for Norton"
"An Alan Smithee Film: Burn Hollywood Burn","Arthur Hiller","Ryan O'Neal, Coolio, Eric Idle","Comedy","Winner of 5 Razzie awards"
"Another Day in Paradise","Larry Clark","James Woods, Melanie Griffith, Peter Sarsgaard","Crime drama","Trimark Pictures"
"Antz","Eric Darnell, Tim Johnson","Voices of Woody Allen, Gene Hackman, Jennifer Lopez, Danny Glover, Dan Aykroyd, Jane Curtin, Sylvester Stallone, Sharon Stone","Animated","DreamWorks Animation"
"Apt Pupil","Bryan Singer","Ian McKellen, Brad Renfro, Joshua Jackson","Thriller",""
"Armageddon","Michael Bay","Bruce Willis, Ben Affleck, Liv Tyler, Billy Bob Thornton, Will Patton, Steve Buscemi, Michael Clarke Duncan","Drama","1998 top-grossing film; 7 Razzie nominations"
"The Avengers","Jeremiah S. Chechik","Ralph Fiennes, Uma Thurman, Sean Connery, Jim Broadbent, Fiona Shaw, Eddie Izzard","Action","based on the TV series; 9 Razzie nominations"
"B. Monkey","Michael Radford","Jared Harris, Asia Argento, Rupert Everett","Drama","U.K."
"Babe: Pig in the City","George Miller","James Cromwell, Magda Szubanski, Mickey Rooney","Family","Babe sequel"
"BASEketball","David Zucker","Trey Parker, Matt Stone, Yasmine Bleeth, Jenny McCarthy, Robert Vaughn, Ernest Borgnine, Bob Costas, Al Michaels","Comedy","Universal Pictures"
"Belly","Hype Williams","Nas, Tionne ""T-Boz"" Watkins, Method Man","Drama",""
"Beloved","Jonathan Demme","Oprah Winfrey, Danny Glover, Thandie Newton","Drama","from Toni Morrison novel"
"The Big Hit","Kirk Wong","Mark Wahlberg, Lou Diamond Phillips, Bokeem Woodbine, Antonio Sabàto, Jr.","Action",""
"The Big Lebowski","Joel Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, John Turturro, Tara Reid, Ben Gazzara","Comedy","Gramercy Pictures"
"Billy's Hollywood Screen Kiss","Tommy O'Haver","Sean Hayes, Brad Rowe, Paul Bartel","Comedy",""
"Black Dog","Kevin Hooks","Patrick Swayze, Charles S. Dutton, Randy Travis, Gabriel Casseus, Meat Loaf","Action","Universal/Disney"
"Blade","Stephen Norrington","Wesley Snipes, Stephen Dorff, Kris Kristofferson","Horror","Marvel Comics character"
"Blues Brothers 2000","John Landis","Dan Aykroyd, John Goodman, Joe Morton, J. Evan Bonifant, Nia Peeples","Comedy","Blues Brothers sequel"
"Break Up","Paul Marcus","Bridget Fonda, Hart Bochner, Kiefer Sutherland","Thriller",""
"Bride of Chucky","Ronny Yu","Jennifer Tilly, Katherine Heigl, Nick Stabile, John Ritter","Horror","Child's Play sequel"
"Broken Vessels","Scott Ziehl","Todd Field, Jason London, Roxana Zal","Drama",""
"Brown's Requiem","Jason Freeland","Michael Rooker, Selma Blair, Will Sasso","Crime",""
"Buffalo '66","Vincent Gallo","Vincent Gallo, Christina Ricci, Ben Gazzara","Drama",""
"A Bug's Life","John Lasseter","Voices of Dave Foley, Kevin Spacey, Julia Louis-Dreyfus","Comedy",""
"Bulworth","Warren Beatty","Warren Beatty, Halle Berry, Oliver Platt, Don Cheadle, Paul Sorvino, Isaiah Washington","Comedy","20th Century Fox"
"Can't Hardly Wait","Deborah Kaplan, Harry Elfont","Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli, Seth Green","Comedy",""
"Casper Meets Wendy","Sean McNamara","Hilary Duff, Cathy Moriarty-Gentile, Shelley Duvall, Teri Garr","Comedy",""
"Caught Up","Darin Scott","Bokeem Woodbine, Cynda Williams, Snoop Dogg","Crime drama",""
"Celebrity","Woody Allen","Kenneth Branagh, Judy Davis, Bebe Neuwirth, Charlize Theron, Leonardo DiCaprio","Comedy","Miramax"
"Chairman of the Board","Alex Zamm","Carrot Top, Courtney Thorne-Smith","Comedy",""
"City of Angels","Brad Silberling","Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz","Fantasy","Wings of Desire remake"
"A Civil Action","Steven Zaillian","John Travolta, Robert Duvall, William H. Macy, Tony Shalhoub, Kathleen Quinlan, John Lithgow, Dan Hedaya, Sydney Pollack, James Gandolfini","Drama","from Jonathan Harr book"
"Clay Pigeons","David Doblin","Joaquin Phoenix, Janeane Garofalo, Georgina Cates, Vince Vaughn","Drama","Gramercy Pictures"
"Cousin Bette","Des McAnuff","Jessica Lange, Elisabeth Shue, Hugh Laurie, Bob Hoskins","Period drama",""
"Curse of the Puppet Master","David DeCoteau","George Peck, Emily Harrison, Josh Green","Horror",""
"The Curve","Dan Rosen","Matthew Lillard, Michael Vartan, Randall Batinkoff, Keri Russell","Thriller",""
"Dance with Me","Randa Haines","Vanessa L. Williams, Chayanne, Kris Kristofferson, Joan Plowright","Romance",""
"Dancer, Texas Pop. 81","Tim McCanlies","Ethan Embry, Patricia Wettig, Ashley Johnson","Comedy",""
"Dancing at Lughnasa","Pat O'Connor","Meryl Streep, Catherine McCormack, Kathy Burke","Comedy","from Brian Friel play"
"Dangerous Beauty","Marshall Herskovitz","Catherine McCormack, Oliver Platt, Fred Ward","Drama","from The Honest Courtesan"
"Dark City","Alex Proyas","Jennifer Connelly, William Hurt, Rufus Sewell, Kiefer Sutherland","Science fiction","Roger Ebert's #1 film of '98"
"Dead Man on Campus","Alan Cohn","Mark-Paul Gosselaar, Tom Everett Scott","Comedy",""
"Deep Impact","Mimi Leder","Robert Duvall, Téa Leoni, Morgan Freeman, Elijah Wood, Vanessa Redgrave, Maximilian Schell, Leelee Sobieski","Disaster","Paramount/DreamWorks"
"Deep Rising","Stephen Sommers","Treat Williams, Famke Janssen, Wes Studi, Kevin J. O'Connor, Anthony Heald, Jason Flemyng, Djimon Hounsou, Clifton Powell, Derrick O'Connor","Horror",""
"Dennis the Menace Strikes Again","Charles T. Kanganis","Justin Cooper, Don Rickles, Betty White, George Kennedy, Brian Doyle-Murray, Scott 'Carrot Top' Thompson","Family","Warner Bros."
"The Dentist 2","Brian Yuzna","Corbin Bernsen, Jillian McWhirter","Horror",""
"Desert Blue","Morgan J. Freeman","Brendan Sexton III, Kate Hudson, Casey Affleck, Christina Ricci","Comedy drama",""
"Desperate Measures","Barbet Schroeder","Michael Keaton, Andy García, Marcia Gay Harden, Brian Cox","Drama","TriStar Pictures"
"Digging to China","Timothy Hutton","Evan Rachel Wood, Kevin Bacon, Mary Stuart Masterson","Drama",""
"Dirty Work","Bob Saget","Norm Macdonald, Jack Warden, Don Rickles, Chevy Chase, Chris Farley","Comedy","MGM"
"Disturbing Behavior","David Nutter","James Marsden, Katie Holmes, Nick Stahl, William Sadler","Thriller",""
"Dr. Dolittle","Betty Thomas","Eddie Murphy, Ossie Davis, Richard Schiff","Comedy","remake of 1967 film"
"Down in the Delta","Maya Angelou","Alfre Woodard, Loretta Devine, Esther Rolle","Drama",""
"Drive","Steve Wang","Mark Dacascos, Tracey Walter, Brittany Murphy","Action",""
"Edge of Seventeen","David Moreton","Chris Stafford, Lea DeLaria, Tina Holmes","Comedy",""
"The Eighteenth Angel","William Bindley","Rachael Leigh Cook, Christopher McDonald, Stanley Tucci","Thriller",""
"Enemy of the State","Tony Scott","Will Smith, Gene Hackman, Jon Voight, Barry Pepper, Regina King, Lisa Bonet","Action","Touchstone Pictures"
"Ever After","Andy Tennant","Drew Barrymore, Dougray Scott, Anjelica Huston","Fantasy","based on Cinderella"
"The Faculty","Robert Rodriguez","Elijah Wood, Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett, Shawn Hatosy, Salma Hayek, Usher Raymond, Famke Janssen, Piper Laurie","Horror","Dimension Films"
"Fallen","Gregory Hoblit","Denzel Washington, John Goodman, Embeth Davidtz, James Gandolfini","Thriller","Warner Bros./Turner"
"The Farm: Angola, USA","Liz Garbus","Narrated by Bernard Addison","Documentary",""
"Fear and Loathing in Las Vegas","Terry Gilliam","Johnny Depp, Benicio del Toro","Comedy","based on Hunter S. Thompson"
"Finding Graceland","David Winkler","Harvey Keitel, Johnathon Schaech, Bridget Fonda, Gretchen Mol","Drama",""
"Firestorm","Dean Semler","Howie Long, Scott Glenn, William Forsythe, Suzy Amis","Action",""
"The Gingerbread Man","Robert Altman","Kenneth Branagh, Robert Downey, Jr., Embeth Davidtz, Robert Duvall, Daryl Hannah, Tom Berenger","Drama","from John Grisham novel"
"God Said ""Ha!""","Julia Sweeney","Julia Sweeney","Comedy",""
"Gods and Monsters","Bill Condon","Ian McKellen, Brendan Fraser, Lynn Redgrave, Lolita Davidovich","Biography","story of James Whale"
"The Godson","Bob Hoge","Rodney Dangerfield, Kevin McDonald, Dom DeLuise","Comedy",""
"Godzilla","Roland Emmerich","Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria, Vicki Lewis, Kevin Dunn, Harry Shearer","Science fiction","remake; 5 Razzie nominations"
"Goodbye Lover","Roland Joffé","Patricia Arquette, Dermot Mulroney, Mary-Louise Parker, Ellen DeGeneres","Comedy",""
"Great Expectations","Alfonso Cuarón","Ethan Hawke, Gwyneth Paltrow, Chris Cooper, Hank Azaria","Period drama",""
"The Hairy Bird","Sarah Kernochan","Kirsten Dunst, Gaby Hoffmann, Lynn Redgrave","Comedy",""
"Half Baked","Tamra Davis","Dave Chappelle, Jim Breuer, Guillermo Diaz, Harland Williams, Clarence Williams III","Comedy",""
"Halloween H20: 20 Years Later","Steve Miner","Jamie Lee Curtis, Adam Arkin, Michelle Williams, Josh Hartnett, LL Cool J, Joseph Gordon-Levitt, Jodi Lyn O'Keefe","Horror","Halloween sequel"
"Happiness","Todd Solondz","Philip Seymour Hoffman, Dylan Baker, Ben Gazzara, Camryn Manheim, Jane Adams","Drama",""
"Hard Rain","Mikael Salomon","Morgan Freeman, Christian Slater, Randy Quaid, Minnie Driver","Action","aka The Flood"
"He Got Game","Spike Lee","Denzel Washington, Ray Allen, Milla Jovovich, John Turturro","Sports drama",""
"Hell's Kitchen","Tony Cinciripini","Angelina Jolie, Mekhi Phifer, Rosanna Arquette","Drama",""
"The Hi-Lo Country","Stephen Frears","Billy Crudup, Woody Harrelson, Patricia Arquette, Penélope Cruz, Sam Elliott","Western","from Max Evans novel"
"High Art","Lisa Cholodenko","Radha Mitchell, Ally Sheedy, Patricia Clarkson","Drama","October Films"
"Holy Man","Stephen Herek","Eddie Murphy, Jeff Goldblum, Kelly Preston, Robert Loggia, Morgan Fairchild","Comedy","Touchstone Pictures"
"Home Fries","Dean Parisot","Drew Barrymore, Luke Wilson, Catherine O'Hara, Jake Busey","Comedy",""
"Homegrown","Stephen Gyllenhaal","John Lithgow, Billy Bob Thornton, Hank Azaria, Kelly Lynch","Comedy",""
"Hope Floats","Forest Whitaker","Sandra Bullock, Harry Connick, Jr., Gena Rowlands","Drama","20th Century Fox"
"The Horse Whisperer","Robert Redford","Robert Redford, Kristin Scott Thomas, Sam Neill, Chris Cooper, Dianne Wiest, Scarlett Johansson","Drama","from Nicholas Evans novel"
"How Stella Got Her Groove Back","Kevin Rodney Sullivan","Angela Bassett, Taye Diggs, Whoopi Goldberg, Regina King","Drama","from Terry McMillan novel"
"How to Make the Cruelest Month","Kip Koenig","Clea DuVall, Gabriel Mann, J. D. Souther","Comedy",""
"Hurlyburly","Anthony Drazan","Sean Penn, Kevin Spacey, Chazz Palminteri, Garry Shandling, Meg Ryan","Drama","from David Rabe play"
