"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"10 Things I Hate About You","Gil Junger","Julia Stiles, Heath Ledger, Larisa Oleynik, Joseph Gordon-Levitt, David Krumholtz, Andrew Keegan, Gabrielle Union","Romantic comedy",""
"The 13th Warrior","John McTiernan","Antonio Banderas, Diane Venora, Vladimir Kulich, Dennis Storhøi, Omar Sharif, Clive Russell, Richard Bremmer","Action",""
"200 Cigarettes","Risa Bramon Garcia","Ben Affleck, Casey Affleck, Dave Chappelle, Guillermo Diaz, Angela Featherstone, Janeane Garofalo, Gaby Hoffmann, Kate Hudson, Courtney Love, Jay Mohr, Martha Plimpton, Christina Ricci, Paul Rudd","Comedy, Drama",""
"The 4th Floor","Josh Klausner","Juliette Lewis, William Hurt, Shelley Duvall","Horror",""
"8mm","Joel Schumacher","Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare, Catherine Keener, Anthony Heald","Thriller",""
"The Adventures of Elmo in Grouchland","Gary Halvorson","Kevin Clash, Mandy Patinkin, Vanessa L. Williams","Children's film",""
"American Beauty","Sam Mendes","Kevin Spacey, Annette Bening, Chris Cooper, Wes Bentley, Thora Birch, Mena Suvari, Allison Janney, Peter Gallagher","Drama","won 5 Oscars"
"American Movie","Chris Smith","Mark Borchardt, Tom Schimmels","Documentary",""
"American Pie","Paul Weitz, Chris Weitz","Jason Biggs, Seann William Scott, Tara Reid, Shannon Elizabeth, Chris Klein, Alyson Hannigan, Thomas Ian Nicholas, Mena Suvari, Natasha Lyonne, Eddie Kaye Thomas, Eugene Levy","Comedy",""
"Analyze This","Harold Ramis","Robert De Niro, Billy Crystal, Lisa Kudrow","Comedy",""
"Angel's Dance","David L. Corley","James Belushi, Sheryl Lee, Kyle Chandler","Action comedy",""
"Animal Farm","Joseph Stephenson","(voices of) Kelsey Grammer, Ian Holm, Paul Scofield, Patrick Stewart, Julia Ormond, Peter Ustinov","Family, Animation","from George Orwell novel; made for TV"
"Anna and the King","Andy Tennant","Jodie Foster, Chow Yun-fat","Drama","based on Anna and the King of Siam"
"Annie","Rob Marshall","Alicia Morton, Victor Garber, Kathy Bates","Musical","Little Orphan Annie"
"Any Given Sunday","Oliver Stone","Al Pacino, Dennis Quaid, Cameron Diaz, Jamie Foxx, James Woods, LL Cool J, John C. McGinley, Ann-Margret","Drama, Sports",""
"Anywhere but Here","Wayne Wang","Susan Sarandon, Natalie Portman, Shawn Hatosy, Hart Bochner","Drama",""
"Arlington Road","Mark Pellington","Jeff Bridges, Tim Robbins, Joan Cusack, Hope Davis","Thriller",""
"The Astronaut's Wife","Rand Ravich","Johnny Depp, Charlize Theron, Joe Morton","Science fiction",""
"At First Sight","Irwin Winkler","Val Kilmer, Mira Sorvino, Kelly McGillis, Nathan Lane, Steven Weber","Romance",""
"Atomic Train","David Jackson, Dick Lowry","Rob Lowe, Kristin Davis, Esai Morales, John Finn","Action",""
"Austin Powers: The Spy Who Shagged Me","Jay Roach","Mike Myers, Heather Graham, Robert Wagner, Seth Green, Michael York, Verne Troyer, Will Ferrell","Action Comedy","sequel to Austin Powers: International Man of Mystery"
"Baby Geniuses","Bob Clark","Kathleen Turner, Christopher Lloyd, Peter MacNicol, Kim Cattrall, Ruby Dee, Dom DeLuise","Family",""
"The Bachelor","Gary Sinyor","Chris O'Donnell, Renée Zellweger, Edward Asner","Romantic comedy",""
"Bats","Louis Morneau","Lou Diamond Phillips, Dina Meyer","Horror",""
"Being John Malkovich","Spike Jonze","John Cusack, Cameron Diaz, Catherine Keener, John Malkovich","Comedy",""
"Bellyfruit","Kerri Green","Michael Peña","Drama",""
"Beowulf","Graham Baker","Christopher Lambert, Rhona Mitra","Fantasy",""
"Best Laid Plans","Mike Barker","Reese Witherspoon, Alessandro Nivola, Josh Brolin","Crime",""
"The Best Man","Malcolm D. Lee","Taye Diggs, Monica Calhoun, Morris Chestnut, Nia Long","Romantic comedy",""
"Beyond the Mat","Barry W. Blaustein","Mick Foley, Terry Funk, Jesse Ventura, The Rock","Documentary",""
"Bicentennial Man","Chris Columbus","Robin Williams, Sam Neill, Embeth Davidtz, Oliver Platt, Wendy Crewson, Hallie Kate Eisenberg","Science fiction","from Isaac Asimov novel"
"Big Daddy","Dennis Dugan","Adam Sandler, Cole and Dylan Sprouse, Joey Lauren Adams, Jon Stewart, Rob Schneider","Comedy","5 Razzie nominations"
"The Big Kahuna","John Swanbeck","Kevin Spacey, Danny DeVito, Peter Facinelli","Drama",""
"Black and White","James Toback","Robert Downey, Jr., Gaby Hoffmann, Jared Leto","Crime",""
"The Blair Witch Project","Daniel Myrick, Eduardo Sánchez","Heather Donahue, Joshua Leonard, Michael C. Williams","Horror","2 Razzie nominations"
"Blast from the Past","Hugh Wilson","Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek, Dave Foley","Romantic comedy",""
"Blue Streak","Les Mayfield","Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle","Comedy, Crime",""
"The Bone Collector","Phillip Noyce","Denzel Washington, Angelina Jolie","Crime","from Jeffery Deaver novel"
"The Boondock Saints","Troy Duffy","Willem Dafoe, Sean Patrick Flanery, Norman Reedus","Action",""
"Bowfinger","Frank Oz","Steve Martin, Eddie Murphy, Heather Graham","Comedy",""
