"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"10,000 BC","Roland Emmerich","Steven Strait, Camilla Belle, Cliff Curtis","Adventure","Warner Bros. Pictures"
"21","Robert Luketic","Jim Sturgess, Kevin Spacey, Kate Bosworth, Laurence Fishburne","Drama","Columbia Pictures Based on Bringing Down the House by Ben Mezrich"
"27 Dresses","Anne Fletcher","Katherine Heigl, James Marsden, Malin Åkerman, Edward Burns, Judy Greer","Romantic comedy","20th Century Fox"
"88 Minutes","Jon Avnet","Al Pacino, Alicia Witt, Leelee Sobieski, Amy Brenneman, Deborah Kara Unger, Benjamin McKenzie, William Forsythe, Neal McDonough","Thriller","TriStar Pictures"
"The Accidental Husband","Griffin Dunne","Uma Thurman, Jeffrey Dean Morgan, Colin Firth","Romance",""
"An American Carol","David Zucker","Kevin Farley, Kelsey Grammer, Jon Voight","fantasy","Vivendi Entertainment"
"American Teen","Nanette Burstein","The stereotypes of High school","Documentary","Paramount Vantage"
"Appaloosa","Ed Harris","Ed Harris, Viggo Mortensen, Renée Zellweger, Jeremy Irons","Western","New Line Cinema Based on Appaloosa by Robert B. Parker"
"August","Austin Chick","Naomie Harris, Josh Hartnett, Rip Torn, Adam Scott","Drama","First Look Studios"
"Baby Mama","Michael McCullers","Tina Fey, Amy Poehler, Greg Kinnear, Dax Shepard, Romany Malco","Comedy","Universal Pictures"
"Babylon A.D.","Mathieu Kassovitz","Vin Diesel, Michelle Yeoh, Melanie Thierry, Lambert Wilson, Mark Strong, Charlotte Rampling, Gérard Depardieu","Science fiction, Thriller","20th Century Fox Based on Babylon Babies by Maurice G. Dantec"
"Ballast","Lance Hammer","Michael J. Smith, Sr.","Drama","Lol Crawley"
"Bangkok Dangerous","Danny Pang Fat and Oxide Pang Chun","Nicolas Cage","Thriller","Lions Gate Entertainment. Based on the 1999 debut film of the same name"
"Be Kind Rewind","Michel Gondry","Jack Black, Mos Def, Danny Glover","Comedy","New Line Cinema"
"Bedtime Stories","Adam Shankman","Adam Sandler, Keri Russell, Guy Pearce, Teresa Palmer","Family, Fantasy","Walt Disney Pictures"
"Beer for My Horses","Michael Salomon","Toby Keith, Rodney Carrington, Willie Nelson","Comedy","Scrags Interactive"
"The Betrayal - Nerakhoon","Ellen Kuras, Thavisouk Phrasavath","an immigrant from Laos living in New York City","Documentary","The Cinema Guild"
"Beverly Hills Chihuahua","Raja Gosnell","Jamie Lee Curtis, George Lopez, Drew Barrymore, Andy García","Comedy","Walt Disney Pictures"
"Body of Lies","Ridley Scott","Leonardo DiCaprio, Russell Crowe","Drama","Warner Bros. Pictures Based Body of Lies by David Ignatius"
"Bolt","Chris Williams","John Travolta, Miley Cyrus","Animation","Walt Disney Pictures"
"The Boy in the Striped Pyjamas","Mark Herman","Vera Farmiga, Jack Scanlon, David Thewlis, Asa Butterfield","Drama","Miramax Films Based on The Boy in the Striped Pyjamas by John Boyne"
"Burn After Reading","Joel and Ethan Coen","George Clooney, Frances McDormand, John Malkovich, Tilda Swinton, Brad Pitt, Richard Jenkins","Comedy","Focus Features"
"Cadillac Records","Darnell Martin","Adrien Brody, Jeffrey Wright, Beyoncé Knowles","Biography, Musical","TriStar Pictures"
"Changeling","Clint Eastwood","Angelina Jolie","Drama","Universal Pictures"
"Che","Steven Soderbergh","Benicio del Toro, Franka Potente, Catalina Sandino Moreno","Biography, war","IFC Films"
"Choke","Clark Gregg","Sam Rockwell, Anjelica Huston, Kelly Macdonald","Comedy-drama","Fox Searchlight Pictures Based on Choke by Chuck Palahniuk"
"The Chronicles of Narnia: Prince Caspian","Andrew Adamson","Ben Barnes, William Moseley, Anna Popplewell, Skandar Keynes","Fantasy","Based on Prince Caspian by C. S. Lewis Preceded by The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"City of Ember","Gil Kenan","Bill Murray, Tim Robbins, Saoirse Ronan","Fantasy, Science fiction","20th Century Fox Based on The City of Ember by Jeanne DuPrau"
"Cloverfield","Matt Reeves","Michael Stahl-David, Mike Vogel, Odette Yustman, Lizzy Caplan","Science fiction, thriller","Paramount Pictures"
"College","Deb Hagan","Drake Bell, Kevin Covais, Andrew Caldwell, Haley Bennett","Comedy, Teen","Metro Goldwyn Mayer"
"College Road Trip","Roger Kumble","Raven-Symoné, Martin Lawrence","Family","Walt Disney Pictures"
"The Curious Case of Benjamin Button","David Fincher","Brad Pitt, Cate Blanchett, Tilda Swinton, Taraji P. Henson","Drama","Paramount Pictures Based on a story by F. Scott Fitzgerald"
"The Dark Knight","Christopher Nolan","Christian Bale, Michael Caine, Heath Ledger, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal, Morgan Freeman, Anthony Michael Hall, Eric Roberts","Superhero","Warner Bros. Pictures Preceded by Batman Begins (2005)"
"The Day the Earth Stood Still","Scott Derrickson","Keanu Reeves, Jennifer Connelly, Jaden Smith, Kathy Bates","Science fiction","20th Century Fox Based on the 1951 film of the same name"
"Deal","Gil Cates, Jr.","Bret Harrison, Burt Reynolds, Shannon Elizabeth","Drama","Metro Goldwyn Mayer"
"The Deal","Steven Schachter","Meg Ryan, Jason Ritter, LL Cool J","Comedy","Muse Entertainment Enterprises based on The Deal by Peter Lefcourt"
"Death Race","Paul W. S. Anderson","Jason Statham, Tyrese Gibson, Joan Allen, Ian McShane","Action","Universal Pictures Based on Death Race 2000"
"Deception","Marcel Langenegger","Ewan McGregor, Hugh Jackman, Michelle Williams, Maggie Q","Thriller","20th Century Fox"
"Defiance","Edward Zwick","Daniel Craig, Liev Schreiber, Jamie Bell","Drama, War","Paramount Vantage Based on Defiance: The Bielski Partisans by Nechama Tec"
"Definitely, Maybe","Adam Brooks","Ryan Reynolds, Isla Fisher, Derek Luke, Abigail Breslin, Elizabeth Banks, Rachel Weisz","Romantic comedy","Universal Pictures"
"Delgo","Marc F. Adler, Jason Maurer","Freddie Prinze, Jr., Jennifer Love Hewitt, Anne Bancroft","Animation","Fathom Studios"
"Disaster Movie","Jason Friedberg, Aaron Seltzer","Kim Kardashian, Carmen Electra, Vanessa Minnillo, Matt Lanter","Comedy, Parody","Lionsgate"
"Doomsday","Neil Marshall","Rhona Mitra, Bob Hoskins, Malcolm McDowell, Alexander Siddig","Action, sci-fi","Universal Pictures"
"Doubt","John Patrick Shanley","Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis","Drama","Miramax Films Based on Doubt: A Parable by John Patrick Shanley"
"Drillbit Taylor","Steven Brill","Owen Wilson, Troy Gentile, Nate Hartley, David Dorfman","Comedy","Paramount Pictures"
"Eagle Eye","D. J. Caruso","Shia LaBeouf, Michelle Monaghan, Billy Bob Thornton, Rosario Dawson","Action","Paramount Pictures, DreamWorks Pictures"
"Elegy","Isabel Coixet","Penélope Cruz, Ben Kingsley, Peter Sarsgaard","Drama, Romance","Samuel Goldwyn Films. Based on The Dying Animal by Philip Roth"
"Expelled: No Intelligence Allowed","Nathan Frankowski","The conflicts between intelligent design and evolution","Documentary","Rocky Mountain Pictures"
"The Express","Gary Fleder","Dennis Quaid, Rob Brown, Omar Benson Miller","Biography, Sports","Universal Pictures"
"The Eye","David Moreau, Xavier Palud","Jessica Alba","Horror","Lionsgate Based on The Eye (2002)"
"The Family That Preys","Tyler Perry","Tyler Perry, Alfre Woodard, Sanaa Lathan, Rockmond Dunbar","Comedy-drama","Lionsgate"
"Felon","Ric Romano Waugh","Stephen Dorff, Val Kilmer","Crime drama","Stage 6 Films"
"Fireflies in the Garden","Dennis Lee","Julia Roberts, Ryan Reynolds, Willem Dafoe, Emily Watson","Drama","Universal Pictures"
"Fireproof","Alex Kendrick","Kirk Cameron, Erin Bethea","Drama","Samuel Goldwyn Films"
"First Sunday","David E. Talbert","Ice Cube, Katt Williams, Tracy Morgan","Comedy-drama","Screen Gems"
"Flash of Genius","Marc Abraham","Greg Kinnear","Biography, Drama","Universal Pictures"
"Fool's Gold","Andy Tennant","Matthew McConaughey, Kate Hudson","Adventure","Warner Bros. Pictures"
"The Forbidden Kingdom","Rob Minkoff","Jackie Chan, Jet Li, Michael Angarano, Liu Yifei","Martial arts","Lionsgate"
"Forever Strong","Ryan Little","Sean Astin, Penn Badgley, Sean Faris","Drama","Picture Rock Entertainment"
"Forgetting Sarah Marshall","Nicholas Stoller","Jason Segel, Kristen Bell, Mila Kunis, Russell Brand","Comedy","Universal Studios"
"Four Christmases","Seth Gordon","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek, Jon Voight, Mary Steenburgen","Romantic comedy","New Line Cinema"
"Frost/Nixon","Ron Howard","Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell, Toby Jones, Oliver Platt, Rebecca Hall","Drama, Biography","Universal Pictures Based on Frost/Nixon by Peter Morgan"
"Frozen River","Courtney Hunt","Melissa Leo, Misty Upham, Michael O'Keefe, Mark Boone, Jr.","Crime drama","the Grand Jury Prize: Dramatic"
"Funny Games","Michael Haneke","Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet","Thriller",""
"The Garden","Scott Hamilton Kennedy","history of the South Central Farm","Documentary","Oscilloscope Laboratories"
"Garden Party","Jason Freeland","Vinessa Shaw, Willa Holland","Drama","Roadside Attractions"
"Get Smart","Peter Segal","Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terry Crews, James Caan","Comedy","Warner Bros. Based on Get Smart"
"Ghost Town","David Koepp","Ricky Gervais, Téa Leoni, Greg Kinnear","Comedy","Paramount Pictures"
"Gran Torino","Clint Eastwood","Clint Eastwood","Drama","Warner Bros."
"Hamlet 2","Andrew Fleming","Steve Coogan, Catherine Keener, David Arquette","Comedy","Focus Features"
"Hancock","Peter Berg","Will Smith, Charlize Theron, Jason Bateman","Superhero","Columbia Pictures"
"Hannah Montana & Miley Cyrus: Best of Both Worlds Concert","Bruce Hendricks","Miley Cyrus, Jonas Brothers, Kenny Ortega, Billy Ray Cyrus","Concert","Walt Disney Pictures"
"The Happening","M. Night Shyamalan","Mark Wahlberg, Zooey Deschanel, John Leguizamo, Betty Buckley","Horror","20th Century Fox"
"Harold","T. Sean Shannon","Spencer Breslin, Cuba Gooding, Jr., Nikki Blonsky, Ally Sheedy","Comedy","City Lights Pictures"
"Harold & Kumar Escape from Guantanamo Bay","Jon Hurwitz, Hayden Schlossberg","John Cho, Kal Penn","Comedy","New Line Cinema Preceded by Harold & Kumar Go to White Castle (2004)"
"The Haunting of Molly Hartley","Mickey Liddell","Haley Bennett, Chace Crawford, AnnaLynne McCord, Shannon Marie Woodward","Horror","Freestyle Releasing"
"Hellboy II: The Golden Army","Guillermo del Toro","Ron Perlman, Selma Blair, Doug Jones, Luke Goss","Action, Superhero","Universal Studios Preceded by Hellboy (2004)"
"Henry Poole Is Here","Mark Pellington","Luke Wilson, Radha Mitchell, George Lopez","Comedy-drama","Overture Films"
"Hero Wanted","Brian Smrz","Cuba Gooding, Jr., Ray Liotta","Action","Nu Image Films Direct-to-DVD"
"High School Musical 3: Senior Year","Kenny Ortega","Zac Efron, Vanessa Hudgens, Ashley Tisdale, Corbin Bleu","Musical, family","Walt Disney Pictures; preceded by High School Musical 2 (2007)"
"Horton Hears a Who!","Jimmy Hayward, Steve Martino","Jim Carrey, Steve Carell, Carol Burnett, Dan Fogler","Animation","20th Century Fox Based on Horton Hears a Who! by Dr. Seuss"
"The Hottie and the Nottie","Tom Putnam","Paris Hilton, Joel David Moore, Christine Lakin","Comedy","Summit Entertainment"
"The House Bunny","Fred Wolf","Anna Faris, Emma Stone, Colin Hanks, Katharine McPhee","Comedy","Columbia Pictures"
"Igor","Tony Leondis","John Cusack, Steve Buscemi, John Cleese, Jennifer Coolidge","Animation","Metro-Goldwyn-Mayer"
"In Bruges","Martin McDonagh","Colin Farrell, Brendan Gleeson, Ralph Fiennes","Action","Focus Features"
"The Incredible Hulk","Louis Leterrier","Edward Norton, Liv Tyler, Tim Roth, William Hurt","Superhero","Universal Studios, Marvel Entertainment Based on character of the same name from Marvel Comics"
"Indiana Jones and the Kingdom of the Crystal Skull","Steven Spielberg","Harrison Ford, Karen Allen, Shia LaBeouf, Cate Blanchett, Jim Broadbent, Ray Winstone","Adventure","Paramount Pictures Preceded by Indiana Jones and the Last Crusade (1989)"
"Inkheart","Iain Softley","Brendan Fraser, Eliza Bennett, Sienna Guillory, Paul Bettany, Helen Mirren, Andy Serkis","Adventure","New Line Cinema Based on Inkheart by Cornelia Funke"
"Iron Man","Jon Favreau","Robert Downey, Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","Superhero","Paramount Pictures, Marvel Entertainment Based on character of the same name from Marvel Comics"
"Journey to the Center of the Earth","Eric Brevig","Brendan Fraser, Josh Hutcherson, Anita Briem","Science fiction","New Line Cinema Based on A Journey to the Center of the Earth by Jules Verne"
"Jumper","Doug Liman","Hayden Christensen, Samuel L. Jackson, Rachel Bilson, Jamie Bell, Diane Lane, Michael Rooker","Sci-fi","20th Century Fox Based on Jumper by Steven Gould"
"Kit Kittredge: An American Girl","Patricia Rozema","Abigail Breslin, Chris O'Donnell, Julia Ormond, Stanley Tucci","Family","New Line Cinema, HBO Films, American Girl Movies, Picturehouse Preceded by Molly: An American Girl on the Home Front"
"Kung Fu Panda","Mark Osborne, John Wayne Stevenson","Jack Black, Jackie Chan, Dustin Hoffman, Angelina Jolie, Lucy Liu, Seth Rogen","Animation","DreamWorks Animation, Paramount Pictures"
"Lakeview Terrace","Neil LaBute","Samuel L. Jackson, Kerry Washington, Patrick Wilson","Thriller","Screen Gems"
"Last Chance Harvey","Joel Hopkins","Dustin Hoffman, Emma Thompson, Eileen Atkins, Kathy Baker, James Brolin","Romance","Overture Films"
"Leatherheads","George Clooney","George Clooney, Renée Zellweger, John Krasinski","Comedy","Universal Pictures"
"The Love Guru","Marco Schnabel","Mike Myers, Jessica Alba, Romany Malco, Justin Timberlake","Comedy","Paramount Pictures Winner of Golden Raspberry Award for Worst Picture"
"The Longshots","Fred Durst","Ice Cube, Keke Palmer, Dash Mihok, Tasha Smith","Family","Metro-Goldwyn-Mayer"
"The Lucky Ones","Neil Burger","Rachel McAdams, Tim Robbins, Michael Peña","Comedy-drama","Lionsgate"
"Mad Money","Callie Khouri","Diane Keaton, Queen Latifah, Katie Holmes","Comedy, crime","Overture Films"
"Madagascar: Escape 2 Africa","Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, Jada Pinkett Smith, David Schwimmer","Animation","DreamWorks Animation, Paramount Pictures Preceded by Madagascar (2005)"
"Made of Honor","Paul Weiland","Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kathleen Quinlan","Comedy","Columbia Pictures"
"Mamma Mia!","Phyllida Lloyd","Meryl Streep, Amanda Seyfried, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Christine Baranski","Musical","Universal Pictures Based on Mamma Mia!"
"Man on Wire","James Marsh","Philippe Petit's 1974 high-wire walk between the Twin Towers","Documentary","winner of the Academy Award for Best Documentary (Feature), the BAFTA Award for Best British Film and the Satellite Award for Best Documentary Film"
"Marley & Me","David Frankel","Owen Wilson, Jennifer Aniston","Comedy-drama","20th Century Fox; based on Marley & Me by John Grogan"
"Max Payne","John Moore","Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris, Chris O'Donnell, Donal Logue, Olga Kurylenko","Action","20th Century Fox. Based on Max Payne from Rockstar Games"
"Meet Dave","Brian Robbins","Eddie Murphy, Gabrielle Union, Elizabeth Banks, Ed Helms","Comedy","20th Century Fox"
"Meet the Browns","Tyler Perry","Tyler Perry, Angela Bassett, Jenifer Lewis, Rick Fox","Comedy","Lionsgate"
"Meet the Spartans","Jason Friedberg, Aaron Seltzer","Sean Maguire, Ken Davitian, Carmen Electra, Diedrich Bader, Kevin Sorbo, Travis Van Winkle","Comedy","20th Century Fox"
"The Midnight Meat Train","Ryuhei Kitamura","Bradley Cooper, Leslie Bibb, Tony Curran","Horror","Lionsgate Based on ""The Midnight Meat Train"" by Clive Barker"
"Milk","Gus Van Sant","Sean Penn, Josh Brolin, Emile Hirsch, James Franco, Diego Luna","Biography","Focus Features"
"Miracle at St. Anna","Spike Lee","Derek Luke, Michael Ealy, Laz Alonso, Omar Benson Miller, Pierfrancesco Favino, Valentina Cervi","War","Touchstone Pictures"
"Mirrors","Alexandre Aja","Kiefer Sutherland, Paula Patton, Amy Smart","Horror","20th Century Fox, Regency Enterprises"
"The Mummy: Tomb of the Dragon Emperor","Rob Cohen","Brendan Fraser, Jet Li, Maria Bello, John Hannah","Adventure","Universal Studios Preceded by The Mummy Returns (2001)"
"My Best Friend's Girl","Howard Deutch","Dane Cook, Kate Hudson, Jason Biggs, Alec Baldwin","Comedy","Lionsgate"
"My Sassy Girl","Yann Samuell","Elisha Cuthbert, Jesse Bradford, Chris Sarandon","Comedy","Fox Home Entertainment"
"Never Back Down","Jeff Wadlow","Djimon Hounsou, Amber Heard, Sean Faris, Cam Gigandet","Action","Summit Entertainment"
"Nick and Norah's Infinite Playlist","Peter Sollett","Michael Cera, Kat Dennings, Alexis Dziena, Ari Graynor, Aaron Yoo, Jay Baruchel","Comedy","Screen Gems, Columbia Pictures Based on novel by Rachel Cohn and David Levithan"
"Nights in Rodanthe","George C. Wolfe","Richard Gere, Diane Lane","Romance","Warner Bros.; based on Nights in Rodanthe by Nicholas Sparks"
"Nim's Island","Jennifer Flackett, Mark Levin","Abigail Breslin, Jodie Foster, Gerard Butler","Adventure","20th Century Fox Based on Nim's Island by Wendy Orr"
"Nothing But the Truth","Rod Lurie","Kate Beckinsale, Matt Dillon, Angela Bassett, Alan Alda, Vera Farmiga, David Schwimmer, Noah Wyle","Thriller","Yari Film Group"
"Nothing Like the Holidays","Alfredo De Villa","Luis Guzmán, John Leguizamo, Debra Messing, Alfred Molina","Drama","Overture Films"
"One Missed Call","Eric Valette","Edward Burns, Shannyn Sossamon, Ana Claudia Talancón, Azura Skye","Horror","Warner Bros. Pictures Based on One Missed Call (2004)"
"The Other Boleyn Girl","Justin Chadwick","Natalie Portman, Scarlett Johansson, Eric Bana","Drama","Columbia Pictures Based on The Other Boleyn Girl by Philippa Gregory"
"Over Her Dead Body","Jeff Lowell","Eva Longoria, Paul Rudd, Lake Bell, Jason Biggs","Comedy","New Line Cinema"
"Passengers","Rodrigo García","Anne Hathaway, Patrick Wilson, David Morse, Andre Braugher","Drama","TriStar Pictures"
"Pathology","Marc Schoelermann","Milo Ventimiglia, Michael Weston, Alyssa Milano, Lauren Lee Smith","Thriller","Metro-Goldwyn-Mayer"
"Patti Smith: Dream of Life","Steven Sebring","the career of Patti Smith","Documentary","Celluloid Dreams"
"Pineapple Express","David Gordon Green","Seth Rogen, James Franco","Comedy","Columbia Pictures"
"The Pirates Who Don't Do Anything: A VeggieTales Movie","Mike Nawrocki","Mike Nawrocki, Phil Vischer, Tim Hodge","Animation","Universal Pictures"
