"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"12/12/12","Jared Cohn","Sara Malakul Lane, Jesus Guevara, Steve Hanks, Carl Donelson, Laura Ramos","Horror","The Asylum"
"2-Headed Shark Attack","Christopher Douglas-Olen Ray","Carmen Electra, Charlie O'Connell, Brooke Hogan, Christina Bach, David Gallegos","Horror","The Asylum"
"21 Jump Street","Phil Lord and Chris Miller","Jonah Hill, Channing Tatum, Brie Larson, Ice Cube, Ellie Kemper, Dave Franco, Rob Riggle, Johnny Depp","Action comedy","Columbia Pictures, MGM Pictures Based on the TV series of the same name"
"28 Hotel Rooms","Matt Ross","Marin Ireland, Chris Messina, Robert Deamer, Brett Collier","Thriller","Oscilloscope Laboratories"
"3 2 1... Frankie Go Boom","Jordan Roberts","Charlie Hunnam, Chris O'Dowd, Lizzy Caplan, Nora Dunn, Whitney Cummings, Ron Perlman, Chris Noth","Comedy","Variance Films"
"40 Days and Nights","Peter Geiger","Monica Keena, Christianna Carmine, Emily Sandifer, Alex Carter","Horror","The Asylum"
"40 Point Plan","EW","Dave Nemeth, Tisha Rivera, Joe Comino, Nathan Kotzur, Christianne Christiensen","Solution-mentary","40 Point Productions"
"The ABCs of Death","Various","See Segments","Anthology, Horror comedy","Magnet Releasing"
"About Cherry","Stephen Elliott","Ashley Hinshaw, James Franco, Dev Patel, Heather Graham, Lili Taylor, Diane Farr","Drama","IFC Films"
"Abraham Lincoln vs. Zombies","Richard Schenkman","Bill Oberst Jr., Jason Hughley, Jason Vail, Don McGraw, Christopher Marrone","Parody, Horror","The Asylum"
"Abraham Lincoln: Vampire Hunter","Timur Bekmambetov","Benjamin Walker, Dominic Cooper, Anthony Mackie, Mary Elizabeth Winstead, Rufus Sewell, Marton Csokas","Horror, Thriller","20th Century Fox Based on the novel of the same name by Seth Grahame-Smith"
"Act of Valor","Scott Waugh, Mike McCoy","Active Duty U.S. Navy SEALs, Roselyn Sánchez, Jason Cottle, Alex Veadov, Nestor Serrano, Emilio Rivera","Action","Relativity Media"
"After","Ryan Smith","Steven Strait, Karolina Wydra, Sandra Lafferty, Madison Lintz","Thriller","Mongrel Media"
"The Aggression Scale","Steven C. Miller","Ray Wise, Dana Ashbrook, Derek Mears, Fabianne Therese, Ryan Hartwig","Action","Anchor Bay Films"
"Air Collision","Liz Adams","Reginald VelJohnson, Jordan Ladd, Gerald Webb","Action","The Asylum"
"Alex Cross","Rob Cohen","Tyler Perry, Matthew Fox, Rachel Nichols, Jean Reno, Giancarlo Esposito, Edward Burns, John C. McGinley, Cicely Tyson, Chad Lindberg, Carmen Ejogo, Stephanie Jacobsen, Yara Shahidi","Thriller","Summit Entertainment Based on Cross by James Patterson"
"Alien Origin","Mark Atkins","Chelsea Vincent, Peter Pedrero, Philip Coc, Trey McCurley","Horror","The Asylum"
"Allegiance","Michael Connors","Bow Wow","War, Drama","Produced by Sandra Bullock"
