"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Crazy, Stupid, Love.","Glenn Ficarra and John Requa","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone, John Carroll Lynch, Marisa Tomei, Kevin Bacon, Analeigh Tipton, Liza Lapira, Joey King, Mekia Cox","Comedy","Warner Bros. Pictures"
"The Darkest Hour","Chris Gorak","Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman","Action thriller, Sci-fi horror","Summit Entertainment, Regency Enterprises"
"Dead Stop","Tommy Woodard","Lauren Brady, Mike Hardy, Trevor Snarr","Horror film","Image Entertainment"
"The Debt","John Madden","Helen Mirren, Sam Worthington, Jessica Chastain, Jesper Christensen, Marton Csokas, Ciarán Hinds, Tom Wilkinson","Drama, Spy thriller","Focus Features, Miramax. Remake of the 2007 Israeli film of the same name by Assaf Bernstein"
"The Descendants","Alexander Payne","George Clooney, Shailene Woodley, Beau Bridges, Judy Greer, Matthew Lillard","Comedy-drama","Fox Searchlight Pictures Based on the novel of the same name by Kaui Hart Hemmings"
"The Devil's Double","Lee Tamahori","Dominic Cooper, Philip Quast, Ludivine Sagnier, Mimoun Oaïssa, Mehmet Ferda","Action drama","Lions Gate Entertainment Based on the novel of the same name by Latif Yahia"
"Diary of a Wimpy Kid: Rodrick Rules","David Bowers","Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn","Comedy, Family","20th Century Fox Based on the children's book of the same name by Jeff Kinney Preceded by Diary of a Wimpy Kid (2010)"
"The Dilemma","Ron Howard","Vince Vaughn, Kevin James, Jennifer Connelly, Winona Ryder, Channing Tatum, Queen Latifah","Dramedy","Universal Pictures"
"Dirty Girl","Abe Sylvia","Juno Temple, Milla Jovovich, William H. Macy, Mary Steenburgen, Dwight Yoakam and introducing Jeremy Dozier","Comedy","The Weinstein Company"
"Dolphin Tale","Charles Martin Smith","Harry Connick, Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson, Cozi Zuehldorff, Morgan Freeman","Drama, Family","Warner Bros. Pictures, Alcon Entertainment"
"Don't Be Afraid of the Dark","Troy Nixey","Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson","Horror","FilmDistrict, Miramax Films Remake of the 1973 ABC made-for-television film of the same name"
"The Double","Michael Brandt","Richard Gere, Topher Grace, Stephen Moyer, Odette Yustman, Stana Katic, Chris Marquette, Tamer Hassan and Michael Sheen","Spy film","Hyde Park Entertainment"
"Dream House","Jim Sheridan","Daniel Craig, Naomi Watts, Rachel Weisz, Marton Csokas, Elias Koteas, Jane Alexander, Taylor Geare, Rachel G. Fox, Mark Wilson, Jonathan Potts, Lynne Griffin, Gregory Smith, Chris Owens, Sarah Gadon","Horror","Universal Pictures, Morgan Creek Productions"
"Drive","Nicolas Winding Refn","Ryan Gosling, Carey Mulligan, Bryan Cranston, Christina Hendricks, Ron Perlman, Oscar Isaac, Albert Brooks","Action drama","FilmDistrict Based on the book of the same name by James Sallis"
"Drive Angry","Patrick Lussier","Nicolas Cage, Amber Heard, William Fichtner, Billy Burke, Charlotte Ross, Christa Campbell, Tom Atkins, Katy Mixon, Todd Farmer David Morse","Action thriller","Summit Entertainment"
"Dylan Dog: Dead of Night","Kevin Munroe","Brandon Routh, Sam Huntington, Anita Briem, Peter Stormare, Taye Diggs","Action, Horror comedy","Freestyle Releasing, Hyde Park Entertainment, Platinum Studios, Omnilab Media Based on the Italian comic series Dylan Dog by Tiziano Sclavi"
"The Eagle","Kevin Macdonald","Channing Tatum, Jamie Bell, Donald Sutherland, Mark Strong","Adventure, Historical drama","Focus Features Based on The Eagle of the Ninth by Rosemary Sutcliff"
"Everything Must Go","Dan Rush","Will Ferrell, Rebecca Hall, Michael Peña, Christopher C. J. Wallace, Glenn Howerton, Stephen Root, Laura Dern","Comedy-drama","Lionsgate, Roadside Attractions"
"Extremely Loud and Incredibly Close","Stephen Daldry","Tom Hanks, Sandra Bullock, Thomas Horn, Max von Sydow, Viola Davis, John Goodman, Jeffrey Wright, James Gandolfini","Drama","Warner Bros. Pictures Based on the novel of the same name by Jonathan Safran Foer"
"Fast Five","Justin Lin","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Chris ""Ludacris"" Bridges, Matt Schulze, Sung Kang, Dwayne Johnson","Action thriller","Universal Pictures Preceded by Fast & Furious (2009)"
"Father of Invention","Trent Cooper","Kevin Spacey, Camilla Belle, Heather Graham, Johnny Knoxville, with Craig Robinson and Virginia Madsen, Michael Rosenbaum, John Stamos, Rhoda Griffis, Jack McGee, Danny Comden","Comedy-drama","Anchor Bay Films"
"Fear of a Black Republican","Kevin Williams","","Documentary","Shamrock Stine Productions"
"Final Destination 5","Steven Quale","Nicholas D'Agosto, Emma Bell, Miles Fisher, Arlen Escarpeta, with David Koechner and Tony Todd, P. J. Byrne, Courtney B. Vance, Jacqueline MacInnes Wood","Supernatural horror, Thriller","New Line Cinema Preceded by The Final Destination (2009)"
"Footloose","Craig Brewer","Kenny Wormald, Julianne Hough, Andie MacDowell, Dennis Quaid","Dance, Dramedy, Romance","Paramount Pictures, Spyglass Entertainment, MTV Films Remake of the 1984 film of the same name"
"Friends with Benefits","Will Gluck","Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman, Bryan Greenberg, Richard Jenkins, Woody Harrelson, Emma Stone, Nolan Gould, Jason Segel, Rashida Jones, Andy Samberg, Shaun White","Romantic comedy","Screen Gems"
"Fright Night","Craig Gillespie","Anton Yelchin, Colin Farrell, David Tennant, Christopher Mintz-Plasse, Toni Collette, Imogen Poots, Lisa Loeb, Dave Franco, Sandra Vergara","Horror comedy","Touchstone Pictures, DreamWorks Pictures Remake of the 1985 Tom Holland film of the same name"
"From Prada to Nada","Angel Gracia","Camilla Belle, Alexa Vega, Wilmer Valderrama, Nicholas D'Agosto, April Bowlby, Kuno Becker, Adriana Barraza","Drama, Romantic comedy","Lionsgate Based on Sense and Sensibility by Jane Austen"
"The Future","Miranda July","Hamish Linklater, Miranda July, David Warshofsky, Isabella Acres, Joe Putterlik","Drama","Roadside Attractions"
"The Girl with the Dragon Tattoo","David Fincher","Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård, Steven Berkoff, Robin Wright, Yorick van Wageningen, Joely Richardson","Drama, Thriller","Columbia Pictures, MGM Pictures Based on the Swedish novel of the same name by Stieg Larsson"
"Glee: The 3D Concert Movie","Kevin Tancharoen","Dianna Agron, Chris Colfer, Darren Criss, Ashley Fink, Kevin McHale, Lea Michele, Cory Monteith, Heather Morris, Chord Overstreet, Amber Riley, Naya Rivera, Mark Salling, Harry Shum, Jr., Jenna Ushkowitz, Gwyneth Paltrow","Concert","20th Century Fox"
"Gnomeo and Juliet","Kelly Asbury","James McAvoy, Emily Blunt, Michael Caine, Maggie Smith, Jason Statham, Patrick Stewart, Ashley Jensen, Stephen Merchant, Matt Lucas, Jim Cummings, Julie Walters, Richard Wilson, Ozzy Osbourne, Dolly Parton, Hulk Hogan","Animated, Family","Touchstone Pictures, Starz Animation"
"A Good Old Fashioned Orgy","Alex Gregory & Peter Huyck","Jason Sudeikis, Leslie Bibb, Lake Bell, Michelle Borth, Nick Kroll, Tyler Labine, Angela Sarafyan, Lindsay Sloane, Martin Starr, Lucy Punch and Will Forte","Comedy","Samuel Goldwyn Films, Stage 6 Films"
"The Good Doctor","Lance Daly","Orlando Bloom, Riley Keough, Taraji P. Henson, Rob Morrow, Michael Peña","Thriller","Fastnet Films"
"The Greatest Movie Ever Sold","Morgan Spurlock","A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.","Documentary","Sony Pictures Classics, Stage 6 Films"
"The Green Hornet","Michel Gondry","Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz, Edward James Olmos, David Harbour, Tom Wilkinson, Edward Furlong","Comedy, Superhero","Columbia Pictures Based on the radio series of the same name by George W. Trendle"
"Green Lantern","Martin Campbell","Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Angela Bassett and Tim Robbins, Temuera Morrison, Taika Waititi, Geoffrey Rush, Michael Clarke Duncan","Superhero","Warner Bros. Pictures, DC Entertainment, De Line Pictures Based on the comic book character of the same name"
"Hall Pass","Farrelly Brothers","Owen Wilson, Jason Sudeikis","Comedy","New Line Cinema"
"The Hangover: Part II","Todd Phillips","Bradley Cooper, Ed Helms, Zach Galifianakis, Ken Jeong, Jeffrey Tambor, with Justin Bartha and Paul Giamatti","Comedy","Warner Bros. Pictures, Legendary Pictures Preceded by The Hangover (2009)"
"Hanna","Joe Wright","Saoirse Ronan, Eric Bana, Tom Hollander, Olivia Williams, Jason Flemyng and Cate Blanchett","Action thriller","Focus Features"
"Happy Feet Two","George Miller","Elijah Wood, Robin Williams, Hank Azaria, Alecia Moore (Pink), Brad Pitt, Matt Damon, Sofía Vergara, Hugo Weaving, Richard Carter, Common, Magda Szubanski, Anthony LaPaglia","Animated, Family","Warner Bros. Pictures, Village Roadshow Pictures Preceded by Happy Feet (2006)"
"Happythankyoumoreplease","Josh Radnor","Josh Radnor, Malin Åkerman, Kate Mara, Zoe Kazan, Pablo Schreiber, Tony Hale","Romantic comedy","Anchor Bay Films"
"Harry Potter and the Deathly Hallows: Part 2","David Yates","Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Robbie Coltrane, Warwick Davis, Ralph Fiennes, Michael Gambon, Brendan Gleeson, Richard Griffiths, John Hurt, Jason Isaacs, Alan Rickman, Fiona Shaw, Timothy Spall, Imelda Staunton, David Thewlis, Julie Walters","Action-adventure, Fantasy","Warner Bros. Pictures Based on the novel of the same name by J. K. Rowling Preceded by Harry Potter and the Deathly Hallows: Part 1 (2010)"
"The Heart Specialist","Dennis Cooper","Wood Harris, Zoe Saldana, Brian White, Mýa, Method Man, Jasmine Guy, Leon, Ed Asner, Jenifer Lewis, Terrence J, Marla Gibbs, Nephew Tommy","Romantic comedy","Freestyle Releasing"
"The Help","Tate Taylor","Jessica Chastain, Viola Davis, Bryce Dallas Howard, Allison Janney, Octavia Spencer, Emma Stone, Anna Camp, Dana Ivey, Leslie Jordan, Brian Kerwin, Chris Lowell, David Oyelowo, Sissy Spacek, Cicely Tyson, Mike Vogel","Comedy-drama","Touchstone Pictures, DreamWorks Pictures, Reliance Entertainment, Participant Media Based on the novel of the same name by Kathryn Stockett"
"Hesher","Spencer Susser","Joseph Gordon-Levitt, Devin Brochu, Rainn Wilson and Natalie Portman, Piper Laurie","Drama","Newmarket Films"
"Higher Ground","Vera Farmiga","Vera Farmiga, Joshua Leonard, Norbert Leo Butz, Dagmara Dominczyk, John Hawkes, Bill Irwin, Ebon Moss-Bachrach, Donna Murphy","Drama","Sony Pictures Classics Based on the memoir This Dark World by Carolyn Briggs"
"Hoodwinked Too! Hood vs. Evil","Mike Disa","Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack, Bill Hader, Amy Poehler, Andy Dick, David Ogden Stiers, Cory Edwards, Martin Short, Debra Wilson, Brad Garrett, Wayne Newton, David Alan Grier, Cheech Marin, Tommy Chong, Rob Paulsen, Heidi Klum","Animated, Family","The Weinstein Company, Blue Yonder Films Preceded by Hoodwinked! (2006)"
"Hop","Tim Hill","James Marsden, Russell Brand (voice), Kaley Cuoco, Hank Azaria (voice), Gary Cole, Elizabeth Perkins, David Hasselhoff, Chelsea Handler, Hugh Laurie (voice)","Family, Live action","Universal Pictures, Relativity Media, Illumination Entertainment"
"Horrible Bosses","Seth Gordon","Jason Bateman, Charlie Day, Jason Sudeikis, with Jennifer Aniston, Colin Farrell, Kevin Spacey, Donald Sutherland and Jamie Foxx","Black comedy","New Line Cinema"
"Hugo","Martin Scorsese","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer and Jude Law, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Marco Aponte, Frances de la Tour, Richard Griffiths, Johnny Depp","Adventure, Drama","Paramount Pictures, GK Films, Infinitum Nihil Based on The Invention of Hugo Cabret by Brian Selznick"
"I Am Number Four","D. J. Caruso","Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron, Callan McAuliffe, Kevin Durand","Sci-fi, Teen","DreamWorks Pictures Based on the novel of the same name by Pittacus Lore"
"I Don't Know How She Does It","Douglas McGrath","Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear, Christina Hendricks, Kelsey Grammer, Seth Meyers, Olivia Munn","Comedy","The Weinstein Company Based on the novel of the same name by Allison Pearson"
"I Melt with You","Mark Pellington","Thomas Jane, Jeremy Piven, Rob Lowe, Christian McKay, Carla Gugino, Tom Bower, Arielle Kebbel, Sasha Grey","Thriller","Magnolia Pictures"
"The Ides of March","George Clooney","Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Marisa Tomei, Jeffrey Wright and Evan Rachel Wood","Political drama, Political thriller","Columbia Pictures Based on Farragut North by Beau Willimon"
"Immortals","Tarsem Singh","Henry Cavill, Stephen Dorff, Luke Evans, Isabel Lucas, Kellan Lutz, Freida Pinto, Mickey Rourke","Action drama, Fantasy","Relativity"
"In Time","Andrew Niccol","Amanda Seyfried, Justin Timberlake, Alex Pettyfer, Cillian Murphy, Olivia Wilde, Matt Bomer, Johnny Galecki, Vincent Kartheiser, Elena Satine","Science fiction, Thriller","20th Century Fox, Regency Enterprises"
"Inside Out","Artie Mandelberg","Paul ""Triple H"" Levesque, Michael Rapaport, Parker Posey, Julie White, Michael Cudlitz and Bruce Dern","Crime drama","Samuel Goldwyn Films, WWE Studios"
"Insidious","James Wan","Patrick Wilson, Rose Byrne and Barbara Hershey","Horror","Filmdistrict, Stage 6 Films, Alliance Films"
"J. Edgar","Clint Eastwood","Leonardo DiCaprio, Naomi Watts, Armie Hammer, Josh Lucas and Judi Dench, Damon Herriman, Ed Westwick, Jeffrey Donovan, Ken Howard, Stephen Root, Denis O'Hare, Geoff Pierson, Lea Thompson, Gunner Wright","Biopic, Drama","Warner Bros. Pictures, Imagine Entertainment"
"Jack and Jill","Dennis Dugan","Adam Sandler, Katie Holmes and Al Pacino","Comedy","Columbia Pictures, Happy Madison"
"Janie Jones","David M. Rosenthal","Abigail Breslin, Alessandro Nivola and Elisabeth Shue, Brittany Snow, Peter Stormare, Joel Moore, Frances Fisher, Frank Whaley, Rodney Eastman","Drama, Musical","Tribeca Film"
"Judy Moody and the Not Bummer Summer","John Schultz","Heather Graham, Parris Mosteller, Preston Bailey, Garrett Ryan, Taylar Hender, Jaleel White, Jordana Betty","Family","Relativity Based on the book series of the same name by Megan McDonald"
"Jumping the Broom","Salim Akil","Angela Bassett, Paula Patton, Laz Alonso, Loretta Devine, Mike Epps, Meagan Good, Tasha Smith, Julie Bowen, Romeo Miller, DeRay Davis, Valarie Pettiford","Dramedy","TriStar Pictures"
"Just Go with It","Dennis Dugan","Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nick Swardson, Nicole Kidman, Dave Matthews, Bailee Madison","Romantic comedy","Columbia Pictures, Happy Madison"
"Justin Bieber: Never Say Never","Jon Chu","Chronicles the life of teen sensation Justin Bieber and his career. Shows concert footage of his 2010 My World Tour.","Concert, Documentary","Paramount Pictures, MTV Films"
"Kill the Irishman","Jonathan Hensleigh","Ray Stevenson, Vincent D'Onofrio, Val Kilmer, Christopher Walken, Linda Cardellini, Fionnula Flanagan, Jason Butler Harner, Vinnie Jones, Paul Sorvino, Marcus Thomas","Crime drama","Anchor Bay Films"
"Killer Elite","Gary McKendry","Jason Statham, Clive Owen and Robert De Niro, Dominic Purcell, Aden Young, Yvonne Strahovski, Ben Mendelsohn, Adewale Akinnuoye-Agbaje, Grant Bowler, Matthew Nable","Action","Open Road Films, Omnilab Media Based on The Feather Men by Sir Ranulph Fiennes"
"Kung Fu Panda 2","Jennifer Yuh","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, David Cross, James Hong, Jackie Chan, Victor Garber, Michelle Yeoh, Dennis Haysbert, Gary Oldman, Danny McBride, James Woods, Jean-Claude Van Damme","Animated, Family","Paramount Pictures, DreamWorks Animation Preceded by Kung Fu Panda (2008)"
"Larry Crowne","Tom Hanks","Tom Hanks, Julia Roberts, Bryan Cranston, Cedric the Entertainer, Taraji P. Henson, Gugu Mbatha-Raw, Wilmer Valderrama, Pam Grier, Rita Wilson, George Takei, Rob Riggle","Comedy-drama","Universal Pictures, Playtone"
"Life in a Day","Kevin Macdonald","Shot by filmmakers all over the world through YouTube, it serves as a time capsule to show future generations what it was like to be alive on the 24th of July 2010.","Documentary","National Geographic Films, Scott Free Productions, YouTube Films"
"Like Crazy","Drake Doremus","Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King","Drama","Paramount Vantage"
"Limitless","Neil Burger","Bradley Cooper, Abbie Cornish, Robert De Niro, Andrew Howard, Anna Friel","Thriller","Relativity Based on The Dark Fields by Alan Glynn"
"The Lincoln Lawyer","Brad Furman","Matthew McConaughey, Marisa Tomei, Ryan Phillippe, Josh Lucas, John Leguizamo, Michael Peña, Frances Fisher, Bob Gunton, Bryan Cranston William H. Macy","Mystery, Suspense thriller","Lionsgate Based on the novel of the same name by Michael Connelly"
