"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"11-11-11","Darren Lynn Bousman","Timothy Gibbs, Michael Landes, Wendy Glenn, Benjamin Cook, Lolo Herrero, Salome Jimenez, Brendan Price, Denis Rafter, Angela Rosal, Lluis Soler","Horror thriller","Big Air Studios, Rocket Releasing"
"30 Minutes or Less","Ruben Fleischer","Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Michael Peña, Fred Ward","Adventure, Comedy","Columbia Pictures, Paramount Pictures, Media Rights Capital, Red Hour Films, MTV Films"
"35 and Ticking","Russ Parr","Tamala Jones, Nicole Ari Parker, Keith Robinson, Darius McCrary, Dondre Whitfield, Jill Marie Jones, Wendy Raquel Robinson, Kevin Hart, Meagan Good","Romantic comedy","Image Entertainment"
"50/50","Jonathan Levine","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston","Comedy-drama","Summit Entertainment, Mandate Pictures"
"Abduction","John Singleton","Taylor Lautner, Lily Collins, Alfred Molina, Jason Isaacs, Maria Bello, Sigourney Weaver","Action thriller","Lionsgate"
"The Adjustment Bureau","George Nolfi","Matt Damon, Emily Blunt, Anthony Mackie, Shoreh Aghdashloo, John Slattery, Michael Kelly, Anthony Ruivivar, Terence Stamp","Romance, Science fiction, Thriller","Universal Pictures, Media Rights Capital Based on Adjustment Team by Philip K. Dick"
"The Adventures of Tintin: The Secret of the Unicorn","Steven Spielberg","Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg, Nick Frost, Tony Curran, Toby Jones, Gad Elmaleh, Mackenzie Crook, Daniel Mays, Kim Stengel, Sebastian Roché, Cary Elwes, Phillip Rhys, Ron Bottitta","Action-adventure, Fantasy","Paramount Pictures, Columbia Pictures, Amblin Entertainment, The Kennedy/Marshall Company, Nickelodeon Movies, WingNut Films Based on the comic books of the same name created by Hergé"
"African Cats","Alastair Fothergill, Keith Scholey","Centers around two families of lions and cheetahs who teach their cubs the ways of the wild in surviving the African savannah. Narrated by Samuel L. Jackson","Nature documentary","Disneynature"
"Alvin and the Chipmunks: Chipwrecked","Mike Mitchell","Jason Lee, David Cross, Jenny Slate, Justin Long (voice), Matthew Gray Gubler (voice), Jesse McCartney (voice), Christina Applegate (voice), Anna Faris (voice), Amy Poehler (voice), Alan Tudyk (voice)","Family, Live-action","20th Century Fox Preceded by Alvin and the Chipmunks: The Squeakquel (2009)"
"Another Earth","Mike Cahill","William Mapother, Brit Marling","Fantasy, Sci-fi drama","Fox Searchlight Pictures"
"Apollo 18","Gonzalo Lopez-Gallego","Lloyd Owen, Warren Christie","Horror, Science fiction","Dimension Films"
"The Art of Getting By","Gavin Wiesen","Freddie Highmore, Emma Roberts, Michael Angarano, Elizabeth Reaser, Sam Robards, Alicia Silverstone, Rita Wilson, Blair Underwood","Romantic comedy, Teen","Fox Searchlight Pictures"
"Arthur","Jason Winer","Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Nick Nolte, Luis Guzmán","Comedy","Warner Bros. Pictures Remake of the 1981 film of the same name"
"Arthur Christmas","Sarah Smith","James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Will Sasso, Ramona Marquez, Iain McKee, Joan Cusack, Robbie Coltrane, Michael Palin, Dominic West, Andy Serkis","Animated, Family, Fantasy","Columbia Pictures, Sony Pictures Animation, Aardman Animations"
"Atlas Shrugged: Part I","Paul Johansson","Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi, Graham Beckel, Jsu Garcia, Jon Polito, Michael Lerner","Drama, Political thriller","Rocky Mountain Pictures Based on the novel of the same name by Ayn Rand"
"Bad Teacher","Jake Kasdan","Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch, John Michael Higgins","Comedy","Columbia Pictures"
"Battle: Los Angeles","Jonathan Liebesman","Aaron Eckhart, Michelle Rodriguez, Ramón Rodríguez, Bridget Moynahan, Ne-Yo and Michael Peña, Lucas Till, Joey King, Will Rothhaar, Nzinga Blake, Jim Parrack, Aisha Tyler, Tisha Campbell-Martin, Noel Fisher, Taylor Handley, Cory Hardrict","Action, Science fiction","Columbia Pictures, Relativity Media"
"Beastly","Daniel Barnz","Vanessa Hudgens, Alex Pettyfer, Mary-Kate Olsen, Peter Krause, Lisa Gay Hamilton, Neil Patrick Harris","Fantasy romance","CBS Films Based on the novel of the same name by Alex Flinn"
"Beats, Rhymes & Life: The Travels of a Tribe Called Quest","Michael Rapaport","The life and legacy of A Tribe Called Quest, one of the most influential and groundbreaking musical groups in hip-hop history.","Documentary","Sony Pictures Classics"
"The Beaver","Jodie Foster","Mel Gibson, Jodie Foster, Anton Yelchin, Jennifer Lawrence","Black comedy","Summit Entertainment, Participant Media"
"Beginners","Mike Mills","Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Višnjić, Kai Lennox, Mary Page Keller, Keegan Boos","Drama","Focus Features"
"A Better Life","Chris Weitz","Demián Bichir, José Julián","Drama","Summit Entertainment"
"Big Mommas: Like Father, Like Son","John Whitesell","Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Tony Curran, Faizon Love, Sherri Shepherd, Portia Doubleday","Comedy, Crime","Regency Enterprises Preceded by Big Momma's House 2 (2006)"
"The Big Year","David Frankel","Steve Martin, Jack Black, Owen Wilson, Rashida Jones, Anjelica Huston, Jim Parsons, Rosamund Pike, JoBeth Williams, Brian Dennehy, Dianne Wiest, Anthony Anderson, Tim Blake Nelson, Kevin Pollak, Joel McHale","Comedy","20th Century Fox Based on The Big Year: A Tale of Man, Nature and Fowl Obsession by Mark Obmascik"
"Born to Be Wild 3D","David Lickley","A team of animal activists raise and rescue endangered orangutans and elephants to bring them back into the wild. Narrated by Morgan Freeman","Nature documentary","Warner Bros. Pictures"
"The Twilight Saga: Breaking Dawn - Part 1","Bill Condon","Kristen Stewart, Robert Pattinson, Taylor Lautner, Nikki Reed, Peter Facinelli, Elizabeth Reaser, Ashley Greene, Kellan Lutz, Jackson Rathbone, Julia Jones, Booboo Stewart, Billy Burke, Sarah Clarke, MyAnna Buring, Maggie Grace, Casey LaBow, Michael Sheen, Jamie Campbell Bower, Christopher Heyerdahl, Chaske Spencer, Christian Camargo, Mía Maestro","Fantasy romance","Summit Entertainment Based on Breaking Dawn by Stephenie Meyer Preceded by The Twilight Saga: Eclipse (2009)"
"Bridesmaids","Paul Feig","Kristen Wiig, Maya Rudolph, Rose Byrne, Wendi McLendon-Covey, Ellie Kemper, Melissa McCarthy, Chris O'Dowd, Jon Hamm, Matt Lucas","Comedy","Universal Pictures, Relativity Media"
"Buck","Cindy Meehl","The life, career, and philosophy of the real-life ""horse whisperer"" Buck Brannaman.","Documentary","Sundance Selects"
"Bucky Larson: Born to Be a Star","Tom Brady","Nick Swardson, Christina Ricci, Don Johnson, Stephen Dorff","Comedy","Columbia Pictures, Happy Madison"
"Captain America: The First Avenger","Joe Johnston","Chris Evans, Tommy Lee Jones, Hugo Weaving, Dominic Cooper, Neal McDonough, Derek Luke, Stanley Tucci, Hayley Atwell, Sebastian Stan, Kenneth Choi, Toby Jones, Richard Armitage, J. J. Feild, Samuel L. Jackson","Superhero","Paramount Pictures, Marvel Studios Based on the comic book character of the same name by Jack Kirby and Joe Simon"
"Carnage","Roman Polanski","Jodie Foster, Kate Winslet, Christoph Waltz, John C. Reilly","Black comedy","Sony Pictures Classics Based on God of Carnage by Yasmina Reza"
"Cars 2","John Lasseter, Brad Lewis (co-director)","Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer, Eddie Izzard, Jason Isaacs, Thomas Kretschmann, Joe Mantegna, Peter Jacobson, Tony Shalhoub, Guido Quaroni, Paul Dooley, John Ratzenberger, John Turturro, Jeff Gordon, Lewis Hamilton, Darrell Waltrip, Brent Musburger, David Hobbs, Bruce Campbell, John Lasseter, Franco Nero, Vanessa Redgrave, Michel Michelis, Bonnie Hunt, Cheech Marin, Jenifer Lewis, Michael Wallis, Lloyd Sherr, Sig Hansen, Jeff Garlin, Katherine Helmond","Animated, Family, Spy film","Walt Disney Pictures, Pixar Preceded by Cars (2006)"
"Cedar Rapids","Miguel Arteta","Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock, Jr., Kurtwood Smith, Stephen Root, Mike O'Malley and Sigourney Weaver, Alia Shawkat, Rob Corddry, Thomas Lennon, Welker White, Steve Blackwood","Comedy","Fox Searchlight Pictures"
"The Change-Up","David Dobkin","Ryan Reynolds, Jason Bateman, Leslie Mann, Olivia Wilde, Alan Arkin","Comedy","Universal Pictures, Relativity Media"
"The Chaperone","Stephen Herek","Paul ""Triple H"" Levesque, Ariel Winter, Kevin Corrigan, José Zúñiga, Yeardley Smith, Kevin Rankin, Enrico Colantoni","Comedy, Family","Samuel Goldwyn Films, WWE Studios"
"Colombiana","Olivier Megaton","Zoe Saldana, Jordi Mollà, Lennie James, Michael Vartan, Cliff Curtis","Action","TriStar Pictures, Stage 6 Films"
"Conan the Barbarian","Marcus Nispel","Jason Momoa, Rachel Nichols, Stephen Lang, Rose McGowan, Saïd Taghmaoui, Leo Howard, Bob Sapp, Ron Perlman, Steven O'Donnell, Nonso Anozie","Action-adventure, Fantasy","Lionsgate, Millennium Films Based on the character of the same name by Robert E. Howard"
"The Conspirator","Robert Redford","James McAvoy, Robin Wright, Kevin Kline, Evan Rachel Wood, Danny Huston, Justin Long, Colm Meaney, Tom Wilkinson","Historical drama","The American Film Company, Roadside Attractions"
"Contagion","Steven Soderbergh","Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law, Gwyneth Paltrow, Kate Winslet, Bryan Cranston, Jennifer Ehle, Sanaa Lathan, Amr Waked, John Hawkes, Demetri Martin","Action thriller","Warner Bros. Pictures, Participant Media"
"Courageous","Alex Kendrick","Alex Kendrick, Ken Bevel, Kevin Downes, Ben Davies, Renee Jewell, Elanor Brown, Robert Amaya, Angelita Nelson, David Howze, Tony ""T.C."" Stallings","Christian drama","TriStar Pictures, Sherwood Pictures"
"Cowboys & Aliens","Jon Favreau","Daniel Craig, Harrison Ford, Olivia Wilde, Ana de la Reguera, Sam Rockwell, Adam Beach, Paul Dano, Noah Ringer","Sci-fi western","Universal Pictures, DreamWorks Pictures Based on the graphic novel of the same name by Scott Mitchell Rosenberg"
