"Title","Director","Cast(Subject of documentary)","Genre","Notes"
"Cats & Dogs: The Revenge of Kitty Galore","Brad Peyton","Christina Applegate, Michael Clarke Duncan, Neil Patrick Harris, Sean Hayes, James Marsden, Bette Midler, Nick Nolte, Joe Pantoliano, Katt Williams, Chris O' Donnell, Jack McBrayer, Fred Armisen, Paul Rodriguez, Alec Baldwin, Roger Moore","Family, Live-action/animated film","Warner Bros. Pictures, Village Roadshow Pictures Preceded by Cats & Dogs (2000)"
"Charlie St. Cloud","Burr Steers","Zac Efron, Amanda Crew, Donal Logue, Charlie Tahan, Ray Liotta, Kim Basinger, Chris Massoglia","Romantic fantasy","Universal Pictures Based on The Death and Life of Charlie St. Cloud by Ben Sherwood"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Michael Apted","Georgie Henley, Skandar Keynes, Ben Barnes, Liam Neeson, Will Poulter, Simon Pegg","Family, Fantasy","20th Century Fox Preceded by The Chronicles of Narnia: Prince Caspian (2008)"
"City Island","Raymond De Felitta","Andy García, Julianna Margulies, Steven Strait, Alan Arkin, Emily Mortimer","Comedy-drama","Anchor Bay Films"
"Clash of the Titans","Louis Leterrier","Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Jason Flemyng, Nicholas Hoult, Danny Huston, Izabella Miko, Pete Postlethwaite, Polly Walker, Ralph Fiennes, Liam Neeson","Action-adventure, Fantasy","Warner Bros. Pictures, Legendary Pictures Based on the 1981 film of the same name"
"Client 9: The Rise and Fall of Eliot Spitzer","Alex Gibney","The life and career of former New York Governor Eliot Spitzer","Documentary","Magnolia Pictures"
"The Company Men","John Wells","Ben Affleck, Chris Cooper, Kevin Costner, Tommy Lee Jones, Maria Bello, Rosemarie DeWitt, Craig T. Nelson","Drama","The Weinstein Company"
"Conviction","Tony Goldwyn","Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis","Biography, Drama","Fox Searchlight Pictures"
"Cop Out","Kevin Smith","Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott","Buddy cop, Comedy","Warner Bros. Pictures"
"Countdown to Zero","Lucy Walker","The discussion on the escalating nuclear arms race. Narrated by Gary Oldman","Documentary","Magnolia Pictures"
"Country Strong","Shana Feste","Gwyneth Paltrow, Tim McGraw, Garrett Hedlund, Leighton Meester","Dramedy, Musical","Screen Gems"
"The Crazies","Breck Eisner","Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker","Horror","Overture Films. Based on the 1973 film of the same name"
"Crazy on the Outside","Tim Allen","Tim Allen, Sigourney Weaver, Jeanne Tripplehorn, J. K. Simmons, Julie Bowen, Kelsey Grammer, Ray Liotta","Comedy-drama","Freestyle Releasing"
"Cyrus","Jay and Mark Duplass","John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener","Comedy","Fox Searchlight Pictures"
"Date Night","Shawn Levy","Steve Carell, Tina Fey","Action comedy","20th Century Fox"
"Daybreakers","Michael and Peter Spierig","Ethan Hawke, Willem Dafoe, Isabel Lucas, Sam Neill","Horror","Lionsgate"
"Dear John","Lasse Hallström","Channing Tatum, Amanda Seyfried, Henry Thomas, Scott Porter, Richard Jenkins","Romantic drama","Screen Gems, Relativity Media Based on the novel by Nicholas Sparks"
"Death at a Funeral","Neil LaBute","Loretta Devine, Peter Dinklage, Danny Glover, Regina Hall, Martin Lawrence, James Marsden, Tracy Morgan, Chris Rock, Zoe Saldana, Columbus Short, Luke Wilson","Black comedy","Screen Gems Based on the 2007 British film"
"Despicable Me","Pierre Coffin, Chris Renaud","Steve Carell, Miranda Cosgrove, Jason Segel, Russell Brand, Kristen Wiig, Will Arnett, Ken Jeong, Danny McBride, Julie Andrews","Animated, Family","Universal Pictures, Illumination Entertainment"
"Devil","John Erick Dowdle","Chris Messina, Logan Marshall-Green, Geoffrey Arend, Caroline Dhavernas, Jacob Vargas, Jenny O'Hara, Bojana Novakovic, Joshua Peace, Bokeem Woodbine","Horror, Thriller","Universal Pictures"
"Diary of a Wimpy Kid","Thor Freudenthal","Zachary Gordon, Robert Capron, Rachel Harris, Steve Zahn, Devon Bostick, Chloë Grace Moretz","Comedy, Family","20th Century Fox Based on the book by Jeff Kinney"
"Dinner for Schmucks","Jay Roach","Steve Carell, Paul Rudd, Jemaine Clement, Jeff Dunham, Zach Galifianakis, Bruce Greenwood, Ron Livingston, Rick Overton, Lucy Punch, Andrea Savage, David Walliams","Comedy","Paramount Pictures, DreamWorks Pictures, Spyglass Entertainment Based on Le Dîner de Cons"
"Dirty Girl","Abe Sylvia","Juno Temple, Milla Jovovich, Mary Steenburgen, Tim McGraw","Drama","The Weinstein Company"
"Due Date","Todd Phillips","Robert Downey, Jr., Zach Galifianakis, Michelle Monaghan, Juliette Lewis, Jamie Foxx, RZA, Alan Arkin, Matt Walsh, Danny McBride","Comedy, Road","Warner Bros. Pictures"
"Easy A","Will Gluck","Emma Stone, Penn Badgley, Amanda Bynes, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka","Comedy, Teen","Screen Gems"
"Eat Pray Love","Ryan Murphy","Julia Roberts, James Franco, Richard Jenkins, Viola Davis, Billy Crudup, Javier Bardem","Comedy-drama","Columbia Pictures Based on the memoir of the same name by Elizabeth Gilbert"
"The Twilight Saga: Eclipse","David Slade","Kristen Stewart, Robert Pattinson, Taylor Lautner, Ashley Greene, Peter Facinelli, Elizabeth Reaser, Kellan Lutz, Nikki Reed, Catalina Sandino Moreno, Jackson Rathbone, Bryce Dallas Howard, Billy Burke, Jodelle Ferland, Dakota Fanning, Xavier Samuel, Julia Jones, Jack Huston","Fantasy romance","Summit Entertainment Based on Eclipse by Stephenie Meyer Preceded by New Moon (2009)"
"Edge of Darkness","Martin Campbell","Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic, Shawn Roberts, Gbenga Akinnagbe","Action drama","Based on the television series of the same name"
"The Expendables","Sylvester Stallone","Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Eric Roberts, Randy Couture, Steve Austin, David Zayas, Gisele Itié, Charisma Carpenter, Gary Daniels, Terry Crews, Mickey Rourke, Bruce Willis, Arnold Schwarzenegger","Action","Lionsgate"
"The Extra Man","Shari Springer Berman and Robert Pulcini","Kevin Kline, Paul Dano, Katie Holmes, John C. Reilly","Comedy","Magnolia Pictures. Based on the novel by Jonathan Ames"
"Extraordinary Measures","Tom Vaughan","Brendan Fraser, Harrison Ford, Keri Russell","Drama","CBS Films"
"Fair Game","Doug Liman","Naomi Watts, Sean Penn","Biography, Spy thriller","Summit Entertainment Based on The Politics of Truth by Joseph Wilson and Fair Game: My Life as a Spy, My Betrayal by the White House by Valerie Plame"
"Faster","George Tillman, Jr.","Dwayne Johnson, Billy Bob Thornton, Carla Gugino, Maggie Grace, Oliver Jackson-Cohen, Moon Bloodgood","Action drama","CBS Films"
"The Fighter","David O. Russell","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo","Drama, Sports","Paramount Pictures, Relativity Media"
"Flipped","Rob Reiner","Madeline Carroll, Rebecca De Mornay, Anthony Edwards, John Mahoney, Callan McAuliffe, Penelope Ann Miller, Aidan Quinn, Kevin Weisman","Romantic comedy","Warner Bros. Pictures Based on the novel of the same name by Wendelin Van Draanen"
"For Colored Girls","Tyler Perry","Janet Jackson, Thandie Newton, Whoopi Goldberg, Phylicia Rashad, Anika Noni Rose, Loretta Devine, Kimberly Elise, Kerry Washington","Drama","Lionsgate Based on the stage play For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf by Ntozake Shange"
"Freakonomics","Heidi Ewing, Rachel Grady, Alex Gibney, Seth Gordon, Eugene Jarecki, Morgan Spurlock","A group of rogue filmmakers explore the hidden side of everything.","Documentary","Magnolia Pictures. Based on the book by Steven Levitt and Stephen Dunbar"
"From Paris with Love","Pierre Morel","John Travolta, Jonathan Rhys Meyers","Action","Lionsgate"
"Frozen","Adam Green","Kevin Zegers, Shawn Ashmore, Emma Bell","Horror","Anchor Bay Films"
"Furry Vengeance","Roger Kumble","Brendan Fraser, Brooke Shields, Dick Van Dyke, Ken Jeong, Rob Riggle, Angela Kinsey, Matt Prokop","Comedy, Family","Summit Entertainment"
"Game of Death","Giorgio Serafini","Wesley Snipes, Zoë Bell, Gary Daniels, Robert Davi, Ernie Hudson, Jaime Moyer, Frank Zieger","Action","Stage 6 Films, Sony Pictures Home Entertainment"
"Get Him to the Greek","Nicholas Stoller","Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne, Colm Meaney, Sean Combs","Comedy","Universal Pictures, Relativity Media, Spyglass Entertainment"
"Get Low","Aaron Schneider","Robert Duvall, Bill Murray, Sissy Spacek, Lucas Black","Drama","Sony Pictures Classics"
"Going the Distance","Nanette Burstein","Drew Barrymore, Charlie Day, Jason Sudeikis, Ron Livingston, Rob Riggle, Christina Applegate, Kelli Garner, Natalie Morales, June Diane Raphael, Kristen Schaal, Jim Gaffigan, Sarah Burns","Romantic comedy","New Line Cinema"
"The Good Guy","Julio DePietro","Scott Porter, Alexis Bledel, Bryan Greenberg, Aaron Yoo, Anna Chlumsky, Kate Nauta, Andrew McCarthy","Drama, Romantic comedy","Roadside Attractions"
"The Greatest","Shana Feste","Pierce Brosnan, Susan Sarandon, Carey Mulligan, Johnny Simmons, Aaron Johnson, Zoe Kravitz, Michael Shannon","Drama","Barbarian Film Group"
"Green Zone","Paul Greengrass","Matt Damon, Greg Kinnear, Brendan Gleeson, Amy Ryan, Khalid Abdalla, Jason Isaacs","Action, Spy film","Universal Pictures Based on Imperial Life in the Emerald City by Rajiv Chandrasekaran"
"Greenberg","Noah Baumbach","Ben Stiller, Greta Gerwig, Rhys Ifans, Jennifer Jason Leigh, Mark Duplass, Chris Messina, Brie Larson, Juno Temple","Comedy","Focus Features"
"Grown Ups","Dennis Dugan","Adam Sandler, Kevin James, Chris Rock, Rob Schneider, David Spade","Comedy","Columbia Pictures"
"Gulliver's Travels","Rob Letterman","Jack Black, Emily Blunt, Jason Segel, Catherine Tate, James Corden, Amanda Peet, Chris O'Dowd, Billy Connelly, Hugh Jackman","Comedy, Family","20th Century Fox Based on the 18th-century novel of the same name by Jonathan Swift"
"Happy Tears","Mitchell Lichtenstein","Parker Posey, Demi Moore, Rip Torn, Ellen Barkin","Dramedy","Roadside Attractions"
"Hachiko: A Dog's Story","Lasse Hallström","Richard Gere","Drama","Remake of the 1987 Japanese film Hachikō Monogatari"
"Harry Potter and the Deathly Hallows: Part 1","David Yates","Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Robbie Coltrane, Warwick Davis, Ralph Fiennes, Michael Gambon, Brendan Gleeson, Richard Griffiths, John Hurt, Jason Isaacs, Alan Rickman, Fiona Shaw, Timothy Spall, Imelda Staunton, David Thewlis, Julie Walters","Action-adventure, Fantasy","Warner Bros. Pictures Preceded by Harry Potter and the Half-Blood Prince (2009)"
"Hereafter","Clint Eastwood","Matt Damon, Cécile de France, Bryce Dallas Howard, Lyndsey Marshal, Jay Mohr, Thierry Neuvic, Jenifer Lewis","Drama","Warner Bros. Pictures"
"Holy Rollers","Kevin Asch","Jesse Eisenberg, Justin Bartha, Ari Graynor, Danny A. Abeckaser, Q-Tip, Jason Fuchs","Drama","First Independent Pictures"
"Hot Tub Time Machine","Steve Pink","John Cusack, Rob Corddry, Craig Robinson, Clark Duke, Crispin Glover, Lizzy Caplan, Chevy Chase","Comedy, Science fiction","MGM Pictures, United Artists"
"How Do You Know","James L. Brooks","Reese Witherspoon, Owen Wilson, Paul Rudd, Jack Nicholson","Romantic comedy","Columbia Pictures"
"How to Train Your Dragon","Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig","Family, Fantasy","DreamWorks Animation, Paramount Pictures"
"Hubble 3D","Toni Myers","The Hubble Space Telescope repair mission. Narrated by Leonardo DiCaprio.","Documentary","Warner Bros. Pictures"
"Hurricane Season","Tim Story","Forest Whitaker, Lil Wayne, Bow Wow, Isaiah Washington, Taraji P. Henson, Michael Gaston, Jackie Long, Khleo Thomas","Drama, Sports","Dimension Films, The Weinstein Company Direct-to-DVD"
"Hyenas","Eric Weston","Christa Campbell, Costas Mandylor, Joshua Alba, Rudolf Martin","Horror","Entertainment Dome"
"I Love You Phillip Morris","John Requa and Glenn Ficarra","Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro","Bio-pic, Comedy-drama","Roadside Attractions Adapted from the book by Steve McVicker"
"I'm Still Here","Casey Affleck","Tumultuous year in the life of actor Joaquin Phoenix as he attempts to reinvent himself as a hip-hop artist.","Mockumentary","Magnolia Pictures"
"Inception","Christopher Nolan","Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard, Ellen Page, Tom Hardy, Cillian Murphy, Tom Berenger, Michael Caine","Science fiction","Warner Bros. Pictures"
"Iron Man 2","Jon Favreau","Robert Downey, Jr., Don Cheadle, Mickey Rourke, Gwyneth Paltrow, Sam Rockwell, Scarlett Johansson, Samuel L. Jackson","Superhero","Paramount Pictures, Marvel Entertainment Preceded by Iron Man (2008)"
"It's Kind of a Funny Story","Ryan Fleck and Anna Boden","Keir Gilchrist, Zach Galifianakis, Emma Roberts, Viola Davis, Zoë Kravitz, Aasif Mandvi, Lauren Graham, Jim Gaffigan","Comedy-drama","Focus Features Based on the novel of the same name by Ned Vizzini"
"Jack Goes Boating","Philip Seymour Hoffman","Philip Seymour Hoffman, Amy Ryan, John Ortiz, Daphne Rubin-Vega","Romantic comedy","Overture Films. Based on the play by Bob Glaudini"
"Jackass 3-D","Jeff Tremaine","Johnny Knoxville, Bam Margera, Chris Pontius, Steve-O, Ryan Dunn, Dave England, Jason ""Wee Man"" Acuña, Ehren McGhehey, Preston Lacy, The Dudesons","Comedy","Paramount Pictures, MTV Films Preceded by Jackass Number Two (2006)"
"Jonah Hex","Jimmy Hayward","Josh Brolin, John Malkovich, Megan Fox, Michael Fassbender, Will Arnett, Michael Shannon","Superhero, Western","Warner Bros. Pictures, Legendary Pictures Based on the DC Comics character"
"The Joneses","Derrick Börte","David Duchovny, Demi Moore, Amber Heard, Ben Hollingsworth, Gary Cole, Glenne Headly, Lauren Hutton","Drama comedy","Roadside Attractions"
"Just Wright","Sanaa Hamri","Queen Latifah, Common, Paula Patton","Romantic comedy","Fox Searchlight Pictures"
"Kaboom","Gregg Araki","Roxane Mesquida, Thomas Dekker, Juno Temple, Haley Bennett, James Duval","Science fiction","Crispy Films"
"The Karate Kid","Harald Zwart","Jaden Smith, Jackie Chan, Taraji P. Henson","Martial arts","Columbia Pictures, Overbrook Entertainment Preceded by The Next Karate Kid (1994)"
"Kick-Ass","Matthew Vaughn","Aaron Johnson, Christopher Mintz-Plasse, Chloë Grace Moretz, Mark Strong, Nicolas Cage","Superhero","Lionsgate Based on the comic by Mark Millar and John S. Romita, Jr."
"The Kids Are All Right","Lisa Cholodenko","Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson","Comedy","Focus Features"
"The Killer Inside Me","Michael Winterbottom","Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty, Elias Koteas, Tom Bower, Simon Baker, Bill Pullman","Crime drama","IFC Films Based on the novel of the same name by Jim Thompson"
"Killers","Robert Luketic","Katherine Heigl, Ashton Kutcher","Action comedy","Lionsgate"
"The King’s Speech","Tom Hooper","","",""
"Knight and Day","James Mangold","Tom Cruise, Cameron Diaz, Maggie Grace, Peter Sarsgaard, Paul Dano, Viola Davis","Action-comedy","20th Century Fox"
"Knucklehead","Michael Watkins","Mark Feuerstein, Melora Hardin, Big Show, Dennis Farina, Wendie Malick, Rebecca Creskoff, Bobb'e J. Thompson, Will Patton, Saul Rubinek","Comedy","Samuel Goldwyn Films, WWE Studios"
"The Last Airbender","M. Night Shyamalan","Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel, Shaun Toub, Aasif Mandvi, Cliff Curtis, Jessica Andres, Katharine Houghton, Seychelle Gabriel","Action-adventure, Fantasy, Family","Paramount Pictures, Nickelodeon Movies. Based on the animated show Avatar: The Last Airbender"
"The Last Exorcism","Daniel Stamm","Patrick Fabian, Iris Bahr, Louis Herthum, Ashley Bell, Jamie Alyson Caulde, Tony Bentley, Shanna Forrestall, Allen Boudreaux, Caleb Landry Jones","Horror","Lionsgate"
"The Last Song","Julie Anne Robinson","Miley Cyrus, Liam Hemsworth, Bobby Coleman, Kelly Preston, Greg Kinnear","Dramedy, Romance","Touchstone Pictures Based on the novel by Nicholas Sparks"
"Leap Year","Anand Tucker","Amy Adams, Matthew Goode, Adam Scott, John Lithgow","Romantic comedy","Universal Pictures, Spyglass Entertainment"
"Legend of the Guardians: The Owls of Ga'Hoole","Zack Snyder","Jim Sturgess, Geoffrey Rush, Emily Barclay, Anthony LaPaglia, David Wenham, Hugo Weaving, Ryan Kwanten, Helen Mirren, Sam Neill, Joel Edgerton, Miriam Margolyes, Richard Roxburgh, Deborra-Lee Furness, Abbie Cornish, Leigh Whannell, Angus Sampson, Bill Hunter, Sacha Horler, Essie Davis, Barry Otto","Fantasy","Warner Bros. Pictures, Village Roadshow Pictures, Animal Logic Based on the Guardians of Ga'Hoole book series by Kathryn Lasky"
"Legendary","Mel Damski","Patricia Clarkson, John Cena, Devon Graye, Madeleine Martin, Tyler Posey, Danny Glover","Drama","Samuel Goldwyn Films, WWE Studios"
"Legion","Scott Stewart","Paul Bettany, Lucas Black, Tyrese Gibson, Charles S. Dutton, Adrianne Palicki, Kevin Durand, Doug Jones, Willa Holland, Kate Walsh, Dennis Quaid","Action thriller, Fantasy","Screen Gems"
"Let Me In","Matt Reeves","Kodi Smit-McPhee, Chloë Grace Moretz, Elias Koteas, Richard Jenkins","Horror","Overture Films. Based on the novel Let the Right One In and film of the same name by John Ajvide Lindqvist"
"Letters to God","David Nixon","Robyn Lively, Jeffrey Johnson, Tanner Maguire, Bailee Madison, Ralph Waite","Drama","Possibility Pictures"
"Letters to Juliet","Gary Winick","Amanda Seyfried, Chris Egan, Vanessa Redgrave, Gael García Bernal, Franco Nero","Romantic drama","Summit Entertainment"
"Life as We Know It","Greg Berlanti","Katherine Heigl, Josh Duhamel","Romantic comedy","Warner Bros., Village Roadshow Pictures"
"Like Dandelion Dust","Jon Gunn","Mira Sorvino, Barry Pepper, Cole Hauser, Kate Levering, Maxwell Perry Cotton, L. Scott Caldwell","Drama","Downes Brothers Entertainment, Lucky Crow Films"
"Little Fockers","Paul Weitz","Robert De Niro, Ben Stiller, Owen Wilson, Blythe Danner, Teri Polo, Jessica Alba, Laura Dern, Harvey Keitel, Dustin Hoffman, Barbra Streisand","Comedy","Universal Pictures, Paramount Pictures, DreamWorks Pictures Relativity Media Preceded by Meet the Fockers (2004)"
"The Losers","Sylvain White","Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Oscar Janaeda, Jason Patric","Action comedy, Superhero","Warner Bros. Pictures, Dark Castle Entertainment Based on the comic book series of the same name."
"Lottery Ticket","Erik White","Bow Wow, Brandon T. Jackson, Naturi Naughton, Keith David, Charlie Murphy, Gbenga Akinnagbe, Terry Crews, Bill Bellamy, Mike Epps, T-Pain, Loretta Devine, Ice Cube","Comedy","Warner Bros. Pictures, Alcon Entertainment"
"Love Ranch","Taylor Hackford","Helen Mirren, Joe Pesci, Sergio Peris-Mencheta, Gina Gershon, Bryan Cranston","Drama","Summit Entertainment"
"Love & Other Drugs","Edward Zwick","Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht, Judy Greer, Jill Clayburgh","Comedy-drama","Fox 2000 Pictures, Regency Enterprises. Based on Hard Sell: The Evolution of a Viagra Salesman by Jamie Reidy"
"MacGruber","Jorma Taccone","Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph, Derek Mears, Val Kilmer, Mark Henry, Chris Jericho, Glenn Jacobs, Paul Wight, Montel Vontavious Porter, The Great Khali","Action-comedy, Parody","Rogue Pictures Based on the recurring Saturday Night Live sketch of the same name."
"Machete","Robert Rodriguez, Ethan Maniquis","Danny Trejo, Michelle Rodriguez, Cheech Marin, Jeff Fahey, Lindsay Lohan, Don Johnson, Jessica Alba, Steven Seagal, Robert De Niro, Daryl Sabara, Tom Savini","Action","20th Century Fox, Troublemaker Studios"
"Marmaduke","Tom Dey","Owen Wilson, George Lopez, Lee Pace, Judy Greer, David Walliams, William H. Macy, Steve Coogan, Sam Elliott, Fergie, Jeremy Piven, Christopher Mintz-Plasse, Emma Stone, Kiefer Sutherland, Damon Wayans, Jr., Marlon Wayans","Family, Live-action","20th Century Fox, Regency Enterprises"
"Marwencol","Jeff Malmberg","After a vicious attack leaves him brain-damaged and broke; Mark Hogancamp seeks recovery in ""Marwencol"" a 1/6th scale World War II-era town he creates in his backyard.","Documentary","The Cinema Guild"
"Megamind","Tom McGrath","Will Ferrell, Tina Fey, Jonah Hill, David Cross, Brad Pitt","Comedy, Superhero","DreamWorks Animation SKG, Paramount Pictures"
"Middle Men","George Gallo","Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan, Jacinda Barrett, Laura Ramsey, Terry Crews, Rade Šerbedžija, Kelsey Grammer, Kevin Pollak, Robert Forster","Comedy-drama, Crime","Paramount Pictures, Paramount Vantage"
"Mirrors 2","Víctor Garciá","Nick Stahl, Emmanuelle Vaugier, Evan Jones, Christy Carlson Romano, William Katt, Lawrence Turner, Stephanie Honoré, Jon Michael Davis, Jennifer Sipes, Ann Mckenzie","Horror","20th Century Fox Direct-to-DVD Preceded by Mirrors (2008)"
"Morning Glory","Roger Michell","Rachel McAdams, Harrison Ford, Diane Keaton, Patrick Wilson, Jeff Goldblum","Comedy","Paramount Pictures"
"Mother and Child","Rodrigo García","Naomi Watts, Annette Bening, Kerry Washington, Jimmy Smits, Samuel L. Jackson, S. Epatha Merkerson, Cherry Jones, Elpidia Carrillo, Shareeka Epps","Drama","Sony Pictures Classics"
"My Soul to Take","Wes Craven","Max Thieriot, Denzel Whitaker, Raúl Esparza, Shareeka Epps, Zena Grey, Trevor St. John","Horror","Rogue Pictures"
"Nanny McPhee Returns","Susanna White","Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith, Ralph Fiennes, Ewan McGregor","Family, Fantasy","Universal Pictures, StudioCanal, Relativity Media Preceded by Nanny McPhee (2005)"
"Never Let Me Go","Mark Romanek","Carey Mulligan, Andrew Garfield, Keira Knightley","Drama","Fox Searchlight Pictures. Based on the novel of the same name by Kazuo Ishiguro."
"The Next Three Days","Paul Haggis","Russell Crowe, Elizabeth Banks, Brian Dennehy, Olivia Wilde, Liam Neeson","Thriller","Lionsgate"
"Night Catches Us","Tanya Hamilton","Anthony Mackie, Kerry Washington","Drama","Magnolia Pictures"
"A Nightmare on Elm Street","Samuel Bayer","Jackie Earle Haley, Rooney Mara, Thomas Dekker, Kellan Lutz, Katie Cassidy, Connie Britton, Clancy Brown","Horror","New Line Cinema, Platinum Dunes Based on the 1984 film of the same name"
