"Title","Director","Cast (Subject of documentary)","Genre","Notes"
".45","Gary Lennon","Milla Jovovich, Angus Macfadyen, Aisha Tyler, Stephen Dorff","Crime drama",""
"10 Items or Less","Brad Silberling","Morgan Freeman, Paz Vega","Comedy",""
"10th & Wolf","Robert Moresco","James Marsden, Giovanni Ribisi","Crime drama",""
"16 Blocks","Richard Donner","Bruce Willis, Mos Def","Crime drama",""
"29 Reasons to Run","Damon O'Steen","Gary Weeks","Comedy",""
"The 8th Plague","Franklin Guerrero, Jr.","DJ Perry","Horror",""
"9/Tenths","Bob Degus","Gabrielle Anwar, Henry Ian Cusick","Romance",""
"a/k/a Tommy Chong","Josh Gilbert","jailing of Tommy Chong","Documentary",""
"Abominable","Ryan Schifrin","Matt McCoy, Jeffrey Combs","Horror",""
"Accepted","Steve Pink","Justin Long, Jonah Hill","Comedy",""
"After...","David L. Cunningham","Daniel Caltagirone","Thriller",""
"Air Guitar Nation","Alexandra Lipsitz","U.S. air guitar championships","Documentary",""
"Akeelah and the Bee","Doug Atchison","Keke Palmer, Laurence Fishburne, Angela Bassett","Family",""
"Al Franken: God Spoke","Nick Doob, Chris Hegedus","emergence of Al Franken as political commentator","Documentary",""
"The Alibi","Matt Checkowski, Kurt Mattila","Steve Coogan, Rebecca Romijn, James Marsden","Romantic comedy",""
"All the King's Men","Steven Zaillian","Sean Penn, Jude Law, Kate Winslet, Anthony Hopkins, Mark Ruffalo, James Gandolfini","Drama","based on All the King's Men by Robert Penn Warren"
"Alone with Her","Eric Nichols","Ana Claudia Talancón, Colin Hanks, Jordana Spiro","Horror",""
"Amazing Grace","Michael Apted","Ioan Gruffudd","Biography",""
"America: Freedom to Fascism","Aaron Russo","the legality of income tax","Documentary",""
"American Blackout","Ian Inaba","2002 defeat, 2004 reelection of Cynthia McKinney","Documentary",""
"American Dreamz","Paul Weitz","Hugh Grant, Dennis Quaid, Mandy Moore, Marcia Gay Harden","Comedy, parody",""
"American Hardcore","Paul Rachman","early pioneers of the hardcore punk music scene","Documentary","based on American Hardcore: A Tribal History by Steven Blush"
"Analog Days","Mike Ott","Chad Cunningham","Drama",""
"Andy Warhol: A Documentary Film","Ric Burns","life and art of Andy Warhol","Documentary",""
"Annapolis","Justin Lin","James Franco, Tyrese Gibson","Drama",""
"Another Gay Movie","Todd Stephens","Michael Carbonaro, Jonah Blechman, Jonathan Chase, Mitch Morris","Comedy",""
"The Ant Bully","John A. Davis","Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti","Animation","based on The Ant Bully by John Nickle"
"Apocalypto","Mel Gibson","Rudy Youngblood, Raoul Trujillo, Mayra Sérbulo, Dalia Hernández","Action",""
"Aquamarine","Elizabeth Allen","Emma Roberts, Sara Paxton, JoJo","Fantasy, teen",""
"The Architect","Matt Tauber","Anthony LaPaglia, Viola Davis, Isabella Rossellini","Drama",""
"Art School Confidential","Terry Zwigoff","Max Minghella, Sophia Myles, John Malkovich","Comedy-drama","based on ""Art School Confidential"" by Daniel Clowes"
"Artie Lange's Beer League","Frank Sebastiano","Artie Lange, Ralph Macchio","Comedy",""
"As You Like It","Kenneth Branagh","Kevin Kline, Bryce Dallas Howard, Alfred Molina","Comedy-drama","based on As You Like It by William Shakespeare"
"Asian Stories","Ron Oda, Kris Chin","James Kyson Lee, Kirt Kishita","Comedy-drama",""
"Ask the Dust","Robert Towne","Colin Farrell, Salma Hayek","Drama","based on Ask the Dust by John Fante"
"The Astronaut Farmer","Michael Polish","Billy Bob Thornton, Virginia Madsen, Bruce Dern, Bruce Willis","Drama",""
"ATL","Chris Robinson","T.I., Lauren London, Evan Ross, Big Boi","Comedy-drama",""
"Automaton Transfusion","Steven C. Miller","Garrett Jones","Horror",""
"Automatons","James Felix McKenney","Angus Scrimm","Science fiction",""
"Awesome; I Fuckin' Shot That!","Nathaniel Hörnblowér","Beastie Boys","Concert",""
"Babel","Alejandro González Iñárritu","Brad Pitt, Cate Blanchett, Gael García Bernal, Kōji Yakusho","Drama","winner Golden Globe Award for Best Motion Picture – Drama"
"Bambi II","Brian Pimental","Alexander Gould, Patrick Stewart, Brendon Baerg","Animation","preceded by Bambi; direct-to-video"
"Barnyard","Steve Oedekerk","Kevin James, Courteney Cox, Sam Elliott, Danny Glover","Animation",""
"Basic Instinct 2","Michael Caton-Jones","Sharon Stone, David Morrissey, David Thewlis, Charlotte Rampling","Thriller","preceded by Basic Instinct"
"The Beach Party at the Threshold of Hell","Kevin Wheatley, Jonny Gilette","Kevin Wheatley, Bill English","Comedy",""
"Beerfest","Jay Chandrasekhar","Paul Soter, Erik Stolhanske","Comedy",""
