"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Behind the Mask: The Rise of Leslie Vernon","Scott Glosserman","Nathan Baesel, Robert Englund, Angela Goethals","Mockumentary",""
"Bella","Alejandro Gomez Monteverde","Eduardo Verástegui, Tammy Blanchard, Manny Pérez","Drama",""
"The Benchwarmers","Dennis Dugan","Rob Schneider, David Spade, Jon Heder","Comedy",""
"Beyond Conviction","Rachel Libert","the healing and resolution of three crime victims","Documentary",""
"Bickford Shmeckler's Cool Ideas","Scott Lew","Patrick Fugit, Olivia Wilde, Fran Kranz, John Cho","Comedy",""
"The Big Bad Swim","Ishai Setton","Paget Brewster, Jeff Branson, Jess Weixler","Comedy",""
"Big Bad Wolf","Lance W. Dreesen","Kimberly J. Brown, Trevor Duke, Sarah Christine Smith","Horror",""
"Big Dreams Little Tokyo","David Boyle","David Boyd","Comedy",""
"Big Momma's House 2","John Whitesell","Martin Lawrence","Comedy","preceded by Big Momma's House"
"Black Christmas","Glen Morgan","Katie Cassidy, Michelle Trachtenberg, Kristen Cloke, Crystal Lowe","Horror","based on Black Christman"
"The Black Dahlia","Brian De Palma","Josh Hartnett, Scarlett Johansson, Aaron Eckhart, Hilary Swank","Crime drama","based on The Black Dahlia by James Ellroy"
"Black Gold","Mark Francis, Nick Francis","international coffee trade","Documentary",""
"Blind Dating","James Keach","Chris Pine, Eddie Kaye Thomas, Anjali Jay","Comedy",""
"Blood Diamond","Edward Zwick","Leonardo DiCaprio, Jennifer Connelly, Djimon Hounsou","Drama",""
"Blood Tea and Red String","Christiane Cegavske","","Animation",""
"Bloody Mary","Richard Valentine","Jaason Simmons, Kim Tyler, Matt Borlenghi","Horror",""
"Bobby","Emilio Estevez","Harry Belafonte, Joy Bryant, Nick Cannon, Laurence Fishburne, Anthony Hopkins, Helen Hunt, Ashton Kutcher, Shia LaBeouf, Lindsay Lohan, Demi Moore, Christian Slater, Martin Sheen, Sharon Stone","Drama",""
"Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","Larry Charles","Sacha Baron Cohen, Ken Davitian, Luenell","Mockumentary",""
"Bordertown","Gregory Nava","Jennifer Lopez, Antonio Banderas","Crime drama",""
"Brand Upon the Brain!","Guy Maddin","Sullivan Brown, Gretchen Krich, Maya Lawson, Erik Steffen Maahs","Drama, silent",""
"Breaking and Entering","Anthony Minghella","Jude Law, Juliette Binoche, Robni Wright Penn","Romance",""
"The Break-Up","Peyton Reed","Vince Vaughn, Jennifer Aniston","Romance",""
"The Breed","Nicholas Mastandrea","Michelle Rodriguez, Eric Lively, Oliver Hudson","Horror",""
"The Bridge","Eric Steel","suicide at Golden Gate Bridge","Documentary",""
"Broken Bridges","Steven Goldmann","Toby Keith, Kelly Preston, Willie Nelson, Lindsey Haun","Musical",""
"Busgirl","Steven Schuldt","Leah Miller","Drama",""
"Caffeine","John Cosgrove","Mena Suvari, Marsha Thomason, Katherine Heigl","Comedy",""
"Cars","Joe Ranft, John Lasseter","Paul Newman, Owen Wilson, Larry the Cable Guy, Tony Shalhoub, Bonnie Hunt","Animation","winner of Golden Globe Award for Best Animated Feature Film"
"Casino Royale","Martin Campbell","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Giancarlo Giannini, Jeffrey Wright","Action, 007","preceded by Die Another Day"
"Catch a Fire","Phillip Noyce","Tim Robbins, Derek Luke","Drama",""
"The Cats of Mirikitani","Linda Hattendorf","the life of Japanese American painter Jimmy Mirikitani","Documentary",""
"Chalk","Mike Akel","Chris Mass","Mockumentary",""
"Charlotte's Web","Gary Winick","Dakota Fanning, Dominic Scott Kay, Julia Roberts, Steve Buscemi","Family","based on Charlotte's Web by E. B. White"
"Chasing the Horizon","Markus and Mason Canter","the Baja 1000 off-road race","Documentary",""
"Children of Men","Alfonso Cuarón","Clive Owen, Julianne Moore","Science fiction","based on The Children of Men by P. D. James"
"Christmas at Maxwell's","William C. Laufer","Andrew May, Jack Hourigan","Drama",""
"Church Ball","Kurt Hale","Fred Willard, Andrew Wilson, Clint Howard","Comedy",""
"Civic Duty","Jeff Renfroe","Peter Krause, Khaled Abol Naga, Richard Schiff","Drama",""
"Clear Cut: The Story of Philomath, Oregon","Peter Richardson","timber industry in Philomath, Oregon","Documentary",""
"Clerks II","Kevin Smith","Brian O'Halloran, Jeff Anderson, Rosario Dawson, Jason Mewes, Kevin Smith, Trevor Fehrman","Comedy","preceded by Clerks"
"Click","Frank Coraci","Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff","Comedy",""
"Cocaine Cowboys","Billy Corben","cocaine in Miami during 1970s and 1980s","Documentary",""
"Coffee Date","Stewart Wade","Jonathan Bray, Wilson Cruz","Comedy",""
"Color of the Cross","Jean-Claude La Marre","Jean-Claude La Marre, Debbi Morgan, Elya Baskin","Biography",""
"Come Early Morning","Joey Lauren Adams","Ashley Judd, Jeffrey Donovan, Ray McKinnon","Drama",""
"The Contract","Bruce Beresford","Morgan Freeman, John Cusack","Drama",""
"Copying Beethoven","Agnieszka Holland","Ed Harris, Diane Kruger","Drama",""
"The Covenant","Renny Harlin","Steven Strait, Sebastian Stan, Laura Ramsey, Taylor Kitsch","Horror",""
"Crank","Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart","Action",""
"Crossover","Preston A. Whitmore II","Anthony Mackie, Wesley Jonathan, Wayne Brady, Lil' JJ","Action",""
"Crude Impact","James Jandak Wood","the effect of fossil fuels","Documentary",""
"Curious George","Matthew O'Callaghan","Will Ferrell, Drew Barrymore, David Cross, Eugene Levy","Animation","based on the Curious George by H. A. and Margret Rey"
"The Curiosity of Chance","Russell P. Marleau","Tad Hilgenbrink, Brett Chukerman","Comedy",""
"The Da Vinci Code","Ron Howard","Tom Hanks, Audrey Tautou, Ian McKellen, Alfred Molina, Paul Bettany, Jean Reno, Jürgen Prochnow","Thriller","based on The Da Vinci Code by Dan Brown"
"Daft Punk's Electroma","Daft Punk","Peter Hurteau, Michael Reich","Science fiction",""
"Dance Party USA","Aaron Katz","Cole Pensinger, Anna Kavan, Ryan White","Drama",""
"Danika","Ariel Vromen","Marisa Tomei, Regina Hall, Craig Bierko","Horror",""
"Danny Roane: First Time Director","Andy Dick","Andy Dick, Frankie Muniz, Jack Black","Comedy",""
"Dark Corners","Ray Gower","Thora Birch, Toby Stephens, Christien Anholt","Horror",""
"Dark Ride","Craig Singer","Jamie-Lynn Sigler, Patrick Renna, Jennifer Tisdale","Horror",""
"The Darwin Awards","Finn Taylor","Joseph Fiennes, Winona Ryder, David Arquette","Comedy","based on Darwin Awards"
"Date Movie","Aaron Seltzer","Alyson Hannigan, Adam Campbell, Jennifer Coolidge, Tony Cox","Romantic comedy",""
"Dave Chappelle's Block Party","Michel Gondry","a block party held in Clinton Hill, Brooklyn by Dave Chappelle","Comedy","based on Wattstax"
"Day Night Day Night","Julia Loktev","Luisa Williams","Drama",""
"Day on Fire","Jay Anania","Olympia Dukakis, Carmen Chaplin, Martin Donovan","Drama",""
"The Dead Girl","Karen Moncrieff","Toni Collette, Brittany Murphy","Drama",""
"The Death of Poe","Mark Redfield","Mark Redfield, Kevin G. Shinnick","Horror",""
"Déjà Vu","Tony Scott","Denzel Washington, Val Kilmer","Science fiction",""
"Deck the Halls","John Whitesell","Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth","Comedy",""
"Deliver Us from Evil","Amy Berg","the life of Oliver O'Grady","Documentary","winner of the Satellite Award for Best Documentary Film"
"The Departed","Martin Scorsese","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Alec Baldwin, Martin Sheen, Vera Farmiga, Anthony Anderson, Ray Winstone","Crime drama","based on Infernal Affairs Academy Award for Best Picture and Satellite Award for Best Film – Drama"
"The Devil and Daniel Johnston","Jeff Feuerzeig","life and music of Daniel Johnston","Documentary",""
"The Devil Wears Prada","David Frankel","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Adrian Grenier, Simon Baker","Comedy, Drama","based on The Devil Wears Prada by Lauren Weisberger"
"Diggers","Katherine Dieckmann","Paul Rudd, Lauren Ambrose, Ron Eldard","Comedy",""
"Disappearances","Jay Craven","Kris Kristofferson","Drama",""
"Dixie Chicks: Shut Up and Sing","Cecilia Peck, Barbara Kopple","the career of the Dixie Chicks","Documentary",""
"DOA: Dead or Alive","Corey Yuen","Jaime Pressly, Holly Valance, Sarah Carter, Natassia Malthe, Devon Aoki, Eric Roberts","Action","based on Dead or Alive series"
"The Dog Problem","Scott Caan","Giovanni Ribisi, Lynn Collins, Kevin Corrigan","Comedy",""
"Dreamgirls","Bill Condon","Jamie Foxx, Beyoncé Knowles, Eddie Murphy, Jennifer Hudson, Anika Noni Rose","Musical","Golden Globe Award for Best Motion Picture – Musical or Comedy and Satellite Award for Best Film – Musical or Comedy"
"Dreamland","Jason Matzner","Agnes Bruckner, Kelli Garner, Justin Long","Drama",""
"Driftwood","Tim Sullivan","Raviv Ullman, Diamond Dallas Page, Talan Torriero","Horror",""
"Disaster Zone: Volcano in New York","Robert Zemeckis","Costas Mandylor, Alexandra Paul, Michael Ironside","Disaster",""
"East Side Story","Carlos Portugal","René Alvarado, Steve Callahan","Comedy",""
"Employee of the Month","Gregory Coolidge","Dane Cook, Jessica Simpson, Dax Shepard","Comedy",""
"Encounter Point","Ronit Avni, Julia Bacha","violence in Israel between Israelis and Palestinians","Documentary",""
"End Game","Andy Cheng","Cuba Gooding, Jr., James Woods, Angie Harmon","Action",""
"End of the Spear","Jim Hanon","Louie Leonardo, Chad Allen, Jack Guzman","Drama",""
"Eight Below","Frank Marshall","Paul Walker, Bruce Greenwood","Adventure","based on Nankyoku Monogatari"
"Eragon","Stefen Fangmeier","Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich","Fantasy","based on Eragon by Christopher Paolini"
"Everyone's Hero","Christopher Reeve, Daniel St. Pierre, Colin Brady","Jake T. Austin, Rob Reiner, William H. Macy","Animation",""
"Evil Bong","Charles Band","David Weidoff","Comedy",""
"Expiration Date","Rick Stevenson","Rober Guthrie","Comedy",""
"Facing the Giants","Alex Kendrick","Alex Kendrick, Shannen Fields, Tracy Goode","Drama",""
"Factory Girl","George Hickenlooper","Sienna Miller, Hayden Christensen, Jimmy Fallon","Biography",""
"Failure to Launch","Tom Dey","Matthew McConaughey, Sarah Jessica Parker, Terry Bradshaw, Kathy Bates","Romantic comedy",""
"The Fast and the Furious: Tokyo Drift","Justin Lin","Lucas Black, Bow Wow","Action","preceded by 2 Fast 2 Furious"
"Fast Food Nation","Richard Linklater","Greg Kinnear, Wilmer Valderrama, Avril Lavigne","Drama","based on Fast Food Nation by Eric Schlosser"
"Fatwa","John Carter","Lauren Holly, Lacey Chabert, John Doman","Drama",""
"Fay Grim","Hal Hartley","Parker Posey, James Urbaniak, Liam Aiken","Action",""
"Fifty Pills","Theo Avgerinos","Lou Taylor Pucci, Kristen Bell, John Hensley","Comedy",""
"Final Destination 3","James Wong","Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Texas Battle","Horror","preceded by Final Destination 2"
"Find Me Guilty","Sidney Lumet","Vin Diesel, Linus Roache, Ron Silver, Alex Rocco, Peter Dinklage, Annabella Sciorra","Crime drama","based on life of mobster Jackie DiNorscio"
"Firewall","Richard Loncraine","Harrison Ford, Paul Bettany, Virginia Madsen, Mary Lynn Rajskub","Thriller",""
"Flags of Our Fathers","Clint Eastwood","Ryan Phillippe, Jesse Bradford, Adam Beach","War","based on Flags of Our Fathers by James Bradley and Ron Powers"
"Flicka","Michael Mayer","Alison Lohman, Tim McGraw, Maria Bello","Family","based on My Friend Flicka by Mary O'Hara"
"Flock of Dodos","Randy Olson","the debate between intelligent design and evolution","Documentary",""
"Flourish","Kevin Palys","Jennifer Morrison, Jesse Spencer, Leighton Meester","Comedy-drama",""
"Flushed Away","David Bowers, Sam Fell","Kate Winslet, Hugh Jackman, Ian McKellen, Andy Serkis","Animation",""
"Flyboys","Tony Bill","James Franco, Martin Henderson, Jean Reno","War",""
"For Your Consideration","Christopher Guest","Catherine O'Hara, Parker Posey, Harry Shearer, Eugene Levy, Fred Willard, Jane Lynch","Comedy",""
"Forget About It","BJ Davis","Burt Reynolds, Robert Loggia, Charles Durning","Comedy-drama",""
"The Fountain","Darren Aronofsky","Hugh Jackman, Rachel Weisz, Ellen Burstyn","Science fiction",""
"Freedomland","Joe Roth","Samuel L. Jackson, Julianne Moore","Crime drama","based on Freedomland by Richard Price"
"Free Jimmy","Christopher Nielsen","Jeremy Price, Woody Harrelson, Simon Pegg, Phil Daniels","Animation",""
"Friends with Money","Nicole Holofcener","Jennifer Aniston, Joan Cusack, Catherine Keener, Frances McDormand","Drama",""
"Full Grown Men","David Munro","Matt McGrath, Judah Friedlander, Alan Cumming","Comedy",""
"Fur","Steven Shainberg","Nicole Kidman, Robert Downey, Jr.","Drama",""
"Game 6","Michael Hoffman","Michael Keaton, Griffin Dunne, Robert Downey, Jr.","Comedy",""
"Garfield: A Tail of Two Kitties","Tim Hill","Breckin Meyer, Jennifer Love Hewitt, Billy Connolly, Bill Murray","Comedy","preceded by Garfield: The Movie"
"The Genius Club","Tim Chey","Stephen Baldwin, Tom Sizemore, Jack Scalia","Drama",""
"GI Jesus","Carl Colpaert","Joe Arquette","Fantasy",""
"Glastonbury","Julien Temple","history of Glastonbury Festival","Documentary",""
"Glory Road","James Gartner","Josh Lucas, Derek Luke, Jon Voight","Drama",""
"God Grew Tired of Us","Christopher Dillon Quinn","the Lost Boys of Sudan","Documentary","winner of Sundance Grand Jury Prize"
"The Good German","Steven Soderbergh","George Clooney, Cate Blanchett, Tobey Maguire","Drama, War","based on The Good German by Joseph Kanon"
"The Good Shepherd","Robert De Niro","Matt Damon, Angelina Jolie, Robert De Niro, Alec Baldwin, William Hurt, Michael Gambon, Timothy Hutton","Drama",""
"A Good Year","Ridley Scott","Russell Crowe","Drama","based on A Good Year by Peter Mayle"
"Goya's Ghosts","Miloš Forman","Natalie Portman, Javier Bardem, Stellan Skarsgård","Drama",""
"Grandma's Boy","Nicholaus Goossen","Linda Cardellini, Allen Covert, Peter Dante, Doris Roberts, Shirley Jones","Comedy",""
"The Great Warming","Michael Taylor","climate change","Documentary",""
"Gridiron Gang","Phil Joanou","Dwayne Johnson","Drama",""
"The Groomsmen","Edward Burns","Edward Burns, John Leguizamo, Matthew Lillard, Donal Logue","Comedy",""
"The Grudge 2","Takashi Shimizu","Sarah Michelle Gellar, Amber Tamblyn","Horror","preceded by The Grudge"
"The Guardian","Andrew Davis","Kevin Costner, Ashton Kutcher","Drama",""
"The Guatemalan Handshake","Todd Rohal","Katy Haywood","Comedy-drama",""
"A Guide to Recognizing Your Saints","Dito Montiel","Robert Downey, Jr., Shia LaBeouf, Chazz Palminteri, Dianne Wiest","Crime drama",""
"Half Nelson","Ryan Fleck","Ryan Gosling, Shareeka Epps","Drama",""
"The Hamiltons","Butcher brothers","Cory Knauf, Samuel Child, Joseph McKelheer","Horror",""
"Happy Feet","George Miller, Warren Coleman, Judy Morris","Elijah Wood, Robin Williams, Brittany Murphy, Hugh Jackman","Animation, Musical","winner of Academy Award for Best Animated Feature, BAFTA Award for Best Animated Film"
"The Hard Corps","Sheldon Lettich","Jean-Claude Van Damme, Vivica A. Fox, Razaaq Adoti","Action",""
"Harsh Times","David Ayer","Christian Bale, Freddy Rodríguez, Eva Longoria","Crime drama",""
"The Hawk Is Dying","Julian Goldberger","Paul Giamatti, Michelle Williams","Drama","based on The Hawk Is Dying by Harry Crews"
"Header","Archibald Flancranstin","Jake Suffian","Horror","based on ""Header"" by Edward Lee"
"The Heart of Steel","Angelo J. Guglielmo, Jr.","aftermath of September 11 attacks","Documentary",""
"The Heart of the Game","Ward Serrill","the Roosevelt Roughriders girls basketball team","Documentary",""
"The Hills Have Eyes","Alexandre Aja","Aaron Stanford, Emilie de Ravin, Ted Levine, Dan Byrd","Horror","based on The Hills Have Eyes"
"Hip-Hop: Beyond Beats and Rhymes","Byron Hurt","violence, homophobia and sexism in hip hop","Documentary",""
"The Holiday","Nancy Meyers","Cameron Diaz, Kate Winslet, Jude Law, Jack Black","Romance",""
"Hollywoodland","Allen Coulter","Adrien Brody, Diane Lane, Ben Affleck","Biography, Crime","based on life of actor George Reeves"
"Hollow Man 2","Claudio Fäh","Christian Slater, Peter Facinelli, Laura Regan","Science fiction","Direct-to-video"
"Home of the Brave","Irwin Winkler","Samuel L. Jackson, Jessica Biel, Brian Presley, 50 Cent","Drama","based on The Best Years of Our Lives"
"Hood of Horror","Stacy Title","Snoop Dogg, Ernie Hudson, Danny Trejo","Horror",""
"Hoot","Wil Shriner","Luke Wilson, Brie Larson, Logan Lerman, Cody Linley","Family","based on Hoot by Carl Hiaasen"
"The Hottest State","Ethan Hawke","Mark Webber, Catalina Sandino Moreno, Michelle Williams","Drama","based on The Hottest State by Ethan Hawke"
"How to Eat Fried Worms","Bob Dolman","Luke Benward, Adam Hicks","Comedy","based on How to Eat Fried Worms by Thomas Rockwell"
"Hurricane on the Bayou","Greg MacGillivray","wetlands of Louisiana and Hurricane Katrina","Documentary",""
"I Want Someone to Eat Cheese With","Jeff Garlin","Jeff Garlin, Sarah Silverman, Bonnie Hunt","Comedy",""
"Ice Age: The Meltdown","Carlos Saldanha","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah","Animation","preceded by Ice Age"
"Idiocracy","Mike Judge","Luke Wilson, Maya Rudolph","Comedy, Science fiction",""
"Idlewild","Bryan Barber","André Benjamin, Big Boi","Crime",""
"The Illusionist","Neil Burger","Edward Norton, Paul Giamatti, Jessica Biel","Drama","based on ""Eisenheim the Illusionist"" by Steven Millhauser"
"An Inconvenient Truth","Davis Guggenheim","global warming","Documentary","winner of Academy Award for Best Documentary Feature"
"Infamous","Douglas McGrath","Toby Jones, Sandra Bullock, Daniel Craig, Lee Pace, Jeff Daniels, Hope Davis, Sigourney Weaver","Biography, Crime","based on Capote: In Which Various Friends, Enemies, Acquaintances and Detractors Recall His Turbulent Career by George Plimpton"
"Inland Empire","David Lynch","Laura Dern, Jeremy Irons, Justin Theroux, Harry Dean Stanton","Drama",""
"Inside Man","Spike Lee","Denzel Washington, Clive Owen, Jodie Foster","Crime drama",""
"The Insurgents","Scott Dacko","John Shea, Mary Stuart Masterson, Juliette Marquis","Drama",""
"Invincible","Ericson Core","Mark Wahlberg, Elizabeth Banks","Biography",""
"Interkosmos","Jim Finn","Dean DeMatteis","Drama",""
"Iraq for Sale: The War Profiteers","Robert Greenwald","Iraq War companies with no-bid contracts","Documentary",""
"Iraq in Fragments","James Longley","the effects of the Iraq War on Iraq","Documentary",""
"Irish Jam","John Eyres","Eddie Griffin","Comedy",""
"Jackass Number Two","Jeff Tremaine","Johnny Knoxville, Steve-O, Bam Margera, Chris Pontius","Comedy, reality","preceded by Jackass: The Movie"
"Jack Smith and the Destruction of Atlantis","Mary Jordan","life of director Jack Smith","Documentary",""
"Jesus Camp","Heidi Ewing, Rachel Grady","a Pentecostal–Charismatic Christian summer camp","Documentary",""
"Jewish American Princess","Jacqueline Davis, Ian Davis","search for perfect Jewish man","Documentary",""
"Jimmy and Judy","Randall Rubin, Jon Schroder","Edward Furlong, Rachael Bella","Crime drama",""
"John Tucker Must Die","Betty Thomas","Jesse Metcalfe, Brittany Snow, Ashanti, Sophia Bush, Arielle Kebbel, Jenny McCarthy","Comedy",""
"Jonestown: The Life and Death of Peoples Temple","Stanley Nelson","mass suicide of Peoples Temple and leader Jim Jones","Documentary",""
"Just My Luck","Donald Petrie","Lindsay Lohan, Chris Pine","Comedy",""
"Kalamazoo?","David O'Malley","Josie Davis, Mayim Bialik","Comedy",""
"Karla","Joel Bender","Laura Prepon, Misha Collins","Drama",""
"Keeping Up with the Steins","Scott Marshall","Daryl Sabara, Jami Gertz, Jeremy Piven","Comedy",""
"Kill Your Darlings","Björne Larson","Lolita Davidovich, Andreas Wilson, Fares Fares","Comedy",""
"Kurt Cobain About a Son","AJ Schnack","life and music of Kurt Cobain","Documentary",""
"Lady in the Water","M. Night Shyamalan","Paul Giamatti, Bryce Dallas Howard","Thriller",""
"The Lake House","Alejandro Agresti","Keanu Reeves, Sandra Bullock","Romance","based on Il Mare"
"Land of the Blind","Robert Edwards","Donald Sutherland, Ralph Fiennes","Drama",""
"Larry the Cable Guy: Health Inspector","Trent Cooper","Larry the Cable Guy, Iris Bahr, Bruce Bruce","Comedy",""
"The Last Kiss","Tony Goldwyn","Zach Braff, Jacinda Barrett, Rachel Bilson","Drama","based on L'ultimo bacio"
"Last Holiday","Wayne Wang","Queen Latifah, LL Cool J, Timothy Hutton, Gérard Depardieu","Romance","based on Last Holiday"
"The Last Winter","Larry Fessenden","Ron Perlman, James LeGros, Connie Britton","Horror",""
"The Legend of Simon Conjurer","Q. Mark","Jon Voight","Action",""
"Let's Go to Prison","Bob Odenkirk","Will Arnett, Dax Shepard, Chi McBride","Comedy","based on You Are Going to Prison by Jim Hogshire"
"Letters from Iwo Jima","Clint Eastwood","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryō Kase","War","preceded by Flags of Our Fathers Golden Globe Award for Best Foreign Language Film"
"Lime Salted Love","Danielle Agnello, Joe Hall","Kristanna Loken","Drama",""
"Little Chenier","Bethany Ashton","Johnathon Schaech, Frederick Koehler, Tamara Braun","Drama",""
"Little Children","Todd Field","Kate Winslet, Patrick Wilson, Jennifer Connelly, Jackie Earle Haley","Drama","based on Little Children by Tom Perrotta"
"Little Man","Keenen Ivory Wayans","Marlon Wayans, Shawn Wayans, Kerry Washington","Comedy",""
"Little Miss Sunshine","Jonathan Dayton and Valerie Faris","Greg Kinnear, Steve Carell, Toni Collette, Paul Dano, Abigail Breslin, Alan Arkin","Comedy-drama","Academy Award for Arkin"
"Live Freaky! Die Freaky!","John Roecker","Jason Schmidt, Tim Armstrong","Animation",""
"Live Free or Die","Gregg Kavet, Andy Robin","Aaron Stanford, Paul Schneider, Michael Rapaport","Comedy",""
"Local Color","George Gallo","Armin Mueller-Stahl, Trevor Morgan, Ray Liotta","Drama",""
"LOL","Joe Swanberg","Kevin Bewersdorf, Joe Swanberg","Comedy-drama",""
"Lonely Hearts","Todd Robinson","John Travolta, Salma Hayek, Jared Leto, James Gandolfini","Crime drama",""
"The Long Weekend","Pat Holden","Chris Klein, Brendan Fehr","Comedy",""
"Loren Cass","Chris Fuller","Kayla Tabish, Travis Maynard, Lewis Brogan","Drama",""
"Loving Annabelle","Katherine Brooks","Diane Gaidry, Erin Kelly","Drama","based on Mädchen in Uniform"
"Lucky Number Slevin","Paul McGuigan","Josh Hartnett, Morgan Freeman, Ben Kingsley, Lucy Liu, Stanley Tucci, Bruce Willis","Crime drama",""
"Mad Cowgirl","Gregory Hatanaka","Sarah Lassez, James Duval, Walter Koenig","Drama",""
"Madea's Family Reunion","Tyler Perry","Tyler Perry, Blair Underwood, Lynn Whitfield, Boris Kodjoe","Comedy-drama","based on Madea's Family Reunion by Tyler Perry preceded by Diary of a Mad Black Woman"
