"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Acting on Impulse","Sam Irvin","C. Thomas Howell, Linda Fiorentino, Nancy Allen","Action",""
"Addams Family Values","Barry Sonnenfeld","Anjelica Huston, Raúl Juliá, Christopher Lloyd, Christina Ricci, Joan Cusack","Comedy","sequel to The Addams Family"
"The Adventures of Huck Finn","Stephen Sommers","Elijah Wood","Family","based on Mark Twain novel"
"The Age of Innocence","Martin Scorsese","Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder","Drama","based on Edith Wharton novel"
"Aileen Wuornos: The Selling of a Serial Killer","Nick Broomfield","Aileen Wuornos","Documentary",""
"Airborne","Rob Bowman","Shane McDermott, Seth Green","Comedy",""
"Alive","Frank Marshall","Ethan Hawke, Vincent Spano, Josh Hamilton","Drama, Biography","based on Piers Paul Read book"
"Amos & Andrew","E. Max Frye","Nicolas Cage, Samuel L. Jackson","Comedy","Columbia"
"Another Stakeout","John Badham","Richard Dreyfuss, Emilio Estevez, Rosie O'Donnell","Comedy","sequel to Stakeout"
"Arizona Dream","Emir Kusturica","Johnny Depp, Jerry Lewis, Faye Dunaway","Drama","Warner Bros."
"Evil Dead 3: Army of Darkness","Sam Raimi","Bruce Campbell, Embeth Davidtz","Comedy, Horror","3rd of series"
"Aspen Extreme","Patrick Hasburgh","Paul Gross, Peter Berg, Finola Hughes, Teri Polo","Drama",""
"The Ballad of Little Jo","Maggie Greenwald","Suzy Amis, Bo Hopkins, Ian McKellen, Heather Graham","Western",""
"Bank Robber","Nick Mead","Patrick Dempsey, Lisa Bonet, Judge Reinhold","Crime",""
"Batman: Mask of the Phantasm","Bruce W. Timm","Voices of Kevin Conroy, Dana Delany","Animated","based on DC Comics character"
"Beethoven's 2nd","Rod Daniel","Charles Grodin, Bonnie Hunt, Debi Mazar, Chris Penn","Family","sequel to Beethoven"
"Benny & Joon","Jeremiah S. Chechik","Johnny Depp, Mary Stuart Masterson, Aidan Quinn","Comedy","MGM"
"Best of the Best 2","Robert Radler","Eric Roberts, Chris Penn","Action","sequel to 1989 film"
"The Beverly Hillbillies","Penelope Spheeris","Cloris Leachman, Jim Varney, Lily Tomlin, Dabney Coleman, Erika Eleniak, Diedrich Bader, Lea Thompson, Rob Schneider, Dolly Parton","Comedy","20th Century Fox; based on the TV series"
"Blood In Blood Out","Taylor Hackford","Jesse Borrego, Benjamin Bratt, Damian Chapa, Delroy Lindo","Crime drama","aka Bound by Honor"
"Bodies, Rest & Motion","Michael Steinberg","Phoebe Cates, Bridget Fonda, Tim Roth, Eric Stoltz","Drama","Fine Line"
"Body of Evidence","Uli Edel","Willem Dafoe, Madonna, Joe Mantegna, Anne Archer, Julianne Moore, Jurgen Prochnow","Thriller","Razzie award for Madonna"
"Body Snatchers","Abel Ferrara","Gabrielle Anwar, R. Lee Ermey, Terry Kinney, Meg Tilly, Forest Whitaker, Billy Wirth","Science fiction","based on Jack Finney novel"
"Boiling Point","James B. Harris","Wesley Snipes, Dennis Hopper, Lolita Davidovich, Viggo Mortensen","Drama","Warner Bros."
"Bopha!","Morgan Freeman","Danny Glover, Malcolm McDowell, Alfre Woodard","Drama",""
"Born Yesterday","Luis Mandoki","Melanie Griffith, Don Johnson, John Goodman","Comedy","remake of 1950 film; based on play by Garson Kanin"
"Boxing Helena","Jennifer Lynch","Sherilyn Fenn, Julian Sands","Thriller","Orion"
"A Bronx Tale","Robert De Niro","Chazz Palminteri, Robert De Niro, Lillo Brancato, Jr.","Drama","based on Palminteri's play"
"CB4","Tamra Davis","Chris Rock, Phil Hartman, Chris Elliott","Comedy",""
"Calendar Girl","John Whitesell","Jason Priestley, Gabriel Olds, Jerry O'Connell","Drama","Columbia"
"Cannibal! The Musical","Trey Parker","Trey Parker, Matt Stone, Dian Bachar, Toddy Walters","Comedy",""
"Carlito's Way","Brian De Palma","Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo, Luis Guzman, Viggo Mortensen","Crime drama","Universal; based on Edwin Torres novel"
"The Cemetery Club","Bill Duke","Olympia Dukakis, Ellen Burstyn, Diane Ladd, Danny Aiello","Drama","Touchstone"
"Cliffhanger","Renny Harlin","Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner","Action","TriStar"
