"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Coneheads","Steve Barron","Dan Aykroyd, Jane Curtin, Michelle Burke","Comedy","based on SNL characters"
"Cool Runnings","Jon Turteltaub","John Candy","Comedy, Biography","story of Jamaica bobsled team"
"Cop and a Half","Henry Winkler","Burt Reynolds, Norman D. Golden II","Comedy","Universal"
"The Crush","Alan Shapiro","Cary Elwes, Alicia Silverstone, Kurtwood Smith, Jennifer Rubin","Thriller",""
"The Cruel Path","Dustin J. Boes","Dustin J. Boes, Dale Vaughan, Walter Cherry","Horror",""
"Dangerous Game","Abel Ferrara","Harvey Keitel, Madonna, James Russo","Drama","MGM"
"A Dangerous Woman","Stephen Gyllenhaal","Debra Winger, Gabriel Byrne, Barbara Hershey","Drama","Gramercy"
"The Dark Half","George A. Romero","Timothy Hutton, Amy Madigan","Horror","based on Stephen King novel"
"Dave","Ivan Reitman","Kevin Kline, Sigourney Weaver, Frank Langella, Ving Rhames, Ben Kingsley","Comedy","Warner Bros."
"Dazed and Confused","Richard Linklater","Jason London, Rory Cochrane, Matthew McConaughey, Milla Jovovich, Joey Lauren Adams, Nicky Katt, Ben Affleck, Parker Posey","Comedy","Gramercy"
"Deadfall","Christopher Coppola","Michael Biehn, Nicolas Cage, James Coburn, Sarah Trigger, Peter Fonda, Charlie Sheen, Talia Shire","Thriller","Trimark"
"Demolition Man","Marco Brambilla","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne, Bob Gunton, Benjamin Bratt, Bill Cobbs, Glenn Shadix, Denis Leary","Action","Warner Bros."
"Dennis the Menace","Nick Castle","Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd, Lea Thompson, Paul Winfield","Comedy","based on the comic strip"
"Dragon: The Bruce Lee Story","Rob Cohen","Jason Scott Lee, Lauren Holly, Robert Wagner","Drama, Biography","story of Bruce Lee"
"Ernest Rides Again","John R. Cherry III","Jim Varney, Linda Kash","Comedy","one of a series"
"Excessive Force","Jon Hess","Thomas Ian Griffith, Lance Henriksen","Action",""
"Falling Down","Joel Schumacher","Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Frederic Forrest, Tuesday Weld","Crime drama","Warner Bros."
"A Far Off Place","Mikael Salomon","Reese Witherspoon, Ethan Embry","Adventure",""
"Fatal Instinct","Carl Reiner","Armand Assante, Sherilyn Fenn, Sean Young, Kate Nelligan","Parody","MGM"
"Fearless","Peter Weir","Jeff Bridges, Isabella Rossellini, Rosie Perez","Drama","Warner Bros."
"Fire on the Amazon","Luis Llosa","Sandra Bullock, Craig Sheffer, Juan Fernandez","Adventure",""
"Fire in the Sky","Robert Lieberman","D. B. Sweeney, Robert Patrick, Craig Sheffer, James Garner","Sci-fi","Paramount"
"The Firm","Sydney Pollack","Tom Cruise, Gene Hackman, Ed Harris, Jeanne Tripplehorn, Holly Hunter, David Strathairn, Wilford Brimley, Hal Holbrook, Gary Busey","Drama","Paramount; based on John Grisham novel"
"Flesh and Bone","Steve Kloves","Dennis Quaid, Meg Ryan, James Caan, Gwyneth Paltrow","Drama","Paramount"
"For Love or Money","Barry Sonnenfeld","Michael J. Fox, Gabrielle Anwar","Comedy","Universal"
"Free Willy","Simon Wincer","Jason James Richter, Lori Petty, Michael Madsen, Jayne Atkinson, August Schellenberg","Family","Warner Bros."
"The Fugitive","Andrew Davis","Harrison Ford, Tommy Lee Jones, Jeroen Krabbe, Joe Pantoliano, Sela Ward, Julianne Moore, Andreas Katsulas","Action drama","based on the TV series; Academy Award for Jones"
"Geronimo: An American Legend","Walter Hill","Wes Studi, Jason Patric, Gene Hackman, Robert Duvall","Biography, Drama",""
"Gettysburg","Ronald F. Maxwell","Tom Berenger, Jeff Daniels, Martin Sheen, Stephen Lang","Biography, War","Turner Pictures"
"Ghost in the Machine","Rachel Talalay","Karen Allen, Chris Mulkey","Horror",""
"The Good Son","Joseph Ruben","Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse, Daniel Hugh Kelly","Thriller","20th Century Fox"
"Groundhog Day","Harold Ramis","Bill Murray, Andie MacDowell, Chris Elliott, Brian Doyle Murray","Comedy","Columbia"
"Grumpy Old Men","Donald Petrie","Jack Lemmon, Walter Matthau, Ann-Margret, Daryl Hannah, Kevin Pollak, Burgess Meredith, Ossie Davis","Comedy","Warner Bros.; followed by sequel"
"Guilty as Sin","Sidney Lumet","Don Johnson, Rebecca De Mornay, Jack Warden, Stephen Lang","Crime drama","Hollywood Pictures"
"Happily Ever After","John Howley","Irene Cara, Edward Asner, Carol Channing","Animated",""
"Hard Target","John Woo","Jean-Claude Van Damme, Lance Henriksen, Yancy Butler, Arnold Vosloo, Wilford Brimley","Action",""
"Heart and Souls","Ron Underwood","Robert Downey, Jr., Charles Grodin, Alfre Woodard, Elisabeth Shue, Kyra Sedgwick, Tom Sizemore, David Paymer","Comedy, Fantasy","Universal"
"Heaven & Earth","Oliver Stone","Tommy Lee Jones, Joan Chen, Haing S. Ngor","War drama","Warner Bros."
"Hexed","Alan Spencer","Arye Gross, Claudia Christian","Comedy",""
"Hocus Pocus","Kenny Ortega","Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz, Thora Birch, Vinessa Shaw","Comedy, Fantasy","Disney"
"A Home of Our Own","Tony Bill","Kathy Bates, Edward Furlong","Drama","Gramercy"
"Homeward Bound: The Incredible Journey","Duwayne Dunham","Don Ameche, Michael J. Fox, Sally Field, Benj Thall","Adventure, Family","Disney; remake of 1963 film"
"Hot Shots! Part Deux","Jim Abrahams","Charlie Sheen, Lloyd Bridges, Valeria Golino","Comedy","sequel to Hot Shots!"
"House of Cards","Michael Lessac","Kathleen Turner, Tommy Lee Jones","Drama","Miramax"
"A House in the Hills","Ken Wiederhorn","Michael Madsen, Helen Slater, Jeffrey Tambor","Thriller",""
"The House of the Spirits","Bille August","Meryl Streep, Jeremy Irons, Glenn Close, Winona Ryder, Antonio Banderas, Vanessa Redgrave, Armin Mueller-Stahl, María Conchita Alonso, Vincent Gallo","Drama","Miramax; based on Isabel Allende novel"
"In the Line of Fire","Wolfgang Petersen","Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole","Crime drama","Columbia"
"In the Name of the Father","Jim Sheridan","Daniel Day-Lewis, Emma Thompson, Pete Postlethwaite","Drama, Biography","story of the Guildford Four"
"Indecent Proposal","Adrian Lyne","Robert Redford, Demi Moore, Woody Harrelson","Drama","Paramount"
"Indian Summer","Mike Binder","Alan Arkin, Diane Lane, Elizabeth Perkins, Bill Paxton, Vincent Spano, Kimberly Williams-Paisley, Julie Warner, Matt Craven","Comedy, drama","Touchstone"
"Jack the Bear","Marshall Herskovitz","Danny DeVito, Gary Sinise","Drama","20th Century Fox"
"Jason Goes to Hell: The Final Friday","Adam Marcus","Kane Hodder, Erin Gray","Horror","sequel to Friday the 13th"
"Josh and S.A.M.","Billy Weber","Jacob Tierney, Noah Fleiss, Martha Plimpton, Joan Allen, Stephen Tobolowsky","Comedy, drama","Columbia"
"Joshua Tree","Vic Armstrong","Dolph Lundgren, Kristian Alfonso, George Segal","Action","aka Army of One"
"The Joy Luck Club","Wayne Wang","Ming-Na, Rosalind Chao, Lauren Tom, Tamlyn Tomita","Drama","based on book by Amy Tan"
"Judgment Night","Stephen Hopkins","Emilio Estevez, Cuba Gooding, Jr., Denis Leary, Jeremy Piven, Stephen Dorff, Peter Greene, Everlast","Action thriller","Universal Pictures"
"Jurassic Park","Steven Spielberg","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","Adventure","based on Michael Crichton novel; 1993's top-grossing film"
"Kalifornia","Dominic Sena","Brad Pitt, Juliette Lewis, David Duchovny, Michelle Forbes","Road Thriller",""
"King of the Hill","Steven Soderbergh","Lisa Eichhorn, Karen Allen, Adrien Brody","Drama",""
"Last Action Hero","John McTiernan","Arnold Schwarzenegger, Austin O'Brien, Charles Dance, Anthony Quinn, F. Murray Abraham, Mercedes Ruehl, Tom Noonan, Robert Prosky, Art Carney","Comedy",""
"Leprechaun","Mark Jones","Warwick Davis, Jennifer Aniston","Horror",""
"Life with Mikey","James Lapine","Michael J. Fox, Christina Vidal, Cyndi Lauper, Nathan Lane","Comedy",""
"Loaded Weapon 1","Gene Quintano","Emilio Estevez, Samuel L. Jackson","Parody","based on Lethal Weapon"
"Lost in Yonkers","Martha Coolidge","Mercedes Ruehl, Irene Worth, Richard Dreyfuss, David Strathairn","Comedy, Drama","based on Neil Simon play"
"M. Butterfly","David Cronenberg","Jeremy Irons, John Lone, Ian Richardson","Romance","based on the play"
"Mad Dog and Glory","John McNaughton","Robert De Niro, Uma Thurman, Bill Murray, David Caruso","Comedy","Universal"
"Made in America","Richard Benjamin","Whoopi Goldberg, Ted Danson, Will Smith, Nia Long","Comedy",""
"Malice","Harold Becker","Alec Baldwin, Nicole Kidman, Bill Pullman, Anne Bancroft, Bebe Neuwirth, Peter Gallagher, George C. Scott","Thriller","written by Aaron Sorkin and Scott Frank"
"The Man Without a Face","Mel Gibson","Mel Gibson, Nick Stahl, Gaby Hoffmann","Drama",""
"Man's Best Friend","John Lafia","Ally Sheedy, Lance Henriksen","Thriller",""
"Manhattan Murder Mystery","Woody Allen","Diane Keaton, Anjelica Huston, Alan Alda, Woody Allen","Comedy","TriStar"
"Matinee","Joe Dante","John Goodman, Cathy Moriarty, Omri Katz","Comedy",""
"Me and the Kid","Dan Curtis","Danny Aiello, Joe Pantoliano, Ben Stein","Comedy",""
"Menace II Society","Albert Hughes, Allen Hughes","Larenz Tate, Tyrin Turner, Charles S. Dutton, Jada Pinkett Smith, Samuel L. Jackson","Drama",""
"The Meteor Man","Robert Townsend","Robert Townsend, James Earl Jones","Comedy",""
"Money for Nothing","Ramón Menéndez","John Cusack, Debi Mazar, Michael Madsen","Crime comedy",""
"Mr. Jones","Mike Figgis","Richard Gere, Lena Olin, Anne Bancroft","Romance","TriStar"
"Mr. Nanny","Michael Gottlieb","Hulk Hogan, Sherman Hemsley, Austin Pendleton","Comedy",""
"Mr. Wonderful","Anthony Minghella","Matt Dillon, Annabella Sciorra, Mary-Louise Parker, William Hurt","Romance","Warner Bros."
"Mrs. Doubtfire","Chris Columbus","Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Robert Prosky, Lisa Jakub, Matthew Lawrence, Mara Wilson","Comedy","20th Century Fox; Oscar for Makeup"
"Much Ado About Nothing","Kenneth Branagh","Kenneth Branagh, Emma Thompson, Michael Keaton, Denzel Washington, Keanu Reeves, Robert Sean Leonard, Kate Beckinsale","Comedy","based on William Shakespeare play"
"The Music of Chance","Philip Haas","James Spader, Mandy Patinkin, Charles Durning, Joel Grey","Drama","based on Paul Auster novel"
"My Life","Bruce Joel Rubin","Nicole Kidman, Michael Keaton, Bradley Whitford, Queen Latifah","Drama","Columbia"
"Naked in New York","Daniel Algrant","Eric Stoltz, Mary-Louise Parker, Jill Clayburgh, Tony Curtis, Timothy Dalton, Ralph Macchio, Kathleen Turner","Drama",""
"Needful Things","Fraser Clarke Heston","Ed Harris, Max von Sydow, Bonnie Bedelia, Amanda Plummer","Drama","based on Stephen King novel"
"The Nightmare Before Christmas","Henry Selick","Danny Elfman, Chris Sarandon, Catherine O'Hara","Animation",""
"Nowhere to Run","Robert Harmon","Jean-Claude Van Damme, Rosanna Arquette, Kieran Culkin, Ted Levine, Joss Ackland","Action","Columbia"
"Once Upon a Forest","Charles Grosvenor","Michael Crawford, Ellen Blain","Animated",""
"Only the Strong","Sheldon Lettich","Mark Dacascos, Stacey Travis, Geoffrey Lewis","Action",""
"The Pelican Brief","Alan J. Pakula","Julia Roberts, Denzel Washington, John Lithgow, Sam Shepard, Tony Goldwyn, John Heard, James B. Sikking, William Atherton","Thriller","based on John Grisham novel"
"A Perfect World","Clint Eastwood","Kevin Costner, Clint Eastwood, Laura Dern, Bradley Whitford","Drama, Crime","Warner Bros."
"Philadelphia","Jonathan Demme","Tom Hanks, Denzel Washington, Antonio Banderas, Jason Robards, Mary Steenburgen, Joanne Woodward","Drama","Academy Award for Hanks"
"The Piano","Jane Campion","Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin","Drama","Academy Awards for Hunter, Paquin"
"Poetic Justice","John Singleton","Janet Jackson, Tupac Shakur, Regina King, Joe Torry, Tyra Ferrell","Drama",""
"Point of No Return","John Badham","Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Anne Bancroft, Harvey Keitel","Thriller","remake of La Femme Nikita"
"Posse","Mario Van Peebles","Mario Van Peebles, Stephen Baldwin, Tone Loc, Blair Underwood, Billy Zane","Western",""
"The Program","David S. Ward","James Caan, Halle Berry, Craig Sheffer, Omar Epps, Kristy Swanson","Drama, Sports","Touchstone"
"Public Access","Bryan Singer","Ron Marquette, Dina Brooks","Drama",""
"Puppet Master 4","Jeff Burr","Gordon Currie, Chandra West","Horror","4th of series"
"The Real McCoy","Russell Mulcahy","Kim Basinger, Val Kilmer, Terence Stamp","Crime drama","Universal"
"Red Rock West","John Dahl","Nicolas Cage, Dennis Hopper, Lara Flynn Boyle","Thriller","Touchstone"
"The Remains of the Day","James Ivory","Anthony Hopkins, Emma Thompson, James Fox, Christopher Reeve, Peter Vaughan, Ben Chaplin, Hugh Grant","Drama","7 Oscar nominations; based on Kazuo Ishiguro novel"
"Return of the Living Dead 3","Brian Yuzna","Melinda Clarke, J. Trevor Edmond","Horror","3rd of series"
"Rich in Love","Bruce Beresford","Albert Finney, Jill Clayburgh, Kyle MacLachlan","Drama","MGM"
"Rising Sun","Philip Kaufman","Sean Connery, Wesley Snipes, Harvey Keitel, Tia Carrere, Cary-Hiroyuki Tagawa, Kevin Anderson","Crime drama","based on Michael Crichton novel"
"Robin Hood: Men in Tights","Mel Brooks","Cary Elwes, Isaac Hayes, Patrick Stewart, Amy Yasbeck, Dave Chappelle, Richard Lewis, Tracey Ullman, Roger Rees","Comedy","based on Robin Hood"
"RoboCop 3","Fred Dekker","Robert John Burke, Nancy Allen, Rip Torn","Sci-fi","3rd of series"
"Romeo Is Bleeding","Peter Medak","Gary Oldman, Lena Olin, Annabella Sciorra, Juliette Lewis, Roy Scheider","Crime","Gramercy"
"Rookie of the Year","Daniel Stern","Thomas Ian Nicholas, Gary Busey, Dan Hedaya","Comedy","Fox"
"Roosters","Robert M. Young","Edward James Olmos, Sônia Braga","Drama",""
"Ruby Cairo","Graeme Clifford","Andie MacDowell, Liam Neeson, Viggo Mortensen","Mystery",""
"Ruby in Paradise","Victor Nuñez","Ashley Judd, Dorothy Lyman","Drama","October Films"
"Rudy","David Anspaugh","Sean Astin, Charles S. Dutton, Ned Beatty, Jon Favreau","Drama, Biography","story of Rudy Ruettiger"
"The Saint of Fort Washington","Tim Hunter","Danny Glover, Matt Dillon, Rick Aviles","Drama","Warner Bros."
"The Sandlot","David M. Evans","Karen Allen, Denis Leary, James Earl Jones","Family","Fox"
"Schindler's List","Steven Spielberg","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall, Embeth Davidtz","Drama","won 7 Oscars; based on a book by Thomas Keneally"
"Searching for Bobby Fischer","Steven Zaillian","Joe Mantegna, Joan Allen, Laurence Fishburne, Ben Kingsley, Max Pomeranc","Drama","Paramount"
"Short Cuts","Robert Altman","Julianne Moore, Jack Lemmon, Robert Downey, Jr., Tim Robbins, Chris Penn, Jennifer Jason Leigh, Madeleine Stowe, Matthew Modine, Anne Archer, Fred Ward, Lily Tomlin, Tom Waits, Andie MacDowell, Bruce Davison, Lili Taylor, Peter Gallagher, Frances McDormand, Lori Singer, Huey Lewis, Annie Ross, Lyle Lovett","Drama","based on Raymond Carver stories"
"Sister Act 2: Back in the Habit","Bill Duke","Whoopi Goldberg, Kathy Najimy, James Coburn","Comedy","sequel to Sister Act"
"Six Degrees of Separation","Fred Schepisi","Stockard Channing, Will Smith, Donald Sutherland","Drama","based on John Guare play"
"Slaughter of the Innocents","James Glickenhaus","Scott Glenn, Darlanne Fluegel, Kevin Sorbo","Thriller",""
"Sleepless in Seattle","Nora Ephron","Tom Hanks, Meg Ryan, Ross Malinger, Bill Pullman, Rosie O'Donnell, Rita Wilson, Rob Reiner","Romantic comedy","2 Oscar nominations"
"Sliver","Phillip Noyce","Sharon Stone, William Baldwin, Tom Berenger, Martin Landau, Polly Walker, Nina Foch, CCH Pounder, Colleen Camp","Thriller","based on Ira Levin novel"
"Sniper","Luis Llosa","Tom Berenger, Billy Zane","Action","4 sequels"
"So I Married an Axe Murderer","Thomas Schlamme","Mike Myers, Nancy Travis, Anthony LaPaglia, Amanda Plummer, Brenda Fricker, Alan Arkin","Comedy","TriStar"
"Sommersby","Jon Amiel","Richard Gere, Jodie Foster, Bill Pullman, James Earl Jones","Drama","remake of The Return of Martin Guerre"
"Son in Law","Steve Rash","Pauly Shore, Carla Gugino, Lane Smith","Comedy","Hollywood Pictures"
"Son of the Pink Panther","Blake Edwards","Roberto Benigni, Herbert Lom, Claudia Cardinale","Comedy","based on The Pink Panther"
"Striking Distance","Rowdy Herrington","Bruce Willis, Sarah Jessica Parker, Tom Sizemore, Dennis Farina, Robert Pastorelli","Action","Columbia"
"Sunset Grill","Kevin Connor","Peter Weller, Lori Singer, Stacy Keach","Mystery","New Line"
"Super Mario Bros.","Rocky Morton/Annabel Jankel","Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis, Fisher Stevens, Richard Edson, Fiona Shaw","Science fiction","based on the video game"
"Suture","Scott McGehee, David Siegel","Dennis Haysbert, Mel Harris","Drama",""
"Swing Kids","Thomas Carter","Robert Sean Leonard, Christian Bale, Barbara Hershey","Drama",""
"Teenage Mutant Ninja Turtles III","Stuart Gillard","Paige Turco, Elias Koteas, Stuart Wilson","Action comedy","based on comic book"
"The Temp","Tom Holland","Timothy Hutton, Lara Flynn Boyle, Faye Dunaway, Dwight Schultz, Oliver Platt, Steven Weber","Thriller","Paramount"
"Theremin: An Electronic Odyssey","Steven M. Martin","Footage of Leon Theremin, Brian Wilson","Documentary",""
"The Thing Called Love","Peter Bogdanovich","Samantha Mathis, River Phoenix, Dermot Mulroney, Sandra Bullock","Comedy, drama","Paramount"
"This Boy's Life","Michael Caton-Jones","Robert De Niro, Ellen Barkin, Leonardo DiCaprio","Drama","based on Tobias Wolff book"
"The Three Musketeers","Stephen Herek","Charlie Sheen, Kiefer Sutherland, Oliver Platt, Chris O'Donnell, Tim Curry, Rebecca De Mornay","Adventure","based on Alexandre Dumas novel"
"Three of Hearts","Yurek Bosayevicz","William Baldwin, Sherilyn Fenn, Kelly Lynch","Drama, Romance","New Line"
"Tom and Jerry: The Movie","Phil Roman","Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor","Animated, Musical",""
"Tombstone","George Cosmatos","Kurt Russell, Val Kilmer, Dana Delany, Bill Paxton, Sam Elliott, Powers Boothe, Michael Biehn, Billy Zane, Jason Priestley, Robert John Burke, Joanna Pacula, Stephen Lang, Michael Rooker, Jon Tenney","Western, Biography","story of Wyatt Earp and Gunfight at the O.K. Corral"
"Totally F***ed Up","Gregg Araki","James Duval, Craig Gilmore","Drama",""
"True Romance","Tony Scott","Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, Gary Oldman, Brad Pitt, Christopher Walken, Bronson Pinchot, James Gandolfini","Crime drama","Warner Bros.; written by Quintin Tarantino"
"Twenty Bucks","Keva Rosenfeld","Brendan Fraser, Linda Hunt, Elisabeth Shue, Christopher Lloyd","Comedy","Sony"
"Undercover Blues","Herbert Ross","Kathleen Turner, Dennis Quaid","Comedy","MGM"
"Untamed Heart","Tony Bill","Christian Slater, Marisa Tomei, Rosie Perez","Romantic drama","MGM"
"The Vanishing","George Sluizer","Jeff Bridges, Kiefer Sutherland, Nancy Travis, Sandra Bullock","Thriller","remake of Sluizer's 1988 film"
"The War Room","Chris Hegedus, D.A. Pennebaker","James Carville, Paul Begala","Documentary","Bill Clinton campaign"
"Warlock: The Armageddon","Anthony Hickox","Julian Sands, Paula Marshall","Horror","sequel to 1989 film"
"Watch It","Tom Flynn","Peter Gallagher, Suzy Amis, John C. McGinley","Comedy",""
"Wayne's World 2","Stephen Surjik","Mike Myers, Dana Carvey, Tia Carrere, Christopher Walken","Comedy","sequel to Wayne's World"
"We're Back! A Dinosaur's Story","Simon Wells","Voices of Jay Leno, John Goodman","Animated",""
"The Wedding Banquet","Ang Lee","Winston Chao, Dion Birney","Drama, Comedy",""
"Weekend at Bernie's II","Robert Klane","Andrew McCarthy, Jonathan Silverman, Terry Kiser","Comedy","sequel to Weekend at Bernie's"
"What's Eating Gilbert Grape","Lasse Hallström","Johnny Depp, Juliette Lewis, Leonardo DiCaprio","Drama","based on Peter Hedges novel"
"What's Love Got to Do with It","Brian Gibson","Angela Bassett, Laurence Fishburne","Biography, Drama","story of Tina Turner"
"Where's God When I'm S-Scared?","Phil Vischer","Phil Vischer, Mike Nawrocki","Animated, Faith",""
"White Wolves: A Cry in the Wild II","Catherine Cyran","Mark-Paul Gosselaar, Amy O'Neill, Ami Dolenz","Family",""
"Who's the Man?","Ted Demme","Ice-T, Bernie Mac, Denis Leary","Comedy",""
"Wilder Napalm","Glenn Gordon Caron","Debra Winger, Dennis Quaid, Arliss Howard","Comedy","TriStar"
"Woman of Desire","Robert Ginty","Bo Derek, Robert Mitchum, Jeff Fahey","Drama",""
"Wrestling Ernest Hemingway","Randa Haines","Robert Duvall, Richard Harris, Shirley MacLaine, Sandra Bullock","Drama","Warner Bros."
"The Wrong Man","Jim McBride","Rosanna Arquette, Kevin Anderson, John Lithgow","Thriller",""
"Younger and Younger","Percy Adlon","Donald Sutherland, Brendan Fraser, Lolita Davidovich","Comedy",""
