"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The Fourth War","John Frankenheimer","Roy Scheider, Jürgen Prochnow","Drama",""
"Frankenhooker","Frank Henenlotter","James Lorinz","Comedy",""
"Frankenstein Unbound","Roger Corman","John Hurt, Raúl Juliá, Bridget Fonda","Horror",""
"The Freshman","Andrew Bergman","Matthew Broderick, Marlon Brando, Penelope Ann Miller, Bruno Kirby, Frank Whaley","Comedy",""
"Full Fathom Five","Carl Franklin","Michael Moriarty","Action",""
"Funny About Love","Leonard Nimoy","Gene Wilder, Christine Lahti, Mary Stuart Masterson, Robert Prosky","Romantic comedy",""
"Getting Lucky","Michael Paul Girard","Steven Cooke, Lezlie McCraw","Comedy",""
"Ghost","Jerry Zucker","Demi Moore, Patrick Swayze, Whoopi Goldberg, Tony Goldwyn","Drama","Oscar for Goldberg"
"Ghost Dad","Sidney Poitier","Bill Cosby","Comedy",""
"Ghosts Can't Do It","John Derek","Bo Derek, Anthony Quinn","Comedy","Winner of 4 Razzies"
"Girlfriend from Hell","Daniel M. Peterson","Dana Ashbrook","",""
"The Godfather Part III","Francis Ford Coppola","Al Pacino, Andy García, Diane Keaton, Talia Shire, Sofia Coppola, Joe Mantegna, Eli Wallach","Crime drama","2nd sequel to The Godfather; nominated for 7 Oscars"
"Goodfellas","Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Vincent, Michael Imperioli","Crime drama","based on Nicholas Pileggi novel; nominated for 6 Oscars"
"Graffiti Bridge","Prince","Prince, Morris Day, Ingrid Chavez","Drama","5 Razzie nominations"
"Green Card","Peter Weir","Andie MacDowell, Gérard Depardieu","Comedy",""
"Gremlins 2: The New Batch","Joe Dante","Phoebe Cates, Zach Galligan","Sci-fi comedy","sequel to Gremlins"
"The Grifters","Stephen Frears","John Cusack, Anjelica Huston, Annette Bening","Crime drama","based on Jim Thompson novel; nominated for 4 Oscars"
"Grim Prairie Tales","Wayne Coe","James Earl Jones","Horror",""
"The Guardian","William Friedkin","Jenny Seagrove, Dwier Brown, Carey Lowell","Horror",""
"Guns","Andy Sidaris","Erik Estrada, Dona Speir","Action",""
"The Guyver","Steve Wang","Mark Hamill, Vivian Wu","Sci-fi",""
"The Handmaid's Tale","Volker Schlöndorff","Natasha Richardson, Faye Dunaway, Robert Duvall, Elizabeth McGovern","Science fiction, drama","based on novel by Margaret Atwood"
"Hard to Kill","Bruce Malmuth","Steven Seagal, Kelly Le Brock","Action",""
"Hardware","Richard Stanley","Dylan McDermott, Stacey Travis, Iggy Pop","Horror",""
"Havana","Sydney Pollack","Robert Redford, Raúl Juliá, Lena Olin, Tomas Milian, Alan Arkin","Drama",""
"Heart Condition","James D. Parriott","Denzel Washington, Bob Hoskins, Chloe Webb","Comedy",""
"Henry & June","Philip Kaufman","Fred Ward, Uma Thurman, Maria de Medeiros","Drama, Biography","first film rated NC-17"
"Henry: Portrait of a Serial Killer","John McNaughton","Michael Rooker, Tom Towles","Thriller",""
"Home Alone","Chris Columbus","Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Catherine O'Hara","Comedy, Family","1990's top-grossing film; 2 sequels"
"Hot Cars, Cold Facts","","","Short subject","Educational"
"The Hot Spot","Dennis Hopper","Don Johnson, Jennifer Connelly, Virginia Madsen, Charles Martin Smith","Crime drama",""
"House Party","Reginald Hudlin","Kid 'n Play, Robin Harris","Comedy",""
"The Hunt for Red October","John McTiernan","Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, James Earl Jones, Tim Curry","Drama, Adventure","based on novel by Tom Clancy"
"I Come in Peace","Craig Baxley","Dolph Lundgren","Science fiction",""
"I Love You to Death","Lawrence Kasdan","Kevin Kline, Tracey Ullman, River Phoenix, Joan Plowright, William Hurt, Keanu Reeves","Comedy",""
"I'm Dangerous Tonight","Tobe Hooper","Mädchen Amick as Mädchen Amick","Horror","made for TV"
"Industrial Symphony No. 1","David Lynch","Laura Dern","Short subject",""
"Initiation: Silent Night, Deadly Night 4","Brian Yuzna","Neith Hunter, Clint Howard, Maud Adams","Horror","sequel"
"Internal Affairs","Mike Figgis","Richard Gere, Andy García, Nancy Travis, Laurie Metcalf, Richard Bradford, William Baldwin","Suspense",""
"Iron & Silk","","","",""
"It","Tommy Lee Wallace","Tim Curry, Harry Anderson, Dennis Christopher, Richard Masur, Annette O'Toole, Tim Reid, John Ritter, Richard Thomas","Horror","from the novel by Stephen King"
"Jacob's Ladder","Adrian Lyne","Tim Robbins, Danny Aiello, Elizabeth Peña","Suspense",""
"Jetsons: The Movie","","","Animated","based on the TV series"
"Joe Versus the Volcano","John Patrick Shanley","Tom Hanks, Meg Ryan, Lloyd Bridges, Robert Stack, Ossie Davis","Romantic comedy",""
"The Kill-Off","Maggie Greenwald","Cathy Haase","Drama",""
"Killer Tomatoes Strike Back","John DeBello","John Astin","Comedy","sequel"
"Kindergarten Cop","Ivan Reitman","Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Richard Tyson, Carroll Baker","Comedy, Family",""
"King of New York","Abel Ferrara","Christopher Walken, Wesley Snipes, Laurence Fishburne, Victor Argo, David Caruso","Crime drama",""
"Laser Mission","","Brandon Lee","",""
"The Last of the Finest","John Mackenzie","Brian Dennehy, Joe Pantoliano, Jeff Fahey","Crime",""
"Leatherface: The Texas Chainsaw Massacre III","","Kane Hodder","Horror","sequel"
"The Lemon Sisters","Joyce Chopra","Diane Keaton, Carol Kane, Kathryn Grody, Aidan Quinn, Elliott Gould, Ruben Blades","Drama",""
"Lionheart","","Jean-Claude Van Damme","Action",""
"The Long Walk Home","Richard Pearce","Sissy Spacek, Whoopi Goldberg","Drama",""
"Look Who's Talking Too","Amy Heckerling","John Travolta, Kirstie Alley, Bruce Willis, Roseanne Barr, Olympia Dukakis, Elias Koteas, Damon Wayans","Comedy","Look Who's Talking sequel"
"Loose Cannons","Bob Clark","Gene Hackman, Dan Aykroyd, Dom DeLuise, Ronny Cox, Nancy Travis","Action comedy",""
"Lord of the Flies","Harry Hook","Balthazar Getty","Drama","based on William Golding novel"
"Love at Large","Alan Rudolph","Tom Berenger, Elizabeth Perkins, Anne Archer","Romance",""
"Mack the Knife","Menahem Golan","Raúl Juliá, Richard Harris, Julie Walters","Drama","based on Threepenny Opera"
"Madhouse","Tom Ropelewski","Kirstie Alley, John Larroquette","Comedy",""
"A Man Called Sarge","Stuart Gillard","Gary Kroeger, Marc Singer","Comedy","World War II comedy"
"Maniac Cop 2","William Lustig","Robert Davi, Laurene Landon, Robert Z'Dar, Bruce Campbell, Michael Lerner, Leo Rossi","Horror","sequel"
"Marked for Death","Dwight H. Little","Steven Seagal, Keith David, Joanna Pacula","Action",""
"Martians Go Home","David Odell","Randy Quaid, Margaret Colin, Anita Morris","Comedy, Science fiction","based on Fredric Brown novel"
"Masters of Menace","Daniel Raskov","David Rasche, Catherine Bach","",""
"Megaville","Peter Lehner","Billy Zane","Science fiction","Direct to video"
"Memphis Belle","Michael Caton-Jones","Matthew Modine, Eric Stoltz, John Lithgow, Harry Connick, Jr., Sean Astin, Billy Zane, D.B. Sweeney, Tate Donovan, David Strathairn","Drama, War","based on William Wyler documentary"
"Men at Work","Emilio Estevez","Charlie Sheen, Emilio Estevez","Comedy",""
"Men Don't Leave","Paul Brickman","Jessica Lange, Chris O'Donnell, Joan Cusack, Arliss Howard, Charlie Korsmo","Drama",""
"Men of Respect","William C. Reilly","John Turturro, Stanley Tucci, Rod Steiger, Peter Boyle, Dennis Farina","Crime drama","based on Macbeth and Joe MacBeth"
"Meridian: Kiss of the Beast","","","",""
"Mermaids","Richard Benjamin","Cher, Winona Ryder, Bob Hoskins, Michael Schoeffling, Christina Ricci","Comedy","based on Patty Dann novel"
"Metamorphosis: The Alien Factor","Glenn Takajian","","Science fiction",""
"Metropolitan","Whit Stillman","Carolyn Farina","Drama",""
"Miami Blues","George Armitage","Alec Baldwin, Jennifer Jason Leigh, Fred Ward","Crime drama","based on Charles Willeford novel"
"Miller's Crossing","Joel Coen","Gabriel Byrne, Albert Finney, Marcia Gay Harden, John Turturro, Jon Polito","Crime drama",""
"Misery","Rob Reiner","James Caan, Kathy Bates","Thriller","based on Stephen King novel; Oscar for Bates"
"Mister Frost","Philippe Setbon","Jeff Goldblum, Kathy Baker, Alan Bates","Thriller",""
"Mister Johnson","Bruce Beresford","Pierce Brosnan","Drama",""
"Mo' Better Blues","Spike Lee","Denzel Washington, Wesley Snipes, Spike Lee, Bill Nunn","Drama",""
"Mob Story","","John Vernon, Kate Vernon","Drama","Canadian"
"A Mom for Christmas","George T. Miller","Olivia Newton-John","Family","Made for TV"
"Moon 44","Roland Emmerich","Michael Paré","Science fiction",""
"Mother Goose Rock 'n' Rhyme","","","Family",""
"Mountains of the Moon","Bob Rafelson","Patrick Bergin","Drama","story of Richard Francis Burton"
"Mr. Destiny","James Orr","James Belushi, Michael Caine, Linda Hamilton, Hart Bochner, Jon Lovitz, Rene Russo","Drama",""
"Mr. and Mrs. Bridge","James Ivory","Paul Newman, Joanne Woodward","Drama","based on Evan S. Connell novel"
"Murder in Mississippi","Roger Young","Tom Hulce, Blair Underwood","Drama",""
"My Blue Heaven","Herbert Ross","Steve Martin, Rick Moranis, Joan Cusack","Comedy","screenplay by Nora Ephron"
"Narrow Margin","Peter Hyams","Gene Hackman, Anne Archer","Suspense","remake of 1952 film"
"Navy SEALs","Lewis Teague","Charlie Sheen, Michael Biehn, Joanne Whalley, Rick Rossovich, Bill Paxton, Dennis Haysbert","Action",""
"The NeverEnding Story II: The Next Chapter","George T. Miller","Jonathan Brandis","Fantasy","sequel"
"Night Eyes","Jag Mundhra","Andrew Stevens, Tanya Roberts","Drama",""
"Night of the Living Dead","Tom Savini","Tony Todd","Horror","remake of 1968 film"
"Nightbreed","Clive Barker","Craig Sheffer","Horror",""
"Ninja Academy","","Will Egan","Martial arts",""
"No Retreat, No Surrender 3: Blood Brothers","Lucas Lowe","Loren Avedon","Action","sequel"
"The Nutcracker Prince","Paul Schibli","voices of Kiefer Sutherland, Megan Follows","Animated",""
"Opportunity Knocks","Donald Petrie","Dana Carvey, Robert Loggia","Comedy",""
"Pacific Heights","John Schlesinger","Michael Keaton, Melanie Griffith, Matthew Modine","Thriller",""
"Paris Is Burning","Jennie Livingston","ball culture of drag queens","Documentary",""
"The Pit and the Pendulum","Stuart Gordon","Lance Henriksen, Mark Margolis","Horror","based on Edgar Allan Poe story"
"Plunder & Lightning","Larry Latham, Robert Taylor","Ed Gilbert, R.J. Williams, Sally Struthers, Janna Michaels, Pat Fraley, Tony Jay, Jim Cummings","Animated","made for TV"
"Postcards from the Edge","Mike Nichols","Meryl Streep, Dennis Quaid, Shirley MacLaine, Gene Hackman, Annette Bening, Richard Dreyfuss","Comedy, Drama","based on novel by Carrie Fisher"
"Predator 2","Stephen Hopkins","Danny Glover, Gary Busey, Rubén Blades, María Conchita Alonso, Bill Paxton","Sci-fi","sequel to Predator"
"Presumed Innocent","Alan J. Pakula","Harrison Ford, Greta Scacchi, Bonnie Bedelia, Brian Dennehy, Raúl Juliá, Paul Winfield, John Spencer","Crime drama","based on novel by Scott Turow"
"Pretty Woman","Garry Marshall","Julia Roberts, Richard Gere, Héctor Elizondo, Jason Alexander, Laura San Giacomo, Ralph Bellamy","Romantic comedy","Golden Globe for Roberts"
"Problem Child","Dennis Dugan","John Ritter, Jack Warden, Michael Oliver, Gilbert Gottfried, Amy Yasbeck, Michael Richards","Comedy","2 sequels"
"Prom Night III: The Last Kiss","Ron Oliver","Courtney Taylor, Tim Conlon, Cynthia Preston, David Stratton, Dylan Neal","Horror","sequel; direct-to-video"
"Psycho IV: The Beginning","Mick Garris","Anthony Perkins, Olivia Hussey","Horror","final sequel to Psycho"
"Pump Up the Volume","Allan Moyle","Christian Slater, Samantha Mathis, Mimi Kennedy, Scott Paulin","Comedy, Drama",""
"Q&A","Sidney Lumet","Nick Nolte, Timothy Hutton, Armand Assante, Patrick O'Neal, Charles S. Dutton, Lee Richardson","Crime drama","based on a novel by Edwin Torres"
"Quick Change","Howard Franklin, Bill Murray","Bill Murray, Geena Davis, Jason Robards, Randy Quaid, Tony Shalhoub, Phil Hartman","Crime comedy","only film directed by Murray"
"Quigley Down Under","Simon Wincer","Tom Selleck, Laura San Giacomo, Alan Rickman","Western","set in Australia"
"Ralph S. Mouse","","","",""
"The Reflecting Skin","Philip Ridley","Viggo Mortensen","Drama",""
"Repossessed","Bob Logan","Linda Blair, Leslie Nielsen","Comedy","parody of The Exorcist"
"The Rescuers Down Under","","voices of Bob Newhart, Eva Gabor, John Candy, George C. Scott","Animated film","sequel to The Rescuers"
"Revenge","Tony Scott","Kevin Costner, Anthony Quinn, Madeleine Stowe, Sally Kirkland, Miguel Ferrer, James Gammon","Drama","based on novel by Jim Harrison"
"Reversal of Fortune","Barbet Schroeder","Jeremy Irons, Glenn Close, Ron Silver","Drama","Oscar for Irons"
"RoboCop 2","Irvin Kershner","Peter Weller, Nancy Allen, Dan O'Herlihy, Tom Noonan, Belinda Bauer, Gabriel Damon","Science fiction","sequel to 1987 film"
"Robot Jox","Stuart Gordon","Gary Graham","Science fiction",""
"Rock 'n' Roll High School Forever","Deborah Brock","Corey Feldman","Comedy",""
"Rocky V","John Avildsen","Sylvester Stallone, Talia Shire, Burt Young, Tommy Morrison, Richard Gant, Sage Stallone","Drama","4th sequel to Rocky; 7 Razzie nominations"
"Roller Coaster Rabbit","","","",""
"Romeo-Juliet","Armando Acosta","John Hurt, Vanessa Redgrave","Drama, Comedy","Shakespeare with cats"
"The Rookie","Clint Eastwood","Clint Eastwood, Charlie Sheen, Raul Julia, Sonia Braga","Crime drama",""
"Rose Kennedy: A Life to Remember","Terry Sanders","","Documentary short subject","Oscar nominee"
"Rosencrantz & Guildenstern Are Dead","Tom Stoppard","Tim Roth, Gary Oldman, Richard Dreyfuss","Drama","based on Tom Stoppard's play"
"The Russia House","Fred Schepisi","Sean Connery, Michelle Pfeiffer, Roy Scheider, James Fox, Klaus Maria Brandauer","Drama","Based on novel by John LeCarre"
“The Sheltering Sky”,”Bernardo Bertolucci”,””,””,””
"Shipwrecked","Nils Gaup","Gabriel Byrne","Adventure","Sweden"
"A Shock to the System","Jan Egleson","Michael Caine, Elizabeth McGovern, Swoosie Kurtz","Thriller","from Simon Brett novel"
"Short Time","Gregg Champion","Dabney Coleman, Teri Garr","Comedy",""
"A Show of Force","Bruno Barreto","Amy Irving, Andy García, Robert Duvall, Kevin Spacey","Drama","Maravilla Hill case"
"Shreck","","","",""
"The Shrimp on the Barbie","""Alan Smithee""","Cheech Marin","Comedy",""
"Sibling Rivalry","Carl Reiner","Kirstie Alley, Scott Bakula, Bill Pullman, Jami Gertz, Sam Elliott, Carrie Fisher","Comedy",""
"Side Out","Peter Israelson","C. Thomas Howell, Peter Horton","Drama, Sports",""
"Slumber Party Massacre 3","Sally Mattison","","Horror","sequel"
"Sorority House Massacre 2","Jim Wynorski","Gail Harris","Horror","sequel"
"Snake Eater II: The Drug Buster","George Erschbamer","Lorenzo Lamas","Action","sequel"
"Solar Crisis","""Alan Smithee""","Tim Matheson, Charlton Heston, Peter Boyle","Science fiction",""
"Somebody has to Shoot the Picture","Frank Pierson","Roy Scheider, Bonnie Bedelia","Drama","made for TV"
"Soultaker","Michael Rissi","Joe Estevez","Suspense",""
"Spaced Invaders","Patrick Read Johnson","Douglas Barr","Science fiction",""
"Spirit of '76","Lucas Reiner","Carl Reiner, Rob Reiner","Comedy",""
"Spontaneous Combustion","Tobe Hooper","Brad Dourif","Horror",""
"Spymaker: The Secret Life of Ian Fleming","Ferdinand Fairfax","Jason Connery","Biography","James Bond creator"
"Stanley & Iris","Martin Ritt","Jane Fonda, Robert De Niro, Martha Plimpton, Swoosie Kurtz","Romantic drama","from Pat Barker novel"
"State of Grace","Phil Joanou","Sean Penn, Ed Harris, Gary Oldman, Robin Wright, John Turturro, John C. Reilly","Crime drama","Ennio Morricone score"
"Stella","John Erman","Bette Midler, Trini Alvarado, John Goodman, Stephen Collins, Marsha Mason, Eileen Brennan","Drama","remake of 1925 and 1937 films"
"Strike It Rich","James Scott","Robert Lindsay, Molly Ringwald","Comedy",""
"Taking Care of Business","Arthur Hiller","James Belushi, Charles Grodin, Héctor Elizondo, Mako, Veronica Hamel","Comedy","co-written by J.J. Abrams"
"Tales from the Darkside: The Movie","John Harrison","Christian Slater, Julianne Moore","Horror","based on the TV series"
"Teenage Mutant Ninja Turtles","Steve Barron","Judith Hoag, Elias Koteas","Action","based on the TV series"
"Terminal City Ricochet","","","Drama","Philippines"
"Texasville","Peter Bogdanovich","Jeff Bridges, Annie Potts, Cybill Shepherd, Cloris Leachman, Timothy Bottoms, Eileen Brennan, Randy Quaid","Drama","based on Larry McMurtry novel; sequel to The Last Picture Show"
"That's Black Entertainment","","","Documentary","based on That's Entertainment"
"Three Men and a Little Lady","Emile Ardolino","Tom Selleck, Ted Danson, Steve Guttenberg, Nancy Travis","Comedy","sequel to Three Men and a Baby"
"Till There Was You","Michael Thomas","Mark Harmon","","Australia"
"Time of Love","","","","Iran-Turkey"
"Too Much Sun","Robert Downey, Sr.","Robert Downey, Jr., Eric Idle, Ralph Macchio","Comedy",""
"To Sleep with Anger","Charles Burnett","Danny Glover","Drama",""
"Total Recall","Paul Verhoeven","Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox","Science fiction","based on Philip K. Dick story"
"Treasure Island","Fraser Clarke Heston","Christian Bale, Charlton Heston","Adventure","based on novel by Robert Louis Stevenson"
"Tremors","Ron Underwood","Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire","Horror, Comedy","Underwood's first film"
"Troll 2","","","","sequel"
"Troll 3","","","","sequel"
"Trust","Hal Hartley","Adrienne Shelley","Romantic comedy",""
"Tune in Tomorrow","Jon Amiel","Barbara Hershey, Peter Falk, Keanu Reeves","Comedy","aka Aunt Julia and the Scriptwriter"
"Twisted Obsession","Fernando Trueba","Jeff Goldblum, Miranda Richardson","Thriller","Spain"
"The Two Jakes","Jack Nicholson","Jack Nicholson, Harvey Keitel, Meg Tilly, Madeleine Stowe, Eli Wallach, Ruben Blades, Perry Lopez, Richard Farnsworth","Crime drama","sequel to Chinatown"
"Vincent & Theo","Robert Altman","Tim Roth, Paul Rhys","Drama","produced by the BBC"
"Voodoo Dawn","Steven Fierberg","Raymond St. Jacques, Theresa Merritt, Gina Gershon","Horror",""
"Welcome Home, Roxy Carmichael","Jim Abrahams","Winona Ryder, Jeff Daniels","Comedy",""
"When You Remember Me","Harry Winer","Kevin Spacey, Fred Savage","Drama","made for TV"
"Where the Heart Is","John Boorman","Dabney Coleman, Uma Thurman, Crispin Glover, Suzy Amis","Drama",""
"White Hunter Black Heart","Clint Eastwood","Clint Eastwood, Jeff Fahey","Drama","from Peter Viertel novel"
"White Palace","Luis Mandoki","James Spader, Susan Sarandon","Drama","from Glenn Savan novel"
"White Room","Patricia Rozema","Kate Nelligan, Margot Kidder","Drama","Canada"
"Why Me?","Gene Quintano","Christopher Lambert, Christopher Lloyd","Drama",""
"Wild Orchid","Zalman King","Mickey Rourke, Carre Otis, Jacqueline Bisset","Drama",""
"Wild at Heart","David Lynch","Nicolas Cage, Laura Dern, Diane Ladd, Willem Dafoe, Harry Dean Stanton, Isabella Rossellini","Drama","from Barry Gifford novel"
"Witchcraft II: The Temptress","Mark Woods","Delia Sheppard","Sci-fi","sequel"
"The Witches","Nicolas Roeg","Anjelica Huston, Mai Zetterling","Fantasy","from Roald Dahl story"
"Without You I'm Nothing","John Boskovich","Sandra Bernhard","Performance",""
