"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The Adventures of Ford Fairlane","Renny Harlin","Andrew Dice Clay, Wayne Newton, Priscilla Presley, Lauren Holly, Maddie Corman, Ed O'Neill, Morris Day, Tone Loc, Gilbert Gottfried, Robert Englund","Comedy","3 Razzies"
"After Dark My Sweet","James Foley","Jason Patric, Rachel Ward, Bruce Dern","Mystery","based on Jim Thompson novel"
"Air America","Roger Spottiswoode","Mel Gibson, Robert Downey, Jr., Nancy Travis","Comedy",""
"Alice","Woody Allen","Mia Farrow, Joe Mantegna, William Hurt, Alec Baldwin","Comedy",""
"Almost an Angel","John Cornell","Paul Hogan, Elias Koteas, Charlton Heston","Comedy",""
"The Ambulance","Larry Cohen","Eric Roberts, James Earl Jones, Megan Gallagher","Action",""
"American Dream","Barbara Kopple, Cathy Caplan","proposed strike at Hormel Foods","Documentary",""
"American Ninja 4: The Annihilation","Cedric Sundstrom","Michael Dudikoff","Action","sequel"
"Andre's Mother","Deborah Reinisch","Richard Thomas, Sada Thompson","Drama","made for TV"
"Angel Town","Olivier Gruner","Olivier Gruner, Theresa Saldana","Action",""
"Another 48 Hrs.","Walter Hill","Eddie Murphy, Nick Nolte","Action","sequel to 48 Hrs."
"Arachnophobia","Frank Marshall","Jeff Daniels, John Goodman, Harley Jane Kozak, Julian Sands","Thriller",""
"Avalon","Barry Levinson","Aidan Quinn, Armin Mueller-Stahl, Joan Plowright, Elizabeth Perkins, Kevin Pollak","Drama",""
"Awakenings","Penny Marshall","Robert De Niro, Robin Williams, Penelope Ann Miller, John Heard, Julie Kavner, Ruth Nelson","Drama","based on book by Oliver Sacks"
"Back to the Future Part III","Robert Zemeckis","Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson","Comedy, Science fiction","2nd sequel"
"Bad Influence","Curtis Hanson","Rob Lowe, James Spader","Thriller",""
"Basket Case 2","Frank Henenlotter","Annie Ross","Horror","sequel"
"Betsy's Wedding","Alan Alda","Alan Alda, Molly Ringwald, Ally Sheedy, Madeline Kahn, Joe Pesci, Anthony LaPaglia, Catherine O'Hara","Comedy",""
"Bird on a Wire","John Badham","Mel Gibson, Goldie Hawn, David Carradine, Bill Duke, Stephen Tobolowsky, Joan Severance","Comedy, Crime",""
"Blind Faith","Paul Wendkos","Robert Urich, Joanna Kerns, Johnny Galecki, William Forsythe, Dennis Farina","Crime drama","made for TV; based on book by Joe McGinniss"
"Bloodfist II","Andy Blumenthal","Don Wilson","Action","sequel"
"Blue Steel","Kathryn Bigelow","Jamie Lee Curtis, Ron Silver, Clancy Brown, Elizabeth Pena, Louise Fletcher","Thriller",""
"The Bonfire of the Vanities","Brian De Palma","Tom Hanks, Bruce Willis, Melanie Griffith, Morgan Freeman, Kim Cattrall, Saul Rubinek, F. Murray Abraham, Alan King","Comedy, Drama","from Tom Wolfe novel; 5 Razzie nominations"
"Bride of Re-Animator","Brian Yuzna","Bruce Abbott, Fabiana Udenio","Horror and Priquitianism",""
"Cadence","Martin Sheen","Charlie Sheen, Martin Sheen","Drama",""
"Cadillac Man","Roger Donaldson","Robin Williams, Tim Robbins, Pamela Reed, Lori Petty, Fran Drescher","Comedy",""
"Camp Cucamonga","Roger Duchowny","John Ratzenberger","Comedy","made for TV"
"Captain America","Albert Pyun","Matt Salinger, Ronny Cox, Scott Paulin","Action","based on character from Marvel Comics"
"Cartoon All-Stars to the Rescue","","","Animated",""
"Catchfire","""Alan Smithee""","Dennis Hopper, Jodie Foster","Drama","released as Backtrack"
"Challenger","Ben Jordan","Karen Allen, Barry Bostwick","Drama","made for TV"
"Checkered Flag","John Glen, Michael Levine","Billy Campbell, Rob Estes","Drama","made for TV"
"Child in the Night","","Elijah Wood, Tom Skerritt","Drama","made for TV"
"Child's Play 2","John Lafia","Alex Vincent, Gerrit Graham","Horror",""
"China Cry","James F. Collier","Julia Nickson, France Nuyen and James Shigeta","Drama",""
"The China Lake Murders","Alan Metzger","Tom Skerritt, Michael Parks","Crime drama","made for TV"
"China O'Brien","Robert Clouse","Cynthia Rothrock","Martial arts",""
"Class of 1999","Mark L. Lester","Malcolm McDowell, Stacy Keach, Traci Lind","Science fiction",""
"Coins in the Fountain","","Loni Anderson, Stepfanie Kramer,","Romantic comedy","remake of 1954 film"
"Come See the Paradise","Alan Parker","Dennis Quaid, Tamlyn Tomita","Drama",""
"Coupe de Ville","Joe Roth","Daniel Stern, Patrick Dempsey","Comedy",""
"Crash and Burn","Charles Band","Megan Ward","Science fiction",""
"Crazy People","Tony Bill","Dudley Moore, Daryl Hannah, Paul Reiser, Mercedes Ruehl, J.T. Walsh","Comedy",""
"Cry-Baby","John Waters","Johnny Depp, Amy Locane, Susan Tyrrell, Iggy Pop, Ricki Lake, Traci Lords, Polly Bergen","Musical comedy","became Broadway show"
"Daddy's Dyin': Who's Got the Will?","Jack Fisk","Beau Bridges, Beverly D'Angelo","Comedy",""
"Dances with Wolves","Kevin Costner","Kevin Costner, Mary McDonnell, Graham Greene","Drama, Western","won 7 Academy Awards"
"Deep Throat 2","","","Adult",""
"The Dark Side of the Moon","D.J. Webster","Robert Sampson","Science fiction",""
"Darkman","Sam Raimi","Liam Neeson, Frances McDormand, Colin Friels, Larry Drake","Action",""
"Daughter of Darkness","Stuart Gordon","Anthony Perkins, Mia Sara","Horror","made for TV"
"Days of Thunder","Tony Scott","Tom Cruise, Robert Duvall, Randy Quaid, Nicole Kidman, Cary Elwes","Drama","features NASCAR drivers"
"Death Machine","Stephen Norrington","Brad Dourif","Science fiction",""
"Death Warrant","Richard C. Sarafian","Jean-Claude Van Damme","Action",""
"Deceptions","","Nicollette Sheridan, Harry Hamlin","Drama",""
"Decoration Day","Robert Markowitz","James Garner","Drama","made for TV"
"Def by Temptation","James Bond III","Samuel L. Jackson, Kadeem Hardison","Horror",""
"Delta Force 2: The Colombian Connection","Aaron Norris","Chuck Norris, Billy Drago","Action","sequel"
"Denial","Erin Dignam","Robin Wright, Jason Patric, Rae Dawn Chong","Drama",""
"Desperate Hours","Michael Cimino","Anthony Hopkins, Mickey Rourke, Mimi Rogers, Kelly Lynch, Lindsay Crouse, David Morse, Elias Koteas, Shawnee Smith","Suspense","remake of 1955 film"
"Dick Tracy","Warren Beatty","Warren Beatty, Al Pacino, Madonna, Glenne Headly, Charlie Korsmo","Comedy, Fantasy","based on comic strip; Stephen Sondheim music"
"Die Hard 2","Renny Harlin","Bruce Willis, Bonnie Bedelia, William Atherton, William Sadler","Action","sequel; set in Dulles Airport"
"A Divine Double Feature","","","",""
"Dorf Goes Auto Racing","","Tim Conway","Comedy",""
"Downtown","Richard Benjamin","Anthony Edwards, Forest Whitaker, Joe Pantoliano, Penelope Ann Miller","Comedy",""
"Dream Machine","Lyman Dayton","Corey Haim","Thriller",""
"DuckTales the Movie: Treasure of the Lost Lamp","","","Animated film",""
"Edward Scissorhands","Tim Burton","Johnny Depp, Winona Ryder, Dianne Wiest, Alan Arkin, Anthony Michael Hall, Vincent Price, Kathy Baker","Comedy, Fantasy","Price's final film"
"The End of Innocence","Dyan Cannon","Dyan Cannon, John Heard, Rebecca Schaeffer","Drama",""
"Ernest Goes to Jail","John R. Cherry III","Jim Varney","Comedy","4th of series"
"Everybody Wins","Karel Reisz","Nick Nolte, Debra Winger, Jack Warden","Drama","written by Arthur Miller"
"The Exorcist III","William Peter Blatty","George C. Scott, Ed Flanders, Brad Dourif, Nicol Williamson","Horror","2nd sequel to The Exorcist"
"Faces of Death IV","","","Documentary",""
"Far Out Man","Tommy Chong","Tommy Chong, Rae Dawn Chong","Comedy",""
"The Final Sanction","David A. Prior","Ted Prior","",""
"Fire Birds","David Green","Nicolas Cage, Tommy Lee Jones, Sean Young","Action",""
"The First Power","Robert Resnikoff","Lou Diamond Phillips","Horror",""
"Flashback","Franco Amurri","Kiefer Sutherland, Dennis Hopper","Comedy",""
"Flatliners","Joel Schumacher","Julia Roberts, Kiefer Sutherland, Kevin Bacon, William Baldwin, Oliver Platt","Drama",""
"The Forbidden Dance","Greydon Clark","Laura Harring","Drama",""
