"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"101 Dalmatians","Stephen Herek","Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","Comedy",""
"2 Days in the Valley","John Herzfeld","Danny Aiello, Jeff Daniels, James Spader, Charlize Theron, Teri Hatcher, Marsha Mason, Eric Stoltz","Comedy, Crime",""
"Adrenalin: Fear the Rush","Albert Pyun","Christopher Lambert, Natasha Henstridge","Science fiction",""
"The Adventures of Pinocchio","Steve Barron","Martin Landau, Jonathan Taylor Thomas, Udo Kier, Geneviève Bujold, Bebe Neuwirth, Rob Schneider, Corey Carrier","Fantasy",""
"Aladdin and the King of Thieves","Tad Stones","Robin Williams","Animation","direct-to-video sequel"
"Alaska","Fraser Clarke Heston","Thora Birch, Vincent Kartheiser, Dirk Benedict, Charlton Heston","Adventure",""
"Alien Nation: Millennium","Kenneth Johnson","Gary Graham, Eric Pierpoint","Science fiction","made for TV"
"Alien Nation: The Enemy Within","Kenneth Johnson","Gary Graham, Eric Pierpoint, Michele Scarabelli","Science fiction","made for TV"
"All Dogs Go to Heaven 2","Larry Leker, Paul Sabella","Ernest Borgnine, Bebe Neuwirth, Charlie Sheen, Dom DeLuise, Sheena Easton","Animation",""
"Amityville Dollhouse","Steve White","Robin Thomas, Starr Andreeff, Allen Cutler","Horror",""
"Andersonville","John Frankenheimer","Frederic Forrest, Carmen Argenziano, Jayce Bartok","Drama","made for TV"
"The Arrival","David Twohy","Charlie Sheen, Lindsay Crouse, Richard Schiff","Sci-fi",""
"The Associate","Donald Petrie","Whoopi Goldberg, Dianne Wiest, Eli Wallach, Tim Daly","Comedy",""
"August","Anthony Hopkins","Anthony Hopkins, Rhys Ifans, Leslie Phillips","Drama",""
"Back to Back","Roger Nygard","Michael Rooker, Danielle Harris, Ryo Ishibashi","Action, Drama",""
"Bad Moon","Eric Red","Mariel Hemingway, Michael Paré, Mason Gamble","Horror",""
"Barb Wire","David Hogan","Pamela Anderson, Temuera Morrison, Victoria Rowell, Jack Noseworthy, Xander Berkeley, Udo Kier, Steve Railsback","Action, Science fiction","6 Razzie nominations"
"Basquiat","Julian Schnabel","Jeffrey Wright, David Bowie, Benicio del Toro","Biography, Drama",""
"Bastard Out of Carolina","Anjelica Huston","Jennifer Jason Leigh, Jena Malone","Drama",""
"The Beast","Jeff Bleckner","William Petersen, Karen Sillas, Charles Martin Smith","Horror",""
"Beautiful Girls","Ted Demme","Matt Dillon, Timothy Hutton, Michael Rapaport, Uma Thurman, Natalie Portman, Mira Sorvino, Rosie O'Donnell, Lauren Holly, Martha Plimpton","Romantic comedy",""
"Beavis and Butt-Head Do America","Mike Judge","Mike Judge, Demi Moore, Bruce Willis, Robert Stack, Cloris Leachman","Animated",""
"Bed of Roses","Michael Goldenberg","Mary Stuart Masterson, Christian Slater","Romance",""
"Before and After","Barbet Schroeder","Meryl Streep, Liam Neeson, Edward Furlong","Drama, Thriller",""
"Best of the Best 3: No Turning Back","Phillip Rhee","Phillip Rhee, Christopher McDonald","Martial arts",""
"Big Bully","Steve Miner","Rick Moranis, Tom Arnold","Comedy",""
"Big Night","Campbell Scott, Stanley Tucci","Tony Shalhoub, Stanley Tucci, Isabella Rossellini, Minnie Driver, Ian Holm, Marc Anthony, Allison Janney, Liev Schreiber","Drama",""
"Bio-Dome","Jason Bloom","Pauly Shore, Stephen Baldwin, William Atherton, Joey Lauren Adams, Teresa Hill","Comedy",""
"The Birdcage","Mike Nichols","Robin Williams, Nathan Lane, Gene Hackman, Dianne Wiest, Hank Azaria, Calista Flockhart, Dan Futterman","Comedy","based on La Cage aux Folles"
"Black Sheep","Penelope Spheeris","Chris Farley, David Spade, Gary Busey, Tim Matheson","Comedy",""
"Black Sun","Amanda Jane","","Drama",""
"Blood Brothers","Ernie Fritz","Bruce Springsteen, The E Street Band, Jon Landau","Documentary",""
"Blood and Wine","Bob Rafelson","Jack Nicholson, Jennifer Lopez, Stephen Dorff, Judy Davis, Michael Caine","Crime drama",""
"Bloodsport II: The Next Kumite","Alan Mehrez","Daniel Bernhardt, Pat Morita","Action","sequel"
"Bottle Rocket","Wes Anderson","Luke Wilson, Owen Wilson, James Caan","Comedy","Anderson's first film"
"Bound","Wachowski brothers","Gina Gershon, Jennifer Tilly, Joe Pantoliano","Thriller",""
"Box of Moon Light","Tom DiCillo","John Turturro, Sam Rockwell","Drama",""
"Boys","Stacy Cochran","Winona Ryder, Lukas Haas","Drama",""
"The Boys Next Door","John Erman","Matthew Modine, Nathan Lane, Courtney B. Vance, Mare Winningham","Drama","TV"
"Brain Candy","Kelly Makin","Kevin McDonald, Scott Thompson","Comedy",""
"Brassed Off","Mark Herman","Ewan McGregor, Pete Postlethwaite, Tara Fitzgerald","Comedy",""
"Breaking the Waves","Lars von Trier","Emily Watson, Stellan Skarsgård","Drama",""
"Broken Arrow","John Woo","John Travolta, Christian Slater, Samantha Mathis","Action",""
"Bullet","Julien Temple","Mickey Rourke, Tupac Shakur","Drama",""
"Bulletproof","Ernest R. Dickerson","Damon Wayans, Adam Sandler, James Caan, James Farentino, Kristen Wilson","Action",""
"Busted","Corey Feldman","Corey Feldman, Corey Haim, Dominick Brascia, Ava Fabian","Comedy",""
"Butch Camp","Alessandro De Gaetano","Judy Tenuta, Paul Denniston","Comedy",""
"The Cable Guy","Ben Stiller","Jim Carrey, Matthew Broderick","Comedy",""
"Camp Stories","Herbert Beigel","","Drama",""
"Cannes Man","Richard Martini","Francesco Quinn, Seymour Cassel","Drama",""
"Cannibal! The Musical","Trey Parker","Trey Parker, Matt Stone, Dian Bachar, Jason McHugh","Student film",""
"Carnosaur 3: Primal Species","Jonathan Winfrey","Scott Valentine, Janet Gunn","Horror","sequel"
"Carpool","Arthur Hiller","Tom Arnold, David Paymer, Rhea Perlman, Rachael Leigh Cook, Rod Steiger","Comedy",""
"Carried Away","Bruno Barreto","Dennis Hopper, Amy Irving","Drama","from Jim Harrison novel"
"Celtic Pride","Tom DeCerchio","Damon Wayans, Daniel Stern, Dan Aykroyd","Comedy",""
"Chain Reaction","Andrew Davis","Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward, Brian Cox","Science fiction",""
"The Chamber","James Foley","Chris O'Donnell, Gene Hackman, Faye Dunaway","Drama","from John Grisham novel"
"The Cherokee Kid","Paris Barclay","Sinbad, James Coburn, Burt Reynolds, Gregory Hines","Drama","TV"
"Children of the Corn IV: The Gathering","Greg Spence","Naomi Watts, Jamie Renée Smith, Karen Black","Horror",""
"Christmas Every Day","Larry Peerce","Erik von Detten, Robert Hays, Bess Armstrong","Drama","TV"
"Cinema Europe: The Other Hollywood","David Gill","Kenneth Branagh (narrator)","Documentary","6 parts"
"Citizen Ruth","Alexander Payne","Laura Dern, Swoosie Kurtz, Kurtwood Smith, Kelly Preston, Burt Reynolds","Comedy, Drama",""
"City Hall","Harold Becker","Al Pacino, John Cusack, Bridget Fonda, Danny Aiello, Martin Landau, Tony Franciosa","Drama",""
"Clancy's Kitchen","Duncan Roy","Mark Aiken, Indira Varma, Rocky Marshall","Drama",""
"Close Up","Przemyslaw Reut","Michael Mauro, Kevin Kenny","Crime drama",""
"Color of a Brisk and Leaping Day","Christopher Münch","Peter Alexander, Henry Gibson, Michael Stipe","Drama",""
"Cosmic Voyage","Bayley Silleck","Morgan Freeman (narrator)","Documentary",""
"Courage Under Fire","Edward Zwick","Denzel Washington, Meg Ryan, Lou Diamond Phillips, Matt Damon","War",""
"The Craft","Andrew Fleming","Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True","Fantasy",""
"Crossworlds","Krishna Rao","Rutger Hauer, Josh Charles, Andrea Roth, Stuart Wilson, Jack Black","Science fiction",""
"The Cremaster Cycle","Matthew Barney","Marti Domination, Kathleen Crepeau","Fantasy",""
"The Crow: City of Angels","Tim Pope","Vincent Pérez, Mia Kirshner, Richard Brooks, Iggy Pop, Thuy Trang","Action",""
"The Crucible","Nicholas Hytner","Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen","Drama","from Arthur Miller play"
"Curdled","Reb Braddock","Angela Jones, William Baldwin","Black comedy",""
"D3: The Mighty Ducks","Robert Lieberman","Emilio Estevez, Joshua Jackson","Family","2nd sequel to The Mighty Ducks"
"Daddy's Girl","Martin Kitrosser","William Katt, Michele Greene","Drama",""
"Dallas: J.R. Returns","Leonard Katzman","Larry Hagman, Patrick Duffy, Linda Gray","Drama","made for TV"
