"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Daylight","Rob Cohen","Sylvester Stallone, Amy Brenneman, Viggo Mortensen, Dan Hedaya, Jay O. Sanders, Karen Young, Claire Bloom, Sage Stallone, Vanessa Bell Calloway, Danielle Harris, Barry Newman, Stan Shaw","Disaster",""
"The Daytrippers","Greg Mottola","Hope Davis, Stanley Tucci, Liev Schreiber, Parker Posey","Drama",""
"Dead Man's Island","Peter H. Hunt","Barbara Eden, William Shatner","Suspense",""
"Deadly Outbreak","Rick Avery","Jeff Speakman, Ron Silver","Action",""
"Dear Diary","David Frankel","Bebe Neuwirth, Bruce Altman","Short subject","Oscar winner; 38 minutes"
"Dear God","Garry Marshall","Greg Kinnear, Laurie Metcalf, Tim Conway","Comedy",""
"Death and the Compass","Alex Cox","","Drama",""
"Demolition High","Jim Wynorski","Corey Haim, Alan Thicke, Dick Van Patten","Action","direct-to-video"
"Denise Calls Up","Hal Salwen","Timothy Daly, Liev Schreiber","Comedy",""
"The Dentist","Brian Yuzna","Corbin Bernsen, Molly Hagan","Horror",""
"Diabolique","Jeremiah S. Chechik","Sharon Stone, Isabelle Adjani, Chazz Palminteri, Kathy Bates","Thriller","remake of 1955 film"
"Diary of a Camper","Matthew Van Sickler","(none)","Machinima Animated",""
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Paris Barclay","Marlon Wayans, Shawn Wayans, Bernie Mac, Keenen Ivory Wayans, Omar Epps","Comedy",""
"Don't Look Back","Geoff Murphy","Eric Stoltz, Billy Bob Thornton","Drama",""
"Dorf on the Diamond","","Tim Conway","Comedy",""
"Down Periscope","David S. Ward","Kelsey Grammer, Lauren Holly, Rip Torn, Bruce Dern, William H. Macy, Rob Schneider","Comedy",""
"Dragonheart","Rob Cohen","Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Jason Isaacs, Julie Christie, (voice of) Sean Connery","Fantasy",""
"Drawing Flies","Malcolm Ingram","Jason Lee, Jason Mewes","Comedy",""
"Dream for an Insomniac","Tiffanie DeBartolo","Ione Skye, Jennifer Aniston","Drama",""
"Dunston Checks In","Ken Kwapis","Jason Alexander, Faye Dunaway, Paul Reubens, Eric Lloyd, Rupert Everett, Glenn Shadix","Comedy",""
"East Palace, West Palace","","","Drama",""
"Ed","Bill Couturie","Matt LeBlanc","Comedy","3 Razzie nominations"
"Ed's Next Move","John C. Walsh","Matt Ross","Comedy",""
"Eddie","Steve Rash","Whoopi Goldberg, Frank Langella, Dennis Farina","Comedy",""
"Emma","Douglas McGrath","Gwyneth Paltrow, Ewan McGregor, Jeremy Northam","Drama","based on Jane Austen novel"
"The Empty Mirror","Barry J. Hershey","Norman Rodway, Camilla Søeberg","Drama",""
"The English Patient","Anthony Minghella","Ralph Fiennes, Kristin Scott Thomas, Juliette Binoche, Willem Dafoe","Drama","Won 9 Academy Awards"
"Entertaining Angels: The Dorothy Day Story","Michael Ray Rhodes","Moira Kelly, Heather Graham, Martin Sheen","Drama",""
"Eraser","Chuck Russell","Arnold Schwarzenegger, Vanessa Williams, James Caan, Robert Pastorelli, James Coburn","Action",""
"Escape from L.A.","John Carpenter","Kurt Russell, Steve Buscemi, Peter Fonda, Cliff Robertson, Stacy Keach, Michelle Forbes","Action","sequel to Escape from New York"
"The Evening Star","Robert Harling","Shirley MacLaine, Bill Paxton, Juliette Lewis, Miranda Richardson, George Newbern, Mackenzie Astin, Scott Wolf, Ben Johnson, Marion Ross","Drama","sequel to Terms of Endearment"
"Everyone Says I Love You","Woody Allen","Edward Norton, Alan Alda, Woody Allen, Goldie Hawn, Julia Roberts, Drew Barrymore, Natalie Portman, Lukas Haas, Tim Roth","Musical comedy",""
"Evita","Alan Parker","Antonio Banderas, Madonna, Jonathan Pryce","Musical","from Andrew Lloyd Webber play"
"Executive Decision","Stuart Baird","Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Joe Morton, David Suchet, Steven Seagal","Action",""
"Extreme Measures","Michael Apted","Hugh Grant, Gene Hackman, Sarah Jessica Parker","Thriller",""
"Eye for an Eye","John Schlesinger","Sally Field, Kiefer Sutherland, Ed Harris, Joe Mantegna, Beverly D'Angelo","Thriller",""
"The Face","Jack Bender","Yasmine Bleeth, Richard Beymer","Drama","TV"
"Faces of Death VI","","","Horror",""
"Faithful","Paul Mazursky","Cher, Ryan O'Neal, Chazz Palminteri","Comedy",""
"A Family Thing","Richard Pearce","Robert Duvall, James Earl Jones","Comedy",""
"The Fan","Tony Scott","Robert De Niro, Wesley Snipes, Ellen Barkin, Benicio del Toro, John Leguizamo","Thriller",""
"Fargo","Joel Coen, Ethan Coen","Frances McDormand, William H. Macy, Steve Buscemi, Peter Stormare, Harve Presnell","Black Comedy","Academy Award for McDormand"
"Fear","James Foley","Mark Wahlberg, Reese Witherspoon, Alyssa Milano, William Petersen, Amy Brenneman","Thriller",""
"Feeling Minnesota","Steven Baigelman","Keanu Reeves, Cameron Diaz, Vincent D'Onofrio, Dan Aykroyd, Courtney Love, Tuesday Weld, Delroy Lindo","Drama",""
"Fetishes","Nick Broomfield","","Documentary",""
"Fever Lake","Rafe M. Portilo","Corey Haim, Mario Lopez, Bo Hopkins","Slasher","direct-to-video"
"Fire on the Mountain","","","Documentary, War",""
"First Kid","David Mickey Evans","Sinbad, Brock Pierce","Comedy",""
"The First Wives Club","Hugh Wilson","Diane Keaton, Goldie Hawn, Bette Midler","Comedy",""
"Fled","Kevin Hooks","Laurence Fishburne, Stephen Baldwin","Crime",""
"Flipper","Alan Shapiro","Elijah Wood, Paul Hogan","Family","based on the TV series"
"Flirting with Disaster","David O. Russell","Ben Stiller, Téa Leoni, Patricia Arquette, Alan Alda, Mary Tyler Moore, George Segal, Lily Tomlin","Comedy",""
"Fly Away Home","Carroll Ballard","Jeff Daniels, Anna Paquin, Dana Delany","Family",""
"Follow Me Home","Peter Bratt","Alfre Woodard, Benjamin Bratt","Drama",""
"For Hope","Bob Saget","Dana Delany, Tracy Nelson","Drama","TV"
"Foxfire","Annette Haywood-Carter","Angelina Jolie, Jenny Shimizu","",""
"Freeway","Matthew Bright","Kiefer Sutherland, Reese Witherspoon, Brooke Shields","Drama",""
"Frequent Flyer","","Jack Wagner, Joan Severance","Drama","TV"
"The Frighteners","Peter Jackson","Michael J. Fox, Trini Alvarado","Horror",""
"From Dusk Till Dawn","Robert Rodriguez","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Salma Hayek, Fred Williamson, Cheech Marin","Horror",""
"Frostbiter: Wrath of the Wendigo","","","",""
"The Funeral","Abel Ferrara","Christopher Walken, Chris Penn","Drama",""
"Gang in Blue","Melvin van Peebles","Mario van Peebles, Josh Brolin","Drama",""
"Generation X","Jack Sholder","Matt Frewer, Finola Hughes","Action","TV"
"Get on the Bus","Spike Lee","Charles S. Dutton, Ossie Davis, Andre Braugher","Drama",""
"Getting Away with Murder","Harvey Miller","Dan Aykroyd, Jack Lemmon, Bonnie Hunt, Lily Tomlin","Comedy",""
"The Ghost and the Darkness","Stephen Hopkins","Val Kilmer, Michael Douglas","Adventure","written by William Goldman"
"Ghosts of Mississippi","Rob Reiner","Alec Baldwin, Whoopi Goldberg, James Woods","Biography","based on Medgar Evers murder"
"Giant Mine","","","","TV"
"Girl 6","Spike Lee","Theresa Randle, Isaiah Washington","Drama",""
"Girls Town","Jim McKay","Lili Taylor","Drama",""
"The Glimmer Man","John Gray","Steven Seagal, Keenen Ivory Wayans","Action",""
"Gone in the Night","","Shannen Doherty, Kevin Dillon","Drama","made for TV"
"Gotti","Robert Harmon","Armand Assante, Anthony Quinn","Biogtaphy, Crime, Drama","made for TV"
"Grace of My Heart","Allison Anders","Illeana Douglas, Matt Dillon, Eric Stoltz, John Turturro, Patsy Kensit","Drama",""
"The Grave","","Craig Sheffer, Gabrielle Anwar","Drama",""
"Gray's Anatomy","Steven Soderbergh","Spalding Gray","Monologue",""
"The Great White Hype","Reginald Hudlin","Damon Wayans, Peter Berg, Jeff Goldblum, Samuel L. Jackson, Jamie Foxx","Comedy",""
"Hamlet","Kenneth Branagh","Kenneth Branagh, Derek Jacobi, Julie Christie, Richard Briers","Drama","William Shakespeare play"
"Happy Gilmore","Dennis Dugan","Adam Sandler, Julie Bowen, Christopher McDonald, Carl Weathers, Bob Barker","Comedy",""
"Hard Eight","Paul Thomas Anderson","Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson","Drama","Anderson's first film"
"Harriet the Spy","Bronwen Hughes","Michelle Trachtenberg, Rosie O'Donnell","Family, Mystery","from Louise Fitzhugh story"
"Heaven's Prisoners","Phil Joanou","Alec Baldwin, Teri Hatcher, Eric Roberts, Kelly Lynch, Mary Stuart Masterson","Crime drama","from James Lee Burke novel"
"Heidi Fleiss: Hollywood Madam","Nick Broomfield","","Documentary",""
"Hellraiser: Bloodline","Kevin Yagher (as ""Alan Smithee"")","Bruce Ramsay","Horror",""
"High School High","Hart Bochner","Jon Lovitz, Tia Carrere, Louise Fletcher","Comedy",""
"Homeward Bound II: Lost in San Francisco","David R. Ellis","voices of Sally Field, Michael J. Fox","Family","Homeward Bound sequel"
"House Arrest","Harry Winer","Jamie Lee Curtis, Kevin Pollak, Jennifer Tilly, Christopher McDonald, Jennifer Love Hewitt, Ray Walston","Comedy",""
"The Hunchback of Notre Dame","Kirk Wise, Gary Trousdale","voices of Tom Hulce, Demi Moore, Kevin Kline","Animated","based on Victor Hugo story"
"Hustler White","Rick Castro, Bruce LeBruce","","Drama",""
"Hype!","Doug Pray","","Documentary",""
"I Love You, I Love You Not","Billy Hopkins","Jeanne Moreau, Jude Law, Claire Danes","Drama",""
"I Shot Andy Warhol","Mary Harron","Lili Taylor, Jared Harris, Martha Plimpton","Drama",""
"I'm Not Rappaport","Herb Gardner","Walter Matthau, Ossie Davis, Amy Irving, Martha Plimpton, Craig T. Nelson","Drama","based on Herb Gardner play"
"If Lucy Fell","Eric Schaeffer","Sarah Jessica Parker, Elle Macpherson","Romantic comedy",""
"If These Walls Could Talk","Nancy Savoca, Cher","Demi Moore, Sissy Spacek, Cher","Drama","made for TV"
"In Cold Blood","Jonathan Kaplan","Anthony Edwards, Eric Roberts, Sam Neill","Crime drama","made for TV; based on the novel by Truman Capote"
"In Love and War","Richard Attenborough","Sandra Bullock, Chris O'Donnell","Drama","story of Ernest Hemingway"
"Independence Day","Roland Emmerich","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Margaret Colin, Judd Hirsch, Randy Quaid, Robert Loggia, James Rebhorn, Harvey Fierstein, Vivica A. Fox, Harry Connick, Jr.","Disaster, Science fiction","1996's top-grossing film"
"Infinity","Matthew Broderick","Matthew Broderick, Patricia Arquette","Biography","story of Richard Feynman"
"Irma Vep","Olivier Assayas","Maggie Cheung","Drama","France"
"The Island of Dr. Moreau","John Frankenheimer","Marlon Brando, Val Kilmer, David Thewlis, Fairuza Balk","Horror","based on H.G. Wells story; 6 Razzie nominations"
"It's My Party","Randal Kleiser","Eric Roberts, Olivia Newton-John, Margaret Cho, Marlee Matlin","Drama",""
"Jack","Francis Ford Coppola","Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez, Fran Drescher, Bill Cosby","Comedy, Drama",""
"Jake's Women","","Alan Alda","Comedy","TV"
"James and the Giant Peach","Henry Selick","Animated","","based on Roald Dahl story"
"Jane Eyre","Franco Zeffirelli","Charlotte Gainsbourg, William Hurt, Anna Paquin","Drama","based on Charlotte Brontë novel"
"Jerry Maguire","Cameron Crowe","Tom Cruise, Renée Zellweger, Cuba Gooding, Jr., Bonnie Hunt, Jay Mohr, Kelly Preston, Jerry O'Connell","Comedy, Drama","Academy Award for Gooding"
"Jimmy Zip","","Alyssa Milano","Short subject",""
"Jingle All the Way","Brian Levant","Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Jake Lloyd, James Belushi","Comedy, Family","20th Century Fox"
"Joe's Apartment","John Payson","Jerry O'Connell, Megan Ward","Comedy",""
"Johns","Scott Silver","Lukas Haas, David Arquette","Drama",""
"The Juror","Brian Gibson","Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini, Anne Heche, Lindsay Crouse, Tony Lo Bianco","Crime drama","from George Dawes Green novel"
"Kama Sutra: A Tale of Love","Mira Nair","","Drama",""
"Kansas City","Robert Altman","Jennifer Jason Leigh, Harry Belafonte, Miranda Richardson","Drama",""
"Kazaam","Paul Michael Glaser","Shaquille O'Neal","Fantasy",""
"Killer: A Journal of Murder","Tim Metcalfe","James Woods, Robert Sean Leonard","Drama",""
"Kingpin","Bobby Farrelly, Peter Farrelly","Woody Harrelson, Randy Quaid, Vanessa Angel, Bill Murray","Comedy","MGM"
"Kounterfeit","John Mallory Asher","Hilary Swank, Bruce Payne, Corbin Bernsen","Thriller",""
"The Land Before Time IV: Journey Through the Mists","Roy Allen Smith","voices of John Ingle, Candace Hutson, Heather Hogan","Animated","sequel"
"Larger Than Life","Howard Franklin","Bill Murray, Janeane Garofalo, Pat Hingle, Matthew McConaughey, Linda Fiorentino","Comedy",""
"The Last Angel of History","","George Clinton","Documentary",""
"Last Dance","Bruce Beresford","Sharon Stone, Rob Morrow, Peter Gallagher, Randy Quaid","Drama","Touchstone Pictures"
"The Last Days of Frankie the Fly","Peter Markle","Dennis Hopper, Daryl Hannah, Michael Madsen","Crime","TV film"
"Last Man Standing","Walter Hill","Bruce Willis, Christopher Walken, Bruce Dern","Drama","remake of Yojimbo"
"The Late Shift","Betty Thomas","John Michael Higgins, Daniel Roebuck, Treat Williams, Kathy Bates, Bob Balaban, Rich Little","Biography","TV; based on book by Bill Carter"
"The Lawnmower Man 2: Beyond Cyberspace","Farhad Mann","Patrick Bergin, Matt Frewer, Austin O'Brien","Science fiction","sequel"
"Lewis and Clark and George","Rod McCall","Rose McGowan","Drama",""
"The Little Riders","","Paul Scofield, Malcolm McDowell, Noley Thornton","Drama",""
"Little Witches","Jane Simpson","Sheeri Rappaport","Horror",""
"Loch Ness","John Henderson","Ted Danson, Joely Richardson","Family",""
"London Suite","Jay Sandrich","Kelsey Grammer, Patricia Clarkson","Comedy","TV"
"Lone Star","John Sayles","Chris Cooper, Matthew McConaughey, Kris Kristofferson, Elizabeth Pena","Crime drama","Academy Award-nominated screenplay"
"Long Day's Journey Into Night","David Wellington","William Hutt","Drama","Canada"
"The Long Kiss Goodnight","Renny Harlin","Geena Davis, Samuel L. Jackson, Craig Bierko, David Morse, Brian Cox","Action","New Line Cinema"
"Looking for Richard","Al Pacino","Alec Baldwin, Al Pacino, Winona Ryder, Kevin Spacey","Documentary",""
"Love Is All There Is","Joseph Bologna, Renée Taylor","Angelina Jolie, Paul Sorvino, Barbara Carrera, Lainie Kazan","Comedy","based on Romeo and Juliet"
"Lumière and Company","41 directors","","Short films",""
"Mad Dog Time","Larry Bishop","Jeff Goldblum, Gabriel Byrne, Richard Dreyfuss, Ellen Barkin, Diane Lane, Gregory Hines, Kyle MacLachlan","Comedy, Crime","United Artists"
"Magenta","Gregory Haynes","Julian McMahon","Drama",""
"Malicious","Ian Corson","Molly Ringwald","Thriller","Republic Pictures"
"The Man Who Captured Eichmann","William A. Graham","Robert Duvall, Arliss Howard","Drama","TV"
"Manny & Lo","Lisa Krueger","Scarlett Johansson, Mary Kay Place","Family","Johansson at age 11"
"Mars Attacks!","Tim Burton","Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Jim Brown, Sarah Jessica Parker, Martin Short, Michael J. Fox, Lukas Haas, Natalie Portman","Science fiction comedy","7 Saturn Award nominations"
"Marvin's Room","Jerry Zaks","Meryl Streep, Diane Keaton, Leonardo DiCaprio, Robert De Niro","Drama","from Scott McPherson play"
"Mary Reilly","Stephen Frears","Julia Roberts, John Malkovich, Glenn Close","Drama","based on Valerie Martin novel"
"Matilda","Danny DeVito","Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz, Pam Ferris","Family","based on Roald Dahl story"
"Maximum Risk","Ringo Lam","Jean-Claude Van Damme, Natasha Henstridge","Action",""
"Memory Run","Allan A. Goldstein","Karen Duffy, Matt McCoy","Action",""
"Merlin's Shop of Mystical Wonders","","","",""
"Michael","Nora Ephron","John Travolta, Andie MacDowell, William Hurt, Bob Hoskins","Fantasy","New Line Cinema"
"The Mirror Has Two Faces","Barbra Streisand","Barbra Streisand, Jeff Bridges, Lauren Bacall, Pierce Brosnan, Mimi Rogers, George Segal, Brenda Vaccaro","Romance","Golden Globe for Bacall"
"Mission: Impossible","Brian De Palma","Tom Cruise, Ving Rhames, Jon Voight, Vanessa Redgrave, Emmanuelle Béart, Kristin Scott Thomas, Jean Reno","Action","based on TV series; sequels in 2000, 2006, 2011"
"Mojave Moon","Kevin Dowling","Danny Aiello, Anne Archer, Angelina Jolie","Drama",""
"Moll Flanders","Pen Densham","Robin Wright Penn, Morgan Freeman","Drama","based on Daniel Defoe novel"
"Mother","Albert Brooks","Albert Brooks, Debbie Reynolds, Rob Morrow, Lisa Kudrow","Comedy","Reynolds Golden Globe-nominated"
"Mother Night","Keith Gordon","Nick Nolte","Drama","from Kurt Vonnegut novel"
"A Mother's Instinct","Sam Pillsbury","Lindsay Wagner","Drama","made for TV"
"Mr. Wrong","Nick Castle","Ellen DeGeneres, Bill Pullman, Dean Stockwell, Joan Cusack, Joan Plowright","Comedy","Touchstone Pictures"
"Mrs. Santa Claus","Terry Hughes","Angela Lansbury, Michael Jeter","Family","made for TV"
"Mrs. Winterbourne","Richard Benjamin","Shirley MacLaine, Brendan Fraser, Ricki Lake","Drama","from Cornell Woolrich novel"
"Mulholland Falls","Lee Tamahori","Nick Nolte, Jennifer Connelly, Melanie Griffith, John Malkovich, Michael Madsen, Chazz Palminteri, Chris Penn, Treat Williams","Crime drama","screenplay by Pete Dexter"
"Multiplicity","Harold Ramis","Michael Keaton, Andie MacDowell","Comedy","Keaton in 4 roles"
"Muppet Treasure Island","Brian Henson","Tim Curry, Jennifer Saunders, Kevin Bishop","Family","5th Muppets feature film"
"My Fellow Americans","Peter Segal","Jack Lemmon, James Garner, Dan Aykroyd, Lauren Bacall, John Heard","Comedy","produced by Jon Peters"
"Mystery Science Theater 3000: The Movie","Jim Mallon","Mike Nelson","Comedy, Science fiction","based on the TV series"
"The Night Hunter","Rick Jacobson","Don ""The Dragon"" Wilson","Horror",""
"Norma Jean & Marilyn","Tim Fywell","Ashley Judd, Mira Sorvino","Biography","story of Marilyn Monroe"
"The Nutty Professor","Tom Shadyac","Eddie Murphy, James Coburn, Jada Pinkett Smith, Dave Chappelle","Comedy","remake of 1963 film"
"One Fine Day","Michael Hoffman","George Clooney, Michelle Pfeiffer","Romantic comedy",""
"The One That Got Away","Paul Greengrass","David Morrissey, Paul McGann","War","made for TV"
"Orientation","","","Scientology",""
"Original Gangstas","Larry Cohen","Fred Williamson, Pam Grier, Jim Brown","Drama",""
"Our Son, the Matchmaker","Lorraine Senna","Ann Jillian, Ellen Burstyn","Comedy","made for TV"
"The Pallbearer","Matt Reeves","David Schwimmer, Gwyneth Paltrow, Barbara Hershey","Comedy",""
"Pandora's Clock","Eric Laneuville","Richard Dean Anderson, Jane Leeves, Daphne Zuniga","Thriller","made for TV"
