"Title","Director","Cast (Subject of documentary)","Genre","Note"
"Clueless","Amy Heckerling","Alicia Silverstone, Paul Rudd, Stacey Dash, Brittany Murphy, Dan Hedaya, Jeremy Sisto, Elisa Donovan, Breckin Meyer, Wallace Shawn","Comedy",""
"Coldblooded","Wallace Wolodarsky","Jason Priestley, Peter Riegert, Robert Loggia","Comedy, Thriller",""
"The Computer Wore Tennis Shoes","Peyton Reed","Kirk Cameron","Science fiction Comedy",""
"Congo","Frank Marshall","Dylan Walsh, Laura Linney, Ernie Hudson, Tim Curry, Grant Heslov, Joe Don Baker","Science fiction, Adventure","based on Michael Crichton novel; 7 Razzie nominations"
"Copycat","Jon Amiel","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Will Patton, Harry Connick, Jr.","Thriller",""
"Cover Me","Michael Schroeder","Rick Rossovich, Courtney Taylor, Paul Sorvino, Stephen Nichols","Erotic thriller",""
"Crimson Tide","Tony Scott","Denzel Washington, Gene Hackman, James Gandolfini","Thriller",""
"The Crossing Guard","Sean Penn","Jack Nicholson, Anjelica Huston, David Morse","Drama",""
"Cry, the Beloved Country","Darrell Roodt","James Earl Jones, Richard Harris, Charles S. Dutton","Drama","based on a novel by James Baldwin"
"The Cure","Peter Horton","Brad Renfro, Joseph Mazzello, Diana Scarwid, Annabella Sciorra","Comedy",""
"Cutthroat Island","Renny Harlin","Geena Davis, Matthew Modine, Frank Langella","Adventure",""
"Cyborg Cop II","Sam Firstenberg","David Bradley, Morgan Hunter","Sci-fi",""
"Dangerous Minds","John N. Smith","Michelle Pfeiffer, George Dzundza","Biography","story of LouAnne Johnson"
"Dead Man","Jim Jarmusch","Johnny Depp, Gary Farmer","Western",""
"Dead Man Walking","Tim Robbins","Susan Sarandon, Sean Penn","Drama","Oscar for Sarandon"
"Dead Presidents","Albert Hughes","Larenz Tate, Keith David, Chris Tucker","Crime drama",""
"Demon Knight","Ernest R. Dickerson","William Sadler, Billy Zane, Jada Pinkett Smith","Horror",""
"Desperado","Robert Rodriguez","Antonio Banderas, Salma Hayek","Comedy, Action","sequel to El Mariachi"
"Devil in a Blue Dress","Carl Franklin","Denzel Washington, Tom Sizemore, Don Cheadle, Jennifer Beals, Terry Kinney, Albert Hall","Neo-noir","Based on a novel by Walter Mosley"
"Die Hard with a Vengeance","John McTiernan","Bruce Willis, Jeremy Irons, Samuel L. Jackson","Action","2nd sequel to Die Hard"
"Dolores Claiborne","Taylor Hackford","Kathy Bates, Jennifer Jason Leigh, David Strathairn, Christopher Plummer, John C. Reilly","Crime drama","Based on a novel by Stephen King"
"Don Juan DeMarco","Jeremy Leven","Marlon Brando, Johnny Depp, Faye Dunaway","Comedy",""
"Don't Hang Up, Tough Guy!","","Jerky Boys","Comedy skits",""
"The Doom Generation","Gregg Araki","James Duval","",""
"Dr. Jekyll and Ms. Hyde","David Price","Tim Daly, Sean Young","Comedy","Jekyll and Hyde spoof"
"Dracula: Dead and Loving It","Mel Brooks","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck","Comedy","last film directed by Brooks"
"Dream a Little Dream 2","James Lemmo","Corey Feldman, Corey Haim","Comedy","sequel"
"The Dying Rooms","Kate Blewett, Brian Woods","(in Chinese orphanages)","Documentary",""
"Ebbie","George Kaczender","Susan Lucci, Jeffrey DeMunn, Ron Lea, Taran Noah Smith","Drama","TV"
"Empire Records","Allan Moyle","Anthony LaPaglia, Maxwell Caulfield, Debi Mazar, Rory Cochrane, Robin Tunney, Ethan Embry, Johnny Whitworth, Renée Zellweger, Liv Tyler","Comedy, Drama","Regency Enterprises"
"Escape to Witch Mountain","Peter Rader","Robert Vaughn, Elisabeth Moss","Science fiction","TV"
"Evolver","Mark Rosman","Ethan Embry","Science fiction",""
"Eyes Beyond Seeing","Daniel R. Cohn","Keith Hamilton Cobb","",""
"Faces of Death 5","","","Horror",""
"Fair Game","Andrew Sipes","William Baldwin, Cindy Crawford","Action","3 Razzie nominations"
"Fall Time","Paul Warner","Mickey Rourke, David Arquette, Stephen Baldwin","Crime",""
"Far from Home: The Adventures of Yellow Dog","Phillip Borsos","Jesse Bradford, Mimi Rogers, Bruce Davison","Adventure","20th Century Fox"
"Father of the Bride Part II","Charles Shyer","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin","Comedy","sequel; based on Father's Little Dividend"
"First Knight","Jerry Zucker","Sean Connery, Richard Gere, Julia Ormond","Fantasy","King Arthur tale"
"Flirt","Hal Hartley","Parker Posey","Comedy",""
"Fluke","Carlo Carlei","Nancy Travis, Eric Stoltz, Matthew Modine","Family",""
"Forget Paris","Billy Crystal","Billy Crystal, Debra Winger, Joe Mantegna","Comedy","NBA stars as themselves"
"Four Rooms","Four Directors","Tim Roth, Antonio Banderas, Madonna, Jennifer Beals, Valeria Golino, Marisa Tomei, Lili Taylor, Ione Skye, Tamlyn Tomita","Anthology","Miramax"
"Free Willy 2: The Adventure Home","Dwight Little","Francis Capra, Michael Madsen","Adventure, Family","Free Willy sequel"
