"Title","Director","Cast (Subject of documentary)","Genre","Note"
"Slam Dunk Ernest","John R. Cherry III","Jim Varney, Kareem Abdul-Jabbar","Comedy",""
"Slave of Dreams","Robert M. Young","Adrian Pasdar, Sherilyn Fenn, Edward James Olmos","Drama",""
"Sleepstalker","","Kathryn Morris","Horror",""
"Smoke","Wayne Wang, Paul Auster","Harvey Keitel, William Hurt, Stockard Channing, Forest Whitaker, Ashley Judd","Drama",""
"Soldier Boyz","Louis Mourneau","Michael Dudikoff","Action",""
"Something to Talk About","Lasse Hallström","Julia Roberts, Dennis Quaid, Kyra Sedgwick, Robert Duvall, Gena Rowlands","Drama",""
"Species","Roger Donaldson","Ben Kingsley, Michael Madsen, Forest Whitaker, Alfred Molina, Marg Helgenberger, Natasha Henstridge","Science fiction, thriller",""
"Spin","Brian Springer","","Documentary",""
"The Spirit of Christmas","Trey Parker, Matt Stone","","Animated",""
"The Stars Fell on Henrietta","James Keach","Robert Duvall, Aidan Quinn, Brian Dennehy","Drama",""
"Stonewall","Nigel Finch","Guillermo Díaz","",""
"Strange Days","Kathryn Bigelow","Ralph Fiennes, Angela Bassett, Juliette Lewis","Science fiction",""
"Stuart Saves His Family","Harold Ramis","Al Franken, Laura San Giacomo, Vincent D'Onofrio","Comedy",""
"Sudden Death","Peter Hyams","Jean-Claude Van Damme, Powers Boothe, Dorian Harewood","Action",""
"The Surrogate","","Alyssa Milano, Connie Selleca","Drama","TV"
"Tales from the Hood","Rusty Cundieff","Clarence Williams III, David Alan Grier","Horror anthology",""
"Tall Tale","Jeremiah S. Chechik","Patrick Swayze, Oliver Platt, Scott Glenn, Nick Stahl","Fantasy",""
"Tank Girl","Rachel Talalay","Lori Petty, Malcolm McDowell, Ice-T, Naomi Watts","Action",""
"Theodore Rex","Jonathan Betuel","Whoopi Goldberg","Comedy",""
"The Thief and the Cobbler","Richard Williams","","Animated film",""
"Things to Do in Denver When You're Dead","Gary Fleder","Andy García, Christopher Walken, Treat Williams, Gabrielle Anwar, Christopher Lloyd, William Forsythe, Jack Warden","Crime drama",""
"Three Wishes","Martha Coolidge","Patrick Swayze, Mary Elizabeth Mastrantonio","Fantasy",""
"The Tie That Binds","Wesley Strick","Daryl Hannah, Keith Carradine, Moira Kelly, Vincent Spano","Thriller",""
"To Die For","Gus Van Sant","Nicole Kidman, Matt Dillon, Joaquin Phoenix, Illeana Douglas","Comedy",""
"To Wong Foo, Thanks for Everything! Julie Newmar","Beeban Kidron","Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing, Chris Penn, Blythe Danner, Arliss Howard, Julie Newmar","Comedy",""
"To the Limit","Raymond Martino","Anna Nicole Smith, Michael Nouri","Drama",""
"Tom and Huck","Peter Hewitt","Jonathan Taylor Thomas, Brad Renfro","Comedy, Family",""
"Tommy Boy","Peter Segal","Chris Farley, David Spade, Brian Dennehy, Bo Derek","Comedy",""
"Top Dog","Aaron Norris","Chuck Norris","Comedy",""
"Toy Story","John Lasseter","Tim Allen, Tom Hanks (voices)","Animated film",""
"Trinity and Beyond","Peter Kuran","","Documentary",""
"Truman","Frank Pierson","Gary Sinise, Diana Scarwid","Biography","HBO"
"Twelve Monkeys","Terry Gilliam","Bruce Willis, Madeleine Stowe, Brad Pitt","Science fiction",""
"Two Bits","James Foley","Jerry Barone, Mary Elizabeth Mastrantonio, Al Pacino","Drama",""
"Under Siege 2: Dark Territory","Geoff Murphy","Steven Seagal, Eric Bogosian, Katherine Heigl","Action","Sequel"
"Underneath","Steven Soderbergh","Peter Gallagher","Drama",""
"Unzipped","Douglas Keeve","","Documentary","Fashion"
"The Usual Suspects","Bryan Singer","Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey, Chazz Palminteri, Suzy Amis, Giancarlo Esposito, Pete Postlethwaite","Crime drama","Oscar for screenplay"
"Vampire in Brooklyn","Wes Craven","Eddie Murphy, Angela Bassett","Comedy, Horror",""
"Village of the Damned","John Carpenter","Christopher Reeve, Kirstie Alley, Linda Kozlowski, Mark Hamill, Meredith Salenger, Michael Paré","Horror",""
"Virtuosity","Brett Leonard","Denzel Washington, Russell Crowe, Kelly Lynch","Science fiction",""
"Waiting to Exhale","Forest Whitaker","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert, Michael Beach","Drama",""
"A Walk in the Clouds","Alfonso Aráu","Keanu Reeves, Aitana Sanchez-Gijón, Anthony Quinn, Giancarlo Giannini","Drama",""
"The Walking Dead","Preston Whitmore II","Eddie Griffin, Allen Payne, Joe Morton","Drama",""
"Waterworld","Kevin Costner","Kevin Costner, Dennis Hopper, Jeanne Tripplehorn, Tina Majorino","Action, Science fiction","4 Razzie nominations"
"Welcome to the Dollhouse","Todd Solondz","Heather Matarazzo","Drama",""
"The West Side Waltz","Ernest Thompson","Shirley MacLaine, Liza Minnelli, Kathy Bates","Drama","TV"
"While You Were Sleeping","Jon Turteltaub","Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle","Romantic comedy",""
"White Man's Burden","Desmond Nakano","John Travolta, Harry Belafonte","Drama",""
"The Wife","Tom Noonan","","Drama"
"Wigstock: The Movie","","","",""
"Wild Bill","Walter Hill","Jeff Bridges, Ellen Barkin, David Arquette, John Hurt, Diane Lane, Keith Carradine, Bruce Dern, Christina Applegate","Western",""
"Wild Side","Donald Cammell","Christopher Walken, Anne Heche, Joan Chen","Drama",""
"Wings of Courage","","Craig Sheffer, Elizabeth McGovern","IMAX","40 min."
"Without Evidence","Gil Dennis","Scott Plank, Angelina Jolie","Drama",""
"The Wrong Woman","Douglas Jackson","Nancy McKeon, Chelsea Field","Drama",""
