Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,Robert De Niro,Ray Liotta,Joe Pesci,70,N,96,97, ,Biography,Crime,Drama,yesDrama
Peter Weir,Peter Weir, ,Gérard Depardieu,Andie MacDowell,Bebe Neuwirth,7,N,56,51, ,Comedy,Drama,Romance,yesComedy
Joe Dante,Chris Columbus,Charles S. Haas,Zach Galligan,Phoebe Cates,John Glover,6,Y,67,57, ,Comedy,Fantasy,Horror,no
Stephen Frears,Jim Thompson,Donald E. Westlake,Anjelica Huston,John Cusack,Annette Bening,27,N,90,70, ,Crime,Drama,Thriller,no
Wayne Coe,Wayne Coe, ,James Earl Jones,Brad Dourif,Will Hare,0,N,N/A,41, ,Horror,Western, ,no
James D. Parriott,James D. Parriott, ,Bob Hoskins,Denzel Washington,Chloe Webb,0,N,0,35, ,Comedy,Crime,Drama,no
Philip Kaufman,Anaïs Nin,Philip Kaufman,Fred Ward,Uma Thurman,Maria de Medeiros,5,N,69,69, ,Biography,Drama, ,no
Chris Columbus,John Hughes, ,Macaulay Culkin,Joe Pesci,Daniel Stern,16,Y,55,79, ,Comedy,Family, ,yesComedy
Dennis Hopper,Charles Williams,Nona Tyson,Don Johnson,Virginia Madsen,Jennifer Connelly,0,N,N/A,N/A, ,Crime,Drama,Romance,no
Reginald Hudlin,Reginald Hudlin, ,Christopher Reid,Robin Harris,Christopher Martin,12,N,96,82, ,Comedy,Music,Romance,no
John McTiernan,Tom Clancy,Larry Ferguson,Sean Connery,Alec Baldwin,Scott Glenn,9,N,86,89, ,Action,Adventure,Thriller,no
Lawrence Kasdan,John Kostmayer, ,Kevin Kline,Tracey Ullman,Joan Plowright,0,N,56,64, ,Comedy,Crime, ,no
David Lynch,N/A, ,Laura Dern,Nicolas Cage,Julee Cruise,0,N,N/A,63, ,Drama,Music, ,no
Mike Figgis,Henry Bean, ,Richard Gere,Andy Garcia,Nancy Travis,0,N,88,59, ,Crime,Drama,Thriller,no
Shirley Sun,Mark Salzman,Mark Salzman,Hangcheng Dong,Xihong Jiang,Jeanette Lin Tsui,1,N,80,78, ,Comedy,Drama, ,no
Adrian Lyne,Bruce Joel Rubin, ,Tim Robbins,Elizabeth Peña,Danny Aiello,2,N,69,85, ,Drama,Horror,Mystery,no
John Patrick Shanley,John Patrick Shanley, ,Tom Hanks,Meg Ryan,Lloyd Bridges,0,N,59,54, ,Comedy,Romance, ,no
Abel Ferrara,Nicholas St. John, ,Christopher Walken,David Caruso,Laurence Fishburne,3,N,71,78, ,Crime,Thriller, ,no
John Mackenzie,Jere Cunningham,Jere Cunningham,Brian Dennehy,Joe Pantoliano,Jeff Fahey,1,N,N/A,23, ,Action,Crime,Drama,no
Richard Pearce,John Cork, ,Sissy Spacek,Whoopi Goldberg,Dwight Schultz,3,N,86,84, ,Drama,History, ,no
Harry Hook,William Golding,Jay Presson Allen,Balthazar Getty,Chris Furrh,Danuel Pipoly,3,N,63,52, ,Adventure,Drama,Thriller,no
Alan Rudolph,Alan Rudolph, ,Tom Berenger,Elizabeth Perkins,Anne Archer,0,N,71,46, ,Comedy,Drama,Mystery,no
Tom Ropelewski,Tom Ropelewski, ,John Larroquette,Kirstie Alley,Alison La Placa,0,N,0,46, ,Comedy, , ,no
William Lustig,Larry Cohen, ,Robert Davi,Claudia Christian,Michael Lerner,0,Y,60,41, ,Crime,Horror,Action,no
Daniel Raskov,Tino Insana,Daniel Raskov,David Rasche,Catherine Bach,Tino Insana,0,N,N/A,68, ,Comedy, , ,no
Michael Caton-Jones,Monte Merrick, ,Matthew Modine,Eric Stoltz,Tate Donovan,5,N,75,79, ,Action,Drama,War,no
Paul Brickman,Barbara Benedek,Barbara Benedek,Jessica Lange,Arliss Howard,Joan Cusack,3,N,81,59, ,Drama, , ,no
William Reilly,William Reilly,William Shakespeare,John Turturro,Katherine Borowitz,Dennis Farina,1,N,N/A,39, ,Drama,Crime,Thriller,no
Richard Benjamin,Patty Dann,June Roberts,Cher,Bob Hoskins,Winona Ryder,5,N,73,70, ,Comedy,Drama,Romance,no
Whit Stillman,Whit Stillman, ,Carolyn Farina,Edward Clements,Chris Eigeman,13,N,91,85, ,Comedy,Drama,Romance,no
George Armitage,Charles Willeford,George Armitage,Alec Baldwin,Cecilia Pérez-Cervera,Georgie Cranford,2,N,81,56, ,Comedy,Crime,Drama,no
Joel Coen,Joel Coen,Ethan Coen,Gabriel Byrne,Marcia Gay Harden,John Turturro,10,N,91,90, ,Crime,Drama,Thriller,no
Rob Reiner,Stephen King,William Goldman,James Caan,Kathy Bates,Richard Farnsworth,12,N,89,89, ,Crime,Drama,Thriller,no
Bruce Beresford,William Boyd,Joyce Cary,Maynard Eziashi,Pierce Brosnan,Edward Woodward,2,N,82,63, ,Drama, , ,no
Spike Lee,Spike Lee, ,Denzel Washington,Spike Lee,Wesley Snipes,4,N,73,75, ,Drama,Music,Romance,no
George Miller,Barbara Dillon,Gerald Di Pego,Olivia Newton-John,Juliet Sorci,Doug Sheehan,1,N,N/A,74, ,Fantasy,Comedy,Family,no
Jeff Stein,Mark Curtiss,Linda Engelsiepen,Harry Anderson,Cyndi Lauper,Brian Bonsall,4,N,N/A,74, ,Adventure,Family,Fantasy,no
Bob Rafelson,William Harrison,William Harrison,Patrick Bergin,Iain Glen,Richard E. Grant,1,N,69,77, ,Adventure,Drama,History,no
Roger Young,Stanley Weiser,Ben Stein,Tom Hulce,Jennifer Grey,Blair Underwood,8,N,N/A,55, ,Drama, , ,no
Herbert Ross,Nora Ephron, ,Steve Martin,Rick Moranis,Joan Cusack,0,N,71,59, ,Comedy,Crime, ,no
Peter Hyams,Peter Hyams,Earl Felton,Gene Hackman,Anne Archer,James Sikking,1,N,58,51, ,Action,Crime,Thriller,no
Tom Savini,John A. Russo,George A. Romero,Tony Todd,Patricia Tallman,Tom Towles,2,N,68,68, ,Horror, , ,no
Paul Schibli,E.T.A. Hoffmann,Patricia Watson,Kiefer Sutherland,Megan Follows,Mike MacDonald,1,N,N/A,71, ,Animation,Adventure,Family,no
Mike Nichols,Carrie Fisher,Carrie Fisher,Meryl Streep,Shirley MacLaine,Dennis Quaid,13,N,90,66, ,Comedy,Drama, ,no
