Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Tim Matheson,Scott Abbott, ,Peter Coyote,Courtney Thorne-Smith,Keith Amos,0,N,N/A,N/A, ,Thriller, , ,no
John Erman,Anne Tyler,Robert W. Lenski,James Garner,Joanne Woodward,Kathryn Erbe,7,N,N/A,67, ,Drama, , ,no
Woody Allen,Woody Allen,Douglas McGrath,John Cusack,Dianne Wiest,Jennifer Tilly,40,N,96,83, ,Comedy,Crime, ,no
Chuck Jones,Chuck Jones, ,Paul Julian, , ,0,N,N/A,N/A, ,Family,Animation,Comedy,no
Toshiyuki Hiruma,Charles Perrault,George Arthur Bloom,Tony Ail,Nathan Aswell,Chera Bailey,0,N,N/A,61, ,Animation,Family,Fantasy,no
Phillip Noyce,Tom Clancy,Donald Stewart,Harrison Ford,Willem Dafoe,Anne Archer,12,N,82,74, ,Action,Crime,Drama,no
Kevin Smith,Kevin Smith, ,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,14,N,88,89, ,Comedy, , ,no
Joel Schumacher,John Grisham,Akiva Goldsman,Susan Sarandon,Tommy Lee Jones,Mary-Louise Parker,7,N,80,69, ,Crime,Drama,Mystery,no
Ron Shelton,Al Stump,Al Stump,Tommy Lee Jones,Robert Wuhl,Lolita Davidovich,1,N,64,59, ,Biography,Drama,Sport,no
Spike Lee,Cinqué Lee,Joie Lee,Alfre Woodard,Delroy Lindo,David Patrick Kelly,3,N,76,90, ,Comedy,Drama, ,no
Alex Proyas,James O'Barr,David J. Schow,Brandon Lee,Rochelle Davis,Ernie Hudson,9,N,82,90, ,Action,Drama,Fantasy,no
Charla Driver,James Adelstein,Michael January,Gary Daniels,Ken McLeod,Byron Mann,0,N,N/A,14, ,Action,Drama, ,no
Roman Polanski,Ariel Dorfman,Rafael Yglesias,Sigourney Weaver,Ben Kingsley,Stuart Wilson,4,N,84,81, ,Drama,Mystery,Thriller,no
Barry Levinson,Michael Crichton,Paul Attanasio,Michael Douglas,Demi Moore,Donald Sutherland,4,N,59,41, ,Drama,Thriller, ,no
Robert Young,Walter Bernstein,Lionel Chetwynd,Frank Langella,Alan Arkin,Kevin Spacey,1,N,N/A,57, ,Action,Drama,History,no
Tim Burton,Rudolph Grey,Scott Alexander,Johnny Depp,Martin Landau,Sarah Jessica Parker,50,N,92,88, ,Biography,Comedy,Drama,yesComedy
Michael Karbelnikoff,Mickey Rourke,Mari Kornhauser,Mickey Rourke,Aaron Neville,Peter Berg,0,N,N/A,52, ,Crime,Drama,Romance,no
Annette Haywood-Carter,Ken Carter, ,Leonardo DiCaprio,Jake Busey,Bradley Gregg,0,N,N/A,N/A, ,Short, , ,no
Robert Zemeckis,Winston Groom,Eric Roth,Tom Hanks,Rebecca Williams,Sally Field,110,N,72,95,405000.0,Comedy,Drama, ,yesDrama
Peter Orton,Frank Skinner, ,Frank Skinner, , ,0,N,N/A,N/A, ,Comedy, , ,no
Boaz Yakin,Boaz Yakin, ,Sean Nelson,Giancarlo Esposito,Samuel L. Jackson,7,N,89,92, ,Crime,Drama,Thriller,no
Rose Troche,Rose Troche,Guinevere Turner,V.S. Brodie,Guinevere Turner,T. Wendy McMillan,8,N,77,56, ,Drama,Romance, ,no
N/A,N/A, ,Dan Anderson,G. Bock,Heidi Landis,0,N,N/A,N/A, ,Animation,Short,Family,no
Randy Zisk,Dave Alan Johnson,Michael Pavone,David James Elliott,Christopher Meloni,Dana Ashbrook,0,N,0,5, ,N/A, , ,no
Hugh Wilson,Hugh Wilson,Pj Torokvei,Shirley MacLaine,Nicolas Cage,Austin Pendleton,0,N,59,48, ,Comedy,Drama, ,no
Jud Taylor,Persia Woolley,Ronni Kern,Sheryl Lee,Sean Patrick Flanery,Noah Wyle,0,N,N/A,27, ,Adventure,Fantasy, ,no
Leonard Nimoy,David Weisberg,Douglas Cook,Patricia Arquette,Joseph Gordon-Levitt,Armin Mueller-Stahl,0,N,N/A,25, ,Comedy,Crime, ,no
Joel Coen,Ethan Coen,Joel Coen,Tim Robbins,Jennifer Jason Leigh,Paul Newman,5,N,57,79, ,Comedy,Fantasy, ,no
Caveh Zahedi,Caveh Zahedi, ,Steve Ausbury,D. Montgomery,Greg Watkins,0,N,N/A,N/A, ,N/A, , ,no
Darnell Martin,Darnell Martin, ,Lauren Luna Vélez,Jon Seda,Tomas Melly,5,N,80,91, ,Comedy,Drama,Romance,no
James L. Brooks,James L. Brooks, ,Nick Nolte,Whittni Wright,Albert Brooks,3,N,61,44, ,Comedy,Drama, ,no
Anthony Drazan,Sheila Ballantyne,Kristine Johnson,Harvey Keitel,Fairuza Balk,Kelly Lynch,0,N,56,64, ,Biography,Drama, ,no
Bernard Rose,Bernard Rose, ,Gary Oldman,Jeroen Krabbé,Isabella Rossellini,1,N,56,87, ,Biography,Drama,Music,no
Vincent Paterson,Keith R. Clarke,Dr. Seuss,Kathy Najimy,Matt Frewer,Christopher Lloyd,13,N,N/A,76, ,Animation,Biography,Comedy,no
Neil Jordan,Anne Rice,Anne Rice,Brad Pitt,Christian Slater,Virginia McCollam,48,N,61,86, ,Drama,Horror, ,no
Charles Haid,John Michael Hayes,Djordje Milicevic,Mackenzie Astin,Kevin Spacey,David Ogden Stiers,0,N,62,65, ,Adventure,Family, ,no
David Hugh Jones,Dalene Young, ,Reba McEntire,Keith Carradine,Genia Michaela,0,N,N/A,92, ,Drama, , ,no
Andrew Bergman,Jane Anderson, ,Nicolas Cage,Bridget Fonda,Rosie Perez,0,N,71,54, ,Comedy,Drama,Romance,no
Peter Hall,Francesco Maria Nappi,Lionel Chetwynd,Matthew Modine,Lara Flynn Boyle,Sean Bean,1,N,N/A,78, ,Biography,Crime,Drama,no
Doug McHenry,Bobby Smith Jr., ,Allen Payne,Jada Pinkett Smith,Bokeem Woodbine,1,N,67,91, ,Crime,Drama, ,no
Steve Hanft,Steve Hanft, ,Richmond Arquette,Jaime Colindrez,John Hanft,0,N,N/A,N/A, ,Drama,Music, ,no
Roy Allen Smith,Dev Ross,John Loy,Scott McAfee,Candace Hutson,Heather Hogan,1,N,N/A,41, ,Animation,Adventure,Family,no
Daniel Petrie,Eric Knight,Matthew Jacobs,Tom Guiry,Helen Slater,Jon Tenney,2,N,87,55, ,Family,Adventure, ,no
John Dahl,Steve Barancik, ,Linda Fiorentino,Bill Pullman,Michael Raysses,18,N,94,76, ,Crime,Drama,Romance,no
Edward Zwick,Susan Shilliday,William D. Wittliff,Brad Pitt,Anthony Hopkins,Aidan Quinn,13,N,N/A,N/A, ,Drama,Romance,War,yesDrama
Roger Allers,Irene Mecchi,Jonathan Roberts,Matthew Broderick,Jonathan Taylor Thomas,James Earl Jones,64,N,92,93,9.4240635E7,Animation,Adventure,Drama,yesComedy
James Gray,James Gray, ,Tim Roth,Edward Furlong,Moira Kelly,10,N,61,72, ,Crime,Drama, ,no
Gillian Armstrong,Louisa May Alcott,Robin Swicord,Winona Ryder,Gabriel Byrne,Trini Alvarado,23,N,N/A,75, ,Drama,Family,Romance,no
C.M. Talkington,C.M. Talkington, ,Gil Bellows,Renée Zellweger,Rory Cochrane,2,N,83,70, ,Crime,Romance,Thriller,no
Keenen Ivory Wayans,Keenen Ivory Wayans, ,Keenen Ivory Wayans,Charles S. Dutton,Jada Pinkett Smith,1,N,0,72, ,Action,Comedy,Crime,no
Chuck Russell,Michael Fallon,Mark Verheiden,Jim Carrey,Peter Riegert,Peter Greene,25,N,77,67, ,Comedy,Fantasy, ,no
Richard Donner,Roy Huggins,William Goldman,Mel Gibson,Jodie Foster,James Garner,2,Y,67,71, ,Action,Adventure,Comedy,no
Perry Lang,Stan Rogow,John Sayles,Dolph Lundgren,Charlotte Lewis,BD Wong,0,N,N/A,45, ,Action,Drama,Thriller,no
Daniel Sackheim,George Gallo,Shaun Cassidy,Melora Walters,Richard Herkert,Jennifer Manasseri,0,N,N/A,N/A, ,Action,Adventure,Comedy,no
Frank De Palma,George Gallo,Jerrold E. Brown,Christopher McDonald,Kyle Secor,Ed O'Ross,0,N,N/A,N/A, ,Action,Adventure,Comedy,no
Paul Rodriguez,Robert Grasmere,Francisca Matos,Paul Rodriguez,Tony Plana,Bert Rosario,0,N,N/A,59, ,Comedy, , ,no
Les Mayfield,Valentine Davies,George Seaton,Richard Attenborough,Elizabeth Perkins,Dylan McDermott,1,N,61,62, ,Family,Fantasy, ,no
Alan Rudolph,Alan Rudolph,Randy Sue Coburn,Jennifer Jason Leigh,Campbell Scott,Matthew Broderick,10,N,74,61, ,Biography,Drama, ,no
Michael Apted,Mark Handley,William Nicholson,Jodie Foster,Liam Neeson,Natasha Richardson,11,N,53,64, ,Drama, , ,yesDrama
Martin Campbell,Richard Herley,Michael Gaylin,Ray Liotta,Lance Henriksen,Stuart Wilson,1,N,53,41, ,Action,Drama,Sci-Fi,no
Robert Benton,Richard Russo,Robert Benton,Paul Newman,Jessica Tandy,Bruce Willis,13,N,91,81, ,Comedy,Drama, ,no
Larry Elikann,Barbara Turner, ,Diana Ross,Ann Weldon,Rhonda Stubbins White,2,N,N/A,80, ,Biography,Drama, ,no
Ron Howard,David Koepp,Stephen Koepp,Michael Keaton,Robert Duvall,Glenn Close,0,N,88,65, ,Comedy,Drama, ,no
Eric Swelstad,Nathaniel Hawthorne,Jay Woelfel,Floyd Harden,DeAnna Hawkins,Ron Litman,0,N,N/A,N/A, ,Comedy,Short, ,no
Peter Medak,Finn Taylor,Finn Taylor,Ted Danson,Mary Steenburgen,Ryan Todd,0,N,N/A,20, ,Drama, , ,no
Michael Austin,Michael Austin,John Wells,Jim Broadbent,Phoebe Cates,Wendy Hughes,0,N,60,50, ,Comedy,Drama,History,no
Quentin Tarantino,Quentin Tarantino,Roger Avary,Tim Roth,Amanda Plummer,Laura Lovelace,126,N,94,96, ,Crime,Drama, ,yesDrama
Jeff Burr,Steven E. Carr,Jo Duffy,Gordon Currie,Chandra West,Ian Ogilvy,0,Y,N/A,34, ,Fantasy,Horror,Sci-Fi,no
Robert Redford,Paul Attanasio,Richard N. Goodwin,John Turturro,Rob Morrow,Ralph Fiennes,36,N,96,87, ,Drama,History, ,yesDrama
Jeffrey Bell,Jeffrey Bell, ,William McNamara,Elisabeth Shue,Dylan Walsh,0,N,N/A,33, ,Drama,Romance, ,no
Kevin Reynolds,Kevin Reynolds,Tim Rose Price,Jason Scott Lee,Esai Morales,Sandrine Holt,2,N,N/A,63, ,Action,Adventure,Drama,no
Ben Stiller,Helen Childress, ,Winona Ryder,Ethan Hawke,Janeane Garofalo,2,N,65,74, ,Comedy,Drama,Romance,no
Ted Demme,Marie Weiss,Richard LaGravenese,Denis Leary,Judy Davis,Kevin Spacey,2,N,71,74, ,Comedy,Crime,Drama,no
Curtis Hanson,Denis O'Neill, ,Meryl Streep,Joseph Mazzello,Stephanie Sawyer,4,N,55,51, ,Action,Adventure,Crime,no
Robert Rodriguez,Robert Rodriguez,Tommy Nix,David Arquette,John Hawkes,Salma Hayek,1,Y,N/A,69, ,Action,Drama, ,no
Jeremy Kagan,Kevin D. Randle,Donald R. Schmitt,Kyle MacLachlan,Martin Sheen,Dwight Yoakam,4,N,N/A,55, ,Drama,Mystery,Sci-Fi,no
Stephen Sommers,Rudyard Kipling,Ron Yanover,Jason Scott Lee,Cary Elwes,Lena Headey,2,N,79,54, ,Adventure,Family,Romance,no
John Pasquin,Leo Benvenuti,Steve Rudnick,Tim Allen,Judge Reinhold,Wendy Crewson,9,N,75,65, ,Comedy,Drama,Family,no
Jun Falkenstein,Gordon Kent,Glenn Leopold,Don Messick,Casey Kasem,Greg Burson,0,N,N/A,45, ,Animation,Comedy,Family,no
Sam Henry Kass,Sam Henry Kass, ,Holt McCallany,Michael Badalucco,Nicholas Turturro,0,N,N/A,68, ,Comedy, , ,no
John Sayles,Rosalie K. Fry,John Sayles,Jeni Courtney,Pat Slowey,Dave Duffy,10,N,98,87, ,Drama,Family,Fantasy,no
John Waters,John Waters, ,Kathleen Turner,Sam Waterston,Ricki Lake,1,N,60,71, ,Comedy,Crime,Thriller,no
Frank Darabont,Stephen King,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,56,N,91,98, ,Crime,Drama, ,no
Lou Diamond Phillips,L. Virginia Browne, ,Lou Diamond Phillips,Salli Richardson-Whitfield,Melinda Dillon,0,N,N/A,63, ,Drama,Mystery,Thriller,no
David O. Russell,David O. Russell, ,Jeremy Davies,Elizabeth Newett,Benjamin Hendrickson,8,N,91,54, ,Comedy,Drama, ,no
Jan de Bont,Graham Yost, ,Keanu Reeves,Dennis Hopper,Sandra Bullock,37,N,93,76, ,Action,Adventure,Crime,no
Xavier Koller,Darlene Craviotto, ,Adam Beach,Sheldon Peters Wolfchild,Irene Bedard,0,N,60,53, ,Adventure,Biography,Drama,no
James Melkonian,James Melkonian,Rich Wilkes,Michael Kopelow,Bradford Tatum,China Kantner,0,N,N/A,69, ,Comedy,Music, ,no
George Huang,George Huang, ,Kevin Spacey,Frank Whaley,Michelle Forbes,8,N,80,79, ,Comedy,Crime, ,no
Michael Toshiyuki Uno,Cathleen Young, ,Nicollette Sheridan,Gary Cole,Mara Wilson,0,N,N/A,N/A, ,Drama, , ,no
James Cameron,Claude Zidi,Simon Michaël,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,26,N,72,76, ,Action,Comedy,Thriller,no
Louis Malle,Anton Chekhov,David Mamet,Phoebe Brand,Lynn Cohen,George Gaynes,14,N,89,81, ,Comedy,Drama,Romance,no
Regardt van den Bergh,Saint Luke,Joyce Marcarelli,Dean Jones,Henry O. Arnold,Jennifer O'Neill,0,N,N/A,N/A, ,History, , ,no
Luis Mandoki,Ronald Bass,Al Franken,Andy Garcia,Meg Ryan,Ellen Burstyn,4,N,71,78, ,Drama,Romance, ,no
Ken Olin,David Fallon, ,Scott Bairstow,Charmaine Craig,Al Harrington,0,N,71,49, ,Adventure,Family, ,no
John Irvin,Hugh Leonard,Hugh Leonard,Mia Farrow,Joan Plowright,Natasha Richardson,3,N,100,48, ,Comedy,Crime,Mystery,no
Robert Iscove,Jeremy Thorn,Walon Green,Sander Vanocur,Jane Kaczmarek,Bree Walker,1,N,N/A,74, ,Sci-Fi, , ,no
Tommy Lee Wallace,Keith Pierce,Priscilla Prestwidge,Sean Young,Len Cariou,George Newbern,2,N,N/A,43, ,Crime,Drama, ,no
Mike Nichols,Jim Harrison,Wesley Strick,Jack Nicholson,Michelle Pfeiffer,James Spader,9,N,60,42, ,Drama,Horror,Romance,no
Rod Hardy,Marjorie Kinnan Rawlings,Joe Wiesenfeld,Peter Strauss,Jean Smart,Wil Horneff,1,N,N/A,36, ,Adventure,Drama,Family,no
Steven Schachter,Jerry Lazarus,William H. Macy,Christopher Reeve,Joe Mantegna,Kim Cattrall,0,N,60,55, ,Drama,Thriller, ,no
Abel Ferrara,Nicholas St. John, ,Lili Taylor,Christopher Walken,Annabella Sciorra,9,N,73,68, ,Horror, , ,no
Rob Reiner,Aaron Sorkin, ,Michael Douglas,Annette Bening,Martin Sheen,11,N,90,77, ,Comedy,Drama,Romance,yesComedy
Rebecca Miller,Rebecca Miller, ,Miranda Rhyne,Charlotte Eve Blythe,Anna Levine,5,N,N/A,74, ,Drama, , ,no
Philip Haas,A.S. Byatt,Belinda Haas,Mark Rylance,Kristin Scott Thomas,Patsy Kensit,5,N,71,68, ,Drama,Romance, ,no
Ron Howard,Jim Lovell,Jeffrey Kluger,Tom Hanks,Bill Paxton,Kevin Bacon,75,N,95,86, ,Adventure,Drama,History,yesDrama
Chris Noonan,Dick King-Smith,George Miller,Christine Cavanaugh,Miriam Margolyes,Danny Mann,42,N,97,67, ,Comedy,Drama,Family,yesComedy
Melanie Mayron,Ann M. Martin,Dalene Young,Schuyler Fisk,Bre Blair,Rachael Leigh Cook,3,N,64,47, ,Comedy,Drama,Family,no
Ash Baron-Cohen,Ash Baron-Cohen, ,Darling Narita,Peter Greene,Michael Newland,1,N,N/A,71, ,Crime,Drama, ,no
Richard Linklater,Richard Linklater,Kim Krizan,Ethan Hawke,Julie Delpy,Andrea Eckert,8,N,100,93, ,Drama,Romance, ,no
Holly Goldberg Sloan,Holly Goldberg Sloan, ,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,0,N,0,45, ,Comedy,Family,Sport,no
Herbert Ross,Don Roos, ,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,3,N,73,69, ,Comedy,Drama, ,no
Betty Thomas,Sherwood Schwartz,Laurice Elehwany,Shelley Long,Gary Cole,Christine Taylor,3,N,63,45, ,Comedy, , ,no
Mel Gibson,Randall Wallace, ,James Robinson,Sean Lawlor,Sandy Nelson,60,N,78,85, ,Biography,Drama,History,yesDrama
Clint Eastwood,Richard LaGravenese,Robert James Waller,Clint Eastwood,Meryl Streep,Annie Corley,21,N,89,87, ,Drama,Romance, ,no
Edward Burns,Edward Burns, ,Shari Albert,Maxine Bahns,Catharine Bolz,5,N,91,60, ,Comedy,Drama,Romance,no
Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,Robert De Niro,Sharon Stone,Joe Pesci,13,N,80,93, ,Biography,Crime,Drama,no
Stuart Gordon,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,Barbara Crampton,Jonathan Fuller,0,N,63,45, ,Drama,Horror,Mystery,no
Chris Gerolmo,Robert Cullen,Chris Gerolmo,Stephen Rea,Donald Sutherland,Max von Sydow,21,N,86,86, ,Biography,Crime,Drama,no
Spike Lee,Richard Price,Richard Price,Harvey Keitel,John Turturro,Delroy Lindo,6,N,68,75, ,Crime,Drama,Mystery,no
Amy Heckerling,Amy Heckerling, ,Alicia Silverstone,Stacey Dash,Brittany Murphy,17,N,N/A,N/A, ,Comedy,Romance, ,no
Wallace Wolodarsky,Wallace Wolodarsky, ,Jason Priestley,Kimberly Williams-Paisley,Peter Riegert,2,N,N/A,67, ,Action,Comedy,Thriller,no
Peyton Reed,Joseph L. McEveety,Joseph L. McEveety,Kirk Cameron,Larry Miller,Jason Bernard,0,N,N/A,41, ,Comedy,Family,Sci-Fi,no
Jon Amiel,Ann Biderman,David Madsen,Sigourney Weaver,Holly Hunter,Dermot Mulroney,3,N,75,64, ,Crime,Drama,Mystery,no
Tony Scott,Michael Schiffer,Richard P. Henrick,Denzel Washington,Gene Hackman,Matt Craven,14,N,87,83, ,Action,Drama,Thriller,no
Sean Penn,Sean Penn, ,Jack Nicholson,David Morse,Anjelica Huston,4,N,75,53, ,Drama, , ,no
Jim Jarmusch,Jim Jarmusch, ,Johnny Depp,Gary Farmer,Crispin Glover,14,N,71,88, ,Drama,Fantasy,Western,no
Tim Robbins,Helen Prejean,Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky,40,N,95,86, ,Crime,Drama, ,no
Robert Rodriguez,Robert Rodriguez, ,Antonio Banderas,Salma Hayek,Joaquim de Almeida,5,Y,62,80, ,Action,Thriller, ,no
Carl Franklin,Walter Mosley,Carl Franklin,Denzel Washington,Tom Sizemore,Jennifer Beals,16,N,87,69, ,Crime,Drama,Mystery,no
Taylor Hackford,Stephen King,Tony Gilroy,Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,9,N,82,81, ,Crime,Drama,Mystery,no
George Kaczender,Paul Redford,Ed Redlich,Susan Lucci,Wendy Crewson,Ron Lea,0,N,N/A,47, ,Drama,Fantasy, ,no
Peter Rader,Alexander Key,Robert M. Young,Robert Vaughn,Elisabeth Moss,Erik von Detten,0,N,N/A,65, ,Adventure,Family,Fantasy,no
Mark Rosman,Mark Rosman, ,Ethan Embry,Cassidy Rae,Nassira Nicola,0,N,N/A,N/A, ,Action,Horror,Sci-Fi,no
Daniel R. Cohn,N/A, ,Keith Hamilton Cobb,Harry Hibbits,Eve Austin,0,N,N/A,75, ,Drama, , ,no
Paul Warner,Steve Alden,Paul Skemp,Steve Alden,David Arquette,Stephen Baldwin,1,N,N/A,35, ,Drama,Comedy,Crime,no
Phillip Borsos,Phillip Borsos, ,Mimi Rogers,Bruce Davison,Jesse Bradford,3,N,57,53, ,Adventure,Family, ,no
Hal Hartley,Hal Hartley, ,Paul Austin,Robert John Burke,Martin Donovan,0,N,80,72, ,Drama,Romance, ,no
F. Gary Gray,Ice Cube,DJ Pooh,Ice Cube,Chris Tucker,Nia Long,4,N,N/A,79, ,Comedy,Drama, ,no
Bruce Neibaur,Bruce Neibaur, ,Kate Maberly,Jonathan Hernandez,Randall King,2,N,N/A,67, ,Drama,Family, ,no
Marcus Cole,E.L. Konigsburg,Betty Goldberg,Lauren Bacall,Jean Marie Barnwell,Jesse Lee Soffer,0,N,N/A,39, ,Comedy,Drama,Family,no
Nicolas Roeg,Dan Gurskis, ,Mimi Rogers,Bryan Brown,Christopher Burgard,0,N,N/A,38, ,Drama, , ,no
Peter Chelsom,Peter Chelsom,Peter Flannery,Oliver Platt,Jerry Lewis,Lee Evans,8,N,61,83, ,Comedy,Drama, ,no
Ulu Grosbard,Barbara Turner, ,Jennifer Jason Leigh,Mare Winningham,Ted Levine,11,N,80,66, ,Drama,Music, ,no
Barry Sonnenfeld,Elmore Leonard,Scott Frank,John Travolta,Gene Hackman,Rene Russo,21,N,86,69, ,Comedy,Crime,Thriller,yesComedy
Michael Winterbottom,Jimmy McGovern,Paul Henry Powell,Robert Carlyle,Juliet Aubrey,James Nesbitt,5,N,60,73, ,Drama,Romance,Sport,no
Kevin Lima,Jymn Magon,Jymn Magon,Bill Farmer,Jason Marsden,Jim Cummings,5,N,53,70, ,Animation,Adventure,Comedy,no
Jonathan Prince,Maryedith Burrell,Maryedith Burrell,Shelley Fabares,Hillary Tuck,Valerie Harper,1,N,N/A,N/A, ,Comedy, , ,no
Art Clokey,Art Clokey,Gloria Clokey,Dal McKennon,Art Clokey,Gloria Clokey,0,N,N/A,65, ,Animation,Action,Adventure,no
Bruce Pittman,Kurt Vonnegut Jr.,Arthur Crimm,Sean Astin,Miranda de Pencier,Eugene Levy,4,N,N/A,83, ,Comedy,Sci-Fi, ,no
Lewis Gilbert,James Herbert,Timothy Prager,Aidan Quinn,Kate Beckinsale,Anthony Andrews,2,N,80,51, ,Drama,Horror, ,no
Michael Mann,Michael Mann, ,Al Pacino,Robert De Niro,Val Kilmer,12,N,86,94, ,Action,Crime,Drama,no
James Mangold,James Mangold, ,Pruitt Taylor Vince,Shelley Winters,Liv Tyler,4,N,86,72, ,Drama,Romance, ,no
Daniel Helfgott,Daniel Helfgott, ,Ann B. Davis,Florence Henderson,Christopher Knight,0,N,N/A,57, ,N/A, , ,no
Jodie Foster,Chris Radant,W.D. Richter,Holly Hunter,Robert Downey Jr.,Anne Bancroft,2,N,63,72, ,Comedy,Drama,Romance,no
Jocelyn Moorhouse,Whitney Otto,Jane Anderson,Kaelynn Craddick,Sara Craddick,Kate Capshaw,4,N,61,63, ,Comedy,Drama,Romance,no
Brian Grant,Elie Samaha,Kevin Bernhardt,Eric Roberts,Joe Pantoliano,Tia Carrere,0,N,N/A,36, ,Crime,Drama,Action,no
Maria Maggenti,Maria Maggenti, ,Laurel Holloman,Maggie Moore,Kate Stafford,1,N,67,69, ,Comedy,Drama,Romance,no
Frank Oz,Lynne Reid Banks,Melissa Mathison,Hal Scardino,Litefoot,Lindsay Crouse,7,N,70,40, ,Drama,Family,Fantasy,no
Mick Jackson,Abby Mann,Myra Mann,James Woods,Mercedes Ruehl,Lolita Davidovich,23,N,N/A,74, ,Drama,Thriller, ,no
John Mackenzie,Yaron Svoray,Nick Taylor,Oliver Platt,Arliss Howard,Tony Haygarth,1,N,N/A,61, ,Drama,Thriller, ,no
Christopher Ashley,Paul Rudnick,Paul Rudnick,Steven Weber,Peter Jacobson,Tom Cayler,5,N,68,68, ,Comedy,Drama, ,no
Roger Young,James Carrington,Lionel Chetwynd,Ben Kingsley,Paul Mercurio,Martin Landau,10,N,N/A,84, ,Adventure,Biography,Drama,no
Ernest D. Farino,Paul Callisi,Ethan Reiff,Corbin Allred,Jennifer Burns,Derek Webster,0,N,N/A,74, ,Action,Adventure,Family,no
Noah Baumbach,Noah Baumbach,Oliver Berkman,Josh Hamilton,Samuel Gould,Catherine Kellner,1,N,53,76, ,Comedy,Drama,Romance,no
Ivan Passer,Robert Louis Stevenson,John Goldsmith,Armand Assante,Patrick Malahide,Michael Kitchen,0,N,N/A,76, ,Action,Adventure,Drama,no
Barbet Schroeder,Eleazar Lipsky,Ben Hecht,David Caruso,Samuel L. Jackson,Nicolas Cage,1,N,68,38, ,Action,Crime,Thriller,no
Roy Allen Smith,Dev Ross,Judy Freudberg,Scott McAfee,Candace Hutson,Heather Hogan,2,Y,60,39, ,Animation,Adventure,Family,no
Stacy Title,Dan Rosen, ,Cameron Diaz,Ron Eldard,Annabeth Gish,2,N,63,70, ,Comedy,Crime,Drama,no
Tab Murphy,Tab Murphy, ,Tom Berenger,Barbara Hershey,Kurtwood Smith,0,N,69,79, ,Adventure,Western, ,no
Mike Figgis,John O'Brien,Mike Figgis,Nicolas Cage,Elisabeth Shue,Julian Sands,58,N,90,85, ,Drama,Romance, ,yesDrama
Eleanor Bergstein,Eleanor Bergstein, ,Campbell Scott,Jennifer Beals,Yancy Butler,0,N,N/A,50, ,Drama,Romance, ,no
Redge Mahaffey,Redge Mahaffey, ,Corey Haim,Ami Dolenz,Keith Coogan,0,N,N/A,N/A, ,Comedy,Drama, ,no
Alfonso Cuarón,Frances Hodgson Burnett,Richard LaGravenese,Liesel Matthews,Eleanor Bron,Liam Cunningham,13,N,97,88, ,Drama,Family,Fantasy,no
Tom DiCillo,Tom DiCillo, ,Steve Buscemi,Catherine Keener,Dermot Mulroney,13,N,88,87, ,Comedy,Drama, ,no
Kevin Connor,C. David Heymann,Burr Douglas,Sherilyn Fenn,Nigel Havers,Katherine Helmond,4,Y,N/A,50, ,Biography,Drama, ,no
Clive Barker,Clive Barker,Clive Barker,Scott Bakula,Kevin J. O'Connor,Joseph Latimore,3,N,61,52, ,Horror,Mystery,Thriller,no
Antonia Bird,Paula Milne, ,Chris O'Donnell,Drew Barrymore,Matthew Lillard,0,N,N/A,N/A, ,Drama,Romance, ,no
Kevin Smith,Kevin Smith, ,Shannen Doherty,Jeremy London,Jason Lee,0,N,55,82, ,Comedy,Romance, ,no
Mort Ransen,Sheldon Currie,Gerald Wexler,Helena Bonham Carter,Clive Russell,Craig Anthony Olejnik,16,N,67,79, ,Drama, , ,no
Kenneth Branagh,Kenneth Branagh, ,Richard Briers,Hetta Charnley,Joan Collins,2,N,81,88, ,Comedy, , ,no
Woody Allen,Woody Allen, ,Pamela Blair,Rene Ceballos,Elie Chaib,23,N,77,73, ,Comedy,Fantasy,Romance,no
Stephen Herek,Patrick Sheane Duncan, ,Richard Dreyfuss,Glenne Headly,Jay Thomas,10,N,74,83, ,Drama,Music, ,no
Vin Diesel,Vin Diesel, ,Vin Diesel,Lewis Steidl,Cara Gaffen,0,N,N/A,82, ,Short,Drama, ,no
Joseph Sargent,Willa Cather,Victoria Riskin,Jason Robards,Eva Marie Saint,Neil Patrick Harris,4,N,N/A,25, ,Drama, , ,no
Gregory Nava,Gregory Nava,Anna Thomas,Edward James Olmos,Rafael Cortes,Ivette Reina,8,N,85,88, ,Drama, , ,no
Victor Salva,Victor Salva, ,Eric Roberts,Lance Henriksen,Brion James,0,N,N/A,45, ,Crime,Horror,Mystery,no
Nick Gomez,Nick Gomez,Nick Gomez,Shar-Ron Corley,Gabriel Casseus,Saul Stein,3,N,56,84, ,Crime,Drama, ,no
David Jackson,Alistair MacLean,Alistair MacNeill,Pierce Brosnan,Alexandra Paul,William Devane,0,N,N/A,18, ,Action,Thriller, ,no
